# sampling frequency: 40
# units are seconds/meters/radians/a.u.
seg1_acc_x,seg1_acc_y,seg1_acc_z,seg1_gyr_x,seg1_gyr_y,seg1_gyr_z,seg1_mag_x,seg1_mag_y,seg1_mag_z,seg2_acc_x,seg2_acc_y,seg2_acc_z,seg2_gyr_x,seg2_gyr_y,seg2_gyr_z,seg2_mag_x,seg2_mag_y,seg2_mag_z,seg3_acc_x,seg3_acc_y,seg3_acc_z,seg3_gyr_x,seg3_gyr_y,seg3_gyr_z,seg3_mag_x,seg3_mag_y,seg3_mag_z,seg4_acc_x,seg4_acc_y,seg4_acc_z,seg4_gyr_x,seg4_gyr_y,seg4_gyr_z,seg4_mag_x,seg4_mag_y,seg4_mag_z,seg5_acc_x,seg5_acc_y,seg5_acc_z,seg5_gyr_x,seg5_gyr_y,seg5_gyr_z,seg5_mag_x,seg5_mag_y,seg5_mag_z
0.402876,-0.783887,9.795354,-0.00625,0.006323,-0.000104,-0.043457,0.419922,-0.589111,-0.226309,3.489148,9.14695,0.034105,0.020401,-0.000839,-0.625488,0.032715,-0.497314,-0.306569,0.038439,9.827859,0.033999,0.011974,-0.0175,-0.401855,0.357422,0.780029,-0.160466,0.335955,9.840763,0.016371,-0.018156,0.010188,0.60376,0.101318,0.019775,-0.127327,-0.328032,9.776457,0.023448,0.003402,-0.011297,0.206055,-0.20459,-0.39209
0.404182,-0.853417,9.806886,-0.011996,-0.001862,-0.006432,-0.047607,0.422607,-0.589844,-0.290657,3.575341,9.186749,-0.021553,0.00078,0.007361,-0.630127,0.031006,-0.499023,-0.402088,0.149705,9.872128,-0.00964,0.009835,0.010158,-0.396729,0.344727,0.780762,-0.09242,0.387161,9.875629,0.000754,0.004007,0.009675,0.60791,0.092529,0.021484,-0.295747,-0.216763,9.846768,0.007836,0.018555,-0.000756,0.212891,-0.213379,-0.391846
0.428917,-0.862047,9.820703,0.008938,-0.000123,0.002399,-0.044678,0.412842,-0.595703,-0.196532,3.458888,9.143574,-0.028263,0.003041,0.004391,-0.629395,0.023193,-0.505859,-0.310579,0.046635,9.825053,-0.02295,-0.014514,0.005337,-0.390381,0.357666,0.780762,-0.140711,0.362043,9.854208,-0.015393,0.01309,0.010218,0.612793,0.104248,0.02002,-0.170268,-0.295852,9.764474,-0.018658,-0.039059,-0.000268,0.214844,-0.201904,-0.393311
0.413903,-0.783836,9.822215,0.018307,0.005033,0.004295,-0.037354,0.429932,-0.589355,-0.267919,3.492034,9.129234,0.014902,0.013971,0.00392,-0.620117,0.037842,-0.5,-0.33069,0.059707,9.852552,0.009946,0.023253,-0.003307,-0.391846,0.355469,0.775879,-0.132971,0.36434,9.853277,-0.010286,-0.009887,0.008271,0.613037,0.102051,0.011719,-0.158358,-0.318316,9.799724,0.007514,0.032331,-0.004714,0.21582,-0.208008,-0.398193
0.398113,-0.783804,9.778957,-0.011093,0.003879,-0.004305,-0.036133,0.429443,-0.589111,-0.244332,3.53144,9.176073,-0.018935,-8.2e-05,0.003376,-0.618896,0.03833,-0.497803,-0.406329,0.091069,9.868399,-0.007899,-0.003466,0.002307,-0.388672,0.358643,0.781738,-0.119504,0.322758,9.844641,-0.007716,0.011387,0.008617,0.615723,0.10791,0.02002,-0.321155,-0.272022,9.806601,0.001171,-0.008326,-0.001569,0.217773,-0.201416,-0.389648
0.411349,-0.844552,9.781962,-0.006978,-0.001091,-0.004534,-0.042236,0.419678,-0.594971,-0.235453,3.467838,9.113348,-0.010351,0.010352,0.005524,-0.626709,0.030029,-0.503418,-0.289142,0.083033,9.831773,0.003492,-0.00204,0.004705,-0.400391,0.352051,0.779297,-0.149994,0.369359,9.857573,0.018062,0.002779,0.011544,0.604248,0.097412,0.018066,-0.099899,-0.281527,9.745753,0.009844,-0.028179,-0.002355,0.208252,-0.20752,-0.392822
0.403942,-0.834328,9.828062,0.003333,0.004997,0.002628,-0.041992,0.419922,-0.592041,-0.255267,3.530012,9.17765,-0.004991,0.002845,0.004079,-0.624512,0.031738,-0.498047,-0.372076,0.102505,9.851571,-0.010329,0.018996,-0.0044,-0.397217,0.364258,0.769531,-0.136676,0.421261,9.854838,-0.010689,-0.007041,0.006938,0.608154,0.111572,0.009766,-0.226506,-0.23631,9.816967,-0.003071,0.040556,-0.004464,0.209717,-0.195801,-0.399658
0.415687,-0.831287,9.77999,0.006291,5e-06,-0.001389,-0.044434,0.42749,-0.590088,-0.230104,3.483999,9.148927,-0.017262,0.005979,0.006574,-0.625488,0.03833,-0.498779,-0.343176,0.041745,9.847062,-0.015413,-0.016208,0.012751,-0.387695,0.357666,0.780273,-0.123624,0.321269,9.831397,-0.035427,0.008003,0.010141,0.613281,0.104248,0.02002,-0.267662,-0.324237,9.813814,-0.020201,-0.033489,0.002666,0.215576,-0.205566,-0.393311
0.433163,-0.793345,9.819601,0.000686,-0.000445,0.001154,-0.043213,0.427734,-0.594727,-0.226109,3.523546,9.177097,0.003028,0.006001,0.001433,-0.625977,0.037842,-0.500732,-0.28076,0.083379,9.839867,0.013453,0.011461,-0.00806,-0.394043,0.351807,0.781738,-0.110153,0.321064,9.857096,0.020719,-0.002447,0.010356,0.611816,0.0979,0.022949,-0.081174,-0.307433,9.745041,0.019321,0.001126,-0.006575,0.212646,-0.21167,-0.391113
0.409872,-0.863165,9.852659,-0.011582,0.007351,-0.003736,-0.047363,0.432617,-0.59082,-0.256295,3.49944,9.146381,-0.024509,0.010376,0.006048,-0.629639,0.043457,-0.500488,-0.37375,0.08636,9.844942,-0.019076,0.014359,0.005268,-0.392334,0.35498,0.77417,-0.112059,0.396827,9.86085,-0.003497,0.005278,0.011985,0.614258,0.102051,0.015869,-0.299259,-0.260952,9.817207,0.000193,0.027531,-0.003502,0.212891,-0.208008,-0.397461
