# sampling frequency: 40
# units are seconds/meters/radians/a.u.
seg1_acc_x,seg1_acc_y,seg1_acc_z,seg1_gyr_x,seg1_gyr_y,seg1_gyr_z,seg1_mag_x,seg1_mag_y,seg1_mag_z,seg2_acc_x,seg2_acc_y,seg2_acc_z,seg2_gyr_x,seg2_gyr_y,seg2_gyr_z,seg2_mag_x,seg2_mag_y,seg2_mag_z,seg3_acc_x,seg3_acc_y,seg3_acc_z,seg3_gyr_x,seg3_gyr_y,seg3_gyr_z,seg3_mag_x,seg3_mag_y,seg3_mag_z,seg4_acc_x,seg4_acc_y,seg4_acc_z,seg4_gyr_x,seg4_gyr_y,seg4_gyr_z,seg4_mag_x,seg4_mag_y,seg4_mag_z,seg5_acc_x,seg5_acc_y,seg5_acc_z,seg5_gyr_x,seg5_gyr_y,seg5_gyr_z,seg5_mag_x,seg5_mag_y,seg5_mag_z
0.05163,-0.896913,9.785871,-0.000604,0.004247,-0.002482,-0.112305,0.441895,-0.583984,-0.270599,3.524576,9.135331,-0.010841,0.010813,0.005193,-0.779053,0.166016,-0.283936,-0.38748,3.546524,9.186056,0.003152,0.000688,0.00063,-0.004639,0.590576,0.742676,-0.218417,3.757657,9.097596,0.001284,-0.000266,0.011232,0.526123,-0.141113,-0.265625,-0.5641,3.126981,9.268013,0.011452,0.00238,-0.004681,0.356201,-0.172852,-0.593506
0.02596,-0.886746,9.796206,0.001308,-0.002666,0.000655,-0.110596,0.440918,-0.583496,-0.299034,3.540355,9.134726,-0.006523,0.004693,0.004079,-0.776855,0.162598,-0.282959,-0.387015,3.532041,9.196576,-0.012321,0.009039,0.000922,-0.004639,0.593506,0.744629,-0.205041,3.771914,9.139293,-0.01111,0.003069,0.00905,0.524414,-0.140869,-0.268555,-0.547594,3.143875,9.273483,-0.008908,-0.006531,-0.001436,0.356201,-0.173096,-0.596924
0.06095,-0.906061,9.818469,0.000974,0.002114,-0.000656,-0.110596,0.441162,-0.587158,-0.255968,3.542194,9.154218,-0.010858,0.005578,0.004795,-0.77832,0.167725,-0.284424,-0.383165,3.514903,9.165937,0.001267,-0.001003,0.004131,-0.001465,0.590576,0.745605,-0.212263,3.764518,9.077492,-0.004959,-0.000536,0.009819,0.527832,-0.143311,-0.267578,-0.56828,3.110546,9.244142,0.005264,0.003975,-0.003004,0.360352,-0.173096,-0.593506
0.024968,-0.907501,9.816468,0.00037,0.004998,0.000162,-0.114746,0.443848,-0.587158,-0.294266,3.52571,9.142244,-0.010471,0.011582,0.005358,-0.782471,0.166992,-0.288086,-0.370316,3.553673,9.206326,-0.004086,0.008202,-0.003189,0.004639,0.591797,0.745117,-0.226814,3.766769,9.125321,-0.006086,0.003949,0.010494,0.533936,-0.142578,-0.26416,-0.564199,3.145059,9.283722,-0.002756,-0.00536,-0.003861,0.363525,-0.171387,-0.59375
0.046408,-0.894353,9.802271,-0.001247,-0.000932,-0.000264,-0.117188,0.439453,-0.589355,-0.27416,3.529229,9.143259,-0.006411,0.000908,0.003314,-0.787109,0.162598,-0.29126,-0.390228,3.525817,9.165421,-0.009275,0.002637,0.006711,-0.001953,0.582275,0.744629,-0.212037,3.746057,9.093803,-0.007991,0.004472,0.008708,0.528809,-0.149658,-0.267578,-0.549847,3.105913,9.255695,-0.001915,0.000156,-0.000444,0.35791,-0.179932,-0.591553
0.049662,-0.924948,9.812861,-0.000331,0.003065,-0.001562,-0.116699,0.435059,-0.590576,-0.26026,3.539606,9.147413,-0.009647,0.011107,0.005949,-0.784912,0.15918,-0.291016,-0.375467,3.538995,9.17301,0.000101,0.0006,-0.002288,-0.003418,0.595459,0.745361,-0.21072,3.776342,9.126349,0.000745,-0.002553,0.010004,0.525391,-0.138428,-0.266846,-0.573777,3.136475,9.287538,0.009721,-0.000604,-0.005381,0.356934,-0.170166,-0.592529
0.037054,-0.890405,9.805768,0.006677,0.002276,-0.002182,-0.118896,0.438477,-0.591797,-0.283411,3.535286,9.138925,-0.011998,0.003392,0.00365,-0.787598,0.165039,-0.292236,-0.392425,3.540296,9.188249,-0.009451,0.009674,0.002994,0.000488,0.592529,0.740967,-0.220543,3.773014,9.105483,-0.011149,0.00364,0.008149,0.531494,-0.138916,-0.27124,-0.543089,3.132386,9.280657,-0.011229,-0.008015,0.001878,0.363281,-0.171631,-0.598633
0.044918,-0.900345,9.809116,-0.002721,0.002585,-5e-05,-0.118408,0.441895,-0.583008,-0.252124,3.531934,9.115641,-0.008392,0.007857,0.004662,-0.782959,0.166992,-0.286621,-0.372225,3.523929,9.17496,-0.001536,-0.001876,-0.000912,-0.004395,0.59668,0.746826,-0.223608,3.759072,9.100134,-0.006725,0.003302,0.00959,0.524902,-0.135742,-0.265381,-0.570597,3.109073,9.257669,0.005374,0.006366,-0.004755,0.353516,-0.166992,-0.591309
0.049185,-0.894841,9.815261,-5.8e-05,0.001882,-0.000643,-0.117676,0.444336,-0.5896,-0.285155,3.527504,9.149557,-0.008871,0.009221,0.003597,-0.784912,0.168457,-0.29126,-0.366557,3.541126,9.179273,-0.005225,0.009402,0.001701,-0.001953,0.583496,0.737305,-0.223953,3.75913,9.114322,-0.003156,0.000579,0.011934,0.528809,-0.148926,-0.272949,-0.568024,3.147082,9.27546,0.002238,-0.007982,-0.003127,0.359863,-0.178467,-0.598877
0.044189,-0.893326,9.802375,0.002444,0.000314,-0.000618,-0.114502,0.442139,-0.581787,-0.266466,3.538065,9.132471,-0.008197,0.00206,0.004153,-0.780762,0.165283,-0.282227,-0.395321,3.537555,9.18918,-0.001189,0.003185,0.002437,-0.00293,0.590332,0.744385,-0.210513,3.774037,9.093385,-0.003941,0.002128,0.010443,0.525391,-0.144043,-0.268311,-0.535497,3.122538,9.274292,0.000509,-0.00083,-0.001224,0.35498,-0.172363,-0.595459
