# sampling frequency: 40
# units are seconds/meters/radians/a.u.
seg1_acc_x,seg1_acc_y,seg1_acc_z,seg1_gyr_x,seg1_gyr_y,seg1_gyr_z,seg1_mag_x,seg1_mag_y,seg1_mag_z,seg2_acc_x,seg2_acc_y,seg2_acc_z,seg2_gyr_x,seg2_gyr_y,seg2_gyr_z,seg2_mag_x,seg2_mag_y,seg2_mag_z,seg3_acc_x,seg3_acc_y,seg3_acc_z,seg3_gyr_x,seg3_gyr_y,seg3_gyr_z,seg3_mag_x,seg3_mag_y,seg3_mag_z,seg4_acc_x,seg4_acc_y,seg4_acc_z,seg4_gyr_x,seg4_gyr_y,seg4_gyr_z,seg4_mag_x,seg4_mag_y,seg4_mag_z,seg5_acc_x,seg5_acc_y,seg5_acc_z,seg5_gyr_x,seg5_gyr_y,seg5_gyr_z,seg5_mag_x,seg5_mag_y,seg5_mag_z
0.432471,-0.823932,9.809761,0.00635,0.003928,0.000513,-0.065918,0.409424,-0.591309,-0.189799,3.483223,9.147874,-0.00362,0.010625,0.003652,-0.653076,0.009277,-0.466064,-0.313574,0.999959,9.810099,-0.001252,-0.000867,0.002418,-0.355713,0.294434,0.8396,-0.097987,1.100042,9.796161,-0.000856,-0.00108,0.009219,0.647705,0.021729,0.003662,-0.116834,0.402301,9.784756,0.002093,-0.008908,-0.002178,0.153809,-0.246582,-0.372559
0.449819,-0.808104,9.812018,-0.005855,0.000254,-0.001218,-0.061035,0.411377,-0.587646,-0.197274,3.486883,9.153654,-0.013331,0.003548,0.004365,-0.64624,0.01123,-0.466797,-0.314758,0.985272,9.777659,-0.0087,0.009986,2.8e-05,-0.364502,0.284668,0.8396,-0.091035,1.10496,9.806728,-0.008939,0.001203,0.010879,0.637695,0.011963,0.006348,-0.185096,0.410711,9.789166,-0.000475,0.013072,-0.004743,0.145508,-0.25293,-0.368652
0.435605,-0.833515,9.80034,0.002574,0.002953,-0.000954,-0.062988,0.404785,-0.586426,-0.156213,3.486052,9.147849,-0.00726,0.008249,0.004737,-0.649658,0.004639,-0.463623,-0.337719,0.994026,9.79412,-0.003629,-0.002251,0.002843,-0.364502,0.294434,0.840576,-0.105167,1.085344,9.79866,-0.005904,0.005151,0.01062,0.644287,0.020508,0.00708,-0.184721,0.412224,9.765339,-0.002286,-0.01582,-0.002501,0.146484,-0.244873,-0.368164
0.431092,-0.802887,9.789336,0.000954,0.002143,-0.000645,-0.058105,0.405762,-0.588623,-0.218306,3.499548,9.170379,-0.008139,0.008412,0.005327,-0.645752,0.005859,-0.466797,-0.330301,1.003946,9.792562,-0.005133,0.009037,-5.4e-05,-0.365479,0.287842,0.837646,-0.126863,1.081412,9.804642,-0.00352,0.004134,0.010526,0.637207,0.015869,0.000977,-0.130592,0.419672,9.766061,0.00537,0.006389,-0.00419,0.14209,-0.251465,-0.373779
0.4478,-0.837492,9.810136,-0.002821,0.001168,-0.002113,-0.06958,0.410889,-0.585205,-0.158552,3.48231,9.149234,-0.009527,0.002816,0.004134,-0.655273,0.010254,-0.463867,-0.336855,0.998871,9.800115,-0.004602,0.004669,0.002879,-0.36377,0.299561,0.828369,-0.108206,1.091887,9.795209,-0.005654,-0.002132,0.009613,0.639404,0.027344,-0.001953,-0.207899,0.424015,9.814053,0.00079,-0.001661,-0.002931,0.144043,-0.239014,-0.381348
0.430746,-0.80877,9.82545,0.002674,0.002619,0.000826,-0.068604,0.414795,-0.582031,-0.184892,3.500491,9.15349,-0.007723,0.0114,0.005242,-0.655762,0.016846,-0.461914,-0.317065,0.990565,9.797224,-0.005726,0.001128,0.001442,-0.368408,0.296387,0.838379,-0.092213,1.099323,9.807351,-0.007651,0.003218,0.008739,0.637207,0.023926,0.001709,-0.14769,0.402936,9.784658,-0.003787,-0.008935,-0.002096,0.14209,-0.243896,-0.373779
0.442748,-0.821409,9.81277,-0.003823,0.002478,-0.000975,-0.064941,0.407715,-0.583252,-0.181603,3.478574,9.162454,-0.011013,0.000801,0.004399,-0.651611,0.009033,-0.458984,-0.340291,0.985845,9.781139,-0.006698,0.008048,0.001478,-0.360596,0.300293,0.835693,-0.111272,1.097254,9.791892,-0.00727,0.007088,0.012487,0.644043,0.027832,0.001221,-0.177244,0.395119,9.779934,0.005597,0.009578,-0.003861,0.147949,-0.24292,-0.374023
0.446258,-0.823676,9.796532,0.003882,0.002016,-3.5e-05,-0.058105,0.406982,-0.589355,-0.173964,3.487393,9.161644,-0.006537,0.009151,0.003149,-0.645264,0.008301,-0.466064,-0.312579,0.989058,9.776556,0.000748,0.000217,0.003314,-0.361572,0.294434,0.84082,-0.106845,1.078574,9.79939,-0.002303,-0.004586,0.010648,0.643311,0.022705,0.001953,-0.176977,0.42114,9.797861,0.001866,-0.012096,-0.002507,0.147949,-0.24707,-0.373291
0.424055,-0.816013,9.790097,-0.002129,0.001395,-0.000641,-0.067627,0.398193,-0.585693,-0.194735,3.497814,9.144053,-0.010919,0.007921,0.005957,-0.65332,-0.003418,-0.463867,-0.321653,0.990898,9.810757,-0.006024,0.007764,0.000243,-0.357666,0.297119,0.834473,-0.101795,1.098046,9.793664,-0.006268,0.004646,0.010569,0.644043,0.023682,-0.000244,-0.137844,0.418241,9.785783,-0.003195,0.005108,-0.003074,0.148926,-0.243652,-0.377441
0.440877,-0.829863,9.790387,-0.001151,0.001812,-0.001532,-0.064941,0.407959,-0.580078,-0.18395,3.479277,9.1582,-0.010563,0.004046,0.003722,-0.652588,0.010498,-0.458252,-0.332025,1.001174,9.785535,-0.005429,0.003571,0.00097,-0.358887,0.296631,0.844727,-0.111383,1.099338,9.779689,-0.005479,0.003186,0.009309,0.644043,0.022461,0.009277,-0.19421,0.405471,9.792646,0.001285,-0.00231,-0.004975,0.148193,-0.24292,-0.365967
