# sampling frequency: 40
# units are seconds/meters/radians/a.u.
seg1_acc_x,seg1_acc_y,seg1_acc_z,seg1_gyr_x,seg1_gyr_y,seg1_gyr_z,seg1_mag_x,seg1_mag_y,seg1_mag_z,seg2_acc_x,seg2_acc_y,seg2_acc_z,seg2_gyr_x,seg2_gyr_y,seg2_gyr_z,seg2_mag_x,seg2_mag_y,seg2_mag_z,seg3_acc_x,seg3_acc_y,seg3_acc_z,seg3_gyr_x,seg3_gyr_y,seg3_gyr_z,seg3_mag_x,seg3_mag_y,seg3_mag_z,seg4_acc_x,seg4_acc_y,seg4_acc_z,seg4_gyr_x,seg4_gyr_y,seg4_gyr_z,seg4_mag_x,seg4_mag_y,seg4_mag_z,seg5_acc_x,seg5_acc_y,seg5_acc_z,seg5_gyr_x,seg5_gyr_y,seg5_gyr_z,seg5_mag_x,seg5_mag_y,seg5_mag_z
-0.585773,7.495538,5.864262,-0.234468,-0.004224,0.226076,0.133301,-0.206299,-0.469238,0.852132,8.335077,2.818712,-0.391609,-0.043732,-0.06229,-0.174316,-0.466309,-0.356689,0.289161,6.037582,-6.970553,-0.221519,-0.181586,-0.028879,-0.075928,-0.537354,0.188721,-4.378024,8.961877,-2.826418,0.098051,0.272561,0.1472,0.018555,-0.575439,0.209717,-1.078329,9.618017,-2.350702,-0.035711,0.16123,0.0341,0.041016,-0.562256,0.177246
-0.032781,8.120259,5.963421,0.143495,-0.002039,0.061816,0.130859,-0.212891,-0.460938,0.916391,8.737342,2.997564,0.098315,0.154182,-0.089019,-0.174316,-0.471436,-0.351562,-0.290629,6.515747,-6.797903,0.35088,0.125124,0.043772,-0.075439,-0.5354,0.199707,-4.02273,8.76555,-2.864631,-0.230566,-0.069983,0.090704,0.018555,-0.578857,0.209961,-1.097281,9.269566,-2.405716,-0.111866,0.060167,0.002342,0.042969,-0.564697,0.180664
-0.102595,8.517844,6.234475,-0.255899,0.040128,-0.069962,0.128906,-0.215088,-0.47168,0.323342,9.093015,3.173646,-0.172444,-0.015361,0.008626,-0.177002,-0.477295,-0.360596,-0.406798,7.614165,-6.473525,0.521316,-0.012805,-0.086379,-0.078125,-0.531982,0.210205,-3.249285,8.213505,-3.153573,-0.070313,0.070737,0.121952,0.013184,-0.574951,0.214111,-0.797337,9.050529,-2.550369,-0.010498,0.079447,0.006111,0.038818,-0.561768,0.186279
0.216371,7.203366,5.875691,-0.426462,0.099006,-0.122068,0.136475,-0.205811,-0.461182,1.237006,8.618597,3.058762,-0.119056,-0.040607,0.023232,-0.17334,-0.473145,-0.347656,0.120018,8.161095,-6.355495,-0.015279,0.031451,0.029963,-0.075684,-0.531006,0.206299,-3.67723,8.633009,-3.003321,0.15658,0.153563,0.005809,0.015137,-0.574951,0.213867,-0.74226,9.193865,-2.421398,0.075212,0.023168,0.045401,0.037842,-0.562744,0.181641
-0.232479,6.331347,5.705069,-0.095547,0.064785,-0.106642,0.131348,-0.195801,-0.476074,0.820544,8.958821,2.959565,0.067945,0.057676,0.028602,-0.179932,-0.463623,-0.359863,-0.297739,7.361721,-6.591432,-0.586696,0.066341,-0.021376,-0.062256,-0.538818,0.193359,-3.374814,8.861404,-3.018482,-0.04226,-0.093147,0.055085,0.025879,-0.580078,0.204834,-0.398244,9.163475,-2.556311,-0.050378,0.050127,0.020347,0.051025,-0.566895,0.174561
0.036117,7.490938,5.860951,0.436932,0.048592,-0.083774,0.138428,-0.20459,-0.472412,1.001493,9.046274,2.816,-0.045795,0.001482,0.092524,-0.175049,-0.467285,-0.362305,-0.214224,6.383694,-6.880409,-0.462814,-0.04184,0.05535,-0.070312,-0.535889,0.188965,-3.106521,8.364074,-3.094742,-0.123557,0.130367,-0.062155,0.020752,-0.573975,0.208496,-0.772853,8.902,-2.66524,-0.005551,0.112749,0.026313,0.046143,-0.561523,0.179199
-0.074109,8.905861,6.139737,0.034488,0.014387,-0.131162,0.134521,-0.2146,-0.470459,0.721464,9.301637,2.553189,0.277305,0.039164,0.063359,-0.18335,-0.477539,-0.355469,-0.017404,6.331652,-6.860911,0.290171,0.068211,0.007825,-0.067383,-0.537354,0.192139,-3.813773,8.363513,-3.019393,0.12894,0.121174,-0.000587,0.021729,-0.578369,0.205811,-0.707752,9.191864,-2.616483,0.228696,-0.04317,-0.006188,0.045654,-0.565674,0.177979
0.635838,7.566117,5.71864,-0.301984,0.051431,0.050163,0.142334,-0.210938,-0.470703,1.158533,10.439207,2.578023,0.222335,-0.11084,-0.002809,-0.174805,-0.480469,-0.350342,-0.011881,7.316739,-6.738947,0.640297,0.146696,-0.091155,-0.06958,-0.526611,0.205566,-3.399391,8.712735,-2.976684,0.084209,-0.188012,-0.080951,0.02124,-0.572998,0.212402,-0.23771,9.65128,-2.614892,0.070098,0.046104,0.090962,0.041016,-0.556641,0.185547
-0.51168,7.186179,5.690692,0.125118,0.14783,0.115419,0.134521,-0.209961,-0.463867,0.741174,9.774213,2.626084,-0.265424,0.052814,0.020641,-0.182861,-0.47583,-0.347168,-0.576507,7.715871,-6.679719,0.054898,0.13043,0.024482,-0.064697,-0.532959,0.202148,-3.035581,8.575366,-3.029353,-0.144336,0.115364,-0.07614,0.027588,-0.579346,0.209229,-0.657116,9.469661,-3.023593,-0.116642,0.163799,0.107354,0.041992,-0.564697,0.179932
-0.435206,8.249698,6.102524,0.274948,-0.01359,0.105643,0.140381,-0.206055,-0.465332,0.739094,8.751237,2.830953,-0.153675,-0.115843,-0.000591,-0.176514,-0.468506,-0.352783,-0.655896,7.043431,-6.758969,-0.470393,-0.149889,-0.04199,-0.071777,-0.532471,0.188232,-3.858214,8.253389,-3.021096,-0.026514,0.154181,0.008055,0.019531,-0.576904,0.200928,-0.549689,9.226313,-3.028654,0.027805,-0.019104,0.079204,0.032959,-0.566162,0.174561
