# sampling frequency: 40
# units are seconds/meters/radians/a.u.
seg1_acc_x,seg1_acc_y,seg1_acc_z,seg1_gyr_x,seg1_gyr_y,seg1_gyr_z,seg1_mag_x,seg1_mag_y,seg1_mag_z,seg2_acc_x,seg2_acc_y,seg2_acc_z,seg2_gyr_x,seg2_gyr_y,seg2_gyr_z,seg2_mag_x,seg2_mag_y,seg2_mag_z,seg3_acc_x,seg3_acc_y,seg3_acc_z,seg3_gyr_x,seg3_gyr_y,seg3_gyr_z,seg3_mag_x,seg3_mag_y,seg3_mag_z,seg4_acc_x,seg4_acc_y,seg4_acc_z,seg4_gyr_x,seg4_gyr_y,seg4_gyr_z,seg4_mag_x,seg4_mag_y,seg4_mag_z,seg5_acc_x,seg5_acc_y,seg5_acc_z,seg5_gyr_x,seg5_gyr_y,seg5_gyr_z,seg5_mag_x,seg5_mag_y,seg5_mag_z
-0.526796,9.066419,6.473438,0.263761,0.182134,-0.024087,0.16748,-0.226807,-0.457031,1.334517,10.175731,3.448628,-0.125182,0.135794,-0.005174,-0.173584,-0.470703,-0.352539,-0.18277,7.71138,-6.682376,-0.408825,-0.021913,-0.074804,-0.077881,-0.534912,0.181885,-3.160974,8.605415,-3.378442,0.010065,-0.040329,-0.010549,0.006348,-0.576904,0.200928,-0.25955,9.22355,-2.95398,-0.075215,-0.002266,0.037654,0.012939,-0.563721,0.170654
-0.523147,8.862869,6.448956,-0.223407,0.100136,-0.149332,0.17041,-0.228516,-0.450684,0.774058,8.986007,3.087283,-0.251218,0.10748,0.01784,-0.173096,-0.4729,-0.350098,0.04392,6.803852,-6.63322,-0.386051,-0.043638,-0.051058,-0.069824,-0.532959,0.191162,-3.411575,8.909538,-3.180773,-0.00629,0.045608,-0.01789,0.012939,-0.572021,0.210205,-0.238899,9.345305,-2.868811,0.030486,-0.000286,-0.002227,0.023193,-0.561523,0.183838
-0.470692,7.890479,6.073573,-0.07633,0.07055,-0.259601,0.167725,-0.226562,-0.461426,0.808314,9.09968,2.84193,0.205407,0.128977,-0.090986,-0.174072,-0.471436,-0.359131,-0.074146,6.682078,-6.862971,0.182406,0.149741,-0.136669,-0.072266,-0.53125,0.194824,-3.415197,8.884024,-3.091294,-0.134909,-0.071655,0.000174,0.009521,-0.570801,0.209961,-0.147332,9.700242,-2.815315,-0.006426,-0.016744,-0.038273,0.018066,-0.560059,0.18335
-0.447296,8.74784,6.129294,0.24962,0.117416,-0.279003,0.168701,-0.233398,-0.452881,0.943736,10.334293,3.025804,0.191145,0.023117,-0.024968,-0.178955,-0.478271,-0.351562,-0.36981,7.553836,-6.865277,0.502924,0.111481,-0.195993,-0.063477,-0.535156,0.203369,-3.192257,8.742911,-3.201578,-0.138674,-0.032524,-0.002733,0.016602,-0.581543,0.214355,-0.176286,9.618185,-2.799352,-0.211357,0.024797,-0.027625,0.026855,-0.567383,0.18457
-0.445969,9.440013,6.004078,-0.056833,0.112625,-0.411587,0.18335,-0.227295,-0.463623,1.047487,9.80871,2.566613,-0.347152,0.14667,-0.022285,-0.169922,-0.47168,-0.361572,-0.213201,7.964603,-6.775959,-0.093691,0.011405,-0.123261,-0.064209,-0.535645,0.198975,-3.404399,8.754091,-3.177257,-0.104915,0.040556,-0.010428,0.015625,-0.577637,0.207031,-0.336166,9.161022,-2.957882,-0.194472,0.040972,-0.044877,0.025635,-0.56665,0.178711
-0.400135,8.841497,5.634722,-0.296051,0.118495,-0.427518,0.187012,-0.216309,-0.463867,0.745343,9.15094,2.1263,-0.030011,0.077702,-0.058353,-0.169434,-0.466797,-0.362305,-0.261612,7.145212,-6.842022,-0.537643,-0.054488,-0.073628,-0.064209,-0.529541,0.1875,-3.451464,8.806866,-3.149684,-0.085734,-0.057248,0.004172,0.01416,-0.56665,0.20166,-0.277249,9.39965,-2.876803,0.075781,-0.056382,-0.095969,0.025635,-0.557129,0.17334
-0.199661,8.252329,5.337275,-0.213556,0.20693,-0.484899,0.196777,-0.219238,-0.458496,0.911592,9.954534,3.077992,-0.013338,0.070194,-0.098435,-0.165039,-0.470703,-0.353271,-0.06698,6.430341,-6.78378,-0.226495,-0.049584,-0.092012,-0.05957,-0.532959,0.184082,-3.197755,8.748104,-3.115332,-0.135187,-0.0326,0.027796,0.016846,-0.574463,0.199219,-0.124693,9.843389,-2.756526,-0.06401,0.019863,-0.1143,0.029785,-0.561523,0.174805
-0.829247,8.226014,5.99714,-0.363941,0.315118,-0.35757,0.208008,-0.210449,-0.461182,0.832083,9.589477,3.059673,-0.447006,0.041121,-0.083468,-0.16333,-0.463135,-0.356689,0.023338,6.816026,-6.610344,0.369234,0.06425,-0.127238,-0.062012,-0.533447,0.196045,-3.297468,8.665996,-3.107566,-0.123141,0.034164,0.017832,0.016357,-0.578369,0.207275,-0.356027,9.423865,-2.761496,-0.281253,0.021685,-0.069042,0.025879,-0.565918,0.17749
-0.624174,6.762676,6.070901,-0.437114,0.315839,-0.332089,0.216064,-0.207031,-0.470703,0.916725,8.653894,2.694187,-0.183724,0.054966,-0.0516,-0.160889,-0.466309,-0.364014,-0.355653,7.74922,-6.809991,0.402881,0.146538,-0.183997,-0.063232,-0.528809,0.196777,-3.324338,8.679035,-3.049231,-0.107693,-0.050396,0.021485,0.011963,-0.572266,0.198242,-0.240937,9.031585,-2.818461,-0.135057,-0.008523,-0.08675,0.023926,-0.561523,0.171387
-1.424884,6.840169,7.018647,0.07941,0.37787,-0.289946,0.220215,-0.208496,-0.463623,0.675473,9.863088,3.540479,0.144644,0.037971,-0.116006,-0.164795,-0.468018,-0.356445,-0.459838,7.89361,-6.342942,-0.113648,-0.096978,-0.117739,-0.056152,-0.537842,0.195801,-3.215589,8.655275,-2.999672,-0.153271,-0.003883,-0.02858,0.019287,-0.580322,0.202637,-0.409783,9.369335,-2.659316,0.022767,0.038191,-0.057923,0.032227,-0.567139,0.17334
-1.302484,8.11132,7.244717,0.271899,0.233752,-0.281724,0.225586,-0.210205,-0.466553,1.266569,10.034018,3.684769,-0.444601,0.05275,-0.097732,-0.16333,-0.46167,-0.369873,0.255789,7.286283,-6.464066,-0.454341,-0.069625,-0.131179,-0.053467,-0.541992,0.189209,-3.336149,8.666435,-3.106492,-0.132324,-0.022392,-0.020383,0.015869,-0.586914,0.197754,-0.276945,9.648082,-2.707348,-0.140008,-0.026446,-0.031687,0.031006,-0.570557,0.170898
-0.982825,9.069384,7.12493,-0.088735,0.429747,-0.400975,0.232422,-0.213135,-0.470703,0.859183,8.752846,3.447207,-0.631504,0.241526,-0.145308,-0.162109,-0.463867,-0.376953,-0.397379,6.417867,-7.060659,-0.233775,0.132221,-0.12503,-0.057373,-0.534912,0.19458,-3.210403,8.614695,-3.010952,-0.111054,-0.058746,-0.041137,0.01416,-0.577881,0.198242,-0.185301,9.313321,-2.797173,-0.184428,0.03519,0.020736,0.025635,-0.566406,0.171143
-1.571718,8.919329,6.843382,-0.100077,0.520267,-0.701632,0.255859,-0.212891,-0.465576,0.688521,8.211213,3.533306,-0.126889,0.184006,0.041283,-0.150879,-0.464355,-0.374023,-0.629145,6.720311,-6.866528,0.423796,-0.063618,-0.176616,-0.052979,-0.539062,0.189697,-3.304368,8.805366,-2.858643,-0.067233,0.034102,-0.017377,0.015381,-0.583984,0.190918,-0.409313,9.490859,-2.598788,-0.007136,0.054175,-0.015014,0.026611,-0.566162,0.165283
-2.100663,10.1016,7.698864,0.042285,0.659095,-0.96855,0.275635,-0.205811,-0.46582,0.810447,9.621757,4.609078,0.192648,0.359606,-0.127799,-0.146729,-0.460693,-0.373047,0.078361,7.761772,-5.927364,0.400536,0.034904,-0.184151,-0.061035,-0.536133,0.19458,-3.648368,8.881673,-2.858625,-0.173823,0.004723,-0.043528,0.004883,-0.583984,0.188477,-0.437691,9.745891,-2.538136,-0.123867,0.017906,0.050347,0.015869,-0.570312,0.160889
-2.636328,9.570101,7.815319,-0.784875,0.514331,-1.072073,0.287598,-0.201904,-0.45874,0.30821,11.104384,4.944305,-0.255712,0.316675,-0.232278,-0.150391,-0.466553,-0.36084,-0.341602,8.120848,-5.967432,0.162471,0.244807,-0.240825,-0.041504,-0.534424,0.203125,-3.352406,8.754931,-2.847772,-0.169919,-0.102247,-0.015699,0.028564,-0.58252,0.190186,-0.184633,9.575642,-2.523616,-0.165195,-0.022496,-0.003406,0.034912,-0.569092,0.167725
-1.865145,7.397366,6.764924,-0.766198,0.58703,-1.263976,0.310059,-0.185059,-0.479736,0.814631,10.575369,3.378658,-1.212122,0.36665,-0.23775,-0.140381,-0.459229,-0.395508,-0.702304,8.038936,-7.078102,-0.17049,0.178684,-0.404524,-0.050537,-0.536621,0.189697,-3.150058,8.97756,-2.741089,-0.182853,-0.008486,0.025525,0.012695,-0.583984,0.178223,-0.19285,9.671199,-2.541217,-0.226102,0.121199,-0.015315,0.022949,-0.568848,0.153564
