# sampling frequency: 40
# units are seconds/meters/radians/a.u.
seg1_acc_x,seg1_acc_y,seg1_acc_z,seg1_gyr_x,seg1_gyr_y,seg1_gyr_z,seg1_mag_x,seg1_mag_y,seg1_mag_z,seg2_acc_x,seg2_acc_y,seg2_acc_z,seg2_gyr_x,seg2_gyr_y,seg2_gyr_z,seg2_mag_x,seg2_mag_y,seg2_mag_z,seg3_acc_x,seg3_acc_y,seg3_acc_z,seg3_gyr_x,seg3_gyr_y,seg3_gyr_z,seg3_mag_x,seg3_mag_y,seg3_mag_z,seg4_acc_x,seg4_acc_y,seg4_acc_z,seg4_gyr_x,seg4_gyr_y,seg4_gyr_z,seg4_mag_x,seg4_mag_y,seg4_mag_z,seg5_acc_x,seg5_acc_y,seg5_acc_z,seg5_gyr_x,seg5_gyr_y,seg5_gyr_z,seg5_mag_x,seg5_mag_y,seg5_mag_z
8.622048,4.085719,-1.090099,0.7365,-0.064233,0.470018,-0.427246,0.191162,-0.042236,2.393142,5.541952,7.565148,1.623547,-0.288226,-0.701562,-0.35083,-0.199707,-0.487061,0.882921,8.532893,-5.443207,-0.247792,-0.21052,0.638502,-0.259277,-0.517578,0.231689,-6.060694,8.268324,5.174284,-0.11632,-0.186978,-0.194221,0.262939,-0.494629,-0.382324,-4.455557,6.506249,6.445195,0.269034,-0.239518,2.302909,0.235596,-0.519043,-0.403564
9.080996,3.429418,-1.355417,-0.03742,0.020434,0.239138,-0.424072,0.198486,-0.041504,1.671572,5.617566,7.633275,0.604723,-0.171155,-0.560273,-0.345703,-0.209717,-0.484131,1.23212,8.14144,-6.502664,-0.601107,-0.343364,0.60106,-0.264648,-0.514648,0.228027,-4.903618,6.465855,5.161403,-1.137268,-0.69441,-0.657485,0.260742,-0.477051,-0.394531,-2.616036,6.445637,6.358407,-0.698161,0.304643,2.056755,0.213623,-0.517334,-0.411865
7.692727,3.678079,-0.962137,0.047975,-0.017837,0.256936,-0.427002,0.197754,-0.039307,1.904685,3.931869,7.152102,1.383687,-0.404964,-0.490704,-0.352539,-0.234131,-0.469971,0.752636,8.653666,-5.186503,-0.845748,-0.34861,0.513552,-0.269531,-0.520752,0.228516,-4.161866,3.966863,4.392115,-0.730285,-0.508374,-0.8543,0.264404,-0.469727,-0.398438,-3.913785,5.691127,6.37098,-0.525044,0.256409,2.551037,0.181641,-0.525879,-0.413574
8.404635,3.62037,-1.074328,-0.524507,-0.284573,0.278392,-0.423828,0.210205,-0.032227,2.131262,8.141908,7.709642,1.407905,-0.288659,-0.267847,-0.349854,-0.250244,-0.45752,1.408769,8.048778,-4.498482,-1.063177,-0.863624,0.366834,-0.262939,-0.526367,0.217529,-5.221847,4.775992,4.570375,0.721091,-0.555839,-0.708087,0.271484,-0.474121,-0.398926,-1.684402,6.794617,6.00434,0.221467,-0.573181,2.168257,0.153564,-0.53418,-0.415771
9.064887,2.497149,-1.590426,-0.504732,-0.320718,0.056706,-0.435303,0.216553,-0.029541,3.149629,4.982157,6.94321,-0.627661,-0.668208,-0.094897,-0.362549,-0.241455,-0.457764,2.259548,6.15301,-4.679391,-0.839751,-0.840293,0.452309,-0.268066,-0.526367,0.218994,-4.292894,7.101016,5.369288,0.842028,-1.078913,-0.475641,0.263184,-0.486816,-0.389893,0.531156,7.749997,5.627875,0.091134,-0.301602,2.013155,0.119873,-0.540527,-0.409912
8.661288,2.054542,-1.683607,-0.24234,-0.278767,-0.081736,-0.435791,0.212891,-0.025879,3.34314,1.287803,5.57059,1.811524,-0.081923,-0.137155,-0.364014,-0.267334,-0.437988,2.140734,6.450696,-3.100245,0.718658,-0.906266,0.276482,-0.264893,-0.510498,0.234375,-2.69164,6.226534,4.518251,0.249249,-0.465624,-0.357788,0.258057,-0.480469,-0.395996,0.018938,7.118205,5.692393,0.33374,-0.606132,1.802864,0.086426,-0.540283,-0.410156
9.826137,3.438105,-1.720199,0.197576,-0.650755,-0.124166,-0.430908,0.208008,-0.012207,1.561039,8.190203,6.769567,3.364275,-0.377128,-0.345493,-0.355469,-0.308838,-0.404297,1.847389,8.408776,-3.419862,0.968367,-0.78261,0.080433,-0.255615,-0.509033,0.255371,-4.835037,5.148815,4.696307,0.890461,0.051724,0.104209,0.264893,-0.499023,-0.380859,1.701787,8.635865,5.623469,1.396191,-1.051598,1.617654,0.054199,-0.561523,-0.390869
10.316433,3.584928,-2.100895,-0.308779,-0.153551,-0.399392,-0.437988,0.196289,-0.007812,2.484192,10.441207,6.772161,0.62841,-0.374951,-0.436667,-0.365479,-0.331299,-0.395996,1.323361,6.72618,-3.964693,-0.026655,-0.746403,0.406247,-0.26123,-0.508301,0.263428,-5.275548,6.672393,3.679175,1.995292,-1.089477,0.335612,0.244629,-0.528809,-0.361816,1.620179,11.139665,6.017992,0.830712,-0.72824,1.87413,0.012695,-0.572754,-0.377686
9.070084,3.194148,-1.898465,-0.514158,-0.13998,-0.511565,-0.443848,0.194092,-0.011719,1.170582,5.171041,5.999746,-0.236045,-0.558891,-0.685193,-0.369629,-0.32959,-0.397461,1.641977,5.938031,-5.264776,0.986735,-0.653498,0.076767,-0.26001,-0.499756,0.272217,-2.259099,10.143374,3.331656,1.664067,-1.21974,0.258198,0.228271,-0.550537,-0.360596,2.447415,9.850989,5.098909,-0.80971,-1.104745,2.172088,-0.029541,-0.562256,-0.398193
8.249908,3.59616,-1.239313,-0.527547,-0.110323,-0.535482,-0.443359,0.189209,-0.007812,2.751395,3.623503,5.483792,1.742401,-0.529016,-0.704867,-0.364014,-0.348389,-0.372803,1.020286,7.485186,-7.555784,1.306687,-0.183936,0.02879,-0.254639,-0.483643,0.289062,-3.672795,10.498611,3.125729,0.376937,-0.273014,0.418277,0.220947,-0.548096,-0.354736,3.785694,7.045413,3.681739,-0.665775,-0.890575,1.982627,-0.065918,-0.543457,-0.406982
