# sampling frequency: 40
# units are seconds/meters/radians/a.u.
seg1_acc_x,seg1_acc_y,seg1_acc_z,seg1_gyr_x,seg1_gyr_y,seg1_gyr_z,seg1_mag_x,seg1_mag_y,seg1_mag_z,seg2_acc_x,seg2_acc_y,seg2_acc_z,seg2_gyr_x,seg2_gyr_y,seg2_gyr_z,seg2_mag_x,seg2_mag_y,seg2_mag_z,seg3_acc_x,seg3_acc_y,seg3_acc_z,seg3_gyr_x,seg3_gyr_y,seg3_gyr_z,seg3_mag_x,seg3_mag_y,seg3_mag_z,seg4_acc_x,seg4_acc_y,seg4_acc_z,seg4_gyr_x,seg4_gyr_y,seg4_gyr_z,seg4_mag_x,seg4_mag_y,seg4_mag_z,seg5_acc_x,seg5_acc_y,seg5_acc_z,seg5_gyr_x,seg5_gyr_y,seg5_gyr_z,seg5_mag_x,seg5_mag_y,seg5_mag_z
0.17174,-0.981191,9.811488,-0.003164,0.002451,-0.000106,-0.098145,0.435791,-0.577148,-0.333427,3.031472,9.301582,-0.007395,0.006061,0.008554,-0.729004,0.115479,-0.363281,-0.557521,3.686531,9.12634,-0.005996,0.005781,0.00122,-0.134521,0.587891,0.767334,-0.216565,3.717948,9.126175,-0.008091,1.8e-05,0.008196,0.581543,-0.100098,-0.202637,-0.326657,3.218896,9.241894,-0.018018,0.001776,-0.005582,0.347656,-0.213135,-0.581787
0.164682,-0.974013,9.780495,0.005722,0.00449,-2.6e-05,-0.105469,0.432617,-0.579346,-0.368143,3.03358,9.315129,-0.014477,0.00625,0.00843,-0.737061,0.116699,-0.369629,-0.551791,3.682209,9.106043,-0.000603,0.001265,0.000542,-0.130615,0.588379,0.768555,-0.244722,3.709269,9.121548,-0.005176,0.009529,0.009962,0.584961,-0.099609,-0.201904,-0.38394,3.202791,9.26155,0.013916,0.002583,-0.001686,0.350586,-0.214355,-0.581543
0.169262,-0.966268,9.784193,-0.002649,0.001154,-0.000116,-0.094727,0.436523,-0.578369,-0.358453,3.025015,9.323029,-0.008927,0.004208,0.007872,-0.727539,0.118164,-0.366211,-0.559219,3.685096,9.126816,-0.005597,0.007989,0.001199,-0.138428,0.586426,0.770508,-0.264092,3.700079,9.127712,-0.005517,-0.001986,0.011178,0.580322,-0.099609,-0.198242,-0.353616,3.253461,9.268473,-0.000161,-0.010947,-0.002659,0.344482,-0.213623,-0.580811
0.178202,-1.002344,9.817426,0.001447,0.000453,-0.000296,-0.099121,0.4375,-0.578125,-0.350906,3.03878,9.310623,-0.006001,0.00867,0.007324,-0.730713,0.121094,-0.365723,-0.557019,3.677365,9.115475,-0.006042,0.001683,0.001888,-0.128174,0.591309,0.772217,-0.210424,3.711955,9.106452,-0.003145,-0.004435,0.009065,0.587646,-0.096191,-0.194092,-0.336599,3.212091,9.215402,-0.005787,0.003605,-0.003945,0.354248,-0.208008,-0.577881
0.158626,-0.947867,9.814712,0.005111,0.005875,-0.001589,-0.102783,0.431885,-0.577637,-0.366642,3.051603,9.304299,-0.01025,0.005234,0.006872,-0.732178,0.111816,-0.366699,-0.554536,3.67011,9.103959,-0.001421,0.005277,0.000599,-0.126709,0.600098,0.776855,-0.229976,3.729241,9.131869,-0.002136,0.013268,0.012668,0.588135,-0.085938,-0.193848,-0.395999,3.229243,9.273813,0.010058,0.001102,-0.001162,0.35498,-0.200195,-0.574219
0.161795,-0.978099,9.764302,-0.009733,0.001037,-0.000919,-0.094727,0.432373,-0.58252,-0.347929,3.0262,9.29801,-0.012301,0.00611,0.006168,-0.722412,0.113281,-0.370605,-0.561254,3.682515,9.09549,-0.006381,0.0043,0.002248,-0.130859,0.590332,0.764404,-0.267582,3.718355,9.125423,-0.009894,-0.001015,0.009148,0.583252,-0.097168,-0.204834,-0.325942,3.219661,9.241653,-0.01043,-0.010294,-0.00319,0.349365,-0.208984,-0.58374
0.171076,-0.986986,9.81892,0.002598,0.001018,-1.6e-05,-0.103027,0.421875,-0.581787,-0.349358,3.023263,9.312542,-0.008796,0.006709,0.009041,-0.734619,0.106445,-0.368164,-0.549991,3.682677,9.122626,-0.003432,0.002666,0.000721,-0.126953,0.589111,0.77002,-0.200762,3.707686,9.11879,-0.004337,-0.005394,0.010074,0.588623,-0.0979,-0.194824,-0.354277,3.226231,9.222433,0.010413,0.004905,-0.002177,0.352295,-0.212158,-0.578125
0.170066,-0.966954,9.807943,0.0075,0.003165,0.000527,-0.100586,0.432373,-0.578125,-0.358841,3.038881,9.313488,-0.007675,0.004897,0.006852,-0.733154,0.115479,-0.365723,-0.554357,3.66977,9.128554,-0.003631,0.006503,0.001745,-0.133057,0.5896,0.763916,-0.224135,3.723268,9.11214,-0.002019,0.013682,0.010242,0.582764,-0.095947,-0.207275,-0.351726,3.230131,9.263451,-0.00719,-0.001757,-0.002876,0.349854,-0.210205,-0.584717
0.168272,-0.952303,9.780607,-0.004071,0.003948,-0.001095,-0.0979,0.434082,-0.56958,-0.344623,3.022791,9.307181,-0.009852,0.007713,0.00699,-0.729248,0.115967,-0.359375,-0.535742,3.69479,9.1119,-0.004556,0.001593,0.002129,-0.134033,0.597412,0.765381,-0.272222,3.73326,9.132366,-0.004514,0.00017,0.010348,0.583008,-0.092041,-0.202393,-0.354943,3.210914,9.237621,0.006716,-0.004094,-0.003071,0.346191,-0.204346,-0.583252
0.15535,-1.000199,9.788026,-0.006413,7.6e-05,0.000909,-0.097168,0.432861,-0.573486,-0.373254,3.02791,9.314262,-0.015159,0.007047,0.00862,-0.728027,0.113037,-0.361572,-0.549164,3.691876,9.117984,-0.00634,0.007672,0.000577,-0.134033,0.592041,0.768066,-0.2248,3.714476,9.131453,-0.010273,-0.007354,0.009329,0.580811,-0.096436,-0.201172,-0.350451,3.246544,9.247901,0.001293,0.000178,-0.000614,0.348877,-0.209717,-0.581543
