# sampling frequency: 40
# units are seconds/meters/radians/a.u.
seg1_acc_x,seg1_acc_y,seg1_acc_z,seg1_gyr_x,seg1_gyr_y,seg1_gyr_z,seg1_mag_x,seg1_mag_y,seg1_mag_z,seg2_acc_x,seg2_acc_y,seg2_acc_z,seg2_gyr_x,seg2_gyr_y,seg2_gyr_z,seg2_mag_x,seg2_mag_y,seg2_mag_z,seg3_acc_x,seg3_acc_y,seg3_acc_z,seg3_gyr_x,seg3_gyr_y,seg3_gyr_z,seg3_mag_x,seg3_mag_y,seg3_mag_z,seg4_acc_x,seg4_acc_y,seg4_acc_z,seg4_gyr_x,seg4_gyr_y,seg4_gyr_z,seg4_mag_x,seg4_mag_y,seg4_mag_z,seg5_acc_x,seg5_acc_y,seg5_acc_z,seg5_gyr_x,seg5_gyr_y,seg5_gyr_z,seg5_mag_x,seg5_mag_y,seg5_mag_z
0.021349,-0.932296,9.823123,-0.00072,0.002519,-0.000653,-0.101562,0.41748,-0.5896,-0.326731,3.112624,9.266204,-0.006176,0.007685,0.007505,-0.743896,0.136475,-0.326904,-0.504321,3.723162,9.077106,0.001443,0.001249,0.001807,-0.056396,0.605225,0.772949,-0.240446,3.736872,9.102429,0.000309,0.005818,0.010058,0.564453,-0.125244,-0.227539,-0.514119,3.197625,9.240049,-0.001419,0.009754,-0.0047,0.358887,-0.197998,-0.583008
-0.002662,-0.895977,9.78158,0.007277,0.004546,0.001754,-0.107422,0.422363,-0.583008,-0.343008,3.137756,9.277753,-0.004491,0.006239,0.006778,-0.749512,0.141357,-0.319824,-0.493104,3.758472,9.113837,-0.003187,0.010184,-0.001655,-0.053467,0.606445,0.770508,-0.263846,3.769563,9.117379,0.000848,0.006151,0.010908,0.569824,-0.122314,-0.226074,-0.53144,3.221908,9.26602,0.007131,-0.007095,-0.00385,0.361816,-0.194824,-0.583252
-0.01216,-0.907245,9.813655,-0.006863,-0.00142,-0.00209,-0.099854,0.418701,-0.588135,-0.325596,3.111637,9.280716,-0.022135,0.003134,0.00804,-0.742676,0.134766,-0.325928,-0.523357,3.735025,9.072977,-0.008014,0.000146,0.004073,-0.05542,0.607178,0.765381,-0.263074,3.756151,9.099819,-0.011271,-0.006462,0.007754,0.565918,-0.123047,-0.234619,-0.486027,3.237107,9.222811,0.001345,-0.005064,-0.002116,0.362061,-0.194092,-0.590088
0.014939,-0.920648,9.807814,0.005326,0.003328,-0.001038,-0.108154,0.42334,-0.58374,-0.350932,3.105524,9.265649,0.00103,0.010098,0.0065,-0.749512,0.141357,-0.320068,-0.500577,3.73438,9.093645,-0.001058,0.005581,-0.000974,-0.057617,0.610352,0.773193,-0.219481,3.733611,9.114248,-0.008857,0.002785,0.010651,0.562744,-0.123291,-0.226807,-0.509438,3.232238,9.226542,-0.007307,0.004427,-0.002509,0.358398,-0.193848,-0.585205
-0.007734,-0.88439,9.790203,0.006886,0.003229,-0.000982,-0.107422,0.418457,-0.584229,-0.353605,3.14813,9.306366,-0.008838,0.003682,0.007698,-0.750244,0.135986,-0.322021,-0.530583,3.745722,9.10753,-0.004447,0.007265,0.000344,-0.05127,0.621826,0.764404,-0.266774,3.749208,9.10903,0.000124,0.011227,0.009469,0.570068,-0.109863,-0.235107,-0.51835,3.20346,9.246629,-0.000313,-0.001961,-0.002094,0.36377,-0.181396,-0.593994
0.001828,-0.906557,9.820939,-0.008619,-0.000113,-0.002756,-0.111572,0.421143,-0.589111,-0.324614,3.100192,9.29053,-0.020728,0.006707,0.008853,-0.753906,0.141357,-0.325195,-0.500029,3.753,9.081628,-0.004148,-0.002471,0.002619,-0.060547,0.609863,0.756348,-0.255625,3.764835,9.098328,-0.000471,-0.0052,0.010303,0.558838,-0.122314,-0.246094,-0.514729,3.228176,9.241824,0.013106,-0.002467,-0.004814,0.356445,-0.191895,-0.600098
-0.000442,-0.920492,9.824555,0.002181,0.00172,0.001922,-0.113281,0.423828,-0.586914,-0.358034,3.111983,9.265474,0.000864,0.007247,0.005224,-0.753174,0.142334,-0.323242,-0.505883,3.738923,9.083183,-0.006651,0.012772,0.001345,-0.063477,0.603271,0.770264,-0.215758,3.751138,9.101764,-0.010676,-0.001698,0.009112,0.559814,-0.127686,-0.227783,-0.491602,3.240979,9.215771,-0.009135,-0.004734,-0.001725,0.354004,-0.199707,-0.586182
-0.01223,-0.893408,9.810026,0.000972,0.003526,-0.001771,-0.10791,0.419434,-0.593018,-0.321677,3.140758,9.279937,-0.011812,0.004988,0.009984,-0.749268,0.139893,-0.330566,-0.526464,3.731136,9.091432,-0.001392,0.001095,0.001311,-0.057861,0.603516,0.768066,-0.256525,3.741975,9.113078,-0.007304,0.011027,0.010501,0.562988,-0.128174,-0.231934,-0.513538,3.197585,9.240095,-0.006164,0.003991,-0.004457,0.360352,-0.19873,-0.586426
-0.002915,-0.919685,9.800683,-0.003645,0.00151,-0.000156,-0.111816,0.42334,-0.580322,-0.341658,3.113364,9.261737,-0.012773,0.009271,0.009138,-0.752197,0.138428,-0.317627,-0.500328,3.742737,9.094134,-0.006069,0.00267,0.0017,-0.061768,0.603027,0.767822,-0.273712,3.749273,9.108028,-0.000732,-0.000386,0.009542,0.5625,-0.129883,-0.231689,-0.535365,3.236364,9.250074,0.015034,-0.00529,-0.005311,0.356934,-0.196533,-0.587646
0.005954,-0.904341,9.808685,0.003908,0.000703,-0.002192,-0.10791,0.415039,-0.586182,-0.34144,3.130303,9.286605,-0.00793,0.002376,0.006228,-0.747314,0.133545,-0.321777,-0.513472,3.723045,9.085373,-0.005308,0.006825,0.000401,-0.0625,0.606689,0.765625,-0.235955,3.752157,9.105666,-0.00406,-0.004852,0.009002,0.559814,-0.125244,-0.234619,-0.482747,3.250536,9.227224,-0.003766,-0.005566,-0.001439,0.355713,-0.195312,-0.593994
0.011129,-0.90085,9.796549,0.000796,0.00454,0.000806,-0.108887,0.425049,-0.584961,-0.33764,3.11526,9.289522,-0.011089,0.007824,0.00841,-0.749756,0.143555,-0.320801,-0.504292,3.748132,9.083403,-0.000696,-0.000708,0.002397,-0.055176,0.611572,0.768555,-0.241971,3.750747,9.090519,-0.007383,0.009371,0.009403,0.565674,-0.117432,-0.231934,-0.530682,3.211948,9.274848,-0.004854,0.00699,-0.002763,0.362793,-0.1875,-0.586426
-0.004804,-0.900659,9.789341,-0.002554,0.000503,4.6e-05,-0.105957,0.424561,-0.584961,-0.352234,3.123071,9.290572,-0.010282,0.006758,0.006114,-0.749268,0.140869,-0.322266,-0.500355,3.732226,9.10675,-0.010254,0.009871,0.000688,-0.0625,0.611328,0.775391,-0.277119,3.718084,9.117789,-0.008716,0.002918,0.010062,0.557861,-0.12085,-0.227051,-0.516741,3.214728,9.237482,0.001055,-0.006181,-0.002927,0.353027,-0.192383,-0.585938
-0.001577,-0.907238,9.820876,-0.00025,0.003427,-0.000799,-0.115479,0.42334,-0.587158,-0.342258,3.107312,9.277881,-0.010479,0.004836,0.007868,-0.756836,0.145264,-0.323975,-0.525719,3.739271,9.092036,0.003581,0.003203,0.001221,-0.058838,0.606445,0.764648,-0.24981,3.740777,9.107303,0.002637,-0.006354,0.009992,0.5625,-0.125244,-0.235352,-0.497791,3.234635,9.217568,0.013205,-0.001552,-0.005025,0.359375,-0.194336,-0.591797
0.003286,-0.904176,9.808701,0.001452,0.004337,-0.000324,-0.102783,0.426758,-0.589111,-0.356586,3.115275,9.278891,-0.009722,0.008017,0.008229,-0.745117,0.142822,-0.324707,-0.491249,3.740573,9.094178,-0.007175,0.003399,0.001092,-0.052734,0.604004,0.766357,-0.238071,3.756577,9.133345,-0.00668,0.007063,0.010255,0.56958,-0.126465,-0.231689,-0.502258,3.221962,9.255442,-0.011658,0.000687,-0.001662,0.365234,-0.198242,-0.592041
0.009172,-0.919832,9.807898,-0.000939,-0.001815,0.000292,-0.10498,0.41333,-0.584229,-0.330264,3.121158,9.272104,-0.009022,0.004156,0.006032,-0.749756,0.130859,-0.321045,-0.504245,3.720671,9.085498,-0.006235,0.005881,0.003598,-0.052979,0.606201,0.766846,-0.27466,3.750701,9.100194,-0.010933,0.004189,0.009283,0.568115,-0.126465,-0.234863,-0.503898,3.197417,9.217683,0.000606,-0.000989,-0.001002,0.364014,-0.19751,-0.591064
0.000483,-0.917139,9.812407,0.001912,0.005341,-0.002064,-0.110352,0.424561,-0.588379,-0.341179,3.124304,9.280787,-0.010687,0.009269,0.008313,-0.750732,0.144043,-0.325928,-0.508025,3.752235,9.107297,-0.002304,0.003767,-0.000997,-0.064941,0.605469,0.767334,-0.261111,3.737274,9.114097,-0.002524,-0.004452,0.011382,0.555908,-0.128418,-0.232666,-0.490236,3.233162,9.23811,0.008766,-0.004585,-0.005406,0.349854,-0.197754,-0.591064
-0.013608,-0.903279,9.801553,0.000611,0.001917,0.000273,-0.106689,0.427246,-0.586914,-0.338518,3.117236,9.289181,-0.008827,0.003679,0.00769,-0.750732,0.146973,-0.323975,-0.520504,3.724845,9.092971,-0.005345,0.006022,0.002983,-0.057129,0.605957,0.768066,-0.230407,3.739479,9.096252,-0.00647,0.00566,0.007975,0.563232,-0.124756,-0.233398,-0.479989,3.223704,9.238505,-0.007622,8.3e-05,-0.000447,0.35791,-0.200195,-0.590332
-0.000927,-0.916843,9.812435,-0.00072,0.002519,-0.000654,-0.111328,0.423584,-0.592773,-0.325582,3.133694,9.282584,-0.006994,0.008401,0.007868,-0.752686,0.141113,-0.329346,-0.503003,3.739234,9.090608,-0.000256,0.002577,-0.002124,-0.05957,0.604004,0.759766,-0.279236,3.772182,9.121903,0.001777,0.005616,0.012279,0.561279,-0.125977,-0.239746,-0.530373,3.231788,9.243098,0.008136,0.002009,-0.005936,0.356689,-0.197021,-0.59375
0.001397,-0.889531,9.781203,0.002978,0.002526,0.001211,-0.105713,0.421387,-0.581787,-0.364014,3.128789,9.298717,-0.013312,0.008013,0.007016,-0.745605,0.141357,-0.320557,-0.518964,3.751989,9.10332,-0.011746,0.006716,0.003482,-0.048096,0.605469,0.765381,-0.261726,3.762379,9.127974,-0.016472,-0.002831,0.007618,0.572754,-0.124756,-0.233154,-0.501502,3.221852,9.255521,-0.007507,-0.010291,-0.001593,0.369385,-0.195801,-0.5896
