# sampling frequency: 40
# units are seconds/meters/radians/a.u.
seg1_acc_x,seg1_acc_y,seg1_acc_z,seg1_gyr_x,seg1_gyr_y,seg1_gyr_z,seg1_mag_x,seg1_mag_y,seg1_mag_z,seg2_acc_x,seg2_acc_y,seg2_acc_z,seg2_gyr_x,seg2_gyr_y,seg2_gyr_z,seg2_mag_x,seg2_mag_y,seg2_mag_z,seg3_acc_x,seg3_acc_y,seg3_acc_z,seg3_gyr_x,seg3_gyr_y,seg3_gyr_z,seg3_mag_x,seg3_mag_y,seg3_mag_z,seg4_acc_x,seg4_acc_y,seg4_acc_z,seg4_gyr_x,seg4_gyr_y,seg4_gyr_z,seg4_mag_x,seg4_mag_y,seg4_mag_z,seg5_acc_x,seg5_acc_y,seg5_acc_z,seg5_gyr_x,seg5_gyr_y,seg5_gyr_z,seg5_mag_x,seg5_mag_y,seg5_mag_z
0.524736,-0.904915,9.834621,0.008366,0.004071,0.002097,-0.084473,0.403809,-0.56958,-0.259901,3.207852,9.266914,0.024045,0.019202,0.005724,-0.653076,0.042236,-0.448975,-0.519933,3.725132,9.09643,0.012748,0.003529,-0.003403,-0.337891,0.527344,0.787109,-0.156048,3.634912,9.178164,0.008785,0.025874,0.012762,0.664795,-0.019531,-0.040283,-0.363837,3.12957,9.285385,0.004233,0.020713,-0.00671,0.363281,-0.17749,-0.570068
0.497759,-0.858422,9.786677,-0.000474,0.00491,-0.000968,-0.075928,0.400146,-0.574951,-0.327738,3.172051,9.283243,-0.04221,-0.003163,0.009385,-0.64502,0.036621,-0.451416,-0.663302,3.726308,9.11317,-0.020329,0.02316,0.000321,-0.33667,0.521729,0.788574,-0.293161,3.638577,9.191623,-0.010552,0.011465,0.010383,0.661621,-0.023682,-0.039795,-0.375772,3.110074,9.318726,-0.003174,-0.015254,-0.000312,0.364502,-0.179199,-0.571045
0.513281,-0.876687,9.759125,-0.00229,-0.001197,-0.000752,-0.077881,0.386719,-0.571777,-0.203643,3.098896,9.211038,0.001934,0.002436,0.006551,-0.647705,0.025391,-0.447266,-0.558476,3.71374,9.071154,0.010974,-0.02936,0.009781,-0.337402,0.530518,0.779541,-0.155374,3.626375,9.136774,-0.000826,-0.039717,0.007837,0.660156,-0.016357,-0.042236,-0.292315,3.157044,9.222826,0.019479,-0.010663,-0.00605,0.363281,-0.175537,-0.574951
0.51021,-0.909087,9.833546,-0.000672,0.00095,-0.000825,-0.085205,0.394775,-0.567139,-0.330617,3.234309,9.303985,0.009891,0.02163,0.006354,-0.655273,0.032959,-0.445557,-0.560282,3.747764,9.107346,-0.012479,0.039574,-0.009467,-0.334229,0.522705,0.783936,-0.108021,3.651124,9.171368,-0.011286,0.030936,0.010706,0.663086,-0.026123,-0.04541,-0.322364,3.147782,9.305661,-0.026472,0.018998,0.000113,0.366211,-0.182129,-0.574219
0.514615,-0.895179,9.806518,-0.000647,0.003868,-0.001374,-0.078613,0.399414,-0.565918,-0.254117,3.15161,9.280811,-0.046609,-0.013055,0.007834,-0.650879,0.039551,-0.442383,-0.715017,3.66284,9.098775,-0.011684,-0.015018,0.01054,-0.331543,0.522949,0.785156,-0.30974,3.604262,9.144018,-0.007305,0.023365,0.010392,0.668213,-0.021484,-0.043213,-0.413887,3.067994,9.303021,0.003515,-0.004328,-0.001072,0.369385,-0.180908,-0.574951
0.519423,-0.874282,9.74784,0.002113,0.002359,0.001694,-0.081787,0.401855,-0.566406,-0.239708,3.140968,9.235857,0.020821,0.019944,0.007054,-0.651367,0.038086,-0.443115,-0.462103,3.763103,9.067448,0.020749,-0.011601,-0.002048,-0.338379,0.526611,0.78418,-0.165252,3.649724,9.160809,0.011924,-0.056129,0.010654,0.661377,-0.019287,-0.043945,-0.279507,3.208768,9.2252,0.03276,-0.028397,-0.008625,0.362305,-0.179199,-0.570801
0.491667,-0.878607,9.821659,-0.000548,0.002618,-0.000737,-0.083496,0.397217,-0.562744,-0.350446,3.235512,9.299458,-0.013956,0.005896,0.007457,-0.653076,0.036377,-0.439697,-0.692503,3.729199,9.128478,-0.032657,0.053908,-0.004428,-0.334473,0.520264,0.785645,-0.081818,3.631925,9.177602,-0.028951,0.041418,0.007361,0.66333,-0.026611,-0.03833,-0.295033,3.12361,9.314965,-0.050185,0.033312,0.00567,0.364258,-0.18457,-0.56958
0.539397,-0.879343,9.777318,-0.000371,0.001456,-0.001679,-0.080566,0.401123,-0.569824,-0.206482,3.131582,9.228475,-0.027867,-0.005683,0.007524,-0.651367,0.04126,-0.446289,-0.636458,3.672844,9.070994,0.013461,-0.053802,0.014461,-0.334473,0.522949,0.786865,-0.345137,3.604296,9.140411,0.008134,0.024748,0.01471,0.664551,-0.021973,-0.041992,-0.486305,3.066034,9.275469,0.030571,-0.004727,-0.007877,0.367188,-0.180908,-0.570312
0.507092,-0.878668,9.80692,0.002389,-5.2e-05,0.001389,-0.08252,0.407959,-0.569824,-0.278845,3.185111,9.2697,0.016642,0.021493,0.007539,-0.652588,0.044189,-0.444336,-0.445667,3.806027,9.11325,0.003622,0.03608,-0.011425,-0.332031,0.52417,0.788574,-0.156136,3.685906,9.191747,0.002187,-0.064032,0.006118,0.668701,-0.022217,-0.036133,-0.209042,3.235241,9.247916,0.018413,-0.048413,-0.004026,0.369629,-0.182617,-0.567383
0.515101,-0.88161,9.803491,-0.002369,0.005175,-0.000592,-0.082031,0.397949,-0.567871,-0.294574,3.190518,9.285216,-0.029337,-0.003448,0.007793,-0.651123,0.035889,-0.445801,-0.77829,3.667934,9.129814,-0.033621,0.019943,0.006378,-0.337646,0.517578,0.783691,-0.0783,3.609826,9.150565,-0.032442,0.048189,0.006639,0.663574,-0.027832,-0.042236,-0.313784,3.087164,9.267787,-0.052428,0.062088,0.003373,0.366943,-0.185303,-0.56958
0.518807,-0.884609,9.763814,0.007822,0.004485,1.5e-05,-0.082275,0.401367,-0.57251,-0.239246,3.150412,9.24789,0.000927,0.009624,0.006674,-0.651855,0.04126,-0.453369,-0.497217,3.703255,9.091388,0.031115,-0.050659,0.008137,-0.337158,0.51001,0.786621,-0.354241,3.618836,9.150052,0.024584,0.022046,0.018453,0.660645,-0.036865,-0.037842,-0.533379,3.096333,9.288296,0.046628,-0.028135,-0.009597,0.36084,-0.194336,-0.570068
0.516834,-0.867636,9.800433,-0.005853,-0.002456,-0.000622,-0.080078,0.39917,-0.563965,-0.306444,3.202246,9.301415,-0.007674,0.008333,0.007157,-0.648193,0.036865,-0.438965,-0.557721,3.804254,9.114264,-0.016137,0.067529,-0.014003,-0.336914,0.525635,0.77832,-0.136794,3.697231,9.185824,-0.009167,-0.062348,0.002598,0.664307,-0.018799,-0.04541,-0.141523,3.226748,9.263911,-0.000199,-0.040089,0.000946,0.364502,-0.179199,-0.574219
