# sampling frequency: 40
# units are seconds/meters/radians/a.u.
seg1_acc_x,seg1_acc_y,seg1_acc_z,seg1_gyr_x,seg1_gyr_y,seg1_gyr_z,seg1_mag_x,seg1_mag_y,seg1_mag_z,seg2_acc_x,seg2_acc_y,seg2_acc_z,seg2_gyr_x,seg2_gyr_y,seg2_gyr_z,seg2_mag_x,seg2_mag_y,seg2_mag_z,seg3_acc_x,seg3_acc_y,seg3_acc_z,seg3_gyr_x,seg3_gyr_y,seg3_gyr_z,seg3_mag_x,seg3_mag_y,seg3_mag_z,seg4_acc_x,seg4_acc_y,seg4_acc_z,seg4_gyr_x,seg4_gyr_y,seg4_gyr_z,seg4_mag_x,seg4_mag_y,seg4_mag_z,seg5_acc_x,seg5_acc_y,seg5_acc_z,seg5_gyr_x,seg5_gyr_y,seg5_gyr_z,seg5_mag_x,seg5_mag_y,seg5_mag_z
-5.051791,0.509337,9.818738,-1.054435,0.246669,-0.070771,0.426758,0.398438,-0.490234,-3.637258,9.34555,1.775457,-1.447068,0.893145,-0.580954,0.095215,-0.515137,-0.323975,-4.3638,1.977096,6.643125,-0.741837,0.616467,0.078021,0.189697,-0.164551,-0.55957,2.340943,6.047879,8.614628,0.890258,-0.658538,0.020389,-0.159912,-0.227051,-0.508057,2.17356,2.855937,7.996086,0.73828,-0.610304,0.005267,-0.109863,-0.157471,-0.58667
-4.830983,0.071076,9.545505,-0.736702,0.41387,0.147003,0.43335,0.411133,-0.479248,-3.164427,9.111228,1.303102,-1.549962,0.563346,-0.663997,0.11084,-0.498291,-0.336914,-5.06009,3.540261,6.407152,1.456538,1.23879,-0.087092,0.204346,-0.185547,-0.547119,1.892733,5.152547,8.610673,-0.317621,0.382383,-0.142103,-0.15332,-0.218506,-0.508301,3.147903,3.852324,8.603528,0.276554,-0.057636,-0.186068,-0.108643,-0.161377,-0.585938
-4.483773,-0.790095,8.912609,-0.883618,0.43739,0.186168,0.440918,0.423828,-0.468018,-2.764019,8.195904,1.19873,-1.131005,0.95373,-0.689734,0.125732,-0.487061,-0.345215,-5.474488,6.908316,6.490144,0.821232,0.95289,-0.116655,0.216309,-0.192871,-0.538574,0.077505,3.237379,8.938465,-0.351616,-0.068126,-0.059431,-0.154053,-0.208008,-0.510742,1.330902,3.212889,8.516468,0.259141,-0.030319,0.111411,-0.106445,-0.156982,-0.579834
-4.720015,-1.705222,8.046176,-0.540432,0.573154,0.406129,0.460938,0.430908,-0.461182,-4.876484,10.470425,2.237193,-1.597899,0.840645,-0.828763,0.151855,-0.464844,-0.363037,-6.383897,5.2384,7.372296,-0.923988,0.650462,0.040548,0.223389,-0.176758,-0.540771,1.89743,3.590637,9.013558,0.59831,-0.418412,-0.048744,-0.168213,-0.209717,-0.49585,2.781033,4.221475,7.770168,0.493078,-0.447711,-0.010121,-0.111084,-0.157715,-0.57666
-4.84578,0.058098,8.065169,-0.153846,0.990848,0.677686,0.470215,0.423096,-0.453613,-4.512227,7.818664,1.803539,-3.265061,0.590147,-0.498513,0.154785,-0.436279,-0.402344,-5.970345,2.291063,6.57173,-0.342657,0.434025,-0.215002,0.218018,-0.168213,-0.53125,2.264553,6.257576,9.678895,0.323646,0.19912,0.080108,-0.155518,-0.210938,-0.488525,2.871475,5.529778,8.658328,0.196467,0.326344,0.277788,-0.114502,-0.153809,-0.566162
-6.226439,-0.227612,8.237381,-0.998614,1.005751,0.613357,0.488525,0.439209,-0.445312,-5.061838,3.923193,2.137272,-1.584796,0.56451,-0.514598,0.165771,-0.412109,-0.418701,-6.198686,4.683783,7.163672,0.830207,0.827205,-0.482778,0.239258,-0.172852,-0.515869,1.194749,6.082475,9.506777,-1.080974,0.312045,0.05372,-0.156006,-0.197754,-0.490967,2.224446,5.01287,8.363553,-0.651511,-0.089731,0.396905,-0.104736,-0.139404,-0.560303
-6.756511,-2.096957,7.679958,-0.179216,0.94834,0.769729,0.501221,0.431396,-0.429199,-5.523297,6.386397,3.440377,0.853711,0.371454,-0.526195,0.174072,-0.424561,-0.398193,-7.449124,6.513082,7.98394,-0.480555,0.540518,-0.48692,0.241699,-0.165527,-0.515869,1.516119,3.445958,8.583684,-0.92873,0.227413,-0.089243,-0.154053,-0.187256,-0.498291,3.781005,3.419673,7.769717,-0.722995,0.429687,0.362455,-0.102051,-0.12207,-0.563477
-6.493073,-1.456707,7.819708,0.271315,0.755241,0.895057,0.513184,0.428711,-0.426758,-4.990706,10.127034,4.499116,0.442375,0.285025,-0.548723,0.180664,-0.416016,-0.397217,-6.447926,4.11977,6.831773,-1.178048,-0.000666,-0.066931,0.243164,-0.154541,-0.527832,1.386575,4.248853,8.545225,0.344467,0.486388,0.071129,-0.147461,-0.190918,-0.496826,1.445463,3.231018,7.748785,-0.171183,0.628245,0.414577,-0.087402,-0.121338,-0.569092
-6.70912,-0.709992,7.232538,0.796439,0.703304,0.861808,0.533936,0.411865,-0.424805,-5.1268,8.045519,4.151575,-0.622307,0.291748,-0.425509,0.192383,-0.407959,-0.400635,-5.779778,2.839486,6.586939,-0.291055,0.544933,-0.482843,0.246338,-0.14624,-0.524658,1.099984,6.799632,9.003525,-0.05264,0.408144,0.052556,-0.143799,-0.183594,-0.49292,2.685637,4.236119,8.171827,-0.037988,0.187244,0.266326,-0.079102,-0.116699,-0.566162
-5.037998,-0.777469,6.997904,0.930691,0.843301,0.543133,0.54248,0.395752,-0.421387,-4.258401,7.79268,3.048183,0.480645,0.375816,-0.639122,0.19873,-0.409424,-0.394287,-6.520646,5.050857,6.803127,0.391109,0.531125,-0.374526,0.252441,-0.147461,-0.518066,1.323382,6.208134,8.879847,-1.407044,0.56327,0.185779,-0.135742,-0.167725,-0.49707,3.060844,4.789824,8.41719,-0.364603,0.741489,0.243408,-0.070801,-0.105713,-0.566162
