# sampling frequency: 40
# units are seconds/meters/radians/a.u.
seg1_acc_x,seg1_acc_y,seg1_acc_z,seg1_gyr_x,seg1_gyr_y,seg1_gyr_z,seg1_mag_x,seg1_mag_y,seg1_mag_z,seg2_acc_x,seg2_acc_y,seg2_acc_z,seg2_gyr_x,seg2_gyr_y,seg2_gyr_z,seg2_mag_x,seg2_mag_y,seg2_mag_z,seg3_acc_x,seg3_acc_y,seg3_acc_z,seg3_gyr_x,seg3_gyr_y,seg3_gyr_z,seg3_mag_x,seg3_mag_y,seg3_mag_z,seg4_acc_x,seg4_acc_y,seg4_acc_z,seg4_gyr_x,seg4_gyr_y,seg4_gyr_z,seg4_mag_x,seg4_mag_y,seg4_mag_z,seg5_acc_x,seg5_acc_y,seg5_acc_z,seg5_gyr_x,seg5_gyr_y,seg5_gyr_z,seg5_mag_x,seg5_mag_y,seg5_mag_z
-0.075681,-1.053643,9.782993,0.011875,0.011816,0.000128,-0.152588,0.4021,-0.554932,-0.352986,3.16891,9.28911,-0.032017,0.011465,0.006191,-0.849609,0.178711,-0.08252,-0.71247,3.263469,9.235409,-0.006288,0.008381,0.000543,0.2146,0.446777,0.803711,-0.31585,2.999029,9.380919,-0.000893,0.006077,0.01047,0.471924,-0.203125,-0.320312,-0.976626,2.217859,9.485028,0.01526,-0.007376,-0.006608,0.342041,-0.024658,-0.628906
-0.100674,-1.019873,9.753689,-0.012462,-0.002736,-0.002414,-0.151367,0.39502,-0.562988,-0.362442,3.086434,9.242768,-0.010482,0.001294,0.005231,-0.852295,0.170166,-0.09082,-0.729163,3.257956,9.268706,-0.005693,0.00433,0.001305,0.218262,0.44751,0.809082,-0.301006,3.027131,9.382649,0.003913,-0.010495,0.009162,0.469971,-0.207764,-0.31665,-0.900313,2.24856,9.497965,-0.003383,-0.009838,-0.000722,0.346191,-0.025391,-0.625244
-0.054158,-1.109438,9.834982,0.003081,0.00153,0.000814,-0.157959,0.400391,-0.563965,-0.328143,3.194355,9.28218,0.019972,0.006975,0.002936,-0.855713,0.175537,-0.091553,-0.698366,3.279014,9.253839,0.006766,-0.000654,0.002312,0.219727,0.444092,0.810547,-0.284612,3.017776,9.390988,-0.013643,0.011425,0.009771,0.466553,-0.217773,-0.317139,-0.958394,2.218091,9.512217,0.002052,0.01671,-0.003215,0.344482,-0.031494,-0.622314
-0.10601,-1.00602,9.752842,0.012459,0.008574,-0.000285,-0.148682,0.393799,-0.559082,-0.364595,3.187603,9.304424,-0.038875,0.008062,0.006553,-0.847656,0.168945,-0.084717,-0.717879,3.290399,9.258563,-0.009151,0.015508,-0.001041,0.216309,0.434082,0.810303,-0.341354,2.987677,9.378728,-0.014457,0.002946,0.008563,0.470215,-0.192871,-0.327148,-0.965792,2.220717,9.523773,-0.004184,-0.015021,-0.002921,0.339355,-0.041504,-0.625
-0.078977,-1.054557,9.769289,-0.015168,-0.006531,-0.002172,-0.158691,0.400879,-0.553223,-0.336902,3.076605,9.232777,-0.012875,0.001473,0.00463,-0.85498,0.17749,-0.080811,-0.725306,3.261029,9.258652,-0.014089,-0.010176,0.00491,0.21582,0.455078,0.802002,-0.289812,3.013335,9.37987,0.002241,-0.00936,0.009298,0.467041,-0.20874,-0.317627,-0.902438,2.205115,9.491158,0.005921,0.001433,-0.002749,0.343506,-0.015137,-0.633301
-0.062296,-1.08963,9.826833,0.008693,0.004935,0.00275,-0.151611,0.390869,-0.560059,-0.345822,3.181384,9.300221,0.020084,0.013775,0.00054,-0.850098,0.167969,-0.089355,-0.669084,3.266182,9.251497,-0.002745,0.009424,-0.000517,0.211426,0.444092,0.808838,-0.297071,3.018163,9.375685,0.002961,0.010107,0.009788,0.468018,-0.19751,-0.317139,-0.957952,2.247234,9.471497,0.000154,-0.000647,-0.004324,0.34082,-0.029053,-0.626221
-0.10197,-1.018482,9.767402,-0.004526,0.004369,-0.004059,-0.157959,0.393799,-0.554199,-0.366054,3.167854,9.267312,-0.037076,-0.000594,0.008158,-0.855469,0.168457,-0.083984,-0.762161,3.254301,9.262451,0.007362,0.012116,0.000464,0.212402,0.450928,0.810303,-0.334403,3.017841,9.377155,-0.011994,0.003119,0.009636,0.470459,-0.206787,-0.319092,-0.929381,2.215511,9.463544,-0.004465,-0.006627,0.000258,0.339355,-0.024414,-0.624268
-0.070626,-1.080055,9.784771,0.002367,-0.002672,0.001294,-0.157471,0.400879,-0.556885,-0.3364,3.119775,9.255307,0.003754,0.009104,0.001237,-0.853027,0.174561,-0.084229,-0.696815,3.301492,9.272621,-0.004999,-0.009983,0.004233,0.216553,0.440918,0.807373,-0.315967,3.011363,9.362383,-0.007798,-0.003381,0.008981,0.472168,-0.203369,-0.318359,-0.948413,2.22756,9.507003,0.007837,0.008546,-0.005388,0.342773,-0.030029,-0.625488
-0.084322,-1.03133,9.802257,0.005591,0.003672,0.000849,-0.154053,0.391602,-0.564941,-0.371224,3.189958,9.318139,-0.006364,0.006164,0.003441,-0.853027,0.168213,-0.094238,-0.72178,3.263339,9.248848,-0.016834,0.016069,0.001783,0.219482,0.447021,0.808594,-0.301761,2.997504,9.39433,-0.005419,0.006856,0.011463,0.468506,-0.203125,-0.319336,-0.952251,2.244262,9.492192,0.000331,-0.009127,-0.002194,0.344482,-0.026855,-0.624023
-0.078338,-1.060532,9.776586,-0.009475,0.002491,-0.004759,-0.163574,0.398438,-0.560791,-0.332074,3.117701,9.263551,-0.030742,0.004098,0.010228,-0.86377,0.176025,-0.090576,-0.748276,3.246188,9.25337,-0.001418,-0.000698,0.000716,0.219238,0.445801,0.80835,-0.309548,3.000335,9.390771,-0.006576,-0.001026,0.009428,0.47168,-0.207275,-0.317139,-0.911465,2.224254,9.488165,-0.007859,-0.006632,-0.002377,0.346191,-0.0271,-0.625
