# sampling frequency: 40
# units are seconds/meters/radians/a.u.
seg1_acc_x,seg1_acc_y,seg1_acc_z,seg1_gyr_x,seg1_gyr_y,seg1_gyr_z,seg1_mag_x,seg1_mag_y,seg1_mag_z,seg2_acc_x,seg2_acc_y,seg2_acc_z,seg2_gyr_x,seg2_gyr_y,seg2_gyr_z,seg2_mag_x,seg2_mag_y,seg2_mag_z,seg3_acc_x,seg3_acc_y,seg3_acc_z,seg3_gyr_x,seg3_gyr_y,seg3_gyr_z,seg3_mag_x,seg3_mag_y,seg3_mag_z,seg4_acc_x,seg4_acc_y,seg4_acc_z,seg4_gyr_x,seg4_gyr_y,seg4_gyr_z,seg4_mag_x,seg4_mag_y,seg4_mag_z,seg5_acc_x,seg5_acc_y,seg5_acc_z,seg5_gyr_x,seg5_gyr_y,seg5_gyr_z,seg5_mag_x,seg5_mag_y,seg5_mag_z
0.024465,-1.05438,9.800439,0.007466,0.003013,0.0007,-0.114746,0.409912,-0.552979,-0.27825,3.261216,9.245894,0.001057,0.001271,0.005665,-0.817383,0.093994,-0.176758,-0.590521,3.554089,9.185203,-0.005045,-0.002198,-0.001431,0.106689,0.435059,0.862793,-0.192414,3.202921,9.31603,-0.006155,0.006202,0.010116,0.531494,-0.197266,-0.271729,-0.803831,2.426756,9.470932,-0.00632,-0.005843,8.3e-05,0.365234,-0.05249,-0.623779
0.064211,-1.078718,9.791515,-0.005285,-0.000412,-0.002601,-0.125488,0.407227,-0.556885,-0.251881,3.241528,9.263891,-0.019012,0.008106,0.007661,-0.814941,0.094971,-0.18042,-0.588555,3.524846,9.15509,-0.00795,0.006211,0.004127,0.104492,0.427246,0.858887,-0.20545,3.197251,9.317505,-0.008266,-0.000835,0.008999,0.522461,-0.201904,-0.2771,-0.818729,2.412606,9.457735,-0.001847,0.006087,-0.00299,0.359619,-0.053467,-0.628174
0.044592,-1.088435,9.773702,0.00036,0.00503,-0.000694,-0.127197,0.397461,-0.561279,-0.282094,3.196611,9.235471,-0.013573,0.005605,0.007404,-0.817139,0.092529,-0.170898,-0.62084,3.547432,9.175566,0.004507,0.005755,-0.00127,0.105957,0.431396,0.871826,-0.181566,3.191527,9.321508,-0.00439,0.002175,0.010279,0.521729,-0.210205,-0.283203,-0.825014,2.425392,9.459333,0.006614,-0.005764,-0.002936,0.356934,-0.063965,-0.63501
0.05289,-1.070713,9.7872,0.000871,0.001293,-0.001172,-0.124512,0.402588,-0.552246,-0.242145,3.247442,9.258851,0.004258,0.004105,0.005881,-0.813477,0.097412,-0.174072,-0.594488,3.55589,9.169633,-0.009046,0.002131,0.00209,0.099609,0.438721,0.862549,-0.187793,3.216429,9.340843,0.000706,0.003216,0.010038,0.523193,-0.205566,-0.272217,-0.800781,2.467505,9.470998,0.003099,-0.001316,-0.004747,0.359863,-0.05835,-0.62207
0.032956,-1.070997,9.78712,0.002614,0.002192,0.000408,-0.130859,0.4104,-0.561035,-0.296982,3.261118,9.265007,-0.020854,0.01128,0.007889,-0.813965,0.095459,-0.176758,-0.625202,3.509487,9.173839,-0.012917,0.003635,0.00427,0.103027,0.435303,0.867432,-0.196693,3.21654,9.321484,-0.012563,0.00234,0.009655,0.515869,-0.195312,-0.279297,-0.831847,2.418807,9.481094,-0.01048,0.00057,-0.001242,0.355469,-0.050781,-0.631836
0.06205,-1.073927,9.778528,-0.000901,0.001009,-0.000235,-0.128906,0.404541,-0.554688,-0.257418,3.201174,9.245975,-0.016961,0.001094,0.005744,-0.820068,0.093018,-0.180908,-0.583462,3.547081,9.167825,0.012416,0.002682,-0.000986,0.108887,0.438232,0.866943,-0.197518,3.187742,9.296889,-0.010673,0.002279,0.008302,0.516846,-0.201172,-0.275146,-0.812197,2.402426,9.439368,0.002579,-0.002101,-0.003756,0.354248,-0.053467,-0.625977
0.051231,-1.065432,9.774262,0.001245,0.005486,-0.001676,-0.117676,0.411865,-0.554199,-0.251361,3.230047,9.249168,0.007704,0.014068,0.00953,-0.813477,0.0979,-0.171143,-0.627871,3.562706,9.187522,-0.014567,0.009933,-0.000694,0.098145,0.436523,0.859863,-0.181585,3.194139,9.338404,0.011278,-6.4e-05,0.011369,0.526123,-0.196289,-0.273438,-0.816396,2.442671,9.484224,0.016913,-0.000905,-0.007767,0.363281,-0.051514,-0.624023
0.050717,-1.069827,9.787309,0.000442,-0.000614,0.00147,-0.133301,0.405273,-0.560059,-0.289386,3.27495,9.260645,-0.018944,0.000525,0.007791,-0.80957,0.098145,-0.175537,-0.600284,3.516337,9.168435,-0.00175,-0.006133,0.005952,0.107666,0.424561,0.867432,-0.194067,3.211146,9.336084,-0.016321,0.005122,0.010233,0.517334,-0.198975,-0.275635,-0.788446,2.433365,9.477601,-0.019273,-0.008489,0.000585,0.351562,-0.053711,-0.630859
0.07973,-1.072865,9.778711,0.00038,0.004618,-0.002371,-0.124268,0.397461,-0.553711,-0.229838,3.206295,9.247016,-0.021602,0.008008,0.008533,-0.818604,0.099609,-0.175293,-0.583379,3.548795,9.205009,-0.009086,0.016233,-0.003662,0.104492,0.432129,0.860596,-0.173231,3.180318,9.301474,-0.007098,-0.000311,0.009468,0.525879,-0.208496,-0.269043,-0.825716,2.396477,9.432689,0.005417,0.008718,-0.004418,0.360107,-0.064209,-0.623047
0.029552,-1.06121,9.783027,0.00305,0.002838,-0.000177,-0.124023,0.403809,-0.560059,-0.301837,3.248373,9.269326,0.007899,0.010767,0.007307,-0.817627,0.09375,-0.171631,-0.636594,3.531927,9.153501,-0.00083,-0.003143,0.007165,0.104248,0.427246,0.857422,-0.18823,3.189202,9.333509,-0.000657,0.00454,0.00956,0.525146,-0.202881,-0.279785,-0.828747,2.452236,9.474546,0.005,-0.011206,-0.003716,0.35791,-0.057373,-0.632324
0.058561,-1.06036,9.783208,-0.004845,-0.000396,-0.00216,-0.129395,0.398926,-0.564209,-0.239004,3.262161,9.257585,-0.01484,-0.000447,0.005795,-0.813232,0.088867,-0.180176,-0.560541,3.578754,9.169954,0.003917,0.00356,-0.003821,0.104736,0.436035,0.868164,-0.189408,3.212636,9.316744,-0.003611,0.001917,0.009474,0.52002,-0.208252,-0.285889,-0.787871,2.435452,9.460993,-0.003212,0.005498,-0.000766,0.357178,-0.062012,-0.634521
0.059787,-1.105152,9.804175,-0.001366,0.002663,-0.001056,-0.123779,0.40625,-0.553467,-0.263468,3.227788,9.241084,-0.01523,0.016417,0.010557,-0.820068,0.090576,-0.179199,-0.650889,3.533089,9.196979,-0.024418,0.013294,0.00543,0.093994,0.432617,0.865479,-0.181039,3.212746,9.323324,-0.003058,-0.003622,0.009547,0.523926,-0.198975,-0.275146,-0.851135,2.432417,9.48282,0.003008,-0.000334,-0.005923,0.360596,-0.054688,-0.624756
0.038319,-1.069946,9.787279,0.007014,0.003832,7.1e-05,-0.137695,0.404785,-0.555664,-0.292089,3.233145,9.264698,-0.004636,-0.001157,0.004605,-0.817871,0.095215,-0.170166,-0.598679,3.530627,9.146186,0.006348,-0.014476,0.001964,0.106445,0.430176,0.866699,-0.184189,3.1977,9.329548,-0.020303,0.010427,0.009413,0.510742,-0.201416,-0.274658,-0.775318,2.409975,9.457768,-0.009635,-0.011159,0.001157,0.346436,-0.056641,-0.627441
