# sampling frequency: 40
# units are seconds/meters/radians/a.u.
seg1_acc_x,seg1_acc_y,seg1_acc_z,seg1_gyr_x,seg1_gyr_y,seg1_gyr_z,seg1_mag_x,seg1_mag_y,seg1_mag_z,seg2_acc_x,seg2_acc_y,seg2_acc_z,seg2_gyr_x,seg2_gyr_y,seg2_gyr_z,seg2_mag_x,seg2_mag_y,seg2_mag_z,seg3_acc_x,seg3_acc_y,seg3_acc_z,seg3_gyr_x,seg3_gyr_y,seg3_gyr_z,seg3_mag_x,seg3_mag_y,seg3_mag_z,seg4_acc_x,seg4_acc_y,seg4_acc_z,seg4_gyr_x,seg4_gyr_y,seg4_gyr_z,seg4_mag_x,seg4_mag_y,seg4_mag_z,seg5_acc_x,seg5_acc_y,seg5_acc_z,seg5_gyr_x,seg5_gyr_y,seg5_gyr_z,seg5_mag_x,seg5_mag_y,seg5_mag_z
0.050003,-0.834267,9.66703,-0.013581,-0.003199,-0.002733,-0.084961,0.455811,-0.594971,-0.298705,3.332107,9.303231,0.010374,0.008433,0.006326,-0.715576,0.102051,-0.379395,-0.622662,4.189384,8.898964,0.0329,0.028026,-0.006278,-0.128906,0.662598,0.732178,-0.255985,3.70551,9.065157,0.040988,-0.024348,0.009596,0.576172,-0.080811,-0.183594,-0.50387,3.22898,9.213863,0.094473,-0.016134,-0.017528,0.397949,-0.222656,-0.514648
0.145434,-1.005724,9.867187,-0.021124,-0.015136,-0.00455,-0.082764,0.448975,-0.597168,-0.364763,3.206356,9.223848,-0.054236,0.008597,0.012919,-0.715332,0.092529,-0.377441,-0.607018,4.245681,8.931416,-0.0042,-0.013554,0.001341,-0.13501,0.662109,0.730957,-0.118609,3.911393,9.094225,0.040563,-0.009072,0.01036,0.576172,-0.090576,-0.18457,-0.440241,3.513402,9.241556,0.01714,-0.000817,-0.00475,0.398193,-0.232422,-0.519043
0.153225,-0.965622,9.836867,0.022863,0.016448,0.004287,-0.088867,0.447021,-0.595703,-0.291545,3.172085,9.215117,0.008285,-0.004992,0.001055,-0.71582,0.09375,-0.38208,-0.539856,4.179084,8.918695,-0.055412,0.005819,0.00535,-0.12793,0.661377,0.735107,-0.205295,3.894695,9.084317,-0.046465,0.025705,0.010381,0.57251,-0.092773,-0.181885,-0.502006,3.305981,9.221271,-0.070452,0.009868,0.00795,0.393066,-0.230957,-0.514404
0.071001,-0.88626,9.715928,-0.000622,0.005318,5e-05,-0.082275,0.447021,-0.59082,-0.313945,3.276334,9.297601,-0.002468,0.017861,0.008489,-0.724121,0.09082,-0.380127,-0.675278,4.039786,8.877964,-0.007275,0.011303,0.002715,-0.134521,0.659912,0.741943,-0.230812,3.717112,9.078364,-0.054381,-0.007925,0.007317,0.576172,-0.090576,-0.177734,-0.474151,3.177614,9.186144,-0.002314,-0.014631,-0.004658,0.400146,-0.230957,-0.511719
0.1031,-0.964329,9.800147,-0.016075,-0.006663,-0.004646,-0.087891,0.447754,-0.587402,-0.365554,3.184599,9.237624,-0.035778,0.001423,0.010173,-0.7229,0.091064,-0.383789,-0.544567,4.184683,8.873979,0.059066,-0.012974,-0.004556,-0.135986,0.670898,0.73999,-0.166384,3.709845,9.061978,0.030965,0.001703,0.009108,0.571289,-0.090332,-0.174316,-0.441123,3.279078,9.198991,0.037779,0.007601,-0.009021,0.392822,-0.232178,-0.508789
0.161554,-0.968702,9.828623,0.014942,0.003439,0.001383,-0.090332,0.45166,-0.587891,-0.283632,3.203704,9.224084,0.02078,0.004109,0.00564,-0.718262,0.088867,-0.376221,-0.57051,4.271741,8.942681,-0.017124,0.031191,-0.002352,-0.138916,0.664062,0.735596,-0.209218,3.908746,9.097022,0.054034,0.004656,0.014869,0.570312,-0.085449,-0.174805,-0.50827,3.405252,9.247727,0.024399,0.003483,-0.007438,0.390625,-0.223877,-0.508301
0.089041,-0.901685,9.769182,0.006352,0.00716,0.002475,-0.090332,0.447266,-0.59082,-0.336751,3.298521,9.291751,-0.018258,0.011869,0.008148,-0.723877,0.101807,-0.381104,-0.673969,4.131591,8.891578,-0.05244,-0.013571,0.009065,-0.141357,0.658691,0.738525,-0.179839,3.917545,9.129514,-0.053952,-0.008055,0.008444,0.567139,-0.089844,-0.176758,-0.43955,3.361123,9.229838,-0.039058,-0.01735,0.00274,0.393066,-0.230713,-0.509766
0.102085,-0.949251,9.76103,-0.009545,-0.001448,-0.006144,-0.091797,0.444336,-0.591309,-0.332695,3.159296,9.223495,-0.042787,0.003709,0.011952,-0.721436,0.100342,-0.382324,-0.517872,4.094113,8.92459,0.005242,-0.009858,0.001022,-0.129883,0.658691,0.734375,-0.172408,3.699845,9.054048,-0.059832,0.016678,0.006917,0.564697,-0.09668,-0.176758,-0.465792,3.180659,9.180944,-0.031565,0.015728,5.8e-05,0.388672,-0.236084,-0.510254
0.119768,-0.939717,9.800952,0.003588,-0.001458,0.000449,-0.081299,0.444092,-0.591064,-0.336935,3.206969,9.246563,0.03759,0.007933,0.00599,-0.718018,0.099365,-0.38623,-0.567109,4.142844,8.906352,0.016623,0.025442,-0.004691,-0.135986,0.661133,0.737793,-0.233368,3.735775,9.107421,0.055919,0.002136,0.01321,0.577393,-0.097168,-0.178955,-0.528671,3.274504,9.247166,0.056497,-0.007502,-0.011531,0.399414,-0.233887,-0.514893
0.188222,-0.957231,9.847249,-0.011554,-0.002135,0.002842,-0.087402,0.446045,-0.591553,-0.273665,3.305755,9.336807,-0.033834,0.000374,0.000928,-0.724121,0.095459,-0.387939,-0.647156,4.223761,8.890017,0.01425,0.007645,0.00047,-0.134766,0.659668,0.730225,-0.143115,3.901867,9.111088,0.011277,-0.025562,0.009451,0.571533,-0.092529,-0.177002,-0.380982,3.416964,9.209347,0.00431,-0.020659,-0.000338,0.393066,-0.231445,-0.510498
0.074213,-0.992661,9.768607,0.008898,0.020158,-0.008532,-0.086182,0.443848,-0.593994,-0.333989,3.124484,9.149579,-0.0365,0.022782,0.021316,-0.724854,0.089844,-0.369629,-0.614957,4.184363,8.933308,-0.027202,-0.006153,0.00428,-0.143066,0.658936,0.738525,-0.140373,3.851279,9.052598,-0.043341,0.03046,0.006889,0.574463,-0.093262,-0.179688,-0.474634,3.282468,9.161339,-0.051645,0.033301,0.001022,0.395264,-0.231201,-0.513672
