# sampling frequency: 40
# units are seconds/meters/radians/a.u.
seg1_acc_x,seg1_acc_y,seg1_acc_z,seg1_gyr_x,seg1_gyr_y,seg1_gyr_z,seg1_mag_x,seg1_mag_y,seg1_mag_z,seg2_acc_x,seg2_acc_y,seg2_acc_z,seg2_gyr_x,seg2_gyr_y,seg2_gyr_z,seg2_mag_x,seg2_mag_y,seg2_mag_z,seg3_acc_x,seg3_acc_y,seg3_acc_z,seg3_gyr_x,seg3_gyr_y,seg3_gyr_z,seg3_mag_x,seg3_mag_y,seg3_mag_z,seg4_acc_x,seg4_acc_y,seg4_acc_z,seg4_gyr_x,seg4_gyr_y,seg4_gyr_z,seg4_mag_x,seg4_mag_y,seg4_mag_z,seg5_acc_x,seg5_acc_y,seg5_acc_z,seg5_gyr_x,seg5_gyr_y,seg5_gyr_z,seg5_mag_x,seg5_mag_y,seg5_mag_z
0.179434,-0.785077,9.85635,-0.055295,0.022451,-0.00644,-0.067139,0.441895,-0.596436,-0.261579,3.220768,9.211403,0.000875,0.013497,0.007042,-0.691895,0.076904,-0.406982,-0.737052,4.267852,8.844596,-0.010373,0.019304,-0.001335,-0.259033,0.59082,0.777344,-0.258294,3.667815,9.114745,-0.044487,0.007113,0.008768,0.639648,-0.073975,-0.105713,-0.311355,3.236143,9.239288,0.011982,-0.012774,-0.00134,0.375,-0.202881,-0.579834
0.094822,-0.876461,9.69673,-0.080385,0.009256,-0.009719,-0.06958,0.441895,-0.590332,-0.275617,3.335057,9.226157,0.025255,0.00532,0.005956,-0.694336,0.076416,-0.420654,-0.70436,4.288303,8.822779,0.008259,-0.014363,0.003597,-0.261719,0.590332,0.775635,-0.15605,3.674435,9.107551,0.029624,-0.02428,0.010355,0.63623,-0.073975,-0.107422,-0.272715,3.259484,9.251568,0.002008,0.006521,-0.006027,0.373291,-0.202393,-0.572754
0.145044,-1.024729,9.733281,-0.061781,-0.014017,-0.006928,-0.074707,0.445312,-0.59375,-0.269224,3.385238,9.241073,-0.032576,0.004341,0.008042,-0.696777,0.080566,-0.416992,-0.625167,4.316578,8.828775,-0.010663,0.007377,0.0005,-0.258789,0.594482,0.775879,-0.095564,3.809585,9.142227,0.014895,0.006107,0.011408,0.637451,-0.066406,-0.105713,-0.373131,3.249008,9.267366,-0.00301,0.001612,0.000192,0.369385,-0.200439,-0.573242
0.233606,-1.099974,9.865131,0.018624,-0.001275,0.002004,-0.072266,0.44751,-0.593262,-0.230791,3.219428,9.208408,-0.037286,0.003349,0.009009,-0.694092,0.069336,-0.417969,-0.691036,4.267176,8.82936,-0.014815,0.015103,0.000808,-0.261475,0.594971,0.775391,-0.185902,3.749594,9.153213,-0.04335,0.018013,0.009094,0.635742,-0.065918,-0.107422,-0.253796,3.236654,9.228312,-0.008391,-0.023469,-0.002292,0.370361,-0.196289,-0.57666
0.174226,-0.939981,9.775304,0.083014,0.016058,0.007365,-0.073975,0.446045,-0.594971,-0.246205,3.265892,9.235022,0.01719,0.013264,0.00604,-0.694824,0.071533,-0.412842,-0.707704,4.271393,8.819579,0.005016,-0.005387,0.002828,-0.256104,0.592041,0.77002,-0.219377,3.660485,9.113448,-0.008318,0.002392,0.009013,0.643066,-0.071777,-0.112549,-0.258358,3.206522,9.18734,-0.00056,0.02158,-0.004289,0.367432,-0.19873,-0.573486
0.083207,-0.773571,9.714052,0.060208,0.000176,0.00526,-0.065674,0.44165,-0.599854,-0.296632,3.373791,9.231122,0.009779,0.006839,0.009012,-0.700439,0.078369,-0.418701,-0.640834,4.308587,8.827471,0.007532,0.005221,-0.001882,-0.262451,0.595215,0.776611,-0.170873,3.744565,9.111935,0.035237,-0.014715,0.012953,0.634277,-0.067627,-0.105957,-0.394403,3.252489,9.312932,0.015009,0.005191,-0.006217,0.374756,-0.199219,-0.580078
0.192659,-0.753353,9.852992,0.011194,-0.013184,8.6e-05,-0.073975,0.446289,-0.593018,-0.239902,3.314359,9.217528,-0.041172,0.000763,0.00787,-0.692139,0.074707,-0.420166,-0.681106,4.314972,8.854721,-0.018839,0.007087,0.002203,-0.261719,0.585693,0.766846,-0.107725,3.805846,9.157448,-0.026004,-0.002848,0.008617,0.633057,-0.077637,-0.112549,-0.276426,3.282226,9.241071,0.004651,-0.029033,-0.001829,0.368652,-0.199463,-0.575928
0.214927,-0.806104,9.902421,-0.032102,0.005394,-0.00269,-0.07666,0.439697,-0.599609,-0.232711,3.23283,9.245873,-0.024399,0.010458,0.008759,-0.696289,0.072998,-0.418457,-0.678679,4.250394,8.820939,-0.017162,0.000244,0.00545,-0.252197,0.589111,0.775146,-0.175001,3.668326,9.100777,-0.036204,0.028975,0.008022,0.642578,-0.073975,-0.108398,-0.222833,3.248521,9.223623,-0.030291,0.007407,-0.000473,0.367188,-0.205566,-0.583008
0.14827,-0.871266,9.757559,-0.046182,0.017234,-0.006577,-0.066162,0.442383,-0.593994,-0.259349,3.277199,9.233234,0.022719,0.008805,0.004944,-0.697754,0.077881,-0.420898,-0.678026,4.268096,8.810744,0.005479,0.006457,-0.002243,-0.255127,0.591797,0.780518,-0.24615,3.680065,9.111063,0.029675,-0.004082,0.012887,0.640625,-0.071045,-0.103027,-0.343329,3.159839,9.258354,0.003065,0.018255,-0.00426,0.375732,-0.200928,-0.573975
0.105832,-0.935586,9.701377,-0.050859,-0.000292,-0.005276,-0.068604,0.443359,-0.588867,-0.274167,3.374132,9.226086,-0.010611,0.006696,0.007075,-0.694092,0.072998,-0.419922,-0.691741,4.321108,8.834899,0.017895,0.009477,-0.001238,-0.25415,0.592041,0.773438,-0.140952,3.813038,9.135598,0.01842,-0.023234,0.00768,0.64209,-0.072998,-0.112061,-0.3596,3.291581,9.275417,0.043481,-0.020645,-0.009509,0.372803,-0.198975,-0.570557
