# sampling frequency: 40
# units are seconds/meters/radians/a.u.
seg1_acc_x,seg1_acc_y,seg1_acc_z,seg1_gyr_x,seg1_gyr_y,seg1_gyr_z,seg1_mag_x,seg1_mag_y,seg1_mag_z,seg2_acc_x,seg2_acc_y,seg2_acc_z,seg2_gyr_x,seg2_gyr_y,seg2_gyr_z,seg2_mag_x,seg2_mag_y,seg2_mag_z,seg3_acc_x,seg3_acc_y,seg3_acc_z,seg3_gyr_x,seg3_gyr_y,seg3_gyr_z,seg3_mag_x,seg3_mag_y,seg3_mag_z,seg4_acc_x,seg4_acc_y,seg4_acc_z,seg4_gyr_x,seg4_gyr_y,seg4_gyr_z,seg4_mag_x,seg4_mag_y,seg4_mag_z,seg5_acc_x,seg5_acc_y,seg5_acc_z,seg5_gyr_x,seg5_gyr_y,seg5_gyr_z,seg5_mag_x,seg5_mag_y,seg5_mag_z
0.181881,-0.905913,9.809431,0.002167,0.002706,-0.000979,-0.072998,0.445068,-0.59668,-0.235671,3.281328,9.221213,-0.006456,0.004327,0.007081,-0.698486,0.080078,-0.425537,-0.67092,4.31792,8.831775,-0.005058,0.003788,-0.000117,-0.256348,0.589355,0.773926,-0.183721,3.728548,9.132208,-0.003509,0.000654,0.011199,0.640625,-0.075684,-0.104492,-0.307034,3.218671,9.260339,0.005216,-0.001383,-0.00369,0.369873,-0.199707,-0.57959
0.152099,-0.908448,9.807064,0.001168,0.003316,0.0006,-0.068848,0.441162,-0.594482,-0.278058,3.297463,9.221149,-0.007497,0.012696,0.0094,-0.695068,0.075195,-0.418945,-0.693796,4.295094,8.833979,-0.004988,0.006812,0.003022,-0.259277,0.597168,0.773193,-0.16262,3.720718,9.096959,-0.007076,-0.003475,0.008639,0.638916,-0.066162,-0.108887,-0.310309,3.24872,9.255972,0.005747,-0.003962,-0.005299,0.374268,-0.206055,-0.575439
0.172746,-0.89352,9.769367,-0.000484,0.002349,-0.001035,-0.072266,0.450684,-0.592285,-0.259885,3.275696,9.232269,-0.013023,0.002528,0.005383,-0.699219,0.07666,-0.408936,-0.673367,4.303758,8.826881,0.000611,-0.001744,-0.000909,-0.259521,0.595947,0.774658,-0.170642,3.733893,9.129954,-0.000427,0.006674,0.010736,0.638672,-0.064941,-0.10791,-0.291384,3.235288,9.238139,-0.006194,0.002259,-0.001433,0.370605,-0.196045,-0.578369
0.171459,-0.910668,9.800065,0.001352,0.001823,-0.0017,-0.070557,0.449951,-0.593018,-0.233612,3.282591,9.22688,-0.005853,0.009695,0.006721,-0.69165,0.078857,-0.415527,-0.681681,4.311635,8.84302,-0.008884,0.009713,0.001697,-0.251709,0.589844,0.763672,-0.194243,3.731099,9.133674,-0.013703,0.000968,0.009871,0.646484,-0.075928,-0.117432,-0.318809,3.237385,9.255492,0.004462,-0.00386,-0.006318,0.371094,-0.196289,-0.576416
0.168432,-0.90149,9.817416,0.002037,0.003966,0.00049,-0.06665,0.441895,-0.60498,-0.275921,3.298234,9.226991,-0.012507,0.00615,0.008122,-0.693848,0.080566,-0.425293,-0.699793,4.290947,8.821965,-0.003206,-0.001033,0.001826,-0.258057,0.594727,0.775879,-0.167434,3.703981,9.108292,-0.002919,0.000196,0.008551,0.636719,-0.067627,-0.106934,-0.297175,3.239866,9.23304,-0.006868,-0.004712,0.000495,0.379639,-0.202393,-0.587402
0.16899,-0.905523,9.808808,0.000815,0.000882,0.000721,-0.07251,0.447021,-0.593506,-0.23544,3.278162,9.228408,-0.008285,0.00435,0.006552,-0.693604,0.079834,-0.406738,-0.667772,4.297981,8.833387,-0.002763,0.006132,-0.000351,-0.256104,0.59082,0.773926,-0.165599,3.738547,9.13481,0.001323,0.006118,0.01087,0.641846,-0.071045,-0.109619,-0.313208,3.225145,9.238029,0.004963,0.006782,-0.005627,0.370605,-0.19751,-0.577393
0.168614,-0.905373,9.808829,0.000407,0.002202,-0.000952,-0.070068,0.445312,-0.594238,-0.276251,3.286719,9.240393,-0.011225,0.011451,0.008947,-0.694336,0.068848,-0.414795,-0.701569,4.289332,8.822609,-0.006123,0.006186,0.001587,-0.253906,0.592041,0.763184,-0.18893,3.736488,9.10908,-0.012153,0.000996,0.009751,0.642578,-0.072998,-0.118408,-0.329643,3.263182,9.256893,0.00382,-0.007232,-0.003205,0.373291,-0.199463,-0.57959
0.157219,-0.901929,9.816682,-6.6e-05,0.002391,-0.000578,-0.067383,0.444824,-0.606689,-0.249235,3.272364,9.223075,-0.013572,0.001126,0.007815,-0.694824,0.07373,-0.414795,-0.671501,4.319861,8.832105,-0.0022,-0.00083,0.000731,-0.261719,0.589111,0.775391,-0.165282,3.717831,9.122973,-0.007248,-0.00157,0.010277,0.635498,-0.069824,-0.110107,-0.291655,3.227323,9.232217,-0.008899,-0.001985,-0.001984,0.376953,-0.198486,-0.587402
0.167466,-0.892222,9.791297,0.0012,0.003881,-0.000424,-0.075195,0.444092,-0.593506,-0.245752,3.291181,9.227654,-0.006178,0.012168,0.007366,-0.695557,0.077148,-0.414307,-0.678129,4.297679,8.829478,-0.010227,0.010169,0.001445,-0.255615,0.597168,0.772461,-0.170428,3.721468,9.117124,-0.006791,0.009764,0.009443,0.641113,-0.063721,-0.110596,-0.324748,3.242123,9.250334,0.007463,0.002692,-0.005385,0.368652,-0.199219,-0.574219
0.177086,-0.900135,9.796558,-0.00306,0.000963,-0.001731,-0.068604,0.449707,-0.593506,-0.282104,3.293405,9.219234,-0.01373,0.004812,0.009371,-0.698242,0.068848,-0.410645,-0.694415,4.302573,8.819321,0.001559,-0.001544,-0.000932,-0.265137,0.595947,0.775635,-0.171425,3.734635,9.114126,0.004239,-0.002223,0.010728,0.630859,-0.067383,-0.109375,-0.298099,3.231639,9.243727,-0.003904,-0.006863,-0.000925,0.373535,-0.195557,-0.580566
