# sampling frequency: 40
# units are seconds/meters/radians/a.u.
seg1_acc_x,seg1_acc_y,seg1_acc_z,seg1_gyr_x,seg1_gyr_y,seg1_gyr_z,seg1_mag_x,seg1_mag_y,seg1_mag_z,seg2_acc_x,seg2_acc_y,seg2_acc_z,seg2_gyr_x,seg2_gyr_y,seg2_gyr_z,seg2_mag_x,seg2_mag_y,seg2_mag_z,seg3_acc_x,seg3_acc_y,seg3_acc_z,seg3_gyr_x,seg3_gyr_y,seg3_gyr_z,seg3_mag_x,seg3_mag_y,seg3_mag_z,seg4_acc_x,seg4_acc_y,seg4_acc_z,seg4_gyr_x,seg4_gyr_y,seg4_gyr_z,seg4_mag_x,seg4_mag_y,seg4_mag_z,seg5_acc_x,seg5_acc_y,seg5_acc_z,seg5_gyr_x,seg5_gyr_y,seg5_gyr_z,seg5_mag_x,seg5_mag_y,seg5_mag_z
0.390851,-1.329051,9.750327,-0.010347,0.001372,-0.000264,-0.095459,0.276611,-0.574219,-0.30363,3.049047,9.335766,-0.009265,0.005542,0.005539,-0.547852,-0.094238,-0.273193,-0.710783,4.13378,8.878717,-0.015456,0.000751,0.001582,0.090088,0.196777,0.993652,-0.11158,3.430337,9.241116,-0.01319,-0.004173,0.010065,0.782471,-0.312012,-0.127197,-0.218194,2.938584,9.349235,0.007592,0.009337,-0.003072,0.499512,-0.356934,-0.621826
0.416267,-1.366905,9.759139,0.002905,-5.3e-05,-0.001659,-0.089355,0.27417,-0.573975,-0.260615,3.02845,9.311366,-0.013201,0.003805,0.008027,-0.556152,-0.103516,-0.27124,-0.603517,4.164063,8.88763,0.007518,-0.010703,-0.000717,0.091797,0.198975,0.988525,-0.126095,3.408526,9.219397,0.004905,0.008602,0.010378,0.786621,-0.312988,-0.125244,-0.304106,2.930077,9.325897,-0.000721,0.002141,-0.004221,0.503174,-0.359863,-0.622559
0.398918,-1.282103,9.763222,0.018103,0.005114,0.002682,-0.091309,0.276855,-0.575684,-0.307278,3.046379,9.317561,0.002068,0.010464,0.007367,-0.557129,-0.09375,-0.278076,-0.657766,4.176408,8.905515,-0.005011,0.025451,0.000802,0.090576,0.194092,0.988037,-0.146866,3.475651,9.265542,0.003826,-4.8e-05,0.011798,0.787109,-0.312256,-0.12915,-0.236729,2.946151,9.35344,0.002056,-0.011558,-0.001858,0.502197,-0.356201,-0.623779
0.396942,-1.305921,9.743511,-0.018865,0.000554,-0.002567,-0.090576,0.272949,-0.577148,-0.273776,3.056764,9.334968,-0.01802,0.002338,0.006154,-0.564697,-0.0979,-0.271973,-0.679603,4.179126,8.89774,4.4e-05,-0.008783,0.001401,0.090332,0.203369,0.984131,-0.105811,3.445839,9.230669,-0.027375,-0.001818,0.00759,0.786865,-0.314209,-0.129639,-0.247483,2.929429,9.334168,-0.005741,0.008006,-0.002829,0.502441,-0.361084,-0.622314
0.393062,-1.367638,9.718843,0.003744,0.003593,-0.000759,-0.093506,0.280273,-0.57959,-0.258005,3.030578,9.313138,-0.007211,0.008986,0.007125,-0.562744,-0.091309,-0.274902,-0.603266,4.179487,8.91183,-0.012992,0.004494,0.001643,0.086914,0.196289,0.98999,-0.130424,3.395847,9.223607,-0.001691,0.00755,0.01191,0.783691,-0.305908,-0.133545,-0.294536,2.947261,9.335863,0.00792,-0.005697,-0.003594,0.498779,-0.353271,-0.628174
0.399513,-1.296424,9.764804,0.005463,0.000817,-0.000235,-0.092773,0.273682,-0.575928,-0.306483,3.061026,9.330229,-0.007837,0.007624,0.008047,-0.556885,-0.09082,-0.273682,-0.67858,4.149604,8.873402,-0.011888,0.007051,0.002483,0.081787,0.195068,0.994141,-0.15795,3.465051,9.263298,0.005527,0.002833,0.010541,0.783691,-0.313965,-0.130371,-0.232217,2.944548,9.37233,-0.002735,-0.002513,-0.003513,0.497314,-0.36084,-0.622314
0.423688,-1.350658,9.746557,-0.003687,0.003573,-0.000383,-0.0979,0.273682,-0.571777,-0.267055,3.054756,9.297147,-0.012774,0.002653,0.006469,-0.565186,-0.093262,-0.266113,-0.632593,4.177439,8.899876,0.011349,-0.003571,-0.001424,0.08374,0.194092,0.992676,-0.119509,3.44481,9.247963,-0.016052,-0.005595,0.008857,0.777588,-0.316406,-0.126709,-0.270614,2.927625,9.329075,-0.006763,0.001263,-0.001054,0.495117,-0.359619,-0.618408
0.401044,-1.302797,9.759081,0.009492,0.001758,-6.8e-05,-0.098877,0.272705,-0.57666,-0.270796,3.066601,9.298739,-0.002181,0.012569,0.008129,-0.558594,-0.101074,-0.272705,-0.670282,4.175814,8.91767,-0.00799,0.019333,0.001027,0.093262,0.192627,0.993164,-0.101741,3.442563,9.246326,-0.000946,0.003769,0.010023,0.777588,-0.314941,-0.128662,-0.238042,2.947334,9.343899,0.014999,-0.006271,-0.006302,0.493652,-0.360596,-0.621338
0.386713,-1.327703,9.750675,-0.013226,0.002958,-0.001763,-0.090332,0.269531,-0.571777,-0.316017,3.046721,9.322734,-0.022133,0.002575,0.006786,-0.558594,-0.095215,-0.268555,-0.674944,4.176454,8.86876,-0.006599,-0.010251,0.003017,0.094482,0.194824,0.989746,-0.162233,3.429402,9.272044,-0.01125,0.014669,0.01188,0.786621,-0.319092,-0.122314,-0.264398,2.946216,9.369442,-0.014523,0.006406,-0.000619,0.50415,-0.36499,-0.616211
0.414101,-1.384111,9.718871,0.005914,0.001092,-0.000566,-0.089111,0.275146,-0.574219,-0.247842,3.008855,9.30471,-0.002852,0.005901,0.007283,-0.556641,-0.100098,-0.277588,-0.622966,4.181594,8.898571,-0.008503,0.006712,0.000532,0.09082,0.195801,0.997559,-0.127932,3.42693,9.225297,-0.001589,-0.016589,0.009599,0.786865,-0.313477,-0.127686,-0.262126,2.914474,9.295971,0.003324,-0.00983,-0.004447,0.503906,-0.358398,-0.62207
