# sampling frequency: 40
# units are seconds/meters/radians/a.u.
seg1_acc_x,seg1_acc_y,seg1_acc_z,seg1_gyr_x,seg1_gyr_y,seg1_gyr_z,seg1_mag_x,seg1_mag_y,seg1_mag_z,seg2_acc_x,seg2_acc_y,seg2_acc_z,seg2_gyr_x,seg2_gyr_y,seg2_gyr_z,seg2_mag_x,seg2_mag_y,seg2_mag_z,seg3_acc_x,seg3_acc_y,seg3_acc_z,seg3_gyr_x,seg3_gyr_y,seg3_gyr_z,seg3_mag_x,seg3_mag_y,seg3_mag_z,seg4_acc_x,seg4_acc_y,seg4_acc_z,seg4_gyr_x,seg4_gyr_y,seg4_gyr_z,seg4_mag_x,seg4_mag_y,seg4_mag_z,seg5_acc_x,seg5_acc_y,seg5_acc_z,seg5_gyr_x,seg5_gyr_y,seg5_gyr_z,seg5_mag_x,seg5_mag_y,seg5_mag_z
-0.004639,-1.425758,9.737349,-0.01602,-0.002136,-0.002829,-0.094971,0.343994,-0.486572,-0.319974,3.049867,9.308865,-0.028369,-0.000915,0.007202,-0.675049,-0.070068,0.057373,-0.7138,4.549683,8.716783,0.03363,0.004787,0.001539,0.487305,0.117432,0.92041,-0.245774,3.75651,9.173682,-0.042081,0.004942,0.014432,0.632324,-0.414062,-0.314941,-0.713552,3.004341,9.31987,-0.006009,0.006799,-0.002818,0.462158,-0.414307,-0.644775
0.061271,-1.458936,9.760989,0.005576,0.001978,-0.003385,-0.082031,0.343262,-0.488037,-0.321266,3.051958,9.274967,0.002276,0.013416,0.009262,-0.678467,-0.071045,0.060547,-0.808812,4.539971,8.756194,-0.031232,0.023667,-0.003656,0.473633,0.113281,0.911133,-0.196016,3.60017,9.102212,-0.045334,-0.01038,0.003715,0.645752,-0.417236,-0.31665,-0.703519,3.102028,9.250342,0.030005,-0.020795,-0.008445,0.473877,-0.420898,-0.649414
-0.001728,-1.40756,9.75238,0.025136,0.005912,0.004453,-0.095215,0.33667,-0.497314,-0.357435,3.105507,9.321712,-0.007116,0.004109,0.002906,-0.669922,-0.083984,0.054932,-0.776973,4.454137,8.707392,-0.025367,-0.028893,0.012541,0.482666,0.117432,0.917725,-0.17819,3.549246,9.169804,-0.006826,0.012263,0.016017,0.633545,-0.423096,-0.322266,-0.593011,3.039701,9.236421,-0.050584,-0.007005,0.005062,0.460449,-0.422852,-0.656006
0.016776,-1.352651,9.776994,0.001251,-0.000253,-0.004038,-0.088623,0.344238,-0.493164,-0.298879,3.040209,9.313185,-0.025031,0.002615,0.012339,-0.671387,-0.078125,0.056641,-0.705176,4.47531,8.726244,-0.003552,0.016727,-0.008475,0.487305,0.113281,0.917236,-0.236484,3.651841,9.141883,0.05144,0.004781,0.005486,0.641602,-0.414307,-0.31543,-0.72685,2.920511,9.256289,0.020191,0.038829,-0.002932,0.46582,-0.416016,-0.647705
0.041158,-1.398426,9.747764,-0.004325,0.003879,0.003772,-0.080078,0.339111,-0.491211,-0.372302,3.066917,9.302488,0.007427,0.011809,0.006065,-0.680176,-0.072998,0.060059,-0.822316,4.468587,8.70601,0.021223,0.016724,0.003942,0.481201,0.126953,0.91626,-0.21081,3.782668,9.206575,-0.006697,0.000575,0.015648,0.644775,-0.423828,-0.316895,-0.780634,3.147721,9.388483,0.038294,-0.027765,-0.014058,0.472412,-0.420654,-0.648682
-0.016394,-1.382334,9.728947,-0.016606,0.002707,-0.004535,-0.087646,0.351807,-0.492676,-0.314196,3.087197,9.299528,-0.013824,-0.001117,0.007527,-0.673096,-0.074707,0.054443,-0.755587,4.551907,8.749755,0.009985,-0.013066,-0.004299,0.471924,0.117676,0.918213,-0.210888,3.627724,9.126791,-0.055276,-0.001869,0.002982,0.637207,-0.409668,-0.31665,-0.591018,3.083096,9.242674,-0.030203,-0.008934,0.008428,0.466309,-0.410889,-0.650879
0.045693,-1.473809,9.742819,-0.005817,-0.002958,0.00021,-0.096436,0.341064,-0.487305,-0.34968,3.052418,9.290931,-0.014919,0.013636,0.009488,-0.681885,-0.078369,0.056885,-0.739303,4.497478,8.725236,-0.043842,0.011078,0.007821,0.487305,0.121338,0.912354,-0.19419,3.584843,9.174596,-0.001626,0.001263,0.014224,0.629883,-0.419434,-0.318115,-0.740444,3.020295,9.26781,-0.021648,0.019191,-0.007809,0.45752,-0.419678,-0.647949
0.02179,-1.417067,9.741473,0.016049,0.007711,0.002427,-0.082031,0.343262,-0.495605,-0.329601,3.050894,9.330184,-0.011662,-0.001735,0.003982,-0.676025,-0.07373,0.057617,-0.811365,4.438306,8.698978,0.000181,-0.004277,0.002874,0.482666,0.115723,0.91333,-0.197815,3.608308,9.155305,0.01248,0.006328,0.007908,0.643555,-0.414307,-0.323486,-0.62021,2.919345,9.261056,0.003048,-0.025331,0.004286,0.471436,-0.413086,-0.65625
-0.009554,-1.417981,9.714341,0.00422,-0.003181,-0.003552,-0.087646,0.342041,-0.495605,-0.32579,3.057238,9.288037,-0.003531,0.013648,0.011637,-0.675781,-0.075928,0.049072,-0.730938,4.507449,8.732023,0.01224,0.007347,-0.007142,0.476318,0.118652,0.913574,-0.226014,3.714717,9.141763,0.029533,-0.000355,0.011038,0.638672,-0.419922,-0.326172,-0.721326,3.135884,9.316728,0.070581,0.033859,-0.019515,0.467285,-0.419189,-0.653076
0.028695,-1.367437,9.769751,0.01207,0.004311,0.000505,-0.091553,0.343506,-0.498291,-0.360816,3.094748,9.305067,-0.000937,0.003746,0.00569,-0.677246,-0.074951,0.059326,-0.801405,4.510792,8.737906,0.00845,0.009548,0.007936,0.479736,0.12207,0.924316,-0.205628,3.711727,9.197764,-0.043458,-5.2e-05,0.014344,0.631836,-0.416992,-0.323486,-0.71172,3.158159,9.342974,-0.054778,-0.036061,0.006953,0.464111,-0.41748,-0.65332
