# sampling frequency: 40
# units are seconds/meters/radians/a.u.
seg1_acc_x,seg1_acc_y,seg1_acc_z,seg1_gyr_x,seg1_gyr_y,seg1_gyr_z,seg1_mag_x,seg1_mag_y,seg1_mag_z,seg2_acc_x,seg2_acc_y,seg2_acc_z,seg2_gyr_x,seg2_gyr_y,seg2_gyr_z,seg2_mag_x,seg2_mag_y,seg2_mag_z,seg3_acc_x,seg3_acc_y,seg3_acc_z,seg3_gyr_x,seg3_gyr_y,seg3_gyr_z,seg3_mag_x,seg3_mag_y,seg3_mag_z,seg4_acc_x,seg4_acc_y,seg4_acc_z,seg4_gyr_x,seg4_gyr_y,seg4_gyr_z,seg4_mag_x,seg4_mag_y,seg4_mag_z,seg5_acc_x,seg5_acc_y,seg5_acc_z,seg5_gyr_x,seg5_gyr_y,seg5_gyr_z,seg5_mag_x,seg5_mag_y,seg5_mag_z
2.005528,-7.156037,6.441841,0.004391,0.000297,-0.001021,-0.343506,0.348389,0.031006,-0.015682,8.650469,4.613207,-0.006924,0.00184,0.006613,0.145508,0.38623,0.52417,-2.457135,-6.557467,6.949637,-0.006112,-0.003423,-0.001974,0.663818,0.109131,-0.222168,3.256604,-6.645055,6.492808,-0.01345,0.004534,0.012971,-0.00293,0.267822,-0.624512,0.518911,-5.63775,8.015507,0.001467,0.003507,-0.003029,-0.253662,0.363037,-0.43335
2.011169,-7.163909,6.411178,-0.002694,0.001506,-0.000416,-0.340576,0.347412,0.03833,-0.011366,8.651038,4.624347,-0.012835,0.010295,0.008613,0.151611,0.381836,0.522949,-2.429381,-6.526918,6.930009,0.004346,0.008534,-0.002915,0.668945,0.108154,-0.217773,3.224464,-6.658973,6.493363,0.003701,0.002656,0.006599,-0.002686,0.265869,-0.621826,0.501421,-5.582222,8.047963,0.009644,-0.004467,-0.006718,-0.251709,0.361328,-0.427734
2.00551,-7.161656,6.419069,0.004391,0.000297,-0.001021,-0.342041,0.349854,0.037842,-0.03236,8.650857,4.60283,-0.007422,0.001808,0.007606,0.144287,0.389648,0.525879,-2.478282,-6.529515,6.950573,-0.009887,0.002263,0.002279,0.664551,0.108398,-0.220215,3.253588,-6.595156,6.494956,-0.007299,-0.001248,0.011228,-0.006104,0.266602,-0.623779,0.521322,-5.594305,8.030095,-0.002977,-0.001247,0.001685,-0.251953,0.360107,-0.427246
2.005878,-7.13461,6.412551,-0.001005,0.002331,-0.000181,-0.343994,0.349609,0.044189,-0.007521,8.65933,4.615209,-0.009817,0.007649,0.007731,0.151367,0.385498,0.527344,-2.413032,-6.54337,6.934765,-0.005066,0.002846,-0.003016,0.661865,0.111572,-0.212646,3.230663,-6.671701,6.492476,-0.011377,0.007372,0.011783,-0.007324,0.26709,-0.615479,0.486145,-5.592054,8.038283,0.000165,0.002988,-0.008514,-0.253662,0.36377,-0.420898
2.01631,-7.182765,6.420611,-0.001484,-0.000901,-0.000869,-0.342529,0.342529,0.034912,-0.025004,8.630647,4.629828,-0.013467,0.005313,0.009475,0.148193,0.382812,0.525146,-2.461829,-6.546176,6.955167,-0.00254,0.007426,0.001613,0.664307,0.101318,-0.222656,3.221617,-6.637804,6.517302,0.005729,-0.001528,0.005285,-0.006348,0.259033,-0.625977,0.534928,-5.613291,8.028558,-0.005534,-0.011355,0.001086,-0.254639,0.353027,-0.431885
2.010711,-7.176506,6.415558,0.007359,0.002099,0.000717,-0.339844,0.343018,0.033691,-0.003691,8.656516,4.598051,-0.005806,0.005064,0.004862,0.148438,0.386475,0.52124,-2.42832,-6.542052,6.946613,-0.001819,3e-05,-0.003629,0.666504,0.10376,-0.218018,3.260254,-6.636914,6.502747,-0.01071,0.00219,0.011597,-0.002441,0.258057,-0.623535,0.514985,-5.609719,8.021742,0.013627,0.011615,-0.007532,-0.251953,0.356445,-0.429932
2.011157,-7.139693,6.419016,-0.002647,0.000515,-0.001558,-0.344727,0.347168,0.032471,-0.041964,8.642055,4.627685,-0.011895,0.006464,0.009099,0.157227,0.377686,0.529785,-2.436443,-6.536581,6.964774,-0.009918,0.009194,0.000691,0.663574,0.108154,-0.221191,3.233502,-6.655209,6.510073,-0.002495,0.001416,0.008222,-0.007568,0.265869,-0.623779,0.488745,-5.569706,8.045921,-0.002151,-0.010372,-0.001007,-0.254395,0.359863,-0.429199
2.010225,-7.180135,6.429058,-0.001615,0.003046,0.000882,-0.335938,0.34668,0.036865,-0.018531,8.637317,4.601326,-0.010893,0.002961,0.007319,0.143311,0.382812,0.52832,-2.440384,-6.561445,6.935653,-0.004216,-0.000677,-0.00211,0.67334,0.108154,-0.218506,3.249561,-6.648846,6.487804,-0.009144,0.002781,0.013161,0.003906,0.264893,-0.623779,0.553208,-5.606845,8.026293,-0.007021,-0.001783,-0.004043,-0.244141,0.358887,-0.426758
2.004686,-7.147153,6.417217,0.007564,0.002024,8.4e-05,-0.329102,0.349609,0.040771,-0.037973,8.639379,4.610292,-0.006874,0.010019,0.008807,0.145752,0.389648,0.526611,-2.427725,-6.522502,6.942505,0.008263,0.009679,-0.000518,0.679932,0.109375,-0.213867,3.220548,-6.635187,6.528584,0.007808,0.00539,0.005295,0.006836,0.266602,-0.619385,0.497552,-5.601975,8.027057,0.003281,0.006149,-0.004978,-0.238281,0.36377,-0.421387
2.009996,-7.156043,6.43682,-0.000358,-0.000351,-0.000712,-0.336914,0.346436,0.03418,-0.035109,8.659659,4.607607,-0.010739,-0.000107,0.007911,0.146973,0.38916,0.526367,-2.467233,-6.540464,6.94733,-0.014527,0.001773,0.001878,0.671387,0.106689,-0.224365,3.248569,-6.624545,6.526831,-0.018211,-0.001456,0.014152,0.0,0.263428,-0.627441,0.493929,-5.592586,8.017677,0.010276,-0.009863,-0.003191,-0.248047,0.360107,-0.434326
