# sampling frequency: 40
# units are seconds/meters/radians/a.u.
seg1_acc_x,seg1_acc_y,seg1_acc_z,seg1_gyr_x,seg1_gyr_y,seg1_gyr_z,seg1_mag_x,seg1_mag_y,seg1_mag_z,seg2_acc_x,seg2_acc_y,seg2_acc_z,seg2_gyr_x,seg2_gyr_y,seg2_gyr_z,seg2_mag_x,seg2_mag_y,seg2_mag_z,seg3_acc_x,seg3_acc_y,seg3_acc_z,seg3_gyr_x,seg3_gyr_y,seg3_gyr_z,seg3_mag_x,seg3_mag_y,seg3_mag_z,seg4_acc_x,seg4_acc_y,seg4_acc_z,seg4_gyr_x,seg4_gyr_y,seg4_gyr_z,seg4_mag_x,seg4_mag_y,seg4_mag_z,seg5_acc_x,seg5_acc_y,seg5_acc_z,seg5_gyr_x,seg5_gyr_y,seg5_gyr_z,seg5_mag_x,seg5_mag_y,seg5_mag_z
1.851064,-7.45945,6.092576,-0.005195,0.000427,-9.8e-05,-0.35791,0.25415,0.08667,-0.12316,8.287636,5.224367,-0.007609,-0.000207,0.007288,0.26123,0.260986,0.577393,-1.462787,-7.076376,6.680143,-0.007691,0.00239,-0.000802,0.599609,0.18042,-0.333496,-0.062476,-7.228038,6.674156,-0.012603,0.00636,0.014348,0.221191,0.309814,-0.572266,0.429256,-6.073535,7.688345,0.006214,0.007094,-0.007509,-0.248535,0.377686,-0.366455
1.861535,-7.517006,6.094969,0.005382,0.001435,-0.001138,-0.356445,0.256348,0.074219,-0.147994,8.324302,5.175846,0.004411,0.015612,0.007792,0.256592,0.259277,0.574951,-1.438968,-7.09163,6.699783,-0.000763,0.006827,0.001,0.604004,0.179932,-0.34082,-0.07332,-7.259648,6.704604,0.003173,-0.001205,0.007267,0.222412,0.30957,-0.583496,0.429694,-5.993065,7.782583,0.016186,-0.009163,-0.007993,-0.249023,0.376465,-0.375977
1.839952,-7.413925,6.095909,0.008356,0.000446,0.002838,-0.36084,0.25708,0.078369,-0.161951,8.34149,5.230648,-0.024194,-0.002148,0.006792,0.262695,0.259766,0.578369,-1.488232,-7.080746,6.68127,-0.002228,0.0064,-0.000808,0.599854,0.180908,-0.34082,-0.033547,-7.220015,6.709034,-0.009786,-0.001897,0.011518,0.216797,0.311279,-0.580566,0.467032,-5.999256,7.69385,-0.006495,0.001144,0.001202,-0.251953,0.378662,-0.375732
1.896556,-7.509205,6.055072,-0.026534,0.000247,-0.005808,-0.353516,0.258301,0.078613,-0.087272,8.238225,5.209336,-0.021096,0.006375,0.009095,0.26416,0.24707,0.574951,-1.423081,-7.087656,6.672609,-0.012311,-0.006326,-0.002664,0.604004,0.18457,-0.341553,-0.008141,-7.268123,6.68097,-0.014823,-0.000687,0.010735,0.224365,0.317383,-0.580811,0.432694,-6.017742,7.738164,-0.012011,-0.006879,-0.00777,-0.245361,0.383789,-0.370605
1.861767,-7.51123,6.068257,0.031745,0.007156,0.005669,-0.35376,0.25708,0.083984,-0.179456,8.305832,5.182279,0.015414,0.014787,0.006632,0.254883,0.25,0.571045,-1.462407,-7.10486,6.664706,-0.001949,0.011959,0.0022,0.605713,0.181641,-0.332031,-0.042052,-7.234132,6.663211,0.008438,0.009773,0.007365,0.222656,0.313232,-0.57666,0.503936,-6.112036,7.702911,-0.009042,0.000179,0.004129,-0.24292,0.378174,-0.366699
1.833066,-7.366346,6.128224,-0.005035,-0.003123,-0.002557,-0.357666,0.255859,0.081543,-0.132031,8.367145,5.231691,-0.015711,-0.002787,0.00656,0.25293,0.259033,0.572266,-1.491439,-7.057529,6.690496,0.010254,-0.000615,-0.005433,0.605225,0.181152,-0.338135,-0.094097,-7.195808,6.669329,-0.005089,0.005007,0.009502,0.220703,0.313477,-0.577881,0.351053,-5.977998,7.694823,0.058205,0.015123,-0.012129,-0.246582,0.380371,-0.369141
1.907277,-7.550631,6.040017,-0.024921,0.0012,-0.002795,-0.360596,0.258057,0.078857,-0.108639,8.272117,5.202454,-0.031323,0.01034,0.011769,0.259521,0.260742,0.580811,-1.408715,-7.052634,6.677827,-0.019787,0.005457,0.003803,0.600342,0.182373,-0.340576,-0.001899,-7.249577,6.681026,-0.015006,-0.017096,0.010152,0.21875,0.314453,-0.578369,0.498278,-5.902293,7.821362,-0.041603,-0.040762,-0.006085,-0.251709,0.383789,-0.369873
1.838274,-7.487307,6.094492,0.035327,0.005776,0.002754,-0.357666,0.253662,0.077637,-0.165377,8.280766,5.188574,0.013863,0.005724,0.003778,0.255859,0.251953,0.576416,-1.481204,-7.149248,6.683164,-0.00971,0.011159,0.003228,0.605225,0.174805,-0.340332,-0.017278,-7.276829,6.690112,-0.000317,0.018999,0.014191,0.222168,0.309814,-0.580078,0.531499,-6.18785,7.659965,-0.037771,0.034356,0.013088,-0.246826,0.374756,-0.374023
1.84406,-7.383974,6.118533,-0.009154,-0.0011,-0.001419,-0.357178,0.256104,0.083008,-0.153622,8.369293,5.206826,-0.001614,0.00661,0.00859,0.251953,0.260498,0.57251,-1.482359,-7.069257,6.71266,0.027591,0.002069,-0.005968,0.604004,0.178467,-0.334961,-0.121528,-7.224343,6.729716,0.012945,0.002426,0.002905,0.220459,0.310303,-0.575195,0.266919,-6.019402,7.734286,0.088027,0.00357,-0.021952,-0.248779,0.377441,-0.369385
1.8782,-7.534072,6.064884,-0.015623,-0.001713,-0.00298,-0.359375,0.254395,0.087891,-0.139804,8.28251,5.211105,-0.037726,-0.000513,0.010827,0.257812,0.253662,0.572266,-1.440119,-7.030217,6.704153,-0.021293,0.000457,0.001206,0.600098,0.178711,-0.33252,0.00946,-7.221453,6.701206,-0.024158,-0.017017,0.014693,0.218506,0.308594,-0.570801,0.572039,-5.83802,7.756779,-0.023136,-0.050495,0.000926,-0.251221,0.377441,-0.365234
1.88381,-7.458282,6.095833,0.024059,0.004476,0.001543,-0.361572,0.258545,0.080566,-0.089174,8.258173,5.183449,0.00635,0.010134,0.005411,0.25415,0.26123,0.580566,-1.430851,-7.1335,6.655351,-0.015984,0.001303,0.001972,0.598877,0.182617,-0.339111,-0.034317,-7.279795,6.671883,0.001888,0.022621,0.009474,0.218262,0.313232,-0.579346,0.487489,-6.11416,7.712888,-0.058318,0.053836,0.005079,-0.251953,0.382568,-0.371094
1.838384,-7.42567,6.102265,-0.012506,0.00065,1e-05,-0.363281,0.256104,0.083984,-0.178582,8.349618,5.220575,-0.004091,0.009823,0.007895,0.256348,0.254883,0.580322,-1.473247,-7.064761,6.660993,0.010608,0.008139,-0.00425,0.598145,0.184326,-0.338135,-0.089378,-7.192782,6.676323,0.000589,-0.005984,0.004347,0.217041,0.314453,-0.577393,0.311481,-6.137837,7.702994,0.035893,-0.021118,-0.009038,-0.253418,0.381348,-0.369629
1.883979,-7.546723,6.048544,-0.006379,-0.000716,-0.004376,-0.364746,0.252686,0.075928,-0.114554,8.291199,5.226285,-0.024409,-0.002142,0.008822,0.254395,0.248291,0.567871,-1.437888,-7.071173,6.683248,-0.00803,-0.001485,0.002381,0.594238,0.176514,-0.34375,-0.014491,-7.261979,6.665325,-0.017437,-0.001836,0.01714,0.213135,0.307861,-0.583008,0.554577,-5.894176,7.745669,0.049693,-0.019739,-0.01007,-0.255371,0.375977,-0.376709
1.872369,-7.438387,6.108416,0.033883,0.003342,0.001673,-0.36084,0.249268,0.082764,-0.121975,8.27254,5.169197,0.000187,0.015931,0.007936,0.255127,0.252197,0.578613,-1.417196,-7.103404,6.689844,0.001316,0.010743,-0.000766,0.600098,0.173096,-0.335449,-0.045282,-7.243391,6.694129,0.016273,0.008477,0.000925,0.219727,0.305908,-0.576172,0.447621,-5.967396,7.76923,-0.064557,0.027268,0.002636,-0.250488,0.372314,-0.368896
1.8504,-7.403426,6.080268,-0.029105,0.001367,0.001763,-0.350342,0.258789,0.084717,-0.148297,8.33407,5.214898,-0.00547,-0.000544,0.005516,0.26123,0.260254,0.577637,-1.49061,-7.101569,6.702312,-0.006523,0.006745,0.002086,0.609619,0.18042,-0.332764,-0.040516,-7.206963,6.710584,-0.0139,-0.001039,0.014022,0.229492,0.313477,-0.572998,0.413124,-6.18161,7.698307,-0.002493,-0.014414,0.005641,-0.242676,0.380859,-0.363525
1.893971,-7.548742,6.085175,0.01138,0.005361,-0.011485,-0.360107,0.252441,0.084717,-0.068601,8.330619,5.228998,-0.014804,0.01482,0.004345,0.268311,0.260498,0.575684,-1.419039,-7.099434,6.659034,-0.006421,-0.000616,-0.002871,0.60083,0.179199,-0.338379,-0.010148,-7.270582,6.668745,-0.007035,-0.000211,0.011455,0.220459,0.312012,-0.575928,0.406749,-5.741962,7.642521,0.153236,0.006664,-0.047348,-0.248047,0.373535,-0.370361
1.749138,-7.430256,6.147426,-0.012359,-0.009914,-0.008919,-0.361572,0.256592,0.080322,-0.258669,8.262485,5.132202,-0.021302,0.008084,0.012029,0.260254,0.260986,0.575195,-1.533881,-7.057252,6.709297,0.006622,0.008358,0.002892,0.597412,0.182373,-0.337646,-0.091866,-7.250294,6.694363,-0.004543,0.009394,0.00761,0.217529,0.314209,-0.578369,0.478559,-5.884072,7.902277,-0.243328,-0.039661,0.007995,-0.249756,0.380859,-0.368408
1.982609,-7.478629,6.038417,0.003577,0.019901,0.00564,-0.352051,0.260986,0.078369,-0.042184,8.297448,5.169896,0.013312,-0.002501,-0.002444,0.255615,0.249756,0.57251,-1.398146,-7.113682,6.691941,-0.017454,-0.005073,-0.003246,0.605957,0.185059,-0.340088,0.01455,-7.243376,6.682176,0.009295,-0.005717,0.009309,0.227051,0.31665,-0.581299,0.545134,-6.687305,7.739117,-0.036721,0.028815,0.03244,-0.244141,0.385498,-0.372314
1.798088,-7.395792,6.892744,0.170004,-0.153054,0.022393,-0.355713,0.252686,0.081543,-0.2385,9.615999,3.679135,0.673628,0.035268,0.004478,0.263916,0.270752,0.573486,-1.15983,-6.824553,7.032216,0.156287,0.074085,-0.025944,0.604004,0.178955,-0.33667,-0.47205,-7.191829,6.710654,0.001403,0.089308,-0.002836,0.224121,0.310791,-0.578369,0.92728,-6.451546,7.493197,0.216238,-0.111087,0.000919,-0.249023,0.374268,-0.370605
2.801503,-5.393767,5.864714,-0.29911,-0.087406,0.114493,-0.364258,0.261963,0.087646,-0.04061,9.114704,7.0216,-1.444951,-0.237101,-0.101881,0.255371,0.251709,0.570557,-1.443102,-6.528183,5.95429,-0.383934,0.12809,-0.011278,0.597168,0.186523,-0.331299,0.526225,-6.776504,7.314618,-0.032452,-0.489659,-0.083986,0.209717,0.314697,-0.578369,0.306422,-3.735656,8.136729,0.34056,0.140523,-0.05085,-0.253906,0.376221,-0.373779
1.052815,-11.392963,3.910547,-0.879503,0.162705,-0.129166,-0.360596,0.254639,0.083008,0.872719,2.671656,5.463397,-0.457203,-0.002268,0.100753,0.271973,0.231201,0.580078,-1.243751,-9.151577,6.413215,-0.311952,-0.210012,0.1897,0.598389,0.181396,-0.338379,0.909918,-7.3799,5.089688,-0.268761,0.17787,0.215909,0.218262,0.312744,-0.579102,0.605709,-6.933497,7.404485,-1.614391,0.015833,0.154657,-0.250488,0.387207,-0.362305
1.373421,-7.965989,7.362711,1.968576,-0.157106,0.082788,-0.357422,0.245361,0.072754,-2.196581,10.537446,4.079503,3.051702,0.300765,-0.121428,0.258057,0.289795,0.567627,-2.648936,-7.191447,7.099282,1.107133,0.342573,-0.092348,0.603271,0.165039,-0.347656,-1.722739,-8.279464,6.276099,0.395162,0.308778,-0.033277,0.223145,0.300537,-0.587158,-0.703523,-10.259643,6.578584,1.083098,0.230229,0.094422,-0.244141,0.37085,-0.379883
3.053464,-1.953263,6.945513,-0.629062,0.214124,-0.055269,-0.352051,0.25415,0.083008,1.746917,13.388152,6.161596,-1.754632,-0.360618,0.007808,0.266846,0.260498,0.581299,-0.479781,-4.308535,6.8543,-0.135829,-0.478408,-0.085307,0.604004,0.175781,-0.34375,2.069296,-5.733384,6.191767,0.397075,-0.096945,-0.057973,0.221191,0.303223,-0.582764,0.552169,-1.558335,9.174308,1.669625,-0.664624,-0.594599,-0.251221,0.358154,-0.381592
0.583614,-11.402851,5.487651,-1.129672,-0.316002,-0.016606,-0.363037,0.260498,0.095947,-1.648023,3.382753,3.886368,-1.310378,0.219077,0.220637,0.25708,0.235352,0.58252,-1.412325,-7.949651,6.340227,-0.643513,0.48145,0.376977,0.603027,0.180664,-0.327881,-1.455608,-6.479279,7.8457,-0.330394,1.021764,0.279991,0.232422,0.312256,-0.571289,2.211797,-3.770584,7.638108,-1.767461,0.536987,0.648724,-0.247314,0.38501,-0.36499
3.285496,-8.211291,5.079132,1.168575,0.355827,0.05154,-0.355225,0.253174,0.083008,1.211168,7.323787,5.552947,1.94956,-0.196498,-0.308612,0.270508,0.26709,0.570801,-2.27477,-7.981794,7.012846,0.185762,-0.240894,-0.279939,0.60376,0.176758,-0.337646,-1.069017,-8.217403,7.151532,-0.333476,-0.714637,-0.020852,0.229248,0.310791,-0.574463,-1.968795,-9.924732,7.341374,-1.31027,0.033667,-0.234521,-0.244873,0.393799,-0.355713
0.324125,-5.139231,7.477997,-0.117576,-0.288852,-0.034564,-0.363037,0.254639,0.085449,-1.257876,12.502934,5.898254,0.016543,0.362954,0.224384,0.255615,0.267334,0.577637,-0.688779,-7.722826,6.126773,0.197968,0.207075,0.308948,0.601318,0.174316,-0.333984,1.417322,-8.863739,6.363554,0.217649,0.286758,0.134357,0.229248,0.308838,-0.578369,2.152629,-8.793366,6.276491,2.058149,-0.375528,0.087582,-0.253174,0.374268,-0.373047
3.083086,-8.471315,5.65284,-0.364955,0.169685,-0.008993,-0.359375,0.245605,0.087646,0.096491,7.010383,4.166582,-1.430289,-0.474325,-0.140539,0.266846,0.246826,0.574707,-2.877888,-5.418162,7.887979,0.51179,-0.088707,-0.359163,0.602783,0.166748,-0.340088,-1.695963,-6.372243,7.889244,0.574635,0.218082,-0.279563,0.231445,0.291992,-0.580078,-0.88927,-0.301635,9.54488,1.100897,0.401263,-0.422866,-0.248535,0.350586,-0.384766
1.328858,-6.787854,6.67972,0.239552,-0.188428,0.03773,-0.36084,0.257324,0.080322,0.352004,6.68786,4.59445,0.811627,0.386887,0.113342,0.261963,0.259521,0.576172,-0.292515,-6.366377,6.60815,-0.940587,-0.110478,0.26633,0.601074,0.178955,-0.340088,0.776267,-5.485646,7.44503,-0.543142,-0.50346,0.17132,0.222656,0.30957,-0.582764,1.542812,-4.836911,7.876949,-2.620781,-0.50813,0.453436,-0.252197,0.387695,-0.36499
2.323618,-6.201095,6.92925,-0.40706,0.023472,0.064144,-0.357666,0.256836,0.09375,-1.409475,11.816435,4.540379,0.744502,-0.285175,-0.286034,0.262939,0.275146,0.567627,-2.333442,-9.05344,6.383645,-0.059502,0.102708,-0.135386,0.602783,0.18042,-0.330566,-0.059924,-9.012331,5.420429,-0.591471,0.467428,0.157936,0.233154,0.314453,-0.565918,0.810495,-10.504962,6.179795,-0.158214,0.384032,0.008067,-0.249512,0.38916,-0.355469
2.246124,-8.590378,5.182138,-0.558182,-0.456811,0.066686,-0.352783,0.266113,0.104492,1.125652,8.668314,6.393568,-1.954295,-0.33005,-0.025434,0.253906,0.248047,0.563721,-0.625842,-6.497309,6.134249,0.464631,-0.240177,-0.035133,0.606445,0.185303,-0.335938,-1.028016,-7.442298,6.311455,0.696006,-0.330749,-0.205403,0.231445,0.314453,-0.577148,0.078187,-5.422008,8.384689,1.074066,-0.209152,-0.276015,-0.247559,0.381836,-0.365234
1.906791,-8.691938,5.036328,0.434973,0.207081,0.092492,-0.366699,0.256592,0.102783,-0.214443,3.315713,4.659845,0.147923,0.047566,-0.123078,0.265625,0.25415,0.565674,-1.36666,-6.525636,7.481025,-0.348527,0.290556,0.117735,0.597656,0.174805,-0.328369,2.230539,-4.762431,7.186041,0.141219,0.015216,0.045636,0.220459,0.300537,-0.572266,0.913839,-4.284084,6.693065,-0.380246,-0.094347,0.359734,-0.255615,0.381104,-0.358643
1.032453,-6.35737,6.206888,0.122615,-0.192836,0.009658,-0.359619,0.258301,0.098389,-0.562004,9.320631,5.791586,1.457165,-0.155742,-0.102238,0.266357,0.284912,0.557373,-3.611698,-7.521458,7.505859,-0.011695,-0.479763,0.108546,0.598389,0.178955,-0.34375,0.123856,-6.440305,6.357098,-0.751069,0.991517,0.46444,0.246582,0.311035,-0.569824,-0.82754,-7.229029,8.601783,-0.460746,0.285903,-0.133655,-0.245605,0.38916,-0.362061
2.385579,-8.241083,5.985511,-0.459489,0.093454,-0.03913,-0.357666,0.260742,0.104492,0.082745,11.778824,5.765005,-0.511642,0.050623,0.056769,0.268799,0.271729,0.563965,-0.132896,-6.117587,7.612123,-0.096571,-0.4056,-0.128568,0.595459,0.186279,-0.338623,-0.744792,-8.913273,7.184649,-0.357989,0.752053,0.283721,0.264648,0.323486,-0.552246,0.408933,-6.260509,7.604283,0.36423,-0.551818,0.027424,-0.250488,0.387207,-0.35498
1.951425,-7.931971,5.763873,0.278626,-0.062671,0.048295,-0.357666,0.254395,0.107666,-0.069163,6.007418,5.124025,-1.447098,-0.102607,0.058306,0.272461,0.248291,0.561035,-2.546787,-7.764598,6.461046,-0.775396,-0.324496,0.142136,0.591797,0.183594,-0.337891,0.365614,-8.613654,7.382442,-0.133934,1.121394,0.23269,0.280518,0.314941,-0.545654,2.160949,-5.712007,7.708651,-0.172751,0.298587,-0.139179,-0.249512,0.379883,-0.358643
1.441037,-7.117272,6.156317,-0.107194,0.062112,-0.026545,-0.363525,0.261475,0.098633,-0.44834,6.260463,4.220189,1.103917,0.092422,-0.116206,0.265137,0.260986,0.561523,-0.916639,-8.402457,5.914071,0.145331,-0.763393,-0.247108,0.577637,0.188965,-0.359863,-3.407604,-7.734489,6.76475,0.108836,1.059083,0.073582,0.288086,0.318604,-0.54541,-1.28829,-6.660159,7.833718,-0.187604,0.30849,0.225431,-0.249512,0.389404,-0.366211
2.276852,-8.044712,6.000927,-0.199314,-0.094427,-0.007715,-0.358643,0.254395,0.102539,0.000865,11.98229,6.324846,0.4343,-0.010538,-0.02331,0.265869,0.276855,0.559326,0.014925,-5.53797,6.221827,0.12979,-0.003993,-0.110182,0.581787,0.187012,-0.354492,-1.688708,-6.080129,6.894811,-0.181967,-0.289969,-0.062725,0.288574,0.319336,-0.539062,1.051092,-6.641702,7.401007,-0.101223,-0.40047,-0.26915,-0.251465,0.384277,-0.358398
1.840429,-7.961412,6.0814,0.136769,-0.064562,0.042649,-0.36084,0.258057,0.0979,-0.346498,8.584644,5.219271,-1.333678,-0.01879,0.056561,0.258789,0.243164,0.564209,-2.007536,-7.175331,6.747212,-0.917529,-0.165527,0.178823,0.577637,0.196533,-0.355225,-0.325413,-7.387648,6.580448,-0.734981,0.087888,0.181488,0.289795,0.330078,-0.53418,1.596424,-7.054172,7.871275,-0.03459,0.335938,0.333051,-0.24585,0.387451,-0.36499
2.186485,-6.812636,5.793704,0.081773,-0.082023,0.027561,-0.362061,0.259033,0.109375,-0.075086,5.42841,4.922078,-0.150487,-0.072774,-0.090485,0.270752,0.243652,0.561523,-0.691813,-9.27632,5.332299,-0.177919,-0.196003,-0.114039,0.571777,0.197021,-0.347168,-1.603642,-8.78294,6.373063,-0.432375,-0.066963,0.001927,0.285156,0.33667,-0.517822,-1.084952,-5.849509,6.176849,0.760924,0.23187,-0.184101,-0.246826,0.378662,-0.364746
1.015487,-7.630019,5.462714,-0.381075,0.062199,-0.057894,-0.358398,0.251953,0.108887,-0.187157,7.507388,5.341917,0.499542,0.120901,-0.15885,0.270996,0.259277,0.558105,-1.858971,-6.650806,7.056008,0.586652,-0.239882,-0.152811,0.572998,0.188232,-0.360352,-0.36252,-8.544552,5.062528,0.134916,-0.034158,-0.060916,0.287354,0.329102,-0.525146,-0.134667,-3.479656,8.242559,-0.275425,-0.31304,-0.015597,-0.248047,0.374512,-0.360352
