# sampling frequency: 40
# units are seconds/meters/radians/a.u.
seg1_acc_x,seg1_acc_y,seg1_acc_z,seg1_gyr_x,seg1_gyr_y,seg1_gyr_z,seg1_mag_x,seg1_mag_y,seg1_mag_z,seg2_acc_x,seg2_acc_y,seg2_acc_z,seg2_gyr_x,seg2_gyr_y,seg2_gyr_z,seg2_mag_x,seg2_mag_y,seg2_mag_z,seg3_acc_x,seg3_acc_y,seg3_acc_z,seg3_gyr_x,seg3_gyr_y,seg3_gyr_z,seg3_mag_x,seg3_mag_y,seg3_mag_z,seg4_acc_x,seg4_acc_y,seg4_acc_z,seg4_gyr_x,seg4_gyr_y,seg4_gyr_z,seg4_mag_x,seg4_mag_y,seg4_mag_z,seg5_acc_x,seg5_acc_y,seg5_acc_z,seg5_gyr_x,seg5_gyr_y,seg5_gyr_z,seg5_mag_x,seg5_mag_y,seg5_mag_z
1.969336,-7.458699,6.111951,0.011229,0.001557,-0.000841,-0.333008,0.422607,0.01416,-0.093911,8.398834,5.017619,-0.022898,0.006497,0.010206,0.076172,0.390381,0.522461,-1.86212,-6.81018,6.859782,-0.023258,0.00092,0.002006,0.660645,0.082275,-0.221436,2.700632,-6.95039,6.417723,-0.011547,0.005671,0.013058,0.050781,0.285889,-0.616455,0.634316,-5.998844,7.785678,-0.029678,-0.001784,0.006024,-0.253418,0.387451,-0.445068
1.929157,-7.381293,6.159385,0.010955,0.005162,0.001521,-0.32959,0.424561,0.023193,-0.123402,8.424183,4.974529,0.005864,0.007369,0.005218,0.072754,0.385254,0.526123,-1.886624,-6.832719,6.842992,0.007731,0.009091,-0.001611,0.664062,0.084717,-0.2146,2.648298,-6.989738,6.422719,-0.002323,0.003495,0.008864,0.052246,0.286865,-0.608398,0.535435,-6.028621,7.759055,0.018657,0.0197,-0.00833,-0.250977,0.391113,-0.437256
1.928565,-7.430097,6.108132,-0.019814,-0.002605,-0.000636,-0.330566,0.425537,0.012939,-0.131393,8.438435,5.022386,-0.017323,0.00119,0.008209,0.073242,0.390381,0.511475,-1.892232,-6.756453,6.897297,0.00822,0.004512,-0.003168,0.662598,0.084717,-0.225098,2.691572,-6.912516,6.46405,0.006493,-0.004328,0.004717,0.054443,0.288818,-0.62085,0.538088,-5.903102,7.731562,0.025074,-0.019469,-0.003358,-0.250244,0.389893,-0.450439
1.953978,-7.493364,6.097891,0.004986,0.002624,-0.003803,-0.337158,0.42749,0.022461,-0.092597,8.415898,5.000082,-0.007988,0.007494,0.007926,0.069336,0.379395,0.522705,-1.861736,-6.824058,6.85186,-0.025981,0.002483,0.003054,0.65625,0.082764,-0.215088,2.731168,-6.957644,6.422186,-0.024495,0.000721,0.015765,0.043945,0.287842,-0.610352,0.621741,-5.923505,7.803878,-0.023889,-0.003741,-0.00358,-0.253418,0.390869,-0.438477
1.938568,-7.389894,6.116355,0.015944,0.000997,0.001493,-0.332764,0.422363,0.018311,-0.121013,8.417247,5.001658,-0.008968,0.008112,0.008791,0.078125,0.384521,0.519287,-1.896176,-6.8796,6.832199,0.000789,0.00414,-0.000893,0.660645,0.078125,-0.221924,2.678577,-6.997141,6.427076,0.008985,0.009964,0.007369,0.050293,0.282715,-0.615234,0.576632,-6.098902,7.780071,-0.037038,0.006215,0.00481,-0.251465,0.387207,-0.440918
1.924391,-7.399506,6.149442,-0.008701,0.001549,0.00201,-0.329834,0.420654,0.016113,-0.112864,8.422715,5.004893,-0.009797,0.000409,0.006562,0.066162,0.384033,0.520752,-1.86298,-6.760074,6.862196,0.018765,0.001253,-0.005278,0.664551,0.076904,-0.220947,2.65884,-6.914966,6.446124,0.000273,0.000991,0.008884,0.054932,0.2771,-0.61499,0.547477,-6.016774,7.720956,0.066233,0.00232,-0.008765,-0.248047,0.38501,-0.446289
1.937322,-7.477992,6.079093,-0.011981,0.001109,-0.001024,-0.326172,0.417236,0.021729,-0.091648,8.433751,5.054248,-0.01395,0.009573,0.007952,0.074707,0.378418,0.531982,-1.89454,-6.752122,6.87875,-0.024923,0.008932,0.001374,0.66626,0.072021,-0.216309,2.686109,-6.946816,6.448419,-0.018319,-0.006703,0.011762,0.057861,0.2771,-0.610352,0.571124,-5.779642,7.809641,0.003214,-0.01009,-0.011763,-0.245605,0.379883,-0.438965
1.939599,-7.450388,6.112911,0.020919,0.001205,-0.000759,-0.329346,0.43335,0.022461,-0.126149,8.394306,5.000969,-0.011659,0.003987,0.008715,0.071533,0.38501,0.529785,-1.894639,-6.901951,6.838367,-0.022351,-0.002094,0.004566,0.662598,0.0896,-0.212891,2.709303,-6.980245,6.397751,-0.006619,0.004432,0.011366,0.054199,0.293213,-0.607178,0.603543,-6.058542,7.744369,-0.071174,0.002805,0.014101,-0.250977,0.397217,-0.436768
1.928463,-7.354402,6.151228,-0.002489,0.001309,-0.001189,-0.322998,0.416504,0.013184,-0.101734,8.441723,4.996995,0.005346,0.006934,0.00577,0.075195,0.379395,0.530029,-1.850673,-6.798701,6.872642,0.032611,0.00474,-0.008154,0.669434,0.078125,-0.22168,2.674797,-6.968164,6.43313,0.009958,0.007689,0.005468,0.060059,0.28125,-0.61792,0.540247,-6.079498,7.75425,0.041239,0.005677,-0.015285,-0.243652,0.383301,-0.445068
1.941336,-7.497651,6.104803,-0.018483,0.001404,0.0006,-0.327148,0.42041,0.018311,-0.096431,8.415612,5.030108,-0.023053,0.002712,0.010012,0.074219,0.383789,0.523682,-1.890853,-6.72053,6.892042,-0.009754,0.007402,0.001217,0.665527,0.081299,-0.218506,2.678366,-6.89254,6.455993,-0.002363,0.000179,0.006979,0.054199,0.285889,-0.614258,0.611027,-5.888426,7.788137,0.028821,-0.018104,-0.002728,-0.247559,0.387207,-0.443359
1.921235,-7.439635,6.121216,0.027818,0.003766,-0.001033,-0.329102,0.416504,0.028076,-0.115196,8.409895,5.014147,-0.004447,0.007806,0.006087,0.078369,0.389404,0.521729,-1.886235,-6.854017,6.852857,-0.034875,0.003176,0.004981,0.664062,0.074707,-0.204346,2.670357,-7.000272,6.43548,-0.028537,-0.002242,0.01788,0.054688,0.279297,-0.600098,0.570039,-5.926933,7.738901,-0.026699,0.019445,1.2e-05,-0.24707,0.38208,-0.433105
1.912011,-7.351801,6.137341,-0.007887,0.000204,-0.00096,-0.331543,0.418213,0.015137,-0.129148,8.42829,4.996602,-0.011038,0.006763,0.0086,0.074951,0.387207,0.521484,-1.892694,-6.864026,6.835191,0.023232,0.007285,-0.004256,0.663086,0.076416,-0.223633,2.694985,-6.986705,6.429017,0.019161,0.00339,0.001423,0.052734,0.280518,-0.613525,0.511557,-6.030016,7.762015,-0.008673,-0.009192,-0.002779,-0.248535,0.381348,-0.443604
1.951735,-7.494054,6.11388,-0.015747,-0.00155,-0.001248,-0.326416,0.41626,0.022461,-0.09178,8.431318,5.000068,-0.007685,0.002641,0.00741,0.073486,0.38916,0.526611,-1.869841,-6.735398,6.876359,0.004523,-0.000169,-0.003611,0.667236,0.072021,-0.216064,2.682287,-6.906386,6.455462,-0.004275,0.006825,0.010637,0.057861,0.279541,-0.611328,0.64237,-5.996143,7.787099,0.019757,-0.01418,-0.005856,-0.247314,0.380371,-0.438965
1.934886,-7.441927,6.094348,0.02574,0.003557,0.001353,-0.330811,0.422119,0.018066,-0.089948,8.442484,5.008243,-0.007921,0.008981,0.007721,0.074463,0.379639,0.531494,-1.859378,-6.810436,6.852678,-0.028291,0.004768,0.003853,0.664795,0.082764,-0.217529,2.668729,-6.961256,6.431611,-0.018324,-0.004429,0.013748,0.05249,0.284912,-0.614258,0.584535,-5.932188,7.776433,-0.003676,0.015668,-0.004114,-0.248779,0.387207,-0.443359
1.92317,-7.358817,6.137691,-0.005293,0.001807,5e-06,-0.331787,0.429688,0.018311,-0.123228,8.423769,4.989389,-0.016857,0.006294,0.007608,0.077148,0.385742,0.526367,-1.899246,-6.86549,6.84547,0.000495,0.007266,-0.000907,0.663574,0.083008,-0.218262,2.70674,-6.957383,6.409015,0.001884,-0.002796,0.005713,0.054199,0.288086,-0.613525,0.546989,-6.002918,7.73387,-0.004127,-0.00639,0.003537,-0.250732,0.393555,-0.44165
1.941425,-7.481269,6.088092,-0.017615,0.000102,-0.000167,-0.328857,0.416748,0.019287,-0.100772,8.409568,5.012258,-0.006363,0.004147,0.006379,0.076904,0.388184,0.521973,-1.879679,-6.776807,6.84867,0.004776,-0.000646,-0.002935,0.665771,0.074463,-0.217773,2.694871,-6.965334,6.429202,-0.010548,0.007783,0.013004,0.055908,0.281006,-0.611572,0.582054,-5.940589,7.756217,0.00922,-0.003011,-0.010236,-0.24585,0.381348,-0.441895
1.929642,-7.473659,6.088654,0.018287,0.003111,1e-05,-0.321289,0.418213,0.024414,-0.082829,8.416901,5.025099,-0.013811,0.006679,0.00932,0.075195,0.381104,0.517334,-1.863861,-6.800776,6.85532,-0.012725,0.003945,0.003454,0.671631,0.076904,-0.212646,2.673179,-6.946843,6.426163,0.002283,0.003001,0.007808,0.064209,0.279541,-0.605957,0.565622,-5.97752,7.754148,-0.015545,-0.000725,0.004426,-0.239502,0.381592,-0.4375
1.949908,-7.380821,6.157658,0.008373,0.002014,-0.00185,-0.324707,0.42749,0.021484,-0.12163,8.408305,4.988542,0.002434,0.009393,0.007517,0.068848,0.38623,0.529785,-1.885438,-6.842625,6.848045,-0.002692,0.007135,-0.001864,0.670166,0.085693,-0.215088,2.66856,-6.940407,6.431259,-0.007707,-0.002033,0.009652,0.05835,0.290771,-0.61084,0.588379,-6.022912,7.769137,0.013707,-0.0034,-0.007464,-0.244873,0.392334,-0.439453
1.913675,-7.434719,6.13141,-0.010966,0.000345,0.00174,-0.331299,0.42041,0.015137,-0.151751,8.477023,5.026088,-0.000394,0.008185,0.006078,0.066406,0.38501,0.521484,-1.907481,-6.808221,6.883138,0.011537,0.012112,0.000451,0.664062,0.078125,-0.221436,2.676324,-6.959078,6.443804,0.008581,0.004224,0.00636,0.054688,0.279785,-0.616699,0.569209,-5.927432,7.798848,0.019422,0.005014,-0.004178,-0.248535,0.387207,-0.444336
1.934626,-7.451536,6.087191,0.002225,-0.003213,0.00029,-0.331543,0.426758,0.011719,-0.086395,8.419259,5.035684,-0.041307,-0.005606,0.009304,0.076172,0.38501,0.529053,-1.879403,-6.770962,6.899331,-0.012127,-0.005863,-0.000485,0.662598,0.088135,-0.223877,2.728322,-6.904833,6.468583,-0.007989,0.000757,0.009064,0.052734,0.289795,-0.617676,0.561096,-5.939786,7.710634,-0.013303,-0.007415,-0.002669,-0.25,0.390625,-0.445801
1.96113,-7.424381,6.100995,-0.001778,0.004977,-0.002224,-0.335449,0.422119,0.013184,-0.081353,8.34604,5.009941,0.000994,0.016927,0.00693,0.075195,0.378906,0.52832,-1.846122,-6.844999,6.831548,-0.021388,0.006033,0.001287,0.660889,0.078369,-0.222168,2.693432,-6.990189,6.438898,-0.021801,0.009022,0.018239,0.049072,0.284424,-0.617432,0.612974,-5.977546,7.801304,-0.012815,-0.008394,-0.007761,-0.252197,0.389404,-0.446533
1.909198,-7.453368,6.120865,0.009612,-0.001261,0.001837,-0.32251,0.426758,0.023682,-0.14427,8.487671,5.005135,0.01084,0.005519,0.00846,0.071777,0.38501,0.518555,-1.89841,-6.83748,6.854437,0.008916,0.0021,-0.003385,0.669922,0.083496,-0.214111,2.6263,-6.971209,6.409343,0.009491,-0.002343,0.003697,0.060059,0.290283,-0.607422,0.596997,-6.054653,7.775775,-0.008088,0.007735,0.00269,-0.242432,0.39209,-0.436523
1.93734,-7.359712,6.154335,0.002556,0.005109,0.002697,-0.33252,0.425781,0.016113,-0.098966,8.468735,5.004357,-0.023614,0.001567,0.006033,0.068359,0.385254,0.524414,-1.857154,-6.761966,6.882664,0.009934,0.005699,-0.002539,0.661133,0.083008,-0.220947,2.684405,-6.88631,6.413513,5.1e-05,-0.012948,0.006718,0.051514,0.287109,-0.615967,0.507404,-5.918372,7.715625,0.059834,0.008996,-0.011218,-0.25,0.390137,-0.444824
1.935693,-7.486093,6.074236,-0.02769,-0.003949,-0.004008,-0.331055,0.430908,0.018799,-0.116232,8.362987,5.041675,-0.040782,0.00638,0.012959,0.070801,0.387695,0.521973,-1.894421,-6.788089,6.882847,-0.030689,0.006008,0.003455,0.662109,0.086182,-0.218018,2.746642,-6.942619,6.415294,-0.021785,0.007668,0.014054,0.051025,0.289795,-0.614258,0.595771,-5.857396,7.774728,-0.043891,-0.025717,-0.004847,-0.249512,0.39502,-0.44043
1.965417,-7.49435,6.131454,0.029018,0.006827,-0.000242,-0.330078,0.420654,0.019531,-0.090598,8.376849,4.983469,0.033092,0.00733,0.004913,0.076904,0.384033,0.526611,-1.865687,-6.916794,6.845245,-0.010657,-0.003354,0.003824,0.66333,0.077393,-0.219971,2.657739,-7.033044,6.433328,-0.00873,0.02148,0.017141,0.055908,0.284912,-0.612061,0.622462,-6.128177,7.738808,-0.037354,0.016155,0.011571,-0.250244,0.385498,-0.44165
1.915178,-7.315145,6.133512,0.008953,-0.002058,0.000444,-0.330811,0.421631,0.019287,-0.131535,8.547625,5.009101,-0.005201,0.007608,0.007242,0.07251,0.375244,0.52124,-1.867669,-6.777654,6.855251,0.046468,0.011845,-0.008077,0.662598,0.080322,-0.216797,2.603252,-6.925157,6.454449,0.035316,-0.003506,-0.007342,0.052246,0.281494,-0.613281,0.502847,-6.023155,7.754818,0.061147,0.001689,-0.020583,-0.250977,0.38623,-0.441162
1.936621,-7.446789,6.118239,-0.025872,0.003412,-9.5e-05,-0.331055,0.418701,0.022949,-0.113471,8.356198,4.995869,-0.051669,-0.00044,0.010097,0.076416,0.382568,0.52124,-1.894895,-6.693783,6.90163,-0.024379,0.005287,0.003112,0.660889,0.075439,-0.21582,2.716245,-6.871338,6.479542,-0.020807,-0.012064,0.014895,0.052002,0.279541,-0.609619,0.620414,-5.826704,7.738254,0.02609,-0.015607,0.002435,-0.252686,0.381348,-0.442139
1.928068,-7.484955,6.095962,0.012967,-0.001045,-0.002369,-0.328613,0.419189,0.012207,-0.112483,8.395436,5.010384,0.024031,0.013329,0.005553,0.06958,0.387939,0.514893,-1.894124,-6.892917,6.862189,-0.041462,0.000702,0.002765,0.663086,0.079102,-0.223633,2.729056,-7.033297,6.417769,-0.03252,-4.9e-05,0.017501,0.05542,0.282715,-0.618408,0.545257,-5.927315,7.782387,-0.060077,0.015957,-0.008,-0.246826,0.38501,-0.448486
1.956952,-7.377655,6.125269,0.006426,0.002757,0.000985,-0.326416,0.416016,0.020508,-0.122129,8.505208,5.027654,-0.008958,0.002271,0.010605,0.066162,0.381836,0.528076,-1.894187,-6.887499,6.845251,0.022539,-0.002097,-0.005728,0.669678,0.070801,-0.216064,2.675801,-6.969263,6.405267,0.022664,0.01544,0.00326,0.05835,0.27832,-0.607422,0.570512,-6.146791,7.730676,-0.018982,-0.017255,0.009046,-0.246338,0.378906,-0.4375
1.94179,-7.451885,6.124662,-0.015984,-0.001454,-0.00062,-0.331543,0.425293,0.018555,-0.076577,8.402439,5.006773,-0.033947,0.001461,0.007754,0.074463,0.383057,0.513184,-1.837897,-6.724251,6.84647,0.013409,0.001862,-0.005932,0.662598,0.083008,-0.219482,2.629446,-6.909988,6.44157,-0.011631,0.002382,0.011217,0.054932,0.286621,-0.612305,0.617759,-5.972534,7.763601,0.073776,0.002541,-0.020001,-0.249023,0.389648,-0.444336
1.942423,-7.449694,6.111043,0.014419,0.005465,0.001723,-0.322754,0.424561,0.015137,-0.111456,8.367357,5.003773,-0.001452,0.012588,0.006268,0.080811,0.393311,0.513428,-1.87778,-6.76143,6.854202,-0.027618,0.014092,0.00639,0.671143,0.079834,-0.221191,2.683647,-6.930871,6.409247,-0.003273,-0.014424,0.005164,0.063232,0.284912,-0.612061,0.565097,-5.838202,7.78949,-0.019967,0.005149,0.004225,-0.240479,0.387939,-0.44165
1.925406,-7.387828,6.15698,0.002001,-0.0007,-0.000631,-0.332764,0.431885,0.019043,-0.127719,8.4823,5.026942,0.01127,0.003944,0.005129,0.073975,0.380615,0.523438,-1.919729,-6.883998,6.870727,-0.013744,0.003077,0.002205,0.662354,0.08667,-0.215088,2.733817,-6.969819,6.415055,-0.018236,0.004108,0.014231,0.051514,0.293945,-0.609863,0.54978,-6.046082,7.713209,-0.036907,-0.002437,0.000981,-0.253174,0.394287,-0.437256
1.96112,-7.45711,6.090632,-0.013997,0.00222,-0.003478,-0.323975,0.420654,0.026367,-0.080077,8.44975,5.007182,-0.033293,0.004749,0.010663,0.066895,0.383545,0.532471,-1.850543,-6.814978,6.857726,0.025028,0.000445,-0.004534,0.667725,0.075928,-0.208252,2.68655,-7.01895,6.4389,0.01213,0.018251,0.00592,0.05957,0.282959,-0.607422,0.583224,-6.00611,7.762571,0.02867,-0.008048,-0.013902,-0.244385,0.384277,-0.433105
1.930599,-7.454187,6.117422,0.020198,-0.000911,0.002687,-0.325684,0.419678,0.013428,-0.109022,8.359573,4.95979,-0.008683,0.008544,0.007381,0.073486,0.380127,0.523193,-1.875362,-6.711932,6.882355,0.002588,0.009102,0.000532,0.669922,0.078369,-0.225586,2.649284,-6.869952,6.50005,0.010968,0.007568,0.004492,0.059326,0.281494,-0.618408,0.604453,-5.957301,7.777002,0.006992,-0.00063,0.003876,-0.244873,0.383057,-0.44458
1.931519,-7.350219,6.137339,0.003095,0.003409,0.001234,-0.330078,0.423096,0.021729,-0.118843,8.473422,5.02742,0.018067,0.003771,0.005264,0.077148,0.382324,0.52124,-1.881014,-6.794956,6.867295,-0.031007,0.002731,0.00197,0.662842,0.080322,-0.215088,2.654614,-6.957495,6.460053,-0.038753,-0.013516,0.02025,0.053467,0.2854,-0.609375,0.528819,-5.919154,7.745825,0.007386,0.011035,-0.008308,-0.250732,0.385986,-0.4375
1.922549,-7.463538,6.072897,-0.030192,-0.001096,-0.002795,-0.330078,0.421631,0.015869,-0.10003,8.451232,5.036227,-0.047381,0.005287,0.010081,0.078369,0.384277,0.523926,-1.907212,-6.854237,6.85758,0.000693,0.005816,-0.002478,0.66333,0.080322,-0.220459,2.747307,-7.003509,6.408908,0.004435,-0.008709,0.002748,0.054443,0.284912,-0.615234,0.564379,-5.946603,7.741225,-0.017066,-0.016286,0.000172,-0.249268,0.386719,-0.442871
1.971133,-7.480455,6.108116,0.021014,0.001706,0.000574,-0.334717,0.425781,0.015381,-0.095898,8.324128,4.993546,-0.008905,0.003502,0.00889,0.070557,0.384033,0.523682,-1.868304,-6.801704,6.862221,-0.001764,-0.004885,-0.002478,0.658203,0.082031,-0.22168,2.698746,-6.924991,6.39872,-0.001821,0.017944,0.013611,0.05127,0.28418,-0.61792,0.621144,-6.030634,7.749726,-0.011417,-0.000112,-0.005597,-0.255371,0.387451,-0.448486
1.932312,-7.390873,6.207291,0.007347,0.004325,-0.002209,-0.335449,0.423828,0.018066,-0.121204,8.474976,4.967325,0.039883,0.012608,0.005673,0.075439,0.378418,0.523438,-1.851074,-6.823405,6.832615,-0.003032,0.010972,0.004617,0.659424,0.08252,-0.217285,2.60214,-6.961762,6.431057,-0.006512,0.011745,0.00981,0.050537,0.287109,-0.612549,0.551333,-6.011255,7.844148,0.021798,0.008492,-0.001188,-0.254639,0.388184,-0.445068
1.907651,-7.370014,6.083434,0.003108,-0.000965,0.003462,-0.334961,0.423584,0.022705,-0.162586,8.529672,5.061103,-0.04716,-0.000932,0.00586,0.069092,0.391846,0.527344,-1.944125,-6.761156,6.876608,0.016302,0.005955,-0.000606,0.661865,0.08374,-0.215576,2.681459,-6.913033,6.443651,0.013213,-0.017469,0.00077,0.050537,0.286865,-0.609375,0.533796,-5.88385,7.680629,0.023624,-0.00641,-0.007661,-0.252686,0.388672,-0.439453
1.958064,-7.448429,6.113796,-0.03035,-8.9e-05,-0.003921,-0.327881,0.412598,0.021729,-0.005358,8.238069,5.006915,-0.052653,-7.1e-05,0.013344,0.070312,0.384521,0.525879,-1.810865,-6.780875,6.87531,-0.035112,-0.000778,-0.003019,0.666016,0.071289,-0.215332,2.769744,-6.984355,6.442972,-0.04179,0.003179,0.02062,0.056641,0.275879,-0.608154,0.605716,-5.900698,7.723932,-0.029189,-0.01003,-8e-06,-0.249023,0.376465,-0.437744
