# sampling frequency: 40
# units are seconds/meters/radians/a.u.
seg1_acc_x,seg1_acc_y,seg1_acc_z,seg1_gyr_x,seg1_gyr_y,seg1_gyr_z,seg1_mag_x,seg1_mag_y,seg1_mag_z,seg2_acc_x,seg2_acc_y,seg2_acc_z,seg2_gyr_x,seg2_gyr_y,seg2_gyr_z,seg2_mag_x,seg2_mag_y,seg2_mag_z,seg3_acc_x,seg3_acc_y,seg3_acc_z,seg3_gyr_x,seg3_gyr_y,seg3_gyr_z,seg3_mag_x,seg3_mag_y,seg3_mag_z,seg4_acc_x,seg4_acc_y,seg4_acc_z,seg4_gyr_x,seg4_gyr_y,seg4_gyr_z,seg4_mag_x,seg4_mag_y,seg4_mag_z,seg5_acc_x,seg5_acc_y,seg5_acc_z,seg5_gyr_x,seg5_gyr_y,seg5_gyr_z,seg5_mag_x,seg5_mag_y,seg5_mag_z
1.829118,-7.325345,6.245688,0.004901,-0.003021,0.001258,-0.339355,0.378418,0.015137,-0.056296,8.320427,5.138731,-0.018545,0.003156,0.007977,0.134766,0.336426,0.562988,-1.6101,-6.993828,6.743479,-0.005313,0.004038,-0.001495,0.640381,0.121582,-0.272461,2.177667,-7.155827,6.42842,0.000433,0.00392,0.008341,0.079102,0.311035,-0.607422,0.567918,-5.815503,7.872723,-0.018924,-0.004733,0.002871,-0.252686,0.383789,-0.428955
1.830571,-7.332129,6.28035,-0.002859,0.002324,-0.001837,-0.344482,0.370361,0.030273,-0.026626,8.340623,5.133155,0.00188,0.005958,0.005934,0.130615,0.339111,0.570068,-1.5386,-7.028847,6.734887,-0.013793,-0.001139,0.000326,0.636475,0.111572,-0.255371,2.1625,-7.184449,6.407926,-0.017535,-0.002981,0.014515,0.074219,0.303467,-0.59375,0.534522,-5.88651,7.820498,-0.000135,0.004849,-0.004452,-0.25708,0.375732,-0.415771
1.823988,-7.333679,6.244043,-0.002163,0.001668,-0.000601,-0.335205,0.375,0.022705,-0.058317,8.356541,5.173856,-0.017631,0.008358,0.009504,0.132568,0.332275,0.560791,-1.55982,-7.02405,6.723474,0.000995,0.008786,-0.003287,0.644531,0.117676,-0.264404,2.18954,-7.191355,6.349302,0.003821,-0.003499,0.004948,0.080322,0.307617,-0.600342,0.55756,-5.845407,7.874732,0.003344,-0.008352,-0.006714,-0.249512,0.37915,-0.42334
1.843487,-7.338643,6.267249,0.002169,0.002356,0.001247,-0.341553,0.376953,0.023682,-0.033748,8.31521,5.154984,-0.015856,0.00031,0.008626,0.133545,0.338135,0.567627,-1.569719,-7.003087,6.736982,-0.006947,-0.003284,-0.001962,0.637207,0.120117,-0.263428,2.198454,-7.122433,6.394312,-0.009528,0.005668,0.012036,0.074707,0.311035,-0.599854,0.589153,-5.86883,7.831542,0.00355,0.004489,-0.00012,-0.255127,0.380859,-0.421387
1.826697,-7.326431,6.259751,0.002814,0.001022,-0.001023,-0.338623,0.376221,0.01709,-0.036622,8.348332,5.148148,0.00217,0.008666,0.007591,0.124023,0.330811,0.562744,-1.534998,-7.036291,6.701771,-0.003353,0.008088,-0.000328,0.642334,0.116455,-0.270752,2.155639,-7.197235,6.356444,-0.009461,0.002769,0.011846,0.082031,0.310303,-0.606934,0.529467,-5.822421,7.869913,0.005979,6.5e-05,-0.007708,-0.251709,0.380859,-0.427979
1.829733,-7.331903,6.280858,-0.000636,0.001208,6.7e-05,-0.348389,0.373779,0.021484,-0.045425,8.354276,5.17027,-0.014559,0.002199,0.00707,0.126709,0.33667,0.562012,-1.5871,-7.009082,6.718226,0.000547,0.007106,0.000483,0.631836,0.117432,-0.266357,2.181628,-7.151396,6.387573,0.00761,0.001616,0.005745,0.071289,0.306396,-0.606201,0.583306,-5.857405,7.842468,-0.011104,-0.010483,0.002936,-0.258545,0.37915,-0.426758
1.824677,-7.344541,6.23689,-0.001906,0.001549,-0.001225,-0.334229,0.376221,0.011963,-0.017579,8.308198,5.163348,-0.014921,0.004607,0.007945,0.132812,0.339111,0.565918,-1.556031,-7.034122,6.722142,-0.012024,0.001456,0.00032,0.644531,0.118408,-0.275635,2.171795,-7.192244,6.38136,-0.021012,0.002868,0.01524,0.083984,0.308838,-0.610596,0.558464,-5.895945,7.828298,0.008109,0.010865,-0.006747,-0.247314,0.379883,-0.434082
1.836387,-7.321636,6.269693,0.013917,0.002434,-0.000331,-0.332764,0.372314,0.020508,-0.057159,8.351048,5.13174,0.004792,0.010104,0.007519,0.132324,0.339844,0.564697,-1.584344,-7.030467,6.723522,0.008954,0.011185,-0.000614,0.646973,0.115967,-0.26709,2.186918,-7.209,6.401061,0.014784,0.00435,0.003858,0.085693,0.307861,-0.604492,0.530925,-5.830842,7.871281,0.012096,-0.009327,-0.002346,-0.244873,0.377441,-0.425049
1.829953,-7.292938,6.265237,-0.00696,-0.00018,0.000878,-0.334961,0.371094,0.02124,-0.033385,8.364887,5.148019,-0.017812,-0.000747,0.008398,0.124756,0.334229,0.565674,-1.574848,-6.983965,6.768535,-0.00188,-0.003111,-0.00479,0.648193,0.115234,-0.26709,2.181542,-7.107934,6.398778,-0.008084,-0.001704,0.009511,0.084229,0.305176,-0.60376,0.583782,-5.836504,7.823676,-0.007141,-0.002929,-0.002972,-0.246094,0.378418,-0.425293
1.838624,-7.370119,6.264587,-0.011035,0.001089,-0.00017,-0.338867,0.376953,0.023438,-0.037848,8.31879,5.158623,-0.01727,0.008139,0.007702,0.123535,0.335449,0.570557,-1.542617,-7.034752,6.727799,-0.025176,0.005761,0.003437,0.640869,0.121582,-0.263184,2.179098,-7.235724,6.3789,-0.026282,0.002684,0.017528,0.079102,0.311035,-0.598633,0.537701,-5.852534,7.85097,-0.005013,0.006132,-0.002697,-0.253418,0.380859,-0.420166
