# sampling frequency: 40
# units are seconds/meters/radians/a.u.
seg1_acc_x,seg1_acc_y,seg1_acc_z,seg1_gyr_x,seg1_gyr_y,seg1_gyr_z,seg1_mag_x,seg1_mag_y,seg1_mag_z,seg2_acc_x,seg2_acc_y,seg2_acc_z,seg2_gyr_x,seg2_gyr_y,seg2_gyr_z,seg2_mag_x,seg2_mag_y,seg2_mag_z,seg3_acc_x,seg3_acc_y,seg3_acc_z,seg3_gyr_x,seg3_gyr_y,seg3_gyr_z,seg3_mag_x,seg3_mag_y,seg3_mag_z,seg4_acc_x,seg4_acc_y,seg4_acc_z,seg4_gyr_x,seg4_gyr_y,seg4_gyr_z,seg4_mag_x,seg4_mag_y,seg4_mag_z,seg5_acc_x,seg5_acc_y,seg5_acc_z,seg5_gyr_x,seg5_gyr_y,seg5_gyr_z,seg5_mag_x,seg5_mag_y,seg5_mag_z
-1.664755,-9.184848,3.040565,0.071087,0.00936,0.004349,0.216309,0.750977,-0.190674,-0.675483,5.127903,8.997688,0.045808,-0.092083,0.047875,0.039795,-0.304443,-0.325928,4.312461,-9.050653,-0.314957,0.145556,0.01904,0.006094,-0.117432,0.413818,-0.152588,1.634247,-7.968906,-5.067635,0.019233,-0.057078,-0.069047,-0.19043,0.430176,0.19043,-0.800651,-8.258229,5.08346,0.119783,-0.008377,-0.002951,0.007568,0.529053,-0.427979
-1.881156,-8.950652,3.147769,-0.003358,-0.021574,-0.014247,0.216553,0.744629,-0.178467,-0.324028,4.423474,8.629191,-0.216699,-0.027834,0.050075,0.044922,-0.301025,-0.338867,4.145019,-8.648906,-0.318754,0.156656,0.066565,0.026184,-0.116699,0.407959,-0.142334,1.756085,-8.362255,-5.110417,-0.03928,0.046221,-0.030743,-0.187012,0.424316,0.202148,-0.77832,-8.078843,5.099092,-0.008479,0.059978,-0.022117,0.009033,0.52124,-0.41748
-1.619697,-9.277339,3.106535,-0.049393,-0.020805,-0.019042,0.211914,0.744873,-0.199951,-0.641876,3.968627,8.592808,0.049949,-0.022843,0.015039,0.03418,-0.296631,-0.330322,4.086957,-8.540006,-0.206646,0.005944,0.002204,-0.005955,-0.119385,0.407227,-0.161621,1.430337,-8.219604,-4.858532,0.139151,0.002792,-0.073316,-0.192383,0.424072,0.179688,-0.971521,-8.460602,5.124013,-0.144086,0.1072,0.016819,0.008545,0.525391,-0.435303
-1.820241,-9.220359,3.160818,0.054869,0.003763,0.001765,0.211426,0.747314,-0.189453,-0.29731,4.605305,8.861989,0.136582,-0.051169,0.020427,0.039062,-0.304199,-0.335693,4.423558,-8.84224,-0.302085,-0.04537,0.005279,0.041862,-0.119385,0.411621,-0.152344,1.779338,-7.510397,-4.826101,0.09793,-0.082404,-0.033656,-0.194092,0.428467,0.190186,-1.142549,-8.70239,5.009961,0.038566,0.030279,-0.011155,0.007812,0.526855,-0.426514
-1.611358,-8.942109,3.115706,-0.029557,0.019836,-0.007839,0.210205,0.742676,-0.19165,-0.476191,4.788892,8.728747,-0.097417,-0.001218,0.045676,0.046631,-0.30542,-0.334961,4.265312,-8.840503,-0.201734,0.048463,0.04111,0.039835,-0.117432,0.405029,-0.154541,1.841936,-7.898739,-5.109425,-0.132686,-0.078334,0.058201,-0.19165,0.425781,0.187988,-0.805873,-8.149888,5.020232,0.114082,-0.021857,-0.04659,0.007324,0.522217,-0.432861
-1.680449,-9.13211,2.967305,-0.096417,-0.001175,-0.011008,0.215088,0.750488,-0.187744,-0.344298,4.301683,8.593411,-0.156472,-0.064671,0.02227,0.044922,-0.304688,-0.329102,4.091755,-8.536189,-0.278739,0.008738,-0.005419,0.0229,-0.113037,0.41626,-0.151123,1.891386,-8.409627,-5.295869,0.044041,0.01913,0.068254,-0.188477,0.430664,0.192383,-0.700962,-8.12516,4.918709,-0.173017,0.063777,0.030447,0.011475,0.536377,-0.423584
-1.642821,-9.068067,2.9688,-0.02854,-0.004494,-0.000906,0.20752,0.744873,-0.192139,-0.344998,4.309351,8.578734,-0.012201,-0.002989,0.017094,0.043701,-0.304199,-0.335938,4.42676,-8.626618,-0.280815,-0.129233,-0.027425,0.042334,-0.121338,0.407715,-0.154541,1.174963,-7.89374,-5.015377,0.086905,0.076385,0.030589,-0.194824,0.425537,0.186279,-0.913885,-8.662644,4.848226,-0.152193,0.09964,0.005915,0.005371,0.527344,-0.425293
-1.450793,-9.092943,3.099973,-0.078637,-0.007093,0.002635,0.216064,0.738037,-0.188965,-0.304822,4.475593,8.676052,-0.050679,-0.085959,0.032171,0.039062,-0.303467,-0.330566,4.463867,-9.107699,-0.370216,-0.058881,0.029436,0.065679,-0.11377,0.401855,-0.151367,1.714151,-8.267747,-5.274706,-0.093669,-0.165047,0.049532,-0.185303,0.417725,0.188721,-0.895984,-8.576453,4.820159,0.058381,0.004228,0.00717,0.015625,0.520508,-0.42749
-1.604793,-9.276411,2.987053,-0.045824,0.066684,0.018197,0.210938,0.742432,-0.191162,-0.075618,4.285339,8.686059,-0.064391,-0.046901,0.058165,0.039062,-0.304688,-0.328613,4.3364,-8.877023,-0.35002,0.180481,0.022586,0.043095,-0.118896,0.40625,-0.161133,1.949716,-8.357805,-5.251174,0.169307,0.103703,-0.059904,-0.192139,0.423096,0.184082,-0.785105,-8.125503,4.858445,0.037208,0.01266,-0.012724,0.007324,0.521484,-0.431885
-1.558453,-9.244675,3.007658,-0.030119,0.00232,-0.00466,0.210938,0.750732,-0.177246,-0.249966,4.509448,8.675491,0.059183,-0.023826,0.015965,0.037842,-0.299805,-0.334229,4.072743,-8.266683,-0.048681,0.022298,0.024184,0.008382,-0.117432,0.410645,-0.146973,1.554984,-7.760424,-4.95955,0.027569,-0.056359,0.039506,-0.191895,0.42749,0.197754,-0.775448,-8.360079,4.870089,-0.174037,0.002422,0.027501,0.01123,0.53125,-0.415283
