# sampling frequency: 40
# units are seconds/meters/radians/a.u.
seg1_acc_x,seg1_acc_y,seg1_acc_z,seg1_gyr_x,seg1_gyr_y,seg1_gyr_z,seg1_mag_x,seg1_mag_y,seg1_mag_z,seg2_acc_x,seg2_acc_y,seg2_acc_z,seg2_gyr_x,seg2_gyr_y,seg2_gyr_z,seg2_mag_x,seg2_mag_y,seg2_mag_z,seg3_acc_x,seg3_acc_y,seg3_acc_z,seg3_gyr_x,seg3_gyr_y,seg3_gyr_z,seg3_mag_x,seg3_mag_y,seg3_mag_z,seg4_acc_x,seg4_acc_y,seg4_acc_z,seg4_gyr_x,seg4_gyr_y,seg4_gyr_z,seg4_mag_x,seg4_mag_y,seg4_mag_z,seg5_acc_x,seg5_acc_y,seg5_acc_z,seg5_gyr_x,seg5_gyr_y,seg5_gyr_z,seg5_mag_x,seg5_mag_y,seg5_mag_z
-1.62544,-9.066994,2.711253,-0.001466,-0.020426,0.003201,0.208496,0.755127,-0.165039,-0.176998,4.304089,8.946714,-0.00389,0.012657,0.011843,0.034424,-0.289307,-0.351807,4.25207,-9.090963,-0.389959,-0.032869,0.02272,0.032349,-0.097656,0.410889,-0.14917,0.961742,-8.426035,-4.833563,0.1037,0.085801,-0.003743,-0.171875,0.430176,0.171143,-0.847587,-8.671886,4.545924,0.175913,-0.025093,-0.026537,0.010742,0.541504,-0.399658
-1.592739,-9.337104,2.625829,-0.02665,-0.022365,-0.004847,0.202881,0.75708,-0.158936,-0.112975,4.158373,8.829373,-0.089426,0.009766,0.020069,0.036865,-0.294922,-0.354492,3.831842,-9.043175,-0.426074,0.067344,0.048614,0.016545,-0.102295,0.41333,-0.14209,1.249383,-8.136695,-4.693531,-0.012836,-0.143691,-0.010938,-0.178467,0.430664,0.177979,-0.845992,-8.178042,4.595377,0.049836,0.013931,0.000905,0.006104,0.543945,-0.398438
-1.571789,-9.131289,2.739923,0.035399,-0.024545,-0.00153,0.206299,0.757324,-0.163086,-0.068406,3.807433,8.806692,-0.060866,0.010366,0.000771,0.037842,-0.295898,-0.350098,3.754515,-8.710049,-0.394646,0.05281,-0.006775,-0.008079,-0.095947,0.415283,-0.145752,1.645239,-8.543772,-5.035876,-0.059405,-0.016809,0.036026,-0.172607,0.435059,0.172852,-0.956264,-8.385544,4.572014,-0.114558,-0.001199,0.005285,0.012939,0.549072,-0.397949
-1.603351,-9.30662,2.717114,-0.094355,0.000976,-0.018647,0.204834,0.750244,-0.153076,-0.06079,4.034259,8.852234,0.095741,0.044614,-0.014571,0.020996,-0.300537,-0.350098,4.01729,-8.80015,-0.282345,-0.10039,-0.036905,0.002946,-0.097656,0.409912,-0.138672,1.348732,-8.342435,-4.955723,0.07955,0.032136,-0.019378,-0.174561,0.425781,0.179932,-0.941023,-8.791838,4.581976,-0.080986,-0.016579,0.002625,0.007812,0.541992,-0.393311
-1.67066,-9.552368,2.633195,0.020968,-0.011578,-0.004898,0.207031,0.753662,-0.165771,-0.198385,4.409385,8.934502,0.007006,0.04642,0.003868,0.031006,-0.291748,-0.355957,4.060786,-9.169311,-0.395297,-0.057498,0.008174,-0.015504,-0.09668,0.408936,-0.149414,1.450425,-8.133801,-4.891999,-0.053907,0.001511,0.047117,-0.169922,0.426758,0.167725,-0.988344,-8.783489,4.534168,0.035137,-0.032944,-0.016434,0.012939,0.546143,-0.400391
-1.610568,-9.214009,2.718757,0.014083,-0.009515,-0.009755,0.208496,0.760498,-0.163086,-0.09048,4.135434,8.972518,-0.106034,0.044218,0.004593,0.026367,-0.288818,-0.351318,4.03516,-8.936692,-0.426805,0.078686,0.01845,-0.028859,-0.094238,0.418701,-0.14917,1.198643,-8.47228,-4.919402,-0.049095,0.033128,0.030879,-0.168457,0.437988,0.169678,-0.855075,-8.58321,4.594753,0.023233,-0.047643,-0.017342,0.012695,0.550293,-0.401611
-1.581983,-9.48751,2.668689,-0.040931,-0.035997,-0.017786,0.204346,0.760498,-0.154541,-0.181705,3.818759,8.901055,-0.014393,0.071448,-0.004082,0.029297,-0.292725,-0.348145,3.751347,-8.758078,-0.454188,0.011855,0.031765,0.035806,-0.097412,0.415771,-0.140625,1.436676,-8.263692,-4.897366,0.104659,-0.040461,-0.065388,-0.171631,0.43457,0.177734,-0.891261,-8.683314,4.575226,-0.047647,-0.010783,-0.000465,0.007812,0.552734,-0.392578
-1.540373,-9.29873,2.730894,0.087328,0.012853,0.006761,0.200439,0.752686,-0.157715,-0.280848,4.195954,8.969098,0.114441,0.036692,-0.035677,0.029785,-0.294434,-0.352783,4.009863,-9.190521,-0.366046,-0.125425,-0.088556,0.041247,-0.101318,0.410645,-0.138428,1.561328,-8.116513,-4.947095,-0.018736,0.04953,0.045792,-0.177979,0.428467,0.177734,-0.956429,-8.77378,4.627696,0.017092,-0.058838,-0.011068,0.004395,0.54541,-0.391846
-1.560266,-9.041164,2.794053,-0.045722,-0.040605,0.003336,0.206543,0.756104,-0.166748,-0.320713,4.647439,8.910189,-0.019921,-0.001846,-0.00137,0.030029,-0.284424,-0.349609,4.383918,-9.428034,-0.442989,-0.003958,0.009092,0.051544,-0.092285,0.411865,-0.147461,1.252829,-8.565791,-5.182874,-0.019403,0.049669,0.063822,-0.168945,0.429199,0.169434,-0.748183,-8.687934,4.636525,-0.017045,-0.077024,0.006832,0.00708,0.54541,-0.402832
-1.391033,-9.252833,2.660543,-0.091666,-0.019932,0.036675,0.211182,0.763916,-0.163818,-0.20899,4.359959,8.772946,-0.207567,-0.059483,0.009999,0.037354,-0.282471,-0.35083,4.04008,-8.941848,-0.314752,0.051096,0.050229,0.019321,-0.092529,0.420166,-0.147705,1.325055,-8.468652,-4.995559,0.073246,-0.01142,0.074103,-0.16748,0.437988,0.166992,-0.612401,-8.830242,4.643353,-0.133358,-0.035111,0.058367,0.014404,0.552979,-0.399414
-1.480792,-9.479626,2.600352,-0.103238,-0.055603,0.057633,0.207275,0.763428,-0.154297,-0.105396,3.938373,8.747647,-0.135364,-0.051106,0.012166,0.025146,-0.289795,-0.350586,4.087668,-8.837803,-0.321869,-0.156501,0.006838,0.036565,-0.092529,0.419189,-0.139404,1.504128,-8.411209,-5.113274,-0.032576,0.019589,0.100354,-0.169189,0.438965,0.174316,-0.675788,-9.23331,4.690651,-0.148757,0.020609,0.091709,0.009766,0.553711,-0.389893
-1.268345,-9.336839,2.672669,0.040847,-0.0629,0.104386,0.200684,0.756592,-0.162109,-0.158058,4.123206,8.766448,-0.016039,-0.111503,0.022012,0.023193,-0.290527,-0.349854,4.158445,-9.434881,-0.479006,-0.161371,0.027366,0.060843,-0.101562,0.412842,-0.143555,1.50572,-8.640864,-5.185847,0.004042,0.011368,0.07649,-0.175537,0.430664,0.167725,-0.596571,-9.17054,5.037993,0.068314,-0.011092,0.097468,0.003662,0.54834,-0.394775
-0.861737,-8.725311,2.959613,-0.095138,-0.015856,0.17386,0.211182,0.767822,-0.158203,0.042883,4.328947,8.527409,-0.198369,-0.212498,0.041227,0.025635,-0.281006,-0.358643,4.209673,-9.442088,-0.384626,-0.033074,-0.045754,0.021909,-0.092529,0.423584,-0.145264,1.844815,-8.623979,-5.752459,-0.03314,0.01106,0.064371,-0.168457,0.438477,0.168945,0.040888,-9.054933,5.628277,-0.236285,0.062887,0.183842,0.016357,0.55957,-0.393311
-0.684008,-9.184004,2.945746,-0.261186,0.147935,0.36739,0.215088,0.760498,-0.159668,-0.244813,3.767663,8.157179,-0.387573,-0.331641,0.166469,0.018311,-0.280518,-0.356689,4.696827,-9.527239,-0.300724,-0.321645,-0.075627,-0.040904,-0.095703,0.420166,-0.141113,2.364039,-9.131751,-6.274314,-0.12696,0.156952,0.257557,-0.164795,0.437012,0.164795,-0.117261,-10.675137,5.957697,-0.722456,0.258827,0.460365,0.023926,0.560059,-0.387939
-0.858005,-9.400297,2.774075,-0.110638,0.319495,0.664842,0.233887,0.764893,-0.158691,-0.760959,3.782059,8.638766,-0.182182,-0.676883,0.32508,0.016113,-0.272949,-0.354736,5.589197,-10.63718,-0.483349,-0.563683,-0.122384,0.104357,-0.088623,0.429199,-0.135742,0.643619,-8.921875,-7.060839,0.104749,0.483473,0.191069,-0.158447,0.442871,0.162354,-0.281674,-12.261382,6.114417,-0.240045,0.213195,0.613893,0.043457,0.567871,-0.386475
-0.518379,-8.363315,2.672125,0.080585,0.493787,0.964628,0.244629,0.757568,-0.146484,-0.81617,4.423833,9.666975,-0.305548,-1.225293,0.682758,-0.004639,-0.276855,-0.365723,6.179431,-13.326819,0.050396,-0.990005,0.089817,0.354558,-0.09375,0.426514,-0.11377,3.877357,-10.235535,-10.263171,-0.445743,-0.428713,0.451883,-0.160645,0.439697,0.182373,0.409325,-11.051124,6.53136,0.566828,0.248548,0.752505,0.056885,0.557129,-0.385498
-0.776844,-8.151974,3.051702,-0.615595,0.820879,1.227572,0.263428,0.757324,-0.135986,-0.500991,3.541716,9.481121,-0.831203,-1.902622,1.094386,-0.029785,-0.270996,-0.369873,5.08803,-15.582174,-0.499885,0.382334,-0.012665,0.701463,-0.091553,0.432373,-0.118652,7.131282,-12.186881,-11.523253,1.113912,2.209153,0.074288,-0.171631,0.451416,0.157959,0.768183,-9.720642,7.209648,-0.25371,0.625926,1.121262,0.077881,0.55835,-0.381836
-0.651024,-11.421619,2.066917,-0.269206,1.242475,1.593214,0.296387,0.757324,-0.135254,0.220444,0.577705,8.694937,-0.339096,-2.616872,1.575056,-0.067871,-0.269287,-0.373535,3.967788,-12.599255,0.978874,2.218584,0.229716,1.118342,-0.080322,0.436768,-0.150391,0.418126,-8.699342,-7.601175,2.178353,3.163625,-0.581203,-0.186279,0.459961,0.114258,-0.171207,-12.55683,6.288782,-0.540263,0.749586,1.495364,0.114746,0.563232,-0.381592
-1.88957,-9.719214,2.740203,0.253649,1.669309,1.824053,0.324951,0.744141,-0.125977,3.08203,1.651712,8.65085,1.273011,-2.60732,1.861849,-0.108643,-0.275391,-0.355957,2.902391,-9.372931,2.678566,1.504322,0.159643,1.004669,-0.075439,0.443115,-0.165283,5.134838,-9.102474,-6.929703,0.850444,2.518681,0.020823,-0.198975,0.462891,0.097168,-0.506438,-12.103421,6.051559,1.00477,0.445012,1.294581,0.143555,0.546143,-0.395996
-2.353817,-8.897775,1.941408,-0.583354,1.963528,1.852891,0.365479,0.735596,-0.105225,3.136475,4.733695,9.522538,1.294911,-2.377597,2.417381,-0.141602,-0.276367,-0.337891,2.845427,-10.857177,2.64372,0.695135,0.263481,1.004448,-0.063721,0.442627,-0.169678,4.701891,-12.015785,-7.362071,1.380804,5.163529,0.25325,-0.20166,0.473389,0.05957,0.51734,-8.075847,6.137052,0.924008,0.519027,1.361878,0.178223,0.526611,-0.402588
-3.662709,-10.79791,0.244885,-0.706437,1.91677,1.736084,0.394287,0.740234,-0.091797,5.634315,2.692602,8.354449,0.808966,-2.398849,2.627952,-0.193359,-0.269531,-0.322998,2.53351,-11.692068,2.336235,1.634277,0.269104,0.614484,-0.062988,0.461426,-0.196289,0.457403,-9.662245,-3.891246,2.072285,4.94315,-0.056493,-0.213135,0.492676,0.000488,-0.176567,-7.393982,5.434146,-0.383198,1.170411,1.523776,0.213379,0.537109,-0.402588
-3.927474,-10.746959,-0.15283,-0.605539,1.704918,1.632828,0.430176,0.715332,-0.076416,8.20756,0.453809,6.358311,2.884559,-2.02558,2.81137,-0.224609,-0.284668,-0.2854,4.228552,-10.000514,2.733467,2.412451,-0.07925,0.392435,-0.058105,0.445801,-0.22876,5.064209,-11.252558,-5.953196,0.689254,4.607785,-0.111108,-0.208496,0.485107,-0.035889,-1.20843,-10.160311,4.213243,-0.90311,1.48603,1.405853,0.260742,0.523438,-0.386719
-4.449156,-13.063788,-1.192803,-0.747808,1.437737,1.346184,0.444092,0.713379,-0.057373,11.990479,2.706107,6.40955,4.524983,-1.151181,2.699489,-0.250488,-0.297607,-0.244141,5.148948,-10.300048,0.819761,2.574945,0.14152,-0.077329,-0.072021,0.448486,-0.261475,6.26022,-15.673704,-8.243076,2.388619,6.80124,-0.459545,-0.216797,0.489014,-0.108154,-1.54805,-11.37127,2.90566,0.356149,1.776601,1.200916,0.289551,0.519775,-0.380615
-4.260788,-13.092134,-2.208151,0.520614,1.244164,1.328824,0.457764,0.712158,-0.054199,8.601172,-0.993765,4.47466,4.701993,-0.140394,2.87403,-0.269775,-0.306152,-0.208008,2.297053,-12.627862,-0.962014,4.37926,-0.495979,0.144344,-0.086426,0.442627,-0.313721,-3.136624,-10.299089,-5.330881,5.786254,8.361932,-1.727786,-0.213135,0.465576,-0.237549,-2.208322,-9.467835,3.225015,0.882007,2.199445,0.730319,0.320312,0.510742,-0.373535
