# sampling frequency: 40
# units are seconds/meters/radians/a.u.
seg1_acc_x,seg1_acc_y,seg1_acc_z,seg1_gyr_x,seg1_gyr_y,seg1_gyr_z,seg1_mag_x,seg1_mag_y,seg1_mag_z,seg2_acc_x,seg2_acc_y,seg2_acc_z,seg2_gyr_x,seg2_gyr_y,seg2_gyr_z,seg2_mag_x,seg2_mag_y,seg2_mag_z,seg3_acc_x,seg3_acc_y,seg3_acc_z,seg3_gyr_x,seg3_gyr_y,seg3_gyr_z,seg3_mag_x,seg3_mag_y,seg3_mag_z,seg4_acc_x,seg4_acc_y,seg4_acc_z,seg4_gyr_x,seg4_gyr_y,seg4_gyr_z,seg4_mag_x,seg4_mag_y,seg4_mag_z,seg5_acc_x,seg5_acc_y,seg5_acc_z,seg5_gyr_x,seg5_gyr_y,seg5_gyr_z,seg5_mag_x,seg5_mag_y,seg5_mag_z
1.790098,-7.41624,6.218677,-0.004696,0.004085,0.000529,-0.320312,0.398926,-0.040771,-0.061,8.264039,5.185803,0.002012,0.006411,0.002937,0.050293,0.347412,0.567139,-1.328608,-7.175711,6.612916,-0.009946,0.007953,0.00344,0.645264,0.13623,-0.210693,1.881892,-7.323523,6.305655,-0.007879,0.005054,0.011746,0.130371,0.330078,-0.585938,0.609687,-6.015875,7.765949,-0.002304,0.001107,-0.007028,-0.241455,0.38501,-0.459717
1.803857,-7.359692,6.236692,0.012908,-0.002377,0.001194,-0.325195,0.389404,-0.04248,-0.064199,8.3443,5.198342,0.001553,0.006601,0.004213,0.048828,0.338623,0.563721,-1.346193,-7.16782,6.649384,0.003897,0.005526,0.000151,0.645508,0.126221,-0.210449,1.909707,-7.339481,6.312342,0.001243,-0.004523,0.005299,0.126953,0.319092,-0.584229,0.601186,-6.043003,7.720401,-0.000282,-0.001107,0.001559,-0.243896,0.371094,-0.458984
1.79162,-7.384894,6.224499,-0.009152,0.003286,-0.000585,-0.325195,0.395508,-0.041016,-0.044657,8.296965,5.207453,-0.028913,0.00339,0.006437,0.04541,0.356201,0.561523,-1.319233,-7.1553,6.638008,-0.003472,0.002774,0.000184,0.639648,0.134766,-0.209961,1.945265,-7.305499,6.311828,-0.003365,0.007556,0.009946,0.124023,0.325195,-0.585205,0.621077,-6.011956,7.710905,0.016292,-0.00364,-0.009553,-0.248779,0.37915,-0.458252
1.796646,-7.397542,6.221698,0.006659,0.00079,0.000573,-0.330566,0.394287,-0.037109,-0.048155,8.263876,5.180302,-0.004012,0.00822,0.005085,0.046387,0.352783,0.570557,-1.333687,-7.156954,6.63608,-0.008663,0.005216,-2.9e-05,0.637939,0.130615,-0.208496,1.891631,-7.343654,6.309409,-0.010869,0.003098,0.012325,0.121094,0.32251,-0.582275,0.623379,-5.984764,7.741711,-0.009557,-8.1e-05,-0.001147,-0.253174,0.375977,-0.457031
1.804192,-7.360395,6.247492,0.003481,0.002213,0.001293,-0.325439,0.393555,-0.035156,-0.063249,8.34049,5.204465,0.005312,0.004634,0.003349,0.050049,0.345215,0.563721,-1.332816,-7.162351,6.61606,-0.001932,0.000796,-0.001963,0.639404,0.133057,-0.206055,1.902441,-7.333335,6.30839,0.001165,-0.003246,0.005174,0.127197,0.32373,-0.579346,0.603492,-6.042275,7.72079,-0.007162,-0.000134,0.000409,-0.246582,0.375244,-0.454102
1.815278,-7.391946,6.200887,-0.007959,0.00111,-0.001908,-0.335449,0.398926,-0.037598,-0.036972,8.323522,5.212929,-0.028163,0.005696,0.005623,0.047119,0.342773,0.564941,-1.326873,-7.142599,6.610793,-0.006188,0.004816,-0.000502,0.631348,0.135742,-0.20459,1.913685,-7.323012,6.307252,-0.010982,-0.001523,0.011611,0.115234,0.328125,-0.580322,0.611507,-6.014985,7.717011,0.01598,-0.00533,-0.008181,-0.25708,0.381592,-0.454346
1.788163,-7.395092,6.233772,0.00896,0.002462,-0.00029,-0.317383,0.396973,-0.039551,-0.058758,8.246656,5.170308,-0.011388,0.006122,0.006973,0.041992,0.3479,0.568115,-1.334426,-7.172698,6.636538,-0.00206,0.003378,7.7e-05,0.651123,0.134521,-0.211426,1.913582,-7.326853,6.292811,-0.000877,0.004967,0.009423,0.132568,0.325684,-0.584229,0.645505,-5.981069,7.75038,-0.007856,-0.001232,-1.4e-05,-0.238525,0.379639,-0.458496
1.821806,-7.353179,6.21716,0.0,0.0,0.0,-0.320312,0.398438,-0.031494,-0.050075,8.339989,5.199554,0.01202,0.005278,0.003017,0.043457,0.349121,0.563721,-1.328835,-7.152538,6.631645,-0.001754,0.003104,0.000581,0.647705,0.133301,-0.202881,1.895209,-7.310339,6.287432,-0.000331,0.005599,0.009167,0.132812,0.324707,-0.577148,0.617625,-6.038369,7.715007,-0.001849,0.004843,-0.00258,-0.24292,0.377686,-0.449951
1.79696,-7.384795,6.204622,-0.007478,0.001762,-0.000258,-0.325684,0.402344,-0.032227,-0.073742,8.328677,5.214695,-0.028435,0.007563,0.0075,0.050049,0.347168,0.570068,-1.3363,-7.148917,6.619443,-0.004853,0.00697,0.000615,0.639404,0.13623,-0.200439,1.905733,-7.333643,6.320601,-0.01296,-0.000934,0.011552,0.123535,0.32959,-0.574219,0.605111,-6.004372,7.721293,0.007012,-0.008528,-0.005711,-0.249268,0.38208,-0.451172
1.805755,-7.387987,6.203317,0.010578,0.00148,-0.00042,-0.31958,0.401367,-0.037842,-0.048189,8.240796,5.177164,-0.012922,0.003899,0.005096,0.04541,0.348633,0.566406,-1.330969,-7.165115,6.642431,-0.00607,0.002836,0.002125,0.646484,0.136719,-0.207275,1.901317,-7.349132,6.300408,0.00119,0.002874,0.007685,0.130615,0.331543,-0.582275,0.644051,-6.012293,7.728082,0.001051,0.000797,-0.002856,-0.244141,0.386475,-0.453369
1.798052,-7.332979,6.224277,0.004074,0.001828,-0.000857,-0.328369,0.389404,-0.031006,-0.049007,8.333249,5.195943,0.0168,0.008179,0.002682,0.044434,0.344971,0.570801,-1.332371,-7.162605,6.652051,0.009318,0.006673,-0.002,0.637207,0.128174,-0.197998,1.911253,-7.294673,6.314674,0.00687,0.002089,0.005236,0.125244,0.318604,-0.572754,0.581124,-6.006378,7.748306,0.004786,0.004229,-0.004577,-0.250977,0.370605,-0.447266
1.804343,-7.399585,6.222076,-0.01382,0.001888,-0.002298,-0.323975,0.401367,-0.033447,-0.056373,8.311874,5.225352,-0.033047,0.00196,0.006096,0.044922,0.351807,0.566162,-1.334786,-7.12016,6.65178,-0.009737,0.0009,-0.0004,0.644043,0.137695,-0.206299,1.916219,-7.303245,6.323295,-0.016928,0.000469,0.013357,0.126709,0.32959,-0.577637,0.610362,-5.99761,7.714417,-0.004852,-0.012719,-0.001305,-0.247559,0.38501,-0.451904
1.784992,-7.391107,6.215944,0.013847,0.003098,0.000278,-0.333252,0.395996,-0.043701,-0.051835,8.253992,5.166559,-0.01105,0.008519,0.005696,0.05249,0.346924,0.558594,-1.296501,-7.189998,6.627636,-0.015861,0.004767,0.002539,0.633301,0.132812,-0.2146,1.887339,-7.385343,6.288755,-0.006618,0.003533,0.009563,0.115479,0.327148,-0.587402,0.633238,-6.022882,7.728881,0.001862,0.009271,-0.003348,-0.257324,0.377686,-0.463135
