# sampling frequency: 40
# units are seconds/meters/radians/a.u.
seg1_acc_x,seg1_acc_y,seg1_acc_z,seg1_gyr_x,seg1_gyr_y,seg1_gyr_z,seg1_mag_x,seg1_mag_y,seg1_mag_z,seg2_acc_x,seg2_acc_y,seg2_acc_z,seg2_gyr_x,seg2_gyr_y,seg2_gyr_z,seg2_mag_x,seg2_mag_y,seg2_mag_z,seg3_acc_x,seg3_acc_y,seg3_acc_z,seg3_gyr_x,seg3_gyr_y,seg3_gyr_z,seg3_mag_x,seg3_mag_y,seg3_mag_z,seg4_acc_x,seg4_acc_y,seg4_acc_z,seg4_gyr_x,seg4_gyr_y,seg4_gyr_z,seg4_mag_x,seg4_mag_y,seg4_mag_z,seg5_acc_x,seg5_acc_y,seg5_acc_z,seg5_gyr_x,seg5_gyr_y,seg5_gyr_z,seg5_mag_x,seg5_mag_y,seg5_mag_z
1.832998,-7.371274,6.193286,0.005963,0.002094,0.000417,-0.325928,0.417969,0.01709,-0.044007,8.402737,5.019866,-0.012421,0.006648,0.004622,0.074707,0.398438,0.527344,-1.575836,-7.069902,6.729076,-0.019966,0.006151,0.005377,0.634521,0.139648,-0.205322,2.186559,-7.253783,6.341795,-0.006999,0.000189,0.010712,0.093262,0.317383,-0.586426,0.4804,-6.090247,7.693513,-0.022929,0.006125,0.002513,-0.246338,0.404053,-0.390137
1.852894,-7.381706,6.209198,-0.005706,0.00118,-0.001145,-0.322754,0.416748,0.011719,0.011366,8.382772,5.03791,-0.008819,0.001527,0.003694,0.079102,0.398438,0.529541,-1.568087,-7.05948,6.699095,0.013215,0.002633,-0.002707,0.63916,0.137939,-0.211182,2.175836,-7.198182,6.352758,0.006789,0.005182,0.005336,0.095459,0.314453,-0.592285,0.433929,-6.141838,7.651228,0.006344,-0.000522,-0.002411,-0.242676,0.403809,-0.397461
1.818023,-7.408208,6.211626,-0.000209,0.001523,-0.001375,-0.319336,0.416504,0.011475,-0.038366,8.408411,5.051414,-0.006433,0.011243,0.005443,0.073975,0.398438,0.530762,-1.578959,-6.983752,6.741394,0.00264,0.008433,-0.001206,0.642578,0.137451,-0.209717,2.161429,-7.1723,6.355807,-0.007793,0.002225,0.011125,0.098389,0.318848,-0.59082,0.47413,-6.075024,7.689419,0.01742,-0.007709,-0.010014,-0.239746,0.405518,-0.395264
1.835793,-7.372882,6.21275,0.006792,-0.000972,0.000604,-0.321533,0.416504,0.016602,-0.035646,8.379411,5.036952,-0.013394,-0.000866,0.004967,0.076904,0.391113,0.534668,-1.572585,-7.02702,6.735967,-0.020822,-0.000821,0.003732,0.640625,0.136475,-0.203857,2.180242,-7.224286,6.339917,-0.00881,-0.001984,0.010274,0.096436,0.319336,-0.58252,0.463806,-6.090563,7.658495,-0.015807,0.00174,0.005505,-0.241455,0.403564,-0.390625
1.841566,-7.364704,6.222959,-0.002392,0.00376,-0.001573,-0.314697,0.424316,0.026367,-0.006298,8.395563,5.025367,-0.007715,0.010845,0.004611,0.085693,0.39502,0.533447,-1.547709,-7.056583,6.715074,0.003022,0.006164,-0.001331,0.646973,0.141846,-0.197754,2.170549,-7.222758,6.343516,-0.002899,0.002328,0.00738,0.103271,0.322754,-0.577393,0.420686,-6.111016,7.665211,0.009413,0.003466,-0.009533,-0.236816,0.4104,-0.383301
1.823531,-7.410481,6.191091,-0.005765,-0.000965,-0.000323,-0.317139,0.416504,0.016357,-0.031036,8.406122,5.07338,-0.012515,0.005513,0.005794,0.080078,0.406494,0.527832,-1.611991,-7.007234,6.708109,0.001962,0.005222,-0.000881,0.645996,0.136963,-0.205566,2.168152,-7.182011,6.35691,-0.0016,0.003453,0.006545,0.103027,0.314941,-0.584717,0.471735,-6.10541,7.684573,-0.007697,-0.010691,-0.000307,-0.236572,0.402588,-0.390869
1.842443,-7.397726,6.199955,0.012884,0.002946,-0.001358,-0.319824,0.414062,0.017578,0.003208,8.381916,5.02068,-0.006503,0.005185,0.003481,0.080078,0.394531,0.531982,-1.558056,-7.02792,6.729064,-0.011177,-0.002292,0.001509,0.64502,0.134521,-0.202148,2.170502,-7.216362,6.343092,-0.013785,0.001167,0.01375,0.101807,0.313477,-0.582275,0.472934,-6.109292,7.649907,0.011512,0.008551,-0.0051,-0.237305,0.401611,-0.386963
1.817102,-7.340289,6.210111,-0.001634,0.001015,0.000171,-0.324219,0.418457,0.019775,-0.040188,8.409019,5.049917,-0.010491,0.010477,0.006197,0.081055,0.400879,0.534668,-1.57795,-7.033955,6.700914,0.00409,0.010655,-0.000788,0.638672,0.136963,-0.206055,2.180868,-7.232092,6.332279,0.007914,0.002519,0.004136,0.093994,0.319824,-0.582764,0.418587,-6.068654,7.697154,0.002897,-0.005926,-0.005082,-0.244629,0.405029,-0.391846
1.853671,-7.403783,6.217633,-0.009301,0.000443,-0.000534,-0.322754,0.413818,0.017822,-0.007336,8.382246,5.053147,-0.007678,0.000107,0.003262,0.078857,0.4021,0.533447,-1.587222,-7.013344,6.758028,-0.006332,0.000274,-0.000525,0.639404,0.135742,-0.206543,2.181893,-7.173122,6.361358,-0.008711,0.002941,0.01207,0.094727,0.313721,-0.587158,0.49299,-6.115529,7.660062,-0.006681,-0.00436,0.001867,-0.243896,0.402832,-0.391357
1.840449,-7.396644,6.190732,0.010981,0.003153,0.000277,-0.318848,0.416504,0.013184,-0.016031,8.407603,5.055541,-0.005492,0.012251,0.004462,0.081055,0.395752,0.528076,-1.570135,-7.028421,6.691472,-0.006706,0.006093,0.000592,0.644287,0.13623,-0.209229,2.168551,-7.231985,6.335147,-0.012666,-7.9e-05,0.011416,0.099854,0.313721,-0.589355,0.424697,-6.109662,7.666069,0.002729,0.007418,-0.008206,-0.240723,0.404297,-0.394043
1.826605,-7.345329,6.218404,0.000339,0.0003,-0.001005,-0.320801,0.416016,0.022217,-0.040376,8.384403,5.027692,-0.020767,0.00218,0.006026,0.06958,0.386719,0.531982,-1.579643,-7.039977,6.719861,-0.000756,0.001669,0.000636,0.639648,0.135498,-0.198486,2.178348,-7.217979,6.345305,0.005365,0.004137,0.005575,0.0979,0.314941,-0.579102,0.465288,-6.110797,7.659129,0.002734,-0.013259,0.001979,-0.240723,0.402588,-0.385498
1.841802,-7.396991,6.201022,-0.005846,0.002195,-0.002062,-0.314941,0.414307,0.021729,-0.003846,8.381029,5.026819,0.004522,0.009993,0.002782,0.067627,0.393555,0.530273,-1.555632,-7.022927,6.726794,-0.002077,0.004718,-0.000949,0.647949,0.132324,-0.203613,2.144001,-7.207012,6.363672,-0.009554,0.001809,0.012152,0.10376,0.312744,-0.583008,0.470042,-6.079138,7.686616,0.012217,0.008015,-0.008351,-0.235596,0.399902,-0.388428
1.81739,-7.373159,6.187471,0.009768,0.001309,0.001181,-0.321533,0.414307,0.011963,-0.054852,8.428321,5.044291,-0.0158,0.006636,0.0052,0.079346,0.387207,0.528076,-1.586993,-7.012655,6.724181,-0.004874,0.006044,0.000881,0.638672,0.137695,-0.211426,2.17871,-7.199413,6.33793,0.001233,-0.004776,0.006248,0.097168,0.313232,-0.591064,0.431394,-6.077581,7.671998,-0.014153,-0.003641,0.00114,-0.243896,0.400879,-0.395752
1.839224,-7.362458,6.215216,-0.006242,-6.5e-05,-0.002251,-0.318115,0.41333,0.016846,0.009269,8.381389,5.062437,-0.015735,0.002394,0.004494,0.079346,0.392822,0.530029,-1.56296,-7.03261,6.723024,-0.011728,-0.000233,0.000656,0.645752,0.134766,-0.205078,2.204599,-7.203757,6.345352,-0.017256,0.005622,0.014437,0.101074,0.311768,-0.583252,0.486688,-6.117661,7.646906,0.004741,-0.00621,-0.004454,-0.236084,0.401855,-0.390869
1.831165,-7.423547,6.160928,0.001891,0.00226,-0.000899,-0.317871,0.419434,0.013428,-0.047354,8.399542,5.024382,-0.000287,0.012709,0.004408,0.07666,0.390869,0.52832,-1.578957,-7.043996,6.706822,0.000372,0.00702,9.9e-05,0.643799,0.138916,-0.207764,2.154347,-7.238367,6.344229,0.002561,0.004527,0.006943,0.098145,0.320312,-0.59082,0.459434,-6.099508,7.685761,0.002307,0.003026,-0.005491,-0.239258,0.407471,-0.393555
1.841863,-7.36358,6.235291,0.010036,0.001932,0.001734,-0.310791,0.413574,0.020264,-0.021402,8.414127,5.043785,-0.008793,-4.4e-05,0.003891,0.075439,0.395508,0.530029,-1.583134,-7.006774,6.723172,0.005099,0.001446,-0.000379,0.651123,0.133057,-0.203369,2.159759,-7.15822,6.367645,0.003885,-0.000772,0.006042,0.107422,0.311035,-0.582031,0.447874,-6.119158,7.641961,0.001725,-0.000388,0.003746,-0.229248,0.401123,-0.385498
1.829632,-7.400974,6.213892,-0.010525,0.001435,-0.002927,-0.328125,0.413818,0.011963,-0.01196,8.401463,5.037459,-0.01489,0.010329,0.005126,0.076904,0.397461,0.535889,-1.570843,-7.005374,6.727144,-0.010002,0.006789,-0.0005,0.635254,0.134766,-0.210449,2.195011,-7.215999,6.342423,-0.019047,-0.00297,0.013932,0.088623,0.314209,-0.588623,0.435953,-6.067328,7.677511,0.012126,-0.004514,-0.013853,-0.249023,0.400391,-0.396729
1.82495,-7.420571,6.182502,0.003524,0.001059,0.000947,-0.318115,0.422852,0.020752,-0.043787,8.388967,5.04243,-0.013347,0.002929,0.004694,0.06958,0.397705,0.531006,-1.593677,-7.051666,6.721378,-0.010888,0.003186,0.001303,0.645752,0.142334,-0.203613,2.188911,-7.229281,6.3616,0.003021,0.004518,0.006189,0.100586,0.322754,-0.581787,0.491851,-6.099258,7.678267,-0.026844,-0.003061,0.00523,-0.239014,0.411865,-0.390869
1.844395,-7.35367,6.226318,0.007598,0.001081,0.000247,-0.313965,0.42627,0.017334,-0.003615,8.3941,5.045054,0.001388,0.005995,0.00413,0.078613,0.388428,0.52832,-1.561456,-7.050398,6.711535,0.003562,0.000555,-0.001472,0.648438,0.147217,-0.20459,2.154615,-7.203864,6.35117,-0.005395,0.006408,0.009722,0.103271,0.327148,-0.58667,0.434838,-6.15314,7.644879,0.016612,0.009041,-0.006062,-0.235352,0.414307,-0.389893
1.821016,-7.363178,6.189358,-0.007469,0.000556,-0.000611,-0.321045,0.416748,0.01416,-0.034664,8.412413,5.033249,-0.017674,0.008839,0.005592,0.070068,0.393555,0.526367,-1.583537,-6.996393,6.709199,0.002028,0.009632,-0.000966,0.640869,0.138184,-0.207764,2.144963,-7.202006,6.355109,-0.002549,-0.006129,0.007657,0.098633,0.317627,-0.587402,0.42997,-6.052008,7.695273,0.016269,-0.013367,-0.006998,-0.241455,0.40625,-0.394531
1.843301,-7.407804,6.191545,0.004131,0.001981,0.000494,-0.316162,0.421143,0.016846,-0.006998,8.367864,5.053789,-0.01276,0.001439,0.004579,0.070801,0.392578,0.532715,-1.5852,-7.023884,6.720547,-0.015381,0.00054,0.001444,0.646973,0.14209,-0.211426,2.19599,-7.188772,6.312554,-0.006163,-9.4e-05,0.011766,0.101807,0.323486,-0.586426,0.495293,-6.093079,7.670881,-0.020765,0.001033,0.002019,-0.237305,0.410645,-0.394775
