# sampling frequency: 40
# units are seconds/meters/radians/a.u.
seg1_acc_x,seg1_acc_y,seg1_acc_z,seg1_gyr_x,seg1_gyr_y,seg1_gyr_z,seg1_mag_x,seg1_mag_y,seg1_mag_z,seg2_acc_x,seg2_acc_y,seg2_acc_z,seg2_gyr_x,seg2_gyr_y,seg2_gyr_z,seg2_mag_x,seg2_mag_y,seg2_mag_z,seg3_acc_x,seg3_acc_y,seg3_acc_z,seg3_gyr_x,seg3_gyr_y,seg3_gyr_z,seg3_mag_x,seg3_mag_y,seg3_mag_z,seg4_acc_x,seg4_acc_y,seg4_acc_z,seg4_gyr_x,seg4_gyr_y,seg4_gyr_z,seg4_mag_x,seg4_mag_y,seg4_mag_z,seg5_acc_x,seg5_acc_y,seg5_acc_z,seg5_gyr_x,seg5_gyr_y,seg5_gyr_z,seg5_mag_x,seg5_mag_y,seg5_mag_z
1.989477,-7.527315,6.031924,-0.001772,0.002519,-0.001389,-0.306641,0.380127,-0.04834,-0.224091,8.289871,5.133194,-0.002562,0.008794,0.005135,-0.009033,0.31958,0.582031,-1.313723,-7.065087,6.717156,0.013678,0.007829,-0.004245,0.649902,0.134521,-0.182861,1.961964,-7.286384,6.319322,-0.003083,0.004648,0.01,0.128662,0.327148,-0.583008,0.448858,-6.420332,7.496817,0.020728,0.000965,-0.013033,-0.242188,0.394043,-0.407471
1.988202,-7.472195,5.996449,0.01467,0.001645,0.003343,-0.310303,0.384521,-0.049072,-0.255022,8.373243,5.115173,0.003084,0.008275,0.002624,-0.00708,0.314453,0.575195,-1.318978,-7.052441,6.684636,-0.014449,-0.003274,-0.000447,0.64624,0.137207,-0.184326,1.939578,-7.246139,6.303271,-0.004481,-0.008844,0.006504,0.124268,0.330322,-0.584717,0.430474,-6.309373,7.514024,0.021098,-0.002092,-0.000511,-0.243652,0.397949,-0.40918
1.987363,-7.461529,6.056244,-0.009673,-0.000552,-0.001348,-0.313965,0.380371,-0.044189,-0.216174,8.337311,5.152985,-0.028934,0.002718,0.005437,-0.010254,0.318115,0.570312,-1.27503,-7.141888,6.663332,-0.024743,0.006534,0.003234,0.642822,0.130859,-0.176025,1.962431,-7.302648,6.271594,-0.025861,0.002077,0.016423,0.124756,0.328369,-0.582764,0.428828,-6.258368,7.458913,0.010223,-0.00014,-0.004433,-0.247314,0.395264,-0.40625
1.967195,-7.549722,6.022945,-0.00839,0.003901,-0.001689,-0.322266,0.38208,-0.051514,-0.251032,8.270871,5.139963,-0.003486,0.012507,0.003938,-0.018311,0.309814,0.571777,-1.340157,-7.146588,6.676893,0.013955,0.008685,-0.001553,0.634766,0.133301,-0.186768,1.939368,-7.359157,6.275546,0.010096,0.007668,0.005704,0.112061,0.328613,-0.588623,0.441926,-6.291542,7.528436,-0.032936,-0.003885,-0.004504,-0.257812,0.397461,-0.409424
1.990001,-7.494686,6.015267,0.023364,-0.0004,0.002535,-0.312012,0.387695,-0.043457,-0.246727,8.369214,5.135454,0.00883,-0.000877,0.004202,-0.008301,0.314697,0.570557,-1.303996,-7.069552,6.708613,0.013078,0.001731,-0.001424,0.643066,0.142334,-0.175781,1.977301,-7.246568,6.354013,0.014781,0.003841,0.005087,0.122803,0.334473,-0.578613,0.448664,-6.461897,7.433852,-0.011404,0.001109,0.005894,-0.248291,0.401367,-0.405518
1.989772,-7.429643,6.059003,-0.005379,0.004336,-0.002253,-0.314453,0.380127,-0.048584,-0.198007,8.364204,5.115763,-0.01203,0.010004,0.004463,-0.011719,0.311035,0.564453,-1.32591,-7.062652,6.711819,-0.007856,0.011406,0.003177,0.642822,0.134521,-0.181396,1.942447,-7.283983,6.355535,-0.016827,0.006997,0.015535,0.123047,0.328613,-0.58667,0.387282,-6.297675,7.47409,0.069159,0.002672,-0.018574,-0.249268,0.396484,-0.4104
1.999424,-7.520166,6.013889,-0.009282,-0.001958,0.001154,-0.318115,0.377441,-0.049316,-0.249902,8.312076,5.158179,-0.025368,0.003881,0.005962,-0.010742,0.317383,0.576172,-1.298816,-7.105409,6.703569,-0.016854,-0.003788,1e-06,0.637695,0.128174,-0.182129,1.976089,-7.318779,6.342352,-0.014799,-0.010023,0.010112,0.120361,0.324463,-0.583252,0.478791,-6.20744,7.550664,-0.026841,-0.018314,0.002879,-0.25293,0.390869,-0.408691
1.979199,-7.522941,6.044228,0.003403,0.007301,0.001286,-0.306641,0.38208,-0.041992,-0.205905,8.313669,5.136971,0.002762,0.009343,0.004261,-0.011475,0.318115,0.572021,-1.300062,-7.182693,6.697935,-0.011203,0.009584,0.000794,0.647949,0.134033,-0.175781,1.984601,-7.339335,6.294626,-0.002968,0.008303,0.011331,0.127197,0.329102,-0.578613,0.459873,-6.433552,7.452143,-0.052049,0.024681,0.005941,-0.245605,0.397949,-0.402588
1.952865,-7.456237,6.03133,0.016491,-0.00369,-0.000547,-0.321045,0.384033,-0.041016,-0.287512,8.386585,5.107023,0.003511,0.006094,0.005819,-0.010498,0.312988,0.565186,-1.383593,-7.072767,6.694198,0.036401,0.004887,-0.00446,0.634766,0.133301,-0.174316,1.879197,-7.242866,6.341029,0.026125,0.004059,-0.000942,0.114014,0.329346,-0.576172,0.320822,-6.366799,7.442161,0.065378,0.002021,-0.010978,-0.258301,0.397705,-0.400635
1.992291,-7.441408,6.039266,-0.011816,0.00315,-0.0001,-0.314697,0.376709,-0.045166,-0.19956,8.338907,5.137901,-0.036852,0.001843,0.003043,-0.010986,0.304688,0.571533,-1.268094,-6.978985,6.71959,-0.015719,-0.001569,-0.002474,0.640137,0.129639,-0.179443,2.010857,-7.227272,6.332485,-0.030489,-0.012317,0.015331,0.119873,0.32373,-0.580566,0.482335,-6.16478,7.523084,0.028826,-0.037501,-0.009919,-0.250488,0.389648,-0.404541
2.006374,-7.577911,6.019763,-0.01862,-0.00318,-0.003325,-0.316406,0.385742,-0.043701,-0.235839,8.296063,5.15266,0.004279,0.008556,0.00839,-0.013672,0.305176,0.578857,-1.32127,-7.192006,6.675404,-0.047001,0.008117,0.012132,0.639404,0.134766,-0.176514,1.965407,-7.40417,6.295132,-0.018392,0.016669,0.017628,0.120605,0.330811,-0.579346,0.518897,-6.302445,7.526074,-0.081565,0.021982,0.006956,-0.252686,0.400146,-0.401855
1.971376,-7.508077,6.017107,0.033497,0.012249,0.004943,-0.310059,0.385986,-0.053711,-0.222238,8.376348,5.123237,-0.000895,0.007619,8.3e-05,-0.008301,0.309082,0.575195,-1.299803,-7.1765,6.697583,0.032964,0.000716,-0.009921,0.648438,0.137939,-0.1875,1.94978,-7.287827,6.359167,0.034644,-0.002399,-0.004546,0.126221,0.334473,-0.589355,0.363265,-6.554102,7.439588,-0.016797,0.008534,0.004258,-0.244873,0.397461,-0.413086
1.92567,-7.379492,6.08786,-0.00108,-0.005303,-0.000731,-0.314697,0.384277,-0.044678,-0.304438,8.357262,5.110358,-0.01153,0.006575,0.011553,-0.014648,0.312988,0.571289,-1.366331,-6.989585,6.717644,0.027674,0.015369,0.002257,0.639648,0.135254,-0.180908,1.943395,-7.212967,6.348543,-0.018068,0.009099,0.016979,0.119873,0.330811,-0.582275,0.394182,-6.298572,7.423374,0.128629,-0.008118,-0.015563,-0.250488,0.398193,-0.406738
2.005284,-7.522389,5.995245,-0.022224,0.000649,-0.003067,-0.309814,0.390137,-0.043457,-0.190357,8.340057,5.147816,-0.017843,-0.00356,-0.000254,-0.018311,0.304932,0.56543,-1.315262,-7.02182,6.722469,-0.039621,-0.015327,-0.0017,0.64624,0.141846,-0.177734,1.923665,-7.368675,6.333318,-0.027377,-0.011692,0.010016,0.125977,0.334961,-0.57959,0.423564,-5.989026,7.567169,-0.010305,-0.024592,-0.012765,-0.246826,0.403809,-0.404785
