# sampling frequency: 40
# units are seconds/meters/radians/a.u.
seg1_acc_x,seg1_acc_y,seg1_acc_z,seg1_gyr_x,seg1_gyr_y,seg1_gyr_z,seg1_mag_x,seg1_mag_y,seg1_mag_z,seg2_acc_x,seg2_acc_y,seg2_acc_z,seg2_gyr_x,seg2_gyr_y,seg2_gyr_z,seg2_mag_x,seg2_mag_y,seg2_mag_z,seg3_acc_x,seg3_acc_y,seg3_acc_z,seg3_gyr_x,seg3_gyr_y,seg3_gyr_z,seg3_mag_x,seg3_mag_y,seg3_mag_z,seg4_acc_x,seg4_acc_y,seg4_acc_z,seg4_gyr_x,seg4_gyr_y,seg4_gyr_z,seg4_mag_x,seg4_mag_y,seg4_mag_z,seg5_acc_x,seg5_acc_y,seg5_acc_z,seg5_gyr_x,seg5_gyr_y,seg5_gyr_z,seg5_mag_x,seg5_mag_y,seg5_mag_z
1.996261,-7.520732,6.024293,-0.024148,0.002963,-0.002439,-0.309082,0.380859,-0.044434,-0.249414,8.403985,5.126425,-0.013877,0.008083,0.003803,-0.012939,0.312988,0.578369,-1.319087,-7.160472,6.693082,4.7e-05,0.010597,-0.001596,0.64624,0.130127,-0.176758,1.925182,-7.359023,6.314553,-0.001628,0.009528,0.008461,0.12793,0.327148,-0.580078,0.396856,-6.196152,7.521035,0.006583,0.002379,-0.018699,-0.246338,0.393311,-0.40625
1.977458,-7.533594,5.995485,0.021441,-0.001548,0.000499,-0.309814,0.385986,-0.045654,-0.238444,8.299433,5.128958,-0.02829,0.002906,0.009761,-0.008545,0.310547,0.573486,-1.327498,-7.080971,6.72736,0.01235,-0.003637,-0.002793,0.644775,0.137939,-0.176514,1.965791,-7.24402,6.372971,0.016955,-0.00138,0.002645,0.127197,0.332031,-0.580811,0.464904,-6.364096,7.500887,-0.054001,-0.012276,0.015123,-0.248291,0.401367,-0.404297
2.00116,-7.414545,6.03986,0.000769,0.003671,-0.001921,-0.316895,0.38623,-0.051514,-0.209269,8.36229,5.101647,0.020756,0.006341,-0.000608,-0.00708,0.315918,0.576172,-1.311665,-7.081451,6.712955,-0.010473,0.008654,0.003585,0.638672,0.137939,-0.184814,1.958032,-7.261023,6.35952,-0.01931,0.00495,0.01696,0.11792,0.333008,-0.5896,0.416064,-6.410574,7.463479,0.031579,0.013214,-0.016468,-0.253906,0.402344,-0.414062
1.977715,-7.511617,6.017153,-0.011,-0.00048,0.000734,-0.312012,0.394531,-0.048584,-0.224907,8.409092,5.120112,-0.020905,0.009759,0.007159,-0.015137,0.319336,0.55957,-1.349055,-7.082317,6.717117,-0.000318,0.004986,-0.002474,0.645752,0.143066,-0.183838,1.958417,-7.297483,6.334354,-0.001529,-0.00975,0.003369,0.124756,0.341064,-0.584473,0.423191,-6.218292,7.531043,0.032017,-0.012323,-0.002207,-0.248779,0.406982,-0.409424
1.990121,-7.507053,6.016112,0.006603,0.003171,0.002052,-0.304932,0.387451,-0.04834,-0.246958,8.319139,5.115316,-0.021828,0.002113,0.003843,-0.016113,0.319092,0.567139,-1.311521,-7.105534,6.706633,-0.020238,0.002702,0.003852,0.649902,0.13623,-0.182129,1.989089,-7.291769,6.324384,-0.014246,0.005128,0.014316,0.129883,0.332764,-0.583984,0.473979,-6.263109,7.489695,-0.030408,0.001587,-5.9e-05,-0.244141,0.39917,-0.409912
1.960642,-7.472056,6.000764,0.00139,0.000902,8e-06,-0.308838,0.377686,-0.056641,-0.215396,8.331518,5.10885,0.002368,0.008218,0.004469,-0.015869,0.323242,0.570068,-1.324952,-7.133866,6.672598,0.009255,0.003373,-0.002407,0.645996,0.127686,-0.19043,1.938286,-7.30419,6.336376,0.004172,0.006637,0.007502,0.126221,0.325684,-0.591553,0.394289,-6.371141,7.469208,-0.017395,0.008333,-0.003745,-0.248535,0.390137,-0.418945
2.024361,-7.479727,6.035048,-0.003742,0.00164,0.001181,-0.317627,0.381592,-0.048828,-0.234791,8.372419,5.148721,-0.008825,0.006025,0.005155,-0.016846,0.324219,0.570801,-1.285495,-7.049844,6.707619,0.001755,0.000522,-0.002204,0.639893,0.132812,-0.183105,1.990161,-7.237094,6.303031,-0.00171,-0.005197,0.006478,0.11792,0.326416,-0.587891,0.4391,-6.358174,7.507155,0.020586,-0.021311,-0.003914,-0.258057,0.397217,-0.411377
1.977962,-7.51296,6.046728,0.002473,0.004198,-0.00039,-0.308594,0.384033,-0.045654,-0.22419,8.359528,5.080746,-0.011179,0.007502,0.003989,-0.015381,0.311768,0.564697,-1.316928,-7.10816,6.681185,-0.01803,0.012247,0.005566,0.647705,0.133057,-0.18042,1.953148,-7.297168,6.323304,-0.015062,0.009778,0.016041,0.126221,0.331055,-0.582764,0.473318,-6.275333,7.527446,0.017163,0.014011,-0.009756,-0.246338,0.396484,-0.410156
1.968323,-7.432945,6.032309,0.011178,-7.2e-05,0.002845,-0.316162,0.385498,-0.04541,-0.260723,8.346784,5.13279,-0.013886,0.006394,0.004948,-0.011719,0.318604,0.563965,-1.341986,-7.118381,6.700509,0.012104,0.003684,-0.002165,0.640137,0.135742,-0.179199,1.939952,-7.279512,6.319535,0.010585,-0.004692,0.001984,0.11792,0.329834,-0.582031,0.365178,-6.283921,7.460353,-0.013658,0.006211,0.003727,-0.254395,0.39917,-0.405518
1.975064,-7.490361,6.028425,-0.023323,-0.000657,-0.001584,-0.310791,0.374023,-0.046875,-0.211429,8.333521,5.128095,-0.008831,0.00227,0.004737,-0.009521,0.3125,0.576416,-1.302918,-7.072375,6.716504,-0.010647,0.00245,-0.000943,0.643311,0.127197,-0.182617,1.998351,-7.294166,6.33027,-0.022689,0.002109,0.017246,0.121582,0.320068,-0.586914,0.426495,-6.323392,7.50029,-0.000986,-0.020765,-0.010943,-0.247803,0.388428,-0.411621
