# sampling frequency: 40
# units are seconds/meters/radians/a.u.
seg1_acc_x,seg1_acc_y,seg1_acc_z,seg1_gyr_x,seg1_gyr_y,seg1_gyr_z,seg1_mag_x,seg1_mag_y,seg1_mag_z,seg2_acc_x,seg2_acc_y,seg2_acc_z,seg2_gyr_x,seg2_gyr_y,seg2_gyr_z,seg2_mag_x,seg2_mag_y,seg2_mag_z,seg3_acc_x,seg3_acc_y,seg3_acc_z,seg3_gyr_x,seg3_gyr_y,seg3_gyr_z,seg3_mag_x,seg3_mag_y,seg3_mag_z,seg4_acc_x,seg4_acc_y,seg4_acc_z,seg4_gyr_x,seg4_gyr_y,seg4_gyr_z,seg4_mag_x,seg4_mag_y,seg4_mag_z,seg5_acc_x,seg5_acc_y,seg5_acc_z,seg5_gyr_x,seg5_gyr_y,seg5_gyr_z,seg5_mag_x,seg5_mag_y,seg5_mag_z
1.851899,-7.336761,6.252347,-0.007881,0.000519,-0.001077,-0.302979,0.48584,-0.04248,-0.10181,8.273292,5.26855,0.025129,0.004112,0.002264,-0.047852,0.409912,0.499512,-1.075475,-7.149303,6.709147,-0.002164,-0.003891,-0.001388,0.636475,0.122314,-0.156006,1.784263,-7.367985,6.321498,0.000818,0.001774,0.008476,0.145508,0.334717,-0.563965,0.688651,-6.158643,7.614809,-0.008501,-0.001225,-0.001221,-0.255127,0.405273,-0.444336
1.846397,-7.416139,6.193089,-0.009946,0.001999,9.4e-05,-0.309082,0.485352,-0.047363,-0.123555,8.340652,5.267326,-0.029063,0.009263,0.008112,-0.054199,0.409424,0.496826,-1.091916,-7.076394,6.711485,0.014199,0.013065,-0.002566,0.633789,0.123535,-0.158447,1.802049,-7.295027,6.34866,0.00948,0.000276,0.00396,0.139648,0.336914,-0.567383,0.681138,-6.104801,7.659903,0.016848,-0.004642,-0.009322,-0.258789,0.405273,-0.448242
1.841679,-7.412313,6.211951,0.01223,-0.000991,0.000386,-0.310547,0.48584,-0.046387,-0.12889,8.18361,5.253507,-0.027449,0.001267,0.005212,-0.048828,0.404785,0.496338,-1.114086,-7.074668,6.75979,-0.020402,-0.002491,0.001975,0.631348,0.122314,-0.156982,1.800288,-7.296334,6.347658,-0.020742,0.000825,0.01439,0.140381,0.334717,-0.564453,0.717031,-6.124952,7.644184,-0.014764,0.001343,0.004618,-0.258301,0.408447,-0.444336
1.852107,-7.340007,6.212572,0.004982,0.005527,-0.00117,-0.301514,0.477295,-0.052734,-0.111116,8.253686,5.229705,0.026064,0.012165,0.001403,-0.05127,0.416016,0.496826,-1.072513,-7.155374,6.699283,-0.009162,0.00526,0.002397,0.636963,0.11377,-0.162598,1.78088,-7.400733,6.321077,-0.008419,0.004768,0.011348,0.148193,0.329346,-0.571533,0.654251,-6.125559,7.638979,0.014604,0.007216,-0.009092,-0.253906,0.39624,-0.452148
1.841574,-7.40292,6.190399,-0.017654,-0.002217,0.000873,-0.302246,0.493408,-0.037354,-0.153156,8.332253,5.317587,-0.02839,0.001433,0.006458,-0.054443,0.416016,0.500977,-1.119762,-7.096997,6.727241,0.013611,0.006513,-0.004543,0.638184,0.128418,-0.151123,1.77505,-7.293738,6.350694,0.016423,0.003823,0.000162,0.14624,0.338379,-0.561035,0.687026,-6.097123,7.626556,-0.00295,-0.012553,-0.00149,-0.251953,0.411621,-0.438965
1.875934,-7.443998,6.16531,0.010581,0.004001,-0.00057,-0.297119,0.478027,-0.044922,-0.086711,8.201636,5.251132,-0.026094,0.006731,0.005642,-0.052002,0.401611,0.497559,-1.060912,-7.088332,6.734626,-0.017282,-0.001461,0.00155,0.642578,0.117432,-0.157471,1.808205,-7.312291,6.339721,-0.025651,-0.003549,0.018318,0.150391,0.331299,-0.567871,0.725657,-6.132077,7.64369,-0.006664,0.000586,-0.003614,-0.249023,0.399902,-0.446777
1.833897,-7.319487,6.225385,0.012699,0.002068,0.001437,-0.303955,0.480469,-0.051514,-0.14115,8.258003,5.242311,0.017748,0.009933,0.004974,-0.063721,0.413818,0.503662,-1.103807,-7.130783,6.728287,-0.00053,0.013691,0.001238,0.634521,0.11499,-0.162598,1.814749,-7.360469,6.324418,0.006546,0.001885,0.005428,0.145752,0.330322,-0.570068,0.687434,-6.141777,7.678241,-0.001971,0.005978,-0.002704,-0.255127,0.398682,-0.451416
1.854783,-7.374487,6.220281,-0.020187,0.001808,0.000545,-0.297852,0.477783,-0.043945,-0.122035,8.31758,5.286998,-0.014572,0.000894,0.002836,-0.057861,0.406006,0.500732,-1.117769,-7.076837,6.741536,0.002658,-0.002486,-0.003208,0.642578,0.113281,-0.152832,1.782399,-7.282397,6.350539,-0.000517,0.008115,0.008343,0.151123,0.325684,-0.564697,0.673391,-6.122256,7.625564,0.019394,-0.003886,0.000787,-0.248535,0.395508,-0.444092
1.825844,-7.431201,6.161437,0.006118,0.001462,-0.00195,-0.30542,0.477051,-0.050049,-0.136235,8.230293,5.273447,-0.033957,0.009628,0.007426,-0.057373,0.414795,0.497803,-1.079467,-7.115489,6.721748,-0.018168,0.006715,0.005289,0.633545,0.110107,-0.162354,1.763424,-7.362211,6.340825,-0.024391,-0.002055,0.016438,0.143311,0.325928,-0.573242,0.686621,-6.059,7.622987,0.000898,-0.002262,-0.009965,-0.256592,0.394043,-0.449707
1.85891,-7.343453,6.216499,0.018165,0.00129,0.000866,-0.298584,0.481201,-0.043213,-0.14623,8.2131,5.230883,0.007818,0.005835,0.002043,-0.05835,0.410889,0.504395,-1.113245,-7.139891,6.72469,0.003635,0.002264,-0.000366,0.639648,0.119873,-0.15625,1.790232,-7.364068,6.345239,0.011754,0.004054,0.003116,0.151611,0.331299,-0.564941,0.688806,-6.138922,7.651614,-0.025271,-0.002615,0.004567,-0.247559,0.401611,-0.443604
