# sampling frequency: 40
# units are seconds/meters/radians/a.u.
seg1_acc_x,seg1_acc_y,seg1_acc_z,seg1_gyr_x,seg1_gyr_y,seg1_gyr_z,seg1_mag_x,seg1_mag_y,seg1_mag_z,seg2_acc_x,seg2_acc_y,seg2_acc_z,seg2_gyr_x,seg2_gyr_y,seg2_gyr_z,seg2_mag_x,seg2_mag_y,seg2_mag_z,seg3_acc_x,seg3_acc_y,seg3_acc_z,seg3_gyr_x,seg3_gyr_y,seg3_gyr_z,seg3_mag_x,seg3_mag_y,seg3_mag_z,seg4_acc_x,seg4_acc_y,seg4_acc_z,seg4_gyr_x,seg4_gyr_y,seg4_gyr_z,seg4_mag_x,seg4_mag_y,seg4_mag_z,seg5_acc_x,seg5_acc_y,seg5_acc_z,seg5_gyr_x,seg5_gyr_y,seg5_gyr_z,seg5_mag_x,seg5_mag_y,seg5_mag_z
1.802099,-6.984397,6.642481,-0.00257,0.003055,-0.00199,-0.313232,0.742188,0.098877,0.241025,8.541193,4.767596,-0.005453,0.006611,0.004776,-0.460938,0.512207,0.178467,-2.433386,-6.669228,6.816015,0.002345,-0.002844,-0.004283,0.468018,0.074219,0.151367,3.930537,-6.949608,5.800328,0.003114,-0.005121,0.005371,0.047119,0.262207,-0.438477,0.691667,-6.773715,7.089098,0.000227,-0.001985,-0.004933,-0.206299,0.56958,-0.301514
1.791379,-6.989589,6.686749,0.000854,0.001616,0.000882,-0.320068,0.754395,0.093262,0.167454,8.553597,4.795654,-0.01015,0.009784,0.004956,-0.46582,0.527832,0.176025,-2.481209,-6.645736,6.816955,-0.003202,0.014497,0.002619,0.464844,0.089355,0.145264,3.975269,-6.912546,5.781059,-0.003332,0.005755,0.008342,0.042725,0.274902,-0.448242,0.70657,-6.755439,7.098645,0.006049,-0.005016,-0.005707,-0.208984,0.585938,-0.308594
1.805204,-6.980285,6.687238,0.002784,0.001764,0.001217,-0.320068,0.748535,0.094727,0.223375,8.545119,4.76814,-0.010364,-0.001022,0.004793,-0.464355,0.521484,0.178467,-2.4835,-6.666131,6.817164,-0.008571,-0.007058,-0.001919,0.466553,0.081543,0.148193,3.922119,-6.949131,5.769209,-0.009753,0.001076,0.012165,0.043457,0.268066,-0.440918,0.688467,-6.76044,7.085669,0.001973,0.003399,-0.000678,-0.209229,0.575684,-0.302246
1.791896,-6.970877,6.681212,-0.002605,0.004925,0.000474,-0.318848,0.743164,0.094971,0.191828,8.540728,4.76875,-0.00898,0.010498,0.006568,-0.4646,0.51709,0.180908,-2.433652,-6.65152,6.812262,0.002266,0.01287,-0.000204,0.465332,0.080566,0.147461,3.974689,-6.928686,5.761882,0.001813,-0.004639,0.006626,0.043945,0.266602,-0.443604,0.68699,-6.739225,7.079835,0.001231,-0.002148,-0.006479,-0.209473,0.575195,-0.301025
1.798077,-6.992036,6.682228,-0.001664,-0.000921,-0.000753,-0.313477,0.747803,0.099609,0.188705,8.539421,4.792684,-0.013873,-0.002106,0.005984,-0.46167,0.519775,0.180908,-2.523423,-6.66312,6.827507,-0.006774,0.00373,-0.000425,0.469238,0.081787,0.1521,3.947612,-6.915886,5.779792,-0.008431,0.013233,0.012211,0.048584,0.26709,-0.44043,0.71322,-6.759761,7.080704,-0.007585,-0.001475,0.000623,-0.206299,0.578613,-0.300781
1.807863,-6.975687,6.671568,0.003952,0.002361,0.00034,-0.314453,0.747803,0.099854,0.230855,8.538136,4.798338,-0.009135,0.008265,0.005352,-0.460693,0.52002,0.184326,-2.425397,-6.653697,6.809881,-0.003535,-0.000766,-0.001436,0.469727,0.08252,0.155273,3.930867,-6.935663,5.773426,-0.001284,-0.007605,0.008278,0.047607,0.266357,-0.438721,0.686566,-6.76985,7.086687,0.00448,0.003594,-0.005478,-0.205566,0.576904,-0.298584
1.803866,-6.979823,6.688082,0.003425,0.001349,-0.00118,-0.314697,0.749023,0.101807,0.183736,8.527387,4.756111,-0.009387,0.005897,0.004728,-0.461914,0.522461,0.184326,-2.473255,-6.647701,6.841249,0.001492,0.013827,0.001498,0.468506,0.083496,0.155273,3.994127,-6.905258,5.794119,0.000518,-0.000996,0.008207,0.047852,0.269043,-0.437256,0.6955,-6.738494,7.092874,0.015644,-0.005826,-0.003623,-0.207764,0.577881,-0.297119
1.763251,-6.979027,6.678946,-0.001015,0.002845,0.000326,-0.321533,0.745117,0.101807,0.180443,8.571125,4.80139,-0.005884,0.008488,0.005193,-0.46875,0.519531,0.182617,-2.513778,-6.645969,6.832401,-0.013085,-0.002073,-0.000837,0.462891,0.07959,0.152832,3.941642,-6.920956,5.777797,-0.018211,0.012923,0.016374,0.039795,0.268555,-0.438232,0.700916,-6.717494,7.099331,-0.010611,0.003373,-0.004285,-0.211914,0.575684,-0.299072
1.806296,-6.985091,6.67464,-0.010679,-0.002306,0.001578,-0.31665,0.745605,0.089111,0.187271,8.517246,4.792961,-0.028475,-0.003789,0.008132,-0.462402,0.518066,0.174072,-2.431918,-6.696763,6.789623,-0.008142,0.000822,0.001331,0.468262,0.081543,0.144531,3.901455,-7.015374,5.775745,-0.006173,-0.004602,0.010682,0.048584,0.265625,-0.446533,0.685509,-6.786037,7.048232,-0.018376,-0.002242,0.002604,-0.206055,0.57373,-0.307373
1.800421,-7.029248,6.665563,0.003547,0.004103,-0.001621,-0.32373,0.748779,0.098877,0.2631,8.543563,4.776915,0.017296,0.011632,0.002612,-0.469482,0.522705,0.181885,-2.46177,-6.628838,6.866242,0.02279,0.011788,-0.006451,0.459717,0.084229,0.151611,4.024134,-6.844813,5.768716,0.032672,-0.014934,-0.008616,0.038086,0.269775,-0.440918,0.705833,-6.761002,7.10979,0.02683,-0.003986,-0.006901,-0.2146,0.581055,-0.300537
