# sampling frequency: 40
# units are seconds/meters/radians/a.u.
seg1_acc_x,seg1_acc_y,seg1_acc_z,seg1_gyr_x,seg1_gyr_y,seg1_gyr_z,seg1_mag_x,seg1_mag_y,seg1_mag_z,seg2_acc_x,seg2_acc_y,seg2_acc_z,seg2_gyr_x,seg2_gyr_y,seg2_gyr_z,seg2_mag_x,seg2_mag_y,seg2_mag_z,seg3_acc_x,seg3_acc_y,seg3_acc_z,seg3_gyr_x,seg3_gyr_y,seg3_gyr_z,seg3_mag_x,seg3_mag_y,seg3_mag_z,seg4_acc_x,seg4_acc_y,seg4_acc_z,seg4_gyr_x,seg4_gyr_y,seg4_gyr_z,seg4_mag_x,seg4_mag_y,seg4_mag_z,seg5_acc_x,seg5_acc_y,seg5_acc_z,seg5_gyr_x,seg5_gyr_y,seg5_gyr_z,seg5_mag_x,seg5_mag_y,seg5_mag_z
1.274736,-7.030859,6.278802,-0.016109,0.05269,-0.002541,-0.471924,0.541748,0.165039,-0.239884,8.46561,5.089651,-0.101862,0.122969,0.041395,-0.071533,0.630371,0.188232,-2.069235,-6.675811,6.75035,0.002269,0.114011,0.009382,0.399414,0.2146,-0.109863,-1.244714,-6.892885,6.516933,-0.009441,0.139719,-0.015168,0.433838,0.239258,-0.413818,-0.818076,-6.283002,5.825162,0.688643,0.160223,-0.146365,-0.344482,0.607422,-0.335693
2.192114,-7.874218,6.115622,-0.114239,-0.045909,-0.026435,-0.481201,0.539062,0.180664,-0.076435,8.21051,4.881092,0.000574,-0.109993,-0.014717,-0.078369,0.62915,0.199219,-2.066097,-7.261558,6.683927,-0.182865,-0.108694,0.004109,0.394043,0.212891,-0.099854,-1.9084,-7.790227,6.675841,-0.164734,-0.050775,0.085303,0.423096,0.239746,-0.400879,0.181604,-5.91372,7.773415,-0.512741,-0.60745,0.009867,-0.357422,0.611816,-0.307617
1.695792,-7.184695,6.307797,0.270958,0.029862,0.041537,-0.47583,0.546631,0.179688,0.431323,8.654686,4.699632,0.132654,0.040847,0.039378,-0.077393,0.639648,0.198486,-1.336877,-7.146692,6.726528,0.221708,0.013749,-0.027841,0.394775,0.221924,-0.094971,-0.7899,-7.160433,6.59778,0.277612,-0.132813,-0.123713,0.424072,0.245361,-0.403809,1.991961,-8.192691,7.240086,-0.358968,-0.158823,0.130424,-0.356934,0.623779,-0.29834
2.206711,-6.860656,6.433559,-0.250658,0.001662,-0.009535,-0.472168,0.53833,0.177734,-0.020763,8.831977,5.317368,-0.153944,0.011349,-0.033943,-0.071533,0.631104,0.200928,-1.882446,-6.28889,6.668631,-0.026671,0.071515,-0.01391,0.398926,0.2146,-0.099365,-1.178607,-6.576796,6.441998,-0.143007,0.106524,0.070059,0.428955,0.237305,-0.399902,0.329928,-7.086251,7.367746,0.621281,0.353663,-0.159629,-0.349854,0.607422,-0.3125
1.444599,-8.354619,5.850777,0.041558,0.000223,-0.006511,-0.476318,0.546875,0.175537,0.045819,7.909312,4.68218,-0.074821,0.000697,0.02764,-0.075928,0.635986,0.196289,-1.951373,-7.328686,6.712802,-0.196242,-0.017388,0.080847,0.397217,0.222168,-0.104248,-1.666946,-7.54113,6.26827,-0.035515,-0.078205,0.038571,0.427002,0.245605,-0.407227,-0.032473,-5.670021,7.476688,0.1018,-0.198801,0.061944,-0.352783,0.614502,-0.319092
1.997071,-6.545565,6.791972,0.14964,-0.007996,0.029277,-0.469482,0.538574,0.170898,-0.122596,8.597191,5.032272,0.221885,0.00579,-0.037453,-0.072021,0.628662,0.192139,-1.975657,-7.12229,6.826044,0.216206,0.042085,-0.044609,0.400146,0.211426,-0.105469,-0.850331,-7.202475,6.869246,0.025203,0.055382,0.003888,0.43335,0.237549,-0.407471,0.992743,-6.700288,7.063705,-0.465755,0.044141,-0.011029,-0.349121,0.609619,-0.312012
1.692866,-7.862229,5.75048,-0.279243,0.010179,-0.059627,-0.466064,0.544922,0.182861,0.250249,9.008774,5.080657,-0.109079,0.039661,-0.009592,-0.068604,0.63501,0.203125,-2.010956,-6.535506,7.078307,-0.073043,-0.074821,-0.008306,0.404541,0.218262,-0.097168,-1.573938,-7.642168,6.79059,-0.080015,0.159716,0.050864,0.439697,0.243652,-0.397949,0.153904,-7.587574,6.775968,-0.122297,0.134064,0.022282,-0.34375,0.617432,-0.304443
1.804885,-7.342553,6.313758,0.339779,-0.012115,0.071919,-0.474121,0.54541,0.176514,-0.306843,7.753298,4.538049,-0.197669,-0.021791,0.0682,-0.075195,0.632568,0.199707,-1.692459,-7.196217,6.395731,-0.071232,-0.047651,0.019574,0.394043,0.21875,-0.103027,-1.479903,-7.097322,6.339824,0.164183,-0.038036,-0.046899,0.428223,0.242676,-0.404541,0.392665,-7.288814,7.360086,0.290974,-0.122386,-0.006644,-0.354736,0.617188,-0.311768
2.231834,-6.975903,6.692463,-0.176733,-0.037285,-0.028954,-0.472168,0.544922,0.169678,0.525093,8.628657,5.015366,0.365341,-0.034886,-0.099846,-0.075928,0.635742,0.185547,-1.565513,-6.890945,6.618132,0.066515,-0.011297,-0.041923,0.396729,0.22168,-0.109619,-0.927367,-6.699038,6.41182,-0.023436,0.048685,0.018558,0.430908,0.24585,-0.412109,0.913961,-6.523194,6.53601,0.215688,0.059655,0.010694,-0.353271,0.613037,-0.325928
1.532243,-7.855164,5.844212,0.080287,0.045959,0.006141,-0.478027,0.546631,0.179932,-0.135513,9.179829,5.217704,-0.211326,0.07271,0.038639,-0.080566,0.63501,0.201416,-1.818973,-6.859008,6.766512,-0.019473,0.054968,0.082902,0.39209,0.218262,-0.098389,-1.565522,-7.077925,6.638808,-0.113072,0.085051,0.091706,0.428711,0.243164,-0.399414,0.230342,-5.858636,7.26926,0.104252,0.01448,-0.021917,-0.355957,0.612793,-0.314941
1.820133,-6.878793,6.367521,0.119229,-0.011114,0.033811,-0.46875,0.537842,0.173096,-0.093797,7.485145,4.537363,-0.183429,-0.036434,-0.034115,-0.069824,0.624756,0.195312,-2.143814,-7.095852,6.85908,0.004063,0.02744,-0.020208,0.400391,0.21167,-0.104736,-1.455585,-8.070325,6.592113,-0.072921,-0.018615,0.042802,0.438232,0.236816,-0.40625,0.614499,-7.094028,7.093085,-0.513976,-0.020106,0.069506,-0.345947,0.611328,-0.314209
