# sampling frequency: 40
# units are seconds/meters/radians/a.u.
seg1_acc_x,seg1_acc_y,seg1_acc_z,seg1_gyr_x,seg1_gyr_y,seg1_gyr_z,seg1_mag_x,seg1_mag_y,seg1_mag_z,seg2_acc_x,seg2_acc_y,seg2_acc_z,seg2_gyr_x,seg2_gyr_y,seg2_gyr_z,seg2_mag_x,seg2_mag_y,seg2_mag_z,seg3_acc_x,seg3_acc_y,seg3_acc_z,seg3_gyr_x,seg3_gyr_y,seg3_gyr_z,seg3_mag_x,seg3_mag_y,seg3_mag_z,seg4_acc_x,seg4_acc_y,seg4_acc_z,seg4_gyr_x,seg4_gyr_y,seg4_gyr_z,seg4_mag_x,seg4_mag_y,seg4_mag_z,seg5_acc_x,seg5_acc_y,seg5_acc_z,seg5_gyr_x,seg5_gyr_y,seg5_gyr_z,seg5_mag_x,seg5_mag_y,seg5_mag_z
1.94138,-7.16331,6.41313,0.003964,0.001734,-0.000399,-0.418945,0.612793,0.118408,0.013222,8.694588,4.566557,-0.006216,0.009079,0.006135,-0.265137,0.584717,0.245605,-2.372533,-6.433523,7.047174,-0.002335,-0.0019,-0.001873,0.472412,0.147949,-0.005127,3.720323,-6.706015,6.18644,0.001689,-0.003534,0.007218,0.031494,0.25415,-0.466553,0.520676,-6.477942,7.35958,0.004738,0.003088,-0.005039,-0.262695,0.540771,-0.340332
1.941478,-7.146531,6.440927,-0.003769,0.001379,0.000885,-0.40918,0.616699,0.12085,-0.031282,8.671849,4.568918,-0.0171,0.003373,0.004594,-0.255859,0.589355,0.245361,-2.429614,-6.419681,7.070292,-0.003421,0.013005,0.003402,0.483154,0.14917,-0.005127,3.718662,-6.707494,6.185835,-0.009152,0.003987,0.01218,0.043701,0.26001,-0.467285,0.510007,-6.446436,7.373756,0.006149,-0.005199,-0.004873,-0.253418,0.547607,-0.34375
1.945754,-7.197488,6.44007,-0.001611,0.001132,-0.002075,-0.419434,0.612793,0.125,0.013648,8.661689,4.553614,-0.008452,0.005751,0.004014,-0.265137,0.586426,0.249023,-2.403165,-6.432387,7.056744,-0.0055,-0.003847,-0.002151,0.468994,0.146729,-0.001465,3.730835,-6.708111,6.161291,-0.002806,-6.3e-05,0.007124,0.029541,0.256348,-0.463379,0.53685,-6.46803,7.356361,-0.016154,-0.004831,-0.00473,-0.264893,0.545166,-0.337646
1.931804,-7.154861,6.446282,0.007752,-0.001481,0.00201,-0.420166,0.611816,0.123535,-0.033465,8.675696,4.558029,-0.008123,0.005327,0.00469,-0.265381,0.587646,0.247314,-2.393914,-6.434539,7.055176,-0.005006,0.009332,0.001408,0.471191,0.146484,0.000732,3.698963,-6.722632,6.158543,-0.00731,0.006552,0.013156,0.032715,0.257568,-0.46582,0.507607,-6.499807,7.348852,0.000477,0.010195,-0.000334,-0.262939,0.543701,-0.337646
1.935049,-7.150889,6.422719,-0.011035,0.002193,-0.000686,-0.415771,0.61084,0.118896,0.0267,8.674419,4.579857,-0.011912,0.00119,0.006161,-0.259521,0.586426,0.243896,-2.42306,-6.433997,7.075395,-0.001284,0.000567,-0.000815,0.4729,0.144287,-0.006592,3.727838,-6.721106,6.160203,-0.000717,-0.005505,0.00692,0.034912,0.253418,-0.470947,0.504051,-6.448065,7.367119,0.012642,-0.008777,-0.006318,-0.259521,0.542725,-0.344238
1.92347,-7.214416,6.409061,0.005669,0.001065,-0.000594,-0.422852,0.610107,0.119141,-0.04171,8.675893,4.553378,-0.012188,0.010863,0.006376,-0.26709,0.588135,0.244141,-2.372462,-6.407997,7.046522,-0.005362,0.004233,0.000155,0.468506,0.146484,-0.004883,3.726359,-6.702636,6.169272,-0.005432,0.011542,0.010408,0.029053,0.257812,-0.467529,0.562961,-6.4565,7.372118,-0.011758,-0.00574,-0.001853,-0.265869,0.545898,-0.344727
1.953849,-7.135469,6.445444,0.008106,0.001062,-0.001866,-0.422607,0.612793,0.116211,-0.005117,8.670436,4.577354,-0.003553,-0.001615,0.004077,-0.266602,0.586426,0.243896,-2.425304,-6.432884,7.054256,-0.004311,0.006699,0.001213,0.469971,0.144775,-0.006592,3.67489,-6.738877,6.16199,-0.006683,-0.001455,0.010081,0.029541,0.253418,-0.470703,0.501545,-6.49064,7.342288,-0.003057,0.013551,-0.002559,-0.264893,0.546631,-0.343018
1.94671,-7.168095,6.434246,-0.00947,0.001402,-0.001726,-0.414551,0.608887,0.115234,0.00395,8.6652,4.539107,-0.01568,0.013588,0.007087,-0.260742,0.586182,0.239014,-2.386327,-6.427309,7.042921,-0.001341,-0.000291,-0.000889,0.476318,0.141602,-0.009033,3.746655,-6.703616,6.141747,0.001187,-0.007263,0.006701,0.037354,0.252686,-0.473145,0.484909,-6.449238,7.363188,0.008994,-0.01179,-0.009513,-0.259521,0.541748,-0.348389
1.936631,-7.186272,6.441515,0.005935,0.000562,0.001183,-0.418701,0.607178,0.117188,-0.028633,8.662147,4.534885,-0.008497,-0.00097,0.00418,-0.263428,0.586914,0.242188,-2.414691,-6.429388,7.082409,-0.005814,0.010247,0.001452,0.47168,0.144775,-0.007324,3.711298,-6.708023,6.1702,-0.007216,0.017023,0.013038,0.033691,0.253906,-0.472412,0.551975,-6.466366,7.375005,-0.003663,-0.003277,0.001482,-0.262207,0.544922,-0.34375
1.946559,-7.151314,6.462116,-0.002023,0.002954,0.00042,-0.419678,0.611084,0.116455,0.034683,8.689769,4.561119,-0.006976,0.006291,0.004737,-0.265625,0.585205,0.240479,-2.408807,-6.434908,7.031122,-0.005419,-0.002023,-0.00363,0.470459,0.143066,-0.007568,3.703742,-6.730235,6.141358,-0.004096,-0.009355,0.007992,0.031006,0.255371,-0.471191,0.502653,-6.467989,7.375564,-0.00801,0.011587,-0.00454,-0.263916,0.543457,-0.346924
1.942491,-7.18006,6.427304,-0.003203,0.000427,-0.000857,-0.416504,0.599365,0.124756,-0.029145,8.667529,4.57357,-0.017901,0.007045,0.007341,-0.260742,0.575928,0.249756,-2.387038,-6.433739,7.068914,-0.004603,0.008874,0.001382,0.474365,0.13623,0.001709,3.746353,-6.717608,6.159079,-0.00644,0.005945,0.009976,0.03418,0.248535,-0.460693,0.50069,-6.479507,7.362362,0.001462,-0.007931,-0.002572,-0.257812,0.53418,-0.337891
1.954841,-7.178882,6.433582,0.00481,0.001026,-0.000451,-0.415771,0.615967,0.123779,0.027086,8.666067,4.559283,-0.003541,0.000907,0.005131,-0.259033,0.594971,0.249756,-2.427203,-6.428316,7.060482,-0.003343,0.001944,3.7e-05,0.47583,0.151855,0.002197,3.697088,-6.723686,6.170632,-0.001934,0.000616,0.00947,0.036865,0.260498,-0.464355,0.548731,-6.469892,7.346859,0.003985,-0.004652,-0.004376,-0.259033,0.549316,-0.33667
