# sampling frequency: 40
# units are seconds/meters/radians/a.u.
seg1_acc_x,seg1_acc_y,seg1_acc_z,seg1_gyr_x,seg1_gyr_y,seg1_gyr_z,seg1_mag_x,seg1_mag_y,seg1_mag_z,seg2_acc_x,seg2_acc_y,seg2_acc_z,seg2_gyr_x,seg2_gyr_y,seg2_gyr_z,seg2_mag_x,seg2_mag_y,seg2_mag_z,seg3_acc_x,seg3_acc_y,seg3_acc_z,seg3_gyr_x,seg3_gyr_y,seg3_gyr_z,seg3_mag_x,seg3_mag_y,seg3_mag_z,seg4_acc_x,seg4_acc_y,seg4_acc_z,seg4_gyr_x,seg4_gyr_y,seg4_gyr_z,seg4_mag_x,seg4_mag_y,seg4_mag_z,seg5_acc_x,seg5_acc_y,seg5_acc_z,seg5_gyr_x,seg5_gyr_y,seg5_gyr_z,seg5_mag_x,seg5_mag_y,seg5_mag_z
1.99852,-1.501144,9.498636,0.002644,0.001517,0.000696,0.865234,-0.022705,-0.226074,0.11597,8.710602,4.54961,0.012593,0.006449,0.005928,-0.082764,-0.725342,0.131836,-2.844482,0.674091,9.408551,-0.002863,0.006182,0.000797,-0.378662,-0.234131,-0.535889,1.727623,0.79198,9.677273,-0.007246,0.005838,0.011147,-0.176758,-0.638672,0.546143,-0.390943,0.402685,9.776454,0.005492,-0.007197,-0.002954,-0.000977,-0.505615,0.770752
1.993435,-1.485161,9.541677,0.000981,0.003407,-0.001071,0.858643,-0.017578,-0.228516,0.136094,8.718296,4.547239,-0.030254,0.003169,0.004333,-0.083984,-0.728027,0.136475,-2.87223,0.677891,9.402684,-0.0091,0.00411,0.001776,-0.384277,-0.229492,-0.53833,1.743991,0.82016,9.690892,-0.002429,-0.004871,0.009494,-0.177246,-0.638672,0.552246,-0.395441,0.39975,9.789067,-0.004819,0.004579,-0.002564,-0.000977,-0.508057,0.773438
2.000701,-1.526464,9.481737,-0.003363,-0.000145,-0.000109,0.857666,-0.017578,-0.223633,0.118024,8.623648,4.523754,-0.017672,0.006124,0.009221,-0.069336,-0.729492,0.13208,-2.846908,0.655542,9.396775,-0.00341,0.001114,-5.6e-05,-0.385742,-0.232422,-0.533203,1.755867,0.800989,9.679903,-0.007901,0.00706,0.010583,-0.166504,-0.638428,0.549316,-0.41797,0.392654,9.794087,0.002605,-0.003585,-0.002905,0.011719,-0.506104,0.769043
2.006169,-1.486141,9.51256,0.006176,0.00514,7.4e-05,0.87085,-0.019043,-0.227539,0.124104,8.699256,4.547018,0.016448,0.004529,0.001706,-0.074951,-0.723877,0.134033,-2.86427,0.673544,9.421619,-0.001889,0.009708,0.000368,-0.373535,-0.232422,-0.536621,1.734487,0.818781,9.66176,-0.003346,0.001833,0.009197,-0.170898,-0.636719,0.55127,-0.385655,0.397362,9.769324,-0.002121,-0.004361,-0.003317,0.004395,-0.505615,0.773438
1.996376,-1.500367,9.499209,-0.004242,0.00015,-0.001116,0.863037,-0.01709,-0.2229,0.125413,8.720097,4.551871,-0.028252,0.005637,0.006922,-0.083496,-0.722656,0.129883,-2.853446,0.674931,9.400761,-0.006816,0.000244,0.001891,-0.378906,-0.230713,-0.531738,1.745112,0.808534,9.6614,-0.005115,-0.000139,0.010283,-0.178223,-0.631104,0.546387,-0.403089,0.397382,9.785339,0.000757,0.001242,-0.002062,-0.001953,-0.499023,0.768799
2.014304,-1.519911,9.514904,0.003706,0.001498,-0.000207,0.856689,-0.012451,-0.229004,0.126103,8.612765,4.520255,-0.017812,0.003739,0.008335,-0.076416,-0.730957,0.135254,-2.850209,0.660653,9.40159,-0.004527,0.010134,0.000546,-0.383789,-0.223145,-0.536377,1.743361,0.814548,9.681923,-0.005206,0.00236,0.009183,-0.169189,-0.639893,0.549072,-0.412068,0.395859,9.781522,0.002579,5.8e-05,-0.003118,0.007568,-0.506836,0.773193
1.991663,-1.479277,9.52947,0.001075,0.004709,-0.000825,0.865723,-0.020264,-0.225342,0.140911,8.692046,4.546003,0.017813,0.004218,0.001224,-0.079834,-0.724365,0.129639,-2.873048,0.667851,9.408157,-0.001545,0.001376,-0.000466,-0.377686,-0.234863,-0.535889,1.733546,0.813394,9.671938,-0.002171,0.003136,0.008676,-0.175049,-0.632812,0.548096,-0.407516,0.394779,9.797942,-0.002337,-0.004702,-0.001407,0.002441,-0.502197,0.76709
2.014356,-1.510427,9.518812,-0.001874,9e-05,0.001244,0.86084,-0.015625,-0.228271,0.099789,8.716351,4.541533,-0.028802,0.006281,0.008557,-0.077637,-0.723633,0.140625,-2.838726,0.66421,9.409604,-0.008298,0.005223,0.00259,-0.381836,-0.228027,-0.538086,1.724015,0.800999,9.670791,-0.009629,0.004513,0.011029,-0.172852,-0.634033,0.554443,-0.384582,0.401774,9.792938,0.004096,-4.9e-05,-0.003653,0.0,-0.501709,0.775146
1.989911,-1.483081,9.513314,0.004326,0.004427,-0.002186,0.863037,-0.013184,-0.219238,0.132329,8.612393,4.507688,-0.017854,0.003797,0.004689,-0.084961,-0.723633,0.123291,-2.892432,0.65243,9.410014,-0.003658,0.005668,0.000177,-0.379883,-0.227051,-0.529541,1.761297,0.823073,9.665072,-0.001321,-0.001679,0.007841,-0.179199,-0.636475,0.537598,-0.420489,0.386012,9.783185,-0.004122,0.001004,-0.002214,-0.004395,-0.50293,0.759766
1.985478,-1.509896,9.502754,-0.00341,-0.000796,-0.000233,0.854736,-0.013428,-0.237305,0.125133,8.681111,4.54789,0.011348,0.007562,0.003942,-0.080566,-0.726562,0.128906,-2.823292,0.675178,9.406863,-0.003098,0.000165,0.000876,-0.385742,-0.22876,-0.54834,1.741312,0.808217,9.682823,-0.007373,0.008916,0.010688,-0.175293,-0.637451,0.545166,-0.392784,0.399895,9.789168,0.00482,-0.007264,-0.003092,0.000488,-0.504639,0.769287
