# sampling frequency: 40
# units are seconds/meters/radians/a.u.
seg1_acc_x,seg1_acc_y,seg1_acc_z,seg1_gyr_x,seg1_gyr_y,seg1_gyr_z,seg1_mag_x,seg1_mag_y,seg1_mag_z,seg2_acc_x,seg2_acc_y,seg2_acc_z,seg2_gyr_x,seg2_gyr_y,seg2_gyr_z,seg2_mag_x,seg2_mag_y,seg2_mag_z,seg3_acc_x,seg3_acc_y,seg3_acc_z,seg3_gyr_x,seg3_gyr_y,seg3_gyr_z,seg3_mag_x,seg3_mag_y,seg3_mag_z,seg4_acc_x,seg4_acc_y,seg4_acc_z,seg4_gyr_x,seg4_gyr_y,seg4_gyr_z,seg4_mag_x,seg4_mag_y,seg4_mag_z,seg5_acc_x,seg5_acc_y,seg5_acc_z,seg5_gyr_x,seg5_gyr_y,seg5_gyr_z,seg5_mag_x,seg5_mag_y,seg5_mag_z
12.36678,-1.779361,1.464633,0.105777,0.239615,-0.130563,-0.634033,-0.049072,0.092773,-1.228019,2.868596,11.918696,0.437749,0.197627,0.331119,-0.04541,0.13623,-0.869141,-8.690433,0.331224,-6.295724,-0.25629,0.26196,-0.210937,0.528076,0.088135,0.576172,-6.468165,2.782006,1.585171,-0.828626,0.179871,0.194395,0.718506,0.015381,0.094238,23.011896,2.365525,7.774667,1.094189,2.473724,-0.322937,-0.763916,-0.360596,-0.145996
10.528319,0.470609,1.279187,1.068466,0.366741,-0.102728,-0.633789,-0.046631,0.094482,-2.570298,0.004867,10.059421,-1.044031,-0.00233,0.583891,-0.04834,0.165283,-0.866211,-9.803382,1.203527,-4.813315,-0.329473,0.044784,-0.146679,0.527344,0.085449,0.580078,-9.394167,-1.304384,1.068479,-1.246247,1.6684,0.444934,0.709717,0.010986,0.129395,4.617186,2.096196,4.255644,-0.602021,6.658642,-0.587767,-0.721436,-0.364014,-0.277588
9.955546,0.368558,2.290499,-0.156089,0.067363,-0.125581,-0.640137,-0.043945,0.094727,-1.487179,-1.933073,9.460129,0.585983,-0.076546,0.388538,-0.047852,0.149902,-0.868408,-8.926716,0.040176,-5.705344,-0.642366,-0.29223,-0.188784,0.525391,0.083252,0.578125,-11.104443,-1.076285,1.012664,0.195592,0.812043,-0.131212,0.709717,0.010498,0.139404,-3.013411,-1.812359,2.750625,-0.758104,-1.329893,0.104523,-0.735107,-0.354736,-0.253662
10.806525,-2.009581,1.617222,0.6198,0.415378,-0.149161,-0.638428,-0.052002,0.086182,-1.87112,2.16781,10.124698,1.334258,0.019277,0.577028,-0.039062,0.12085,-0.87207,-9.195579,0.033844,-5.231817,-0.175012,-0.27591,-0.288001,0.528076,0.082764,0.572998,-7.645279,2.148468,0.845522,-0.241529,0.989865,0.038158,0.712646,0.012939,0.164062,11.494282,-1.875218,2.210922,1.303598,-4.575607,0.608336,-0.757812,-0.353516,-0.151367
9.165168,1.274475,1.999877,0.730062,0.26936,-0.069174,-0.630371,-0.05249,0.086914,-1.429583,2.724922,10.441882,-0.182941,-0.107044,0.518494,-0.047607,0.118896,-0.87207,-9.041015,1.123151,-4.651971,-0.357004,-0.460616,-0.32294,0.544434,0.084473,0.572754,-8.287296,-0.223283,0.830759,-1.403995,2.241838,0.203584,0.697754,-0.003906,0.201904,16.219855,1.942685,5.090105,1.979091,0.268047,-0.729279,-0.759766,-0.382812,-0.148926
9.383119,-0.164743,0.370395,0.201056,0.258097,-0.234224,-0.635742,-0.060547,0.079102,-1.751662,-0.248113,9.365704,0.278279,-0.032405,0.618336,-0.041504,0.12085,-0.871826,-9.363533,0.047556,-4.327536,-0.706912,-0.491284,-0.3339,0.542969,0.071533,0.565918,-10.751412,-1.503629,0.735743,-0.202418,2.31146,-0.078303,0.685791,0.002686,0.244873,7.04407,3.298878,3.776819,-0.03944,2.180707,0.003162,-0.743652,-0.374756,-0.188477
9.375548,-0.033718,1.474626,0.760484,-0.268976,-0.226445,-0.631592,-0.061279,0.09375,-1.496231,1.153566,9.294381,1.231022,-0.147593,0.536289,-0.040771,0.089111,-0.881836,-10.072553,-0.100794,-4.443944,-0.173687,-0.843307,-0.429137,0.559082,0.082031,0.557373,-11.138382,1.799111,0.474519,-0.133052,2.120629,-0.250107,0.675781,0.002686,0.274658,3.777335,-0.594938,3.04391,-0.684414,-1.254195,0.118373,-0.749512,-0.375732,-0.174316
9.041118,0.814338,1.730126,0.367369,0.018967,-0.228154,-0.629639,-0.067871,0.088379,-1.492562,3.459239,9.471004,1.068461,-0.078859,0.731291,-0.044434,0.065918,-0.881348,-8.952201,1.307425,-4.323305,-0.406187,-0.947279,-0.466312,0.571533,0.079102,0.537109,-11.44256,0.736352,-0.886141,-1.083945,2.019466,-0.014199,0.655518,0.000244,0.313721,11.686079,-1.107238,4.110239,1.209675,-2.042166,0.022611,-0.765869,-0.381104,-0.124512
8.737873,-0.34439,0.703906,0.589257,-0.414889,-0.361604,-0.629395,-0.075928,0.102783,-2.197788,2.660834,9.852247,-0.103825,-0.183899,0.84248,-0.043945,0.06958,-0.872314,-8.945066,0.222082,-4.658407,-0.584746,-0.731382,-0.327309,0.582031,0.078857,0.532715,-11.836151,-1.062583,-1.551963,-0.695939,1.862799,-0.222321,0.643066,-0.001221,0.352783,11.243024,1.745416,4.219267,1.729168,0.958951,-0.332085,-0.753662,-0.394043,-0.12207
9.412946,0.548406,1.345502,0.856178,-0.263246,-0.386857,-0.624268,-0.08252,0.123535,-1.676378,0.576971,9.277145,0.293799,-0.337223,0.936254,-0.059082,0.063721,-0.879639,-9.619746,0.454547,-4.795732,-0.330966,-0.565846,-0.566039,0.590088,0.083984,0.535156,-12.069796,0.611453,-1.007662,-0.199456,1.626532,-0.446827,0.621826,0.007568,0.374023,5.453887,2.072825,4.568769,0.314063,0.454256,-0.159074,-0.760498,-0.397461,-0.13208
9.498442,-0.030949,1.131164,0.655531,-0.425397,-0.463023,-0.627441,-0.091064,0.130371,-2.110599,2.316964,10.002876,1.121653,-0.201262,1.033343,-0.067383,0.042725,-0.877441,-10.194801,1.232853,-4.36517,-0.49807,-0.619686,-0.509169,0.589111,0.084229,0.521484,-10.883051,1.634229,-0.538346,-0.777077,1.170277,-0.373725,0.604004,0.01001,0.397217,8.837019,-0.467964,3.221222,0.301407,-1.751471,0.317104,-0.775879,-0.393066,-0.093262
10.024487,-0.024012,1.153118,0.967663,-0.3805,-0.43583,-0.630615,-0.104736,0.148193,-2.505716,3.221284,10.179802,0.068428,-0.440943,1.08073,-0.065186,0.043945,-0.880615,-9.661681,0.964057,-4.114175,-0.624342,-0.529146,-0.595086,0.590576,0.088379,0.519775,-9.886637,0.706347,-0.667452,-1.100896,1.447117,-0.449884,0.598877,0.010742,0.422852,11.238297,-0.328874,3.311517,1.628424,-0.045823,-0.369507,-0.764404,-0.404541,-0.080811
9.692286,0.393359,0.900138,0.968362,-0.283694,-0.54748,-0.620361,-0.110596,0.161133,-1.131785,-0.429179,9.256725,-0.000917,-0.615747,1.248539,-0.081787,0.042236,-0.88916,-10.99383,1.800463,-3.400476,-0.647724,-0.749746,-0.699461,0.608643,0.09375,0.508545,-10.690303,0.870954,-0.518851,-0.674321,1.670394,-0.565696,0.577881,0.012207,0.444092,7.315527,2.305145,4.388855,1.729577,0.321745,-0.299097,-0.763916,-0.422607,-0.077637
9.086012,0.614145,0.378605,1.062662,-0.381883,-0.535117,-0.615234,-0.124268,0.167969,-0.309295,0.142262,9.573982,1.852403,-0.605742,1.132304,-0.101074,0.007324,-0.873535,-10.258413,1.322305,-3.380346,-1.080389,-1.148108,-0.627325,0.620117,0.08667,0.486816,-10.659302,2.02543,-0.665002,-0.867865,1.440111,-0.596706,0.555176,0.02124,0.483887,8.349408,2.126265,3.061158,0.566775,-1.166294,0.083902,-0.774902,-0.421387,-0.036621
10.145677,1.647153,1.103283,0.991432,-0.451339,-0.483835,-0.616943,-0.12915,0.197021,-0.201384,3.877908,10.373336,1.788206,-0.52318,1.174978,-0.105469,-0.030518,-0.87793,-10.556707,0.100905,-3.743444,-1.020143,-1.365103,-0.635959,0.630127,0.088135,0.485352,-11.361833,1.360523,-1.656694,-1.115964,1.614372,-0.454023,0.543945,0.020508,0.510498,10.366117,1.166437,2.885492,0.820144,-0.546657,-0.174436,-0.766846,-0.426514,-0.026367
9.921065,1.578904,0.859902,0.711383,-0.323796,-0.428843,-0.604492,-0.138672,0.202393,0.102072,3.067636,10.20597,0.705211,-0.753528,1.189169,-0.127197,-0.040039,-0.878418,-10.774241,0.474365,-4.168531,-0.705181,-1.638158,-0.569203,0.660889,0.090088,0.455078,-13.207091,1.148307,-2.030271,-0.83742,0.834143,-0.602066,0.528564,0.028076,0.523193,8.680592,1.879828,3.466255,0.966774,-0.205846,-0.269085,-0.771729,-0.433838,-0.01416
9.521684,1.862549,0.132885,0.984323,-0.486541,-0.385768,-0.607178,-0.142334,0.219971,1.059644,1.208712,9.690711,1.012752,-0.761418,1.305069,-0.143066,-0.061279,-0.874756,-10.915936,1.079928,-4.312028,-0.963818,-1.834593,-0.506367,0.677979,0.092529,0.424561,-11.70525,1.749864,-2.875535,-1.018165,-0.435905,-0.571837,0.540527,0.027344,0.532959,8.805229,1.59092,2.119248,1.025234,-0.933477,0.227439,-0.77124,-0.432129,0.014893
9.811903,2.703364,0.097496,0.938593,-0.341036,-0.428478,-0.598877,-0.150146,0.232178,1.347477,3.406214,10.046958,1.881502,-0.771241,1.23548,-0.161133,-0.091064,-0.865234,-9.794857,0.323476,-5.057219,-1.275325,-1.709852,-0.411721,0.700439,0.083984,0.400879,-11.743507,0.690344,-2.995914,-1.383309,-1.051409,-0.533183,0.560303,0.031006,0.529297,9.632597,2.600349,2.220827,1.395869,-0.74205,-0.153093,-0.772217,-0.431396,0.046875
10.040186,2.481818,0.272926,0.969019,-0.440004,-0.33226,-0.594482,-0.146484,0.25415,1.505745,4.558565,10.377806,0.490617,-0.679843,1.242265,-0.187012,-0.099854,-0.858887,-10.479649,-0.839676,-5.125515,-1.214252,-1.497529,-0.362879,0.716064,0.083496,0.381104,-11.469695,-0.01461,-3.040651,-0.951266,-2.566481,-0.621538,0.5896,0.034912,0.502441,9.690968,3.250801,2.332542,0.918341,-0.882031,0.182378,-0.779785,-0.434326,0.075928
