# sampling frequency: 40
# units are seconds/meters/radians/a.u.
seg1_acc_x,seg1_acc_y,seg1_acc_z,seg1_gyr_x,seg1_gyr_y,seg1_gyr_z,seg1_mag_x,seg1_mag_y,seg1_mag_z,seg2_acc_x,seg2_acc_y,seg2_acc_z,seg2_gyr_x,seg2_gyr_y,seg2_gyr_z,seg2_mag_x,seg2_mag_y,seg2_mag_z,seg3_acc_x,seg3_acc_y,seg3_acc_z,seg3_gyr_x,seg3_gyr_y,seg3_gyr_z,seg3_mag_x,seg3_mag_y,seg3_mag_z,seg4_acc_x,seg4_acc_y,seg4_acc_z,seg4_gyr_x,seg4_gyr_y,seg4_gyr_z,seg4_mag_x,seg4_mag_y,seg4_mag_z,seg5_acc_x,seg5_acc_y,seg5_acc_z,seg5_gyr_x,seg5_gyr_y,seg5_gyr_z,seg5_mag_x,seg5_mag_y,seg5_mag_z
3.162953,-1.476322,9.212275,0.001384,0.000945,0.000575,0.635498,-0.102295,-0.397217,0.183976,9.729427,-1.501674,-0.019312,0.007845,0.008301,-0.201416,-0.469727,0.530762,-3.815236,-0.490626,9.06392,-0.004846,-0.000367,-0.000457,-0.371826,-0.248535,-0.444824,1.239971,-0.551687,9.765095,-0.011047,0.004484,0.013312,0.077393,-0.720947,0.451416,0.708191,0.25079,9.767219,-0.002894,-0.00268,-0.003003,0.057861,-0.764648,0.328369
3.151628,-1.448819,9.213178,0.001539,0.002316,-0.000641,0.625244,-0.106689,-0.397949,0.192246,9.644251,-1.551982,-0.022114,-0.001356,0.004903,-0.196289,-0.476807,0.525879,-3.846477,-0.498668,9.059893,-0.005111,0.012213,0.0018,-0.38208,-0.25293,-0.446289,1.248281,-0.572043,9.777272,-0.000588,-0.00226,0.007078,0.083252,-0.725098,0.444092,0.698293,0.25968,9.771399,0.005427,0.001458,-0.003782,0.06543,-0.769287,0.327393
3.15593,-1.471752,9.206671,-0.005225,0.000726,8.1e-05,0.634277,-0.113281,-0.400391,0.200683,9.680358,-1.503593,0.009022,0.00742,0.004515,-0.195801,-0.480469,0.535645,-3.82021,-0.47655,9.051309,-6.6e-05,-0.001094,-0.000547,-0.375488,-0.256348,-0.449707,1.239584,-0.530389,9.792956,-0.001922,0.00401,0.009452,0.083008,-0.730713,0.455811,0.701448,0.267251,9.765028,0.000695,-0.00227,-0.0042,0.062988,-0.775391,0.337158
3.17644,-1.456392,9.196792,0.003345,-0.00022,-9.3e-05,0.631592,-0.117432,-0.391113,0.181432,9.694687,-1.540562,-0.019128,0.002736,0.007519,-0.19751,-0.47168,0.530273,-3.817556,-0.486938,9.070216,-0.005212,0.006736,0.001787,-0.376709,-0.261475,-0.438965,1.237298,-0.554796,9.774751,-0.007957,0.001494,0.010362,0.079834,-0.718994,0.450928,0.71605,0.26391,9.783711,-0.002113,0.001964,-0.002908,0.061768,-0.763672,0.329834
3.153066,-1.458264,9.203551,0.000505,0.004665,-0.00158,0.629639,-0.108643,-0.397949,0.219085,9.660756,-1.534558,-0.009308,0.004605,0.006047,-0.204834,-0.471191,0.529053,-3.856434,-0.483911,9.083252,-0.006742,0.003973,0.000522,-0.375732,-0.25293,-0.446777,1.257755,-0.547368,9.766486,-0.004892,-0.002711,0.011292,0.071533,-0.7229,0.449219,0.695014,0.253595,9.777739,0.001345,0.000194,-0.003709,0.054443,-0.765625,0.331543
3.167484,-1.472603,9.192301,0.002573,-3.4e-05,0.000299,0.622314,-0.107178,-0.39624,0.173602,9.683403,-1.538364,-0.006977,0.006029,0.00681,-0.197998,-0.481689,0.530029,-3.818638,-0.483574,9.077019,-0.005214,0.002899,0.002594,-0.385986,-0.253418,-0.447021,1.244597,-0.564405,9.775913,-0.008552,0.00555,0.010253,0.079346,-0.727539,0.448242,0.703446,0.259557,9.787343,0.004509,-0.000325,-0.002688,0.065186,-0.774414,0.33252
3.148077,-1.465677,9.201589,0.003632,0.004472,-0.00108,0.630371,-0.113525,-0.397705,0.206836,9.698185,-1.526201,-0.006941,0.000328,0.003631,-0.201904,-0.472656,0.531738,-3.844246,-0.500901,9.042432,-0.00656,0.0089,0.001624,-0.375977,-0.259277,-0.44751,1.237102,-0.560696,9.764946,9.7e-05,0.000111,0.008374,0.07666,-0.723633,0.449463,0.700507,0.275215,9.771918,-0.000908,-0.000904,-0.002564,0.057129,-0.769043,0.333252
3.166639,-1.46785,9.179472,-0.002848,-0.001231,-0.000471,0.626465,-0.112061,-0.395508,0.177488,9.675928,-1.507777,-0.01352,0.008677,0.007316,-0.197266,-0.481445,0.531982,-3.807965,-0.481478,9.095884,-0.00217,-0.003051,-0.000671,-0.381836,-0.257324,-0.445801,1.243965,-0.531196,9.783266,-0.007841,0.002123,0.01165,0.081055,-0.729248,0.449219,0.712342,0.25256,9.753896,-0.002975,-0.000965,-0.00229,0.064453,-0.774902,0.330566
3.170183,-1.463362,9.195341,0.000762,0.005191,-0.000107,0.632324,-0.117432,-0.395264,0.184668,9.665686,-1.544888,-0.007007,0.000778,0.001854,-0.194336,-0.472168,0.529053,-3.835544,-0.482476,9.050068,-0.002987,0.011703,0.002736,-0.378174,-0.259033,-0.445068,1.250751,-0.574403,9.777194,-0.003252,-6.2e-05,0.009432,0.084473,-0.719971,0.444824,0.690497,0.260988,9.797883,-0.000593,0.002314,-0.00383,0.0625,-0.766357,0.326172
3.156922,-1.46166,9.210429,0.000355,0.000606,-0.000507,0.631836,-0.108398,-0.398193,0.21188,9.690995,-1.49347,-0.00371,0.009048,0.006997,-0.19873,-0.476562,0.5271,-3.851732,-0.487973,9.079459,-0.004149,-0.001998,2.9e-05,-0.375,-0.25415,-0.449951,1.248759,-0.526594,9.783318,-0.007195,0.003822,0.01038,0.07959,-0.724854,0.446289,0.71111,0.266702,9.767679,0.006666,-0.007021,-0.00447,0.059814,-0.768799,0.327148
