# sampling frequency: 40
# units are seconds/meters/radians/a.u.
seg1_acc_x,seg1_acc_y,seg1_acc_z,seg1_gyr_x,seg1_gyr_y,seg1_gyr_z,seg1_mag_x,seg1_mag_y,seg1_mag_z,seg2_acc_x,seg2_acc_y,seg2_acc_z,seg2_gyr_x,seg2_gyr_y,seg2_gyr_z,seg2_mag_x,seg2_mag_y,seg2_mag_z,seg3_acc_x,seg3_acc_y,seg3_acc_z,seg3_gyr_x,seg3_gyr_y,seg3_gyr_z,seg3_mag_x,seg3_mag_y,seg3_mag_z,seg4_acc_x,seg4_acc_y,seg4_acc_z,seg4_gyr_x,seg4_gyr_y,seg4_gyr_z,seg4_mag_x,seg4_mag_y,seg4_mag_z,seg5_acc_x,seg5_acc_y,seg5_acc_z,seg5_gyr_x,seg5_gyr_y,seg5_gyr_z,seg5_mag_x,seg5_mag_y,seg5_mag_z
1.719567,-7.369103,6.252557,6.8e-05,0.018411,0.001206,-0.290283,0.017578,0.604736,-0.176638,8.030852,5.556247,-0.006747,0.015701,0.007739,0.526123,0.566895,0.442139,2.32977,-7.452731,6.000621,0.008692,-0.002049,-0.008728,0.335449,0.289307,-0.411377,-5.390256,-7.299694,3.86027,-0.002122,-0.002841,0.011504,0.623047,0.256348,-0.095947,0.835098,-7.993858,5.649283,0.011901,-0.013617,-0.015666,-0.389893,0.296143,-0.018799
1.687469,-7.376658,6.26883,0.005579,-0.01545,-0.002734,-0.292236,0.01001,0.604004,-0.314056,8.080138,5.562969,0.004397,0.002415,0.008043,0.520264,0.560059,0.440186,2.204718,-7.44516,6.051435,-0.002836,0.019716,0.008765,0.331055,0.282959,-0.415039,-5.424122,-7.232988,3.903493,0.010052,0.011879,0.010007,0.619385,0.247314,-0.096436,0.763736,-7.940334,5.721599,0.01786,0.022851,0.011544,-0.393311,0.288086,-0.022461
1.680908,-7.368069,6.247569,-0.004825,0.016606,0.000912,-0.29126,0.013672,0.604248,-0.187657,8.099236,5.56989,-0.021749,0.002421,0.006953,0.519287,0.563477,0.44043,2.226835,-7.462165,6.004114,-0.001189,-0.007278,-0.007292,0.333496,0.2854,-0.409912,-5.480424,-7.208329,3.902812,-0.01419,0.003417,0.010655,0.622803,0.251221,-0.096191,0.704269,-7.934832,5.676217,-0.010286,-0.012034,-0.013224,-0.390869,0.293213,-0.020264
1.721432,-7.419468,6.236182,-0.006704,-0.016558,-0.002366,-0.291748,0.006592,0.609375,-0.250291,8.011805,5.537467,-0.020032,0.010049,0.007834,0.520752,0.557861,0.445312,2.27353,-7.399417,6.027899,-0.004575,0.001792,0.002557,0.332031,0.281738,-0.408691,-5.410789,-7.306675,3.880207,-0.022941,-0.018086,0.008388,0.621094,0.245361,-0.093506,0.855956,-7.969479,5.668629,-0.021083,-0.013905,-0.005404,-0.394287,0.285156,-0.01709
1.687477,-7.377399,6.267955,0.007289,0.018411,0.002957,-0.287354,0.013672,0.602783,-0.199099,8.055431,5.578768,-8.7e-05,0.01213,0.006844,0.526611,0.562256,0.439209,2.25578,-7.474176,5.985935,-0.027677,0.009241,-0.001919,0.337891,0.286133,-0.412354,-5.353798,-7.271635,3.85679,0.017561,0.009558,0.001275,0.627686,0.250488,-0.098145,0.762225,-8.010881,5.659906,0.003092,0.021311,0.002921,-0.387451,0.293213,-0.020752
1.698151,-7.368104,6.259651,-0.002438,-0.012281,-0.00159,-0.285156,0.011475,0.604736,-0.291266,8.061389,5.5879,-0.012551,0.009008,0.006692,0.529541,0.560791,0.437012,2.227536,-7.560113,6.006087,-0.011346,-0.004127,0.004583,0.338379,0.283447,-0.412842,-5.423058,-7.181783,3.874908,-0.009196,0.007558,0.008919,0.631104,0.251709,-0.09668,0.694097,-7.924336,5.677004,0.030471,-0.003523,-0.002067,-0.382812,0.291016,-0.023682
1.710751,-7.369447,6.241917,0.004245,0.010436,0.001785,-0.292969,0.010498,0.605225,-0.2121,8.047856,5.555771,-0.01586,-0.005664,0.007414,0.524658,0.561279,0.437988,2.264535,-7.517004,6.002486,0.019375,0.011381,-0.004021,0.335693,0.280273,-0.41333,-5.42587,-7.318811,3.876522,-0.02913,-0.000303,0.022491,0.623291,0.247314,-0.096191,0.831439,-7.911361,5.713028,-0.012087,-0.018692,-0.012466,-0.391113,0.289062,-0.021484
1.685169,-7.376126,6.278533,-0.002967,-0.004939,-0.001882,-0.290527,0.009766,0.607666,-0.234169,8.046511,5.551613,0.003246,0.011239,0.008619,0.523926,0.561523,0.441406,2.203562,-7.404325,6.050582,0.01477,0.001753,-0.00239,0.33374,0.281494,-0.4104,-5.450992,-7.344065,3.862323,0.010056,0.004698,0.005625,0.622314,0.248779,-0.094238,0.786121,-8.0062,5.671607,-0.028871,0.016008,0.003162,-0.38916,0.290039,-0.017822
1.677857,-7.396635,6.259425,0.005511,0.006716,0.000781,-0.279297,0.012695,0.604004,-0.25025,8.089371,5.585272,-0.012617,0.001986,0.00714,0.536377,0.563721,0.440674,2.247178,-7.418179,6.02843,-0.01573,0.001928,-0.002103,0.344971,0.284668,-0.412842,-5.432125,-7.224352,3.887888,0.015799,-0.004657,0.006016,0.634033,0.252441,-0.094482,0.704876,-8.015453,5.663317,0.026418,-0.001545,-0.002893,-0.381348,0.292236,-0.018311
1.705882,-7.366662,6.27188,-0.00051,-0.003119,-0.001766,-0.292969,0.01123,0.611572,-0.206806,8.035433,5.550845,-0.020457,0.007758,0.007521,0.523438,0.557129,0.443848,2.263933,-7.48584,6.00826,-0.013672,-0.003912,-0.001764,0.332764,0.282959,-0.405518,-5.364466,-7.196087,3.869111,-0.014774,-0.008042,0.010177,0.622559,0.246094,-0.086426,0.817652,-7.898899,5.687962,0.015873,-0.017078,-0.012567,-0.391602,0.28833,-0.013428
