# sampling frequency: 40
# units are seconds/meters/radians/a.u.
seg1_acc_x,seg1_acc_y,seg1_acc_z,seg1_gyr_x,seg1_gyr_y,seg1_gyr_z,seg1_mag_x,seg1_mag_y,seg1_mag_z,seg2_acc_x,seg2_acc_y,seg2_acc_z,seg2_gyr_x,seg2_gyr_y,seg2_gyr_z,seg2_mag_x,seg2_mag_y,seg2_mag_z,seg3_acc_x,seg3_acc_y,seg3_acc_z,seg3_gyr_x,seg3_gyr_y,seg3_gyr_z,seg3_mag_x,seg3_mag_y,seg3_mag_z,seg4_acc_x,seg4_acc_y,seg4_acc_z,seg4_gyr_x,seg4_gyr_y,seg4_gyr_z,seg4_mag_x,seg4_mag_y,seg4_mag_z,seg5_acc_x,seg5_acc_y,seg5_acc_z,seg5_gyr_x,seg5_gyr_y,seg5_gyr_z,seg5_mag_x,seg5_mag_y,seg5_mag_z
-5.877208,-4.605651,6.60142,-0.194237,0.083101,0.00239,0.757812,0.435791,-0.526611,2.108771,9.650912,2.30895,-0.201462,-0.000651,0.040325,-0.041504,-0.794678,-0.143555,-1.275472,-3.418742,9.199488,-0.129403,0.024144,0.124594,0.084961,0.089844,-0.80835,-9.334971,-2.911894,1.911609,-0.134323,0.126484,0.021634,0.794678,0.013916,-0.123779,-6.07549,-5.240012,5.6959,-0.016288,0.093396,0.018249,0.653809,0.276367,-0.530762
-5.926003,-4.589806,6.594532,-0.012347,0.072898,0.016333,0.772461,0.4375,-0.532227,1.75511,9.293045,2.24385,-0.149134,-0.006709,0.054673,-0.03125,-0.791016,-0.156006,-1.423287,-3.618734,9.264981,-0.051404,-0.102428,0.070787,0.0979,0.092285,-0.819336,-9.458638,-2.672426,2.066813,-0.030717,-0.054621,-0.023515,0.807129,0.016602,-0.130371,-6.25011,-5.173705,5.672255,-0.139419,0.052664,-0.00483,0.66748,0.280518,-0.536865
-5.953893,-4.550869,6.578858,-0.152118,0.076295,-0.019588,0.764893,0.434814,-0.530518,2.346664,9.367249,2.206368,-0.042143,-0.042804,0.055484,-0.038818,-0.799561,-0.154785,-0.740551,-3.458043,9.17346,0.058505,0.021567,0.114405,0.089111,0.084229,-0.818115,-9.076833,-2.343557,2.122632,-0.082026,-0.047818,0.051291,0.796875,0.011963,-0.129639,-6.007817,-5.553422,5.663946,-0.211252,-0.01625,-0.039899,0.658936,0.278076,-0.536865
-5.76416,-4.729728,6.487552,0.005418,0.057785,-0.00475,0.767822,0.434814,-0.5271,1.75523,9.443409,2.152558,-0.078373,0.085277,0.046467,-0.036865,-0.799072,-0.156006,-1.343538,-3.120202,9.139,0.019498,0.007164,0.123162,0.093262,0.083252,-0.816895,-9.528362,-2.743691,2.229047,-0.278454,-0.056489,0.02954,0.801514,0.012451,-0.129639,-5.814825,-5.734768,5.650845,-0.033732,0.091954,-0.016579,0.665039,0.281494,-0.53125
-5.857562,-4.216257,6.612231,-0.075989,0.112522,-0.007897,0.768799,0.442871,-0.521973,2.03158,9.284506,2.2868,-0.196569,-0.062248,0.037659,-0.039062,-0.787598,-0.153076,-0.867961,-3.211179,9.084719,-0.084428,-0.046929,0.135443,0.091797,0.095703,-0.811523,-8.995993,-2.86891,1.774061,-0.036622,-0.293817,0.023474,0.801514,0.019287,-0.133301,-6.118957,-5.350415,5.730744,0.044289,0.111895,0.025415,0.664307,0.284668,-0.528076
-5.768706,-4.537578,6.46234,-0.115735,0.096738,-0.011051,0.764648,0.442139,-0.523193,1.927028,9.185198,2.04053,-0.079174,0.116202,0.052332,-0.046143,-0.790771,-0.158691,-1.125721,-3.287486,9.163612,-0.017979,0.055778,0.157444,0.085205,0.091064,-0.817871,-8.633617,-2.263551,1.836073,-0.143625,0.000775,-0.045677,0.793945,0.01709,-0.135986,-6.02624,-5.055814,5.749905,-0.075886,0.045412,-0.049199,0.657471,0.283936,-0.529297
-5.78643,-4.092874,6.538715,-0.073211,0.137562,-0.002344,0.77002,0.439453,-0.521729,1.61946,9.652548,2.250212,-0.220945,-0.017782,0.032135,-0.040283,-0.793945,-0.164062,-1.169778,-3.131618,9.201719,-0.05356,-0.031544,0.12219,0.088623,0.085693,-0.813477,-9.738581,-2.937389,1.897774,-0.335857,0.075406,0.096345,0.79834,0.013672,-0.136475,-5.836503,-5.103879,5.734449,-0.221796,0.070452,-0.005258,0.664307,0.284424,-0.527344
-5.817055,-4.340222,6.385303,-0.295972,0.131311,-0.014495,0.772705,0.445801,-0.518311,2.153897,9.207306,2.26914,-0.484777,0.068343,0.032875,-0.041748,-0.790283,-0.174805,-1.148142,-3.381358,9.217892,-0.121922,-0.065848,0.121799,0.087402,0.092773,-0.81665,-9.432094,-3.256167,1.755386,-0.02052,-0.099303,-0.031783,0.800049,0.019287,-0.135986,-5.907758,-5.406547,5.690308,-0.260804,0.124928,-0.027122,0.665527,0.290039,-0.524902
-5.804115,-4.844938,6.457833,-0.155013,0.139775,-0.018187,0.775391,0.445557,-0.52002,1.63676,8.85678,2.132143,-0.267751,0.053453,0.038381,-0.038818,-0.790527,-0.184082,-1.062973,-3.438415,9.036271,0.012529,-0.089684,0.097838,0.087646,0.0896,-0.822266,-8.626977,-2.17718,1.810686,0.08226,0.018094,0.00818,0.800293,0.015137,-0.142578,-5.996577,-5.485879,5.44808,-0.159967,0.130491,-0.004568,0.666504,0.29126,-0.525635
-5.782997,-4.601563,6.480848,-0.036544,0.128387,-0.007619,0.768799,0.445312,-0.513184,2.131177,9.053157,2.355912,-0.051246,-0.040795,0.02123,-0.049316,-0.791504,-0.181396,-1.054275,-3.185875,9.281022,0.008354,-0.002394,0.123247,0.081055,0.083984,-0.817627,-8.994296,-2.198425,1.921608,-0.292179,0.194096,0.081603,0.792236,0.013916,-0.130615,-5.872011,-5.589214,5.425199,-0.133443,0.091013,-0.036103,0.663818,0.293457,-0.522705
