# sampling frequency: 40
# units are seconds/meters/radians/a.u.
seg1_acc_x,seg1_acc_y,seg1_acc_z,seg1_gyr_x,seg1_gyr_y,seg1_gyr_z,seg1_mag_x,seg1_mag_y,seg1_mag_z,seg2_acc_x,seg2_acc_y,seg2_acc_z,seg2_gyr_x,seg2_gyr_y,seg2_gyr_z,seg2_mag_x,seg2_mag_y,seg2_mag_z,seg3_acc_x,seg3_acc_y,seg3_acc_z,seg3_gyr_x,seg3_gyr_y,seg3_gyr_z,seg3_mag_x,seg3_mag_y,seg3_mag_z,seg4_acc_x,seg4_acc_y,seg4_acc_z,seg4_gyr_x,seg4_gyr_y,seg4_gyr_z,seg4_mag_x,seg4_mag_y,seg4_mag_z,seg5_acc_x,seg5_acc_y,seg5_acc_z,seg5_gyr_x,seg5_gyr_y,seg5_gyr_z,seg5_mag_x,seg5_mag_y,seg5_mag_z
1.502128,-9.477095,2.088558,0.814921,-0.26758,0.505954,0.113281,1.08667,-0.257324,-4.265763,3.560574,7.396081,0.271991,-0.648861,0.502656,0.479492,-0.466309,-0.645264,-1.44791,-7.819842,3.847243,-0.073936,-0.222774,-0.12076,0.102783,0.742432,-0.535889,4.082774,-7.743836,1.310658,0.002656,0.506992,0.02755,-0.537598,0.678223,-0.097656,0.368652,-9.235406,1.273234,0.555308,-0.875143,0.563918,0.131836,0.897705,-0.197998
1.418957,-9.25511,2.105218,0.784549,-0.183127,0.524945,0.123291,1.075439,-0.276611,-3.340457,4.761768,8.041173,0.167651,-0.613014,0.451719,0.465332,-0.481201,-0.653809,-0.805967,-8.895133,3.575696,-0.337939,-0.064352,-0.061868,0.102295,0.743164,-0.532227,4.199047,-8.42877,0.728489,-0.321009,0.741992,0.209896,-0.530762,0.67627,-0.104248,0.171602,-9.471894,1.376959,0.404514,-0.765561,0.62572,0.144775,0.886475,-0.208496
0.966747,-9.612916,2.176618,0.560521,-0.091584,0.550436,0.131836,1.071289,-0.284424,-3.997551,4.400642,8.046053,-0.250891,-0.517569,0.468726,0.450439,-0.485596,-0.664307,-1.222547,-9.551711,3.863931,0.009933,-0.059739,-0.079923,0.095459,0.744385,-0.531982,3.836817,-9.234826,0.794117,-0.080338,0.640174,0.106624,-0.529541,0.67749,-0.113281,0.079474,-9.838834,1.465065,0.28557,-0.809112,0.488327,0.146973,0.884277,-0.214355
0.499984,-10.072194,2.288142,0.68486,-0.124248,0.562456,0.141357,1.068848,-0.305908,-4.116079,3.781967,8.107331,-0.028637,-0.641217,0.407696,0.431396,-0.487793,-0.678467,-1.444847,-8.753482,3.948094,0.101843,-0.045385,-0.106894,0.093506,0.743896,-0.540771,4.637755,-8.597216,0.992118,0.089529,0.762246,0.10492,-0.528564,0.680908,-0.129883,-0.025142,-10.558626,1.466189,0.214371,-0.637962,0.610928,0.154541,0.884277,-0.229736
0.276907,-9.586689,2.497459,0.683969,-0.055644,0.574542,0.1521,1.061523,-0.32251,-3.706747,4.356624,8.292986,0.061585,-0.578441,0.369601,0.414062,-0.496338,-0.687744,-1.720924,-8.489005,3.993135,-0.19992,-0.103685,-0.103042,0.085205,0.747559,-0.542236,3.645432,-8.183095,1.350371,-0.11198,1.093989,0.323048,-0.520996,0.685547,-0.144531,-0.556065,-10.471394,1.682864,0.614493,-0.581693,0.607148,0.161377,0.875,-0.25
0.129686,-9.717004,2.642926,0.506949,-0.153166,0.529316,0.170166,1.060547,-0.333252,-3.890956,4.620544,8.378511,-0.133071,-0.525832,0.35838,0.413086,-0.498535,-0.693848,-0.889383,-8.7648,4.02493,-0.451378,-0.098557,-0.172046,0.089355,0.754395,-0.531738,3.36504,-8.74877,1.244795,-0.437573,0.78809,0.436558,-0.501709,0.69458,-0.145508,-0.254535,-9.298542,1.872894,0.589418,-0.449876,0.567196,0.180908,0.873779,-0.261719
0.872552,-9.298945,3.058058,0.774948,-0.061499,0.563878,0.175537,1.047852,-0.349854,-3.118933,4.111677,8.460231,-0.208252,-0.745261,0.381143,0.38916,-0.502686,-0.704834,-0.680477,-10.45363,3.323624,-0.591896,-0.016071,0.024642,0.083252,0.760254,-0.520264,3.973585,-10.260348,0.5021,-0.305598,1.010625,0.365981,-0.497803,0.69751,-0.15332,-1.165187,-9.402119,1.636818,0.196877,-0.290879,0.685468,0.190186,0.866455,-0.265625
0.465853,-8.512662,3.308152,0.605988,0.188495,0.594165,0.193604,1.05127,-0.360596,-2.540664,3.671678,8.17941,-0.073748,-0.751462,0.430067,0.370361,-0.498779,-0.707031,-0.686856,-10.862911,3.259261,0.243664,0.000388,0.006195,0.085938,0.761963,-0.521973,3.02458,-9.879882,0.867556,0.367202,1.08402,0.115032,-0.489258,0.706299,-0.168457,-1.838427,-9.829016,1.354923,0.452486,-0.63776,0.539808,0.201172,0.865967,-0.276855
0.07686,-9.277781,2.70795,0.55576,0.242447,0.602529,0.202637,1.051514,-0.375977,-2.995475,4.014252,8.098333,0.183515,-0.86587,0.491087,0.343506,-0.50415,-0.723633,-0.527342,-8.562629,3.79791,0.577987,0.021333,0.059555,0.083496,0.764648,-0.538574,3.417268,-8.267041,1.054568,0.341931,0.930452,0.022857,-0.490479,0.708984,-0.195312,-0.714072,-9.120148,1.654695,0.650594,-0.848413,0.503135,0.199219,0.867188,-0.299072
-0.006438,-9.133632,2.567853,0.835076,0.273404,0.632588,0.22583,1.038574,-0.391357,-2.044639,4.396365,7.909085,0.152088,-0.977672,0.539856,0.32666,-0.51416,-0.727051,-0.571274,-8.314193,3.851547,-0.016471,0.131637,0.20834,0.094482,0.760254,-0.537109,3.28455,-9.180595,1.091664,-0.136423,1.147965,0.135929,-0.476074,0.708984,-0.203369,-0.070532,-9.346062,2.028044,0.33189,-0.63393,0.579959,0.212891,0.859375,-0.303955
