# sampling frequency: 40
# units are seconds/meters/radians/a.u.
seg1_acc_x,seg1_acc_y,seg1_acc_z,seg1_gyr_x,seg1_gyr_y,seg1_gyr_z,seg1_mag_x,seg1_mag_y,seg1_mag_z,seg2_acc_x,seg2_acc_y,seg2_acc_z,seg2_gyr_x,seg2_gyr_y,seg2_gyr_z,seg2_mag_x,seg2_mag_y,seg2_mag_z,seg3_acc_x,seg3_acc_y,seg3_acc_z,seg3_gyr_x,seg3_gyr_y,seg3_gyr_z,seg3_mag_x,seg3_mag_y,seg3_mag_z,seg4_acc_x,seg4_acc_y,seg4_acc_z,seg4_gyr_x,seg4_gyr_y,seg4_gyr_z,seg4_mag_x,seg4_mag_y,seg4_mag_z,seg5_acc_x,seg5_acc_y,seg5_acc_z,seg5_gyr_x,seg5_gyr_y,seg5_gyr_z,seg5_mag_x,seg5_mag_y,seg5_mag_z
2.639029,-9.353527,-1.669695,0.058675,-0.02143,-0.394644,-0.161865,1.061279,0.230957,-5.838297,1.201297,6.780646,0.003994,0.268823,0.123094,0.539795,-0.272217,-0.790771,-0.261026,-7.435306,3.295456,0.830921,0.220947,-0.117483,-0.12207,0.938965,-0.30249,-3.379621,-8.398675,0.08849,0.450553,-0.062586,0.146178,0.302734,0.898193,-0.122314,2.380968,-10.006553,-2.203823,-0.498931,-0.309034,-0.504788,-0.279785,0.811768,0.125244
2.142237,-8.694132,-1.594377,-0.108775,0.037641,-0.380721,-0.173828,1.053711,0.23584,-6.732597,1.401289,7.050978,0.180474,0.289176,0.049451,0.538574,-0.279297,-0.782715,-0.913021,-7.223648,3.888068,-0.349272,0.143671,0.072846,-0.123291,0.939453,-0.288574,-4.241095,-7.846837,0.824911,-0.099817,0.237867,0.128058,0.302734,0.892822,-0.112549,2.385893,-10.044646,-2.037926,0.56081,-0.201014,-0.473134,-0.291992,0.806885,0.115479
2.350221,-9.491957,-2.001162,-0.200888,0.047345,-0.38616,-0.182861,1.043945,0.244629,-6.652734,2.5034,7.248736,0.142025,0.149199,0.086228,0.543945,-0.289062,-0.775635,0.426415,-10.271975,3.181185,-0.702367,-0.029553,0.105117,-0.118896,0.935547,-0.267578,-4.643034,-9.877882,0.502162,-0.47553,-0.087057,0.033898,0.303711,0.890381,-0.095947,2.364869,-8.226502,-1.612466,0.407189,-0.365026,-0.443077,-0.300537,0.800049,0.117188
2.37955,-9.591479,-2.081465,-0.088553,0.050838,-0.298709,-0.191162,1.039062,0.243164,-6.366855,2.06866,7.060817,-0.464941,0.096832,0.10428,0.544189,-0.28418,-0.781982,-0.267449,-10.405671,3.014294,0.17258,0.347803,0.0069,-0.118896,0.931641,-0.275635,-3.092697,-10.252925,-0.186763,0.039804,0.191927,-0.206379,0.296875,0.887939,-0.101318,3.162921,-9.182131,-1.996907,-0.605987,-0.381805,-0.536347,-0.311523,0.789795,0.130371
2.82144,-9.63956,-2.054473,-0.103852,0.052274,-0.258556,-0.190186,1.042969,0.253662,-6.518157,0.174203,6.663746,-0.157399,0.184545,0.097316,0.554199,-0.274658,-0.770264,-1.244794,-8.867188,3.463474,0.162853,0.116758,-0.155505,-0.114258,0.941162,-0.27002,-4.885019,-9.168207,0.407014,0.328862,0.510591,0.024133,0.305176,0.896973,-0.094727,3.041794,-11.497062,-2.937541,-0.329062,-0.264034,-0.360434,-0.310059,0.793213,0.148682
2.597491,-10.126563,-2.016524,0.01165,0.113876,-0.160853,-0.19458,1.037354,0.244385,-6.640999,1.218137,6.84071,0.723769,0.136688,-0.022173,0.552979,-0.290527,-0.770996,-0.353038,-9.576239,3.243736,-0.122565,0.120903,-0.093669,-0.115967,0.938477,-0.277832,-4.882587,-8.603479,0.622771,0.237709,-0.14397,0.027367,0.307129,0.891846,-0.112061,2.794797,-11.002345,-2.702151,0.573695,-0.383532,-0.340221,-0.31665,0.791016,0.129639
2.715523,-9.867606,-1.638639,0.238946,0.098504,-0.062345,-0.200928,1.0354,0.238281,-6.641876,3.17262,7.155489,0.394025,0.129716,0.00929,0.551758,-0.302246,-0.763916,-0.211839,-9.877553,3.324697,0.275446,0.143862,-0.172442,-0.124023,0.93042,-0.282471,-2.972036,-8.80597,0.179615,0.162569,0.146163,0.120487,0.303467,0.888184,-0.11377,2.838834,-9.73179,-2.068823,0.402215,-0.423438,-0.258628,-0.327148,0.78125,0.129883
2.681489,-9.355936,-1.211018,0.13376,0.104132,0.008814,-0.205078,1.042969,0.236328,-7.16858,2.38088,6.893141,-0.170643,0.087934,-0.029737,0.552246,-0.290527,-0.764893,0.029812,-9.023443,3.691133,0.279594,0.188122,-0.112173,-0.12915,0.939697,-0.288086,-4.576104,-8.709386,0.806449,0.302327,0.615622,0.11798,0.307129,0.893555,-0.114502,2.763201,-9.85234,-2.009833,-0.013437,-0.566537,-0.212449,-0.333008,0.791748,0.136963
2.648062,-9.916054,-1.479111,0.095103,0.158377,-0.006165,-0.19873,1.04126,0.228027,-6.967904,1.17727,6.468877,0.18661,-0.022574,-0.085356,0.557861,-0.297607,-0.767334,-0.528641,-9.426055,3.48165,0.123409,0.268451,-0.075178,-0.121094,0.933105,-0.296387,-4.670892,-8.3477,0.975524,0.26956,-0.007108,0.224274,0.318848,0.888428,-0.125488,2.820302,-10.563525,-1.938904,0.169765,-0.580398,-0.154069,-0.326172,0.783203,0.133545
2.419793,-9.204518,-1.282123,0.352113,0.186435,0.086196,-0.200928,1.039795,0.215576,-6.475219,1.79732,6.529203,0.516616,0.017271,-0.15764,0.555664,-0.304443,-0.764893,-0.567439,-9.505412,3.332315,0.532334,0.267247,-0.151554,-0.128662,0.928955,-0.313721,-3.662785,-8.613708,0.486028,0.277974,0.226446,0.295969,0.323486,0.884766,-0.13208,2.538095,-9.613125,-1.425191,0.559966,-0.562833,-0.09277,-0.328613,0.7854,0.127686
