# sampling frequency: 40
# units are seconds/meters/radians/a.u.
seg1_acc_x,seg1_acc_y,seg1_acc_z,seg1_gyr_x,seg1_gyr_y,seg1_gyr_z,seg1_mag_x,seg1_mag_y,seg1_mag_z,seg2_acc_x,seg2_acc_y,seg2_acc_z,seg2_gyr_x,seg2_gyr_y,seg2_gyr_z,seg2_mag_x,seg2_mag_y,seg2_mag_z,seg3_acc_x,seg3_acc_y,seg3_acc_z,seg3_gyr_x,seg3_gyr_y,seg3_gyr_z,seg3_mag_x,seg3_mag_y,seg3_mag_z,seg4_acc_x,seg4_acc_y,seg4_acc_z,seg4_gyr_x,seg4_gyr_y,seg4_gyr_z,seg4_mag_x,seg4_mag_y,seg4_mag_z,seg5_acc_x,seg5_acc_y,seg5_acc_z,seg5_gyr_x,seg5_gyr_y,seg5_gyr_z,seg5_mag_x,seg5_mag_y,seg5_mag_z
-1.32714,-0.140381,9.960302,-0.078387,-0.044342,-0.083169,0.444824,0.007324,-0.910645,-4.045064,8.720306,-3.294927,-0.155162,-0.255029,-0.065611,0.473877,-0.748047,0.476074,3.811611,3.949287,7.520045,-0.005164,-0.50718,0.005883,-0.465576,-0.665283,-0.716553,-4.81827,3.95241,7.846656,-0.021048,0.146293,0.125303,0.355469,-0.66626,-0.751953,-2.049985,-2.306449,9.230796,-0.747811,0.076968,-0.073325,0.360596,-0.101807,-0.952148
-1.655273,-0.039809,10.134407,-0.09089,-0.012942,-0.053547,0.462402,0.005127,-0.910645,-4.336712,8.063203,-3.346342,-0.185166,-0.139947,-0.093811,0.494385,-0.752686,0.473877,4.24773,4.442693,7.455769,0.334531,-0.480068,0.019076,-0.45752,-0.674072,-0.705078,-4.291062,4.520033,7.977865,0.202514,-0.032652,0.030613,0.373535,-0.675049,-0.75,-2.492865,-2.565162,9.024479,0.243538,0.004696,-0.059094,0.378906,-0.111816,-0.948486
-1.827027,-0.340991,10.013771,-0.128839,0.000109,-0.037849,0.46167,0.014893,-0.908936,-4.707057,8.227608,-3.383522,0.046264,-0.262381,-0.136601,0.501465,-0.746094,0.474121,4.317034,5.043075,7.544189,0.121317,-0.420079,0.045725,-0.4646,-0.672363,-0.694092,-3.972651,4.654635,7.795661,-0.167519,0.08245,0.184199,0.369873,-0.667969,-0.748047,-2.61151,-0.845909,9.692259,0.547267,-0.231032,-0.058149,0.373535,-0.117676,-0.950195
-1.834761,-0.329759,9.908725,0.062551,-0.069598,-0.015079,0.456299,0.018311,-0.906982,-4.430852,8.649885,-3.142096,-0.025004,-0.207341,-0.17212,0.503418,-0.737793,0.470947,4.218482,4.395055,7.523983,0.018216,-0.438406,0.046499,-0.474365,-0.663818,-0.688232,-4.874889,3.418842,7.708198,-0.108382,0.091024,0.23816,0.364502,-0.660645,-0.747803,-1.923148,-0.369803,9.956106,-0.105597,-0.215201,-0.111498,0.366699,-0.11084,-0.950684
-1.710933,0.040846,9.883607,0.043949,-0.036399,-0.014673,0.449463,0.015625,-0.912354,-4.700011,8.179782,-3.228664,-0.198799,-0.231546,-0.188708,0.505859,-0.737793,0.461914,4.301361,4.156105,7.384362,0.277513,-0.440238,-0.016356,-0.488281,-0.672363,-0.681396,-4.563816,3.877605,7.607363,0.34683,-0.047863,0.106598,0.358887,-0.673096,-0.748047,-1.980587,-1.515211,9.718179,-0.397651,-0.004854,0.010486,0.360107,-0.105225,-0.955322
-1.944769,-0.017868,9.823911,-0.041226,-0.083494,-0.002225,0.450684,0.010742,-0.898926,-4.6715,7.745,-3.302924,0.031252,-0.211347,-0.242681,0.513428,-0.739502,0.474365,4.165412,4.725801,7.248714,0.477107,-0.494287,-0.079326,-0.493652,-0.68457,-0.654541,-4.450304,4.551804,7.682124,0.17523,0.045393,0.280648,0.354492,-0.684814,-0.731201,-2.480634,-1.878815,9.616832,0.13583,-0.050913,-0.011799,0.359375,-0.112549,-0.938477
-1.675839,-0.143898,9.843833,0.062559,-0.108194,-0.018733,0.45166,0.011719,-0.913574,-4.80468,8.406174,-2.931842,0.174352,-0.241618,-0.274334,0.528809,-0.731201,0.461182,4.832711,5.330172,7.241619,0.337929,-0.55282,-0.08287,-0.497803,-0.688965,-0.655029,-4.154746,4.062765,7.698635,0.095455,-0.044493,0.215844,0.356445,-0.687256,-0.744873,-2.157341,-0.878139,9.834589,0.473725,-0.113795,-0.026973,0.362061,-0.119873,-0.956055
-1.756195,-0.000873,10.007382,-0.03645,-0.028948,-0.01651,0.454834,0.020996,-0.900391,-4.555792,8.477814,-2.99261,-0.16667,-0.184361,-0.233382,0.538086,-0.726318,0.466553,4.908752,5.126202,7.361806,0.147197,-0.410327,-0.006499,-0.498779,-0.684814,-0.635742,-4.336146,4.483878,7.884884,0.277942,0.133059,0.147693,0.361328,-0.685547,-0.723877,-2.189886,-0.159595,10.13292,0.057379,0.013157,0.004801,0.365967,-0.114258,-0.943604
-1.91928,-0.215742,9.985343,-0.051651,-0.04111,-0.028781,0.451416,0.019043,-0.899902,-5.24233,7.936343,-3.128722,-0.07732,-0.125608,-0.236504,0.540771,-0.726562,0.468506,4.79228,4.912939,7.368228,0.206834,-0.538054,-0.086338,-0.510498,-0.69165,-0.621826,-4.795674,4.454722,8.186332,0.014456,0.024401,0.187888,0.353271,-0.689697,-0.719482,-2.477614,-0.798856,10.019522,-0.37622,0.016209,-0.046677,0.361572,-0.107178,-0.937744
-1.973885,-0.438978,10.058587,0.001463,-0.02425,-0.038213,0.441162,0.006836,-0.906738,-5.13651,8.204977,-2.87832,0.146568,-0.186323,-0.201201,0.53833,-0.732422,0.459229,5.528639,4.813505,7.337117,0.194512,-0.435847,-0.101785,-0.522949,-0.706787,-0.621826,-3.90134,3.805519,7.837056,0.156888,-0.189825,0.207205,0.34082,-0.706299,-0.728271,-2.428088,-1.877137,9.804749,-0.284483,0.026004,-0.036214,0.356689,-0.112061,-0.947021
-1.834402,-0.284296,10.040526,0.218498,0.00402,-0.00348,0.450439,0.012207,-0.896484,-5.324363,8.301589,-3.079862,0.083707,-0.177958,-0.128519,0.551025,-0.719971,0.464355,5.012974,4.835161,7.103117,0.394771,-0.26586,-0.106783,-0.516602,-0.702393,-0.604004,-4.017646,4.734714,7.823542,0.521128,0.085158,0.122701,0.34668,-0.705322,-0.711426,-2.647346,-2.018053,9.614854,0.27455,0.023367,0.010364,0.363525,-0.109131,-0.940186
