time_s,original_acc_x,original_acc_y,original_acc_z,original_gyr_x,original_gyr_y,original_gyr_z,rigid_acc_x,rigid_acc_y,rigid_acc_z,rigid_gyr_x,rigid_gyr_y,rigid_gyr_z,compensated_acc_x,compensated_acc_y,compensated_acc_z,compensated_gyr_x,compensated_gyr_y,compensated_gyr_z
42.924999,-1.67258096,5.95755100,8.25203896,-0.62513101,0.03685600,0.10618200,-1.00686085,3.90096998,8.79060364,0.00552056,-0.00995744,0.00265302,-1.08466136,3.98714066,9.06088066,-0.34402609,0.03129464,0.09655391
42.950001,-1.23350203,3.15751791,7.72394180,-0.24491200,-0.14395700,0.13844100,-1.09410501,3.70903277,8.84754372,0.00681487,-0.04959815,0.04581609,-0.85370445,3.52933311,8.80767441,0.03737781,-0.05488126,0.07662816
42.974998,-1.07276595,5.42078400,8.33619976,0.85792398,0.01671900,-0.12637199,-0.82943636,4.03374386,9.00734615,0.02004067,-0.03484665,0.04939471,-0.81873834,3.66417217,9.03546143,0.04486097,-0.01665919,0.01246963
43.000000,-1.27873194,7.63424587,8.41336536,-0.06021600,0.01759900,0.02179900,-0.95894814,4.26843357,8.79104233,-0.04225211,-0.02608457,0.00885688,-0.83291882,4.38793707,8.92566490,-0.09766187,-0.02026300,-0.00583152
43.025002,-1.31286895,4.82904387,7.89454079,-0.86686897,-0.13062400,0.15229499,-0.87443161,3.81274247,8.67587757,-0.06193737,-0.04544305,-0.00605900,-0.77061766,3.90271187,8.77054214,-0.00152830,-0.04559182,0.01204556
43.049999,-0.85753101,3.21082497,8.20003700,0.11460100,-0.00481000,0.00448600,-0.88963562,3.38607192,8.97308826,0.00292330,-0.02651795,0.03443492,-0.63078338,3.46472836,8.95820618,0.04942257,-0.01876528,0.03557126
43.075001,-1.29251599,5.50065804,8.37539387,0.67872900,0.06586600,-0.02728800,-0.85530388,3.93524909,8.93751526,0.04649955,0.00379420,0.07377961,-0.73235941,3.49882841,9.01291370,0.04374607,-0.01170849,0.03178801
43.099998,-1.28988302,7.29967117,7.86576319,0.05087900,-0.01612600,0.02075100,-0.99321395,4.58851767,8.62205124,-0.05281773,-0.01493102,0.02545804,-0.90213788,4.56440687,8.70130157,-0.09686590,-0.00928955,0.03176564
43.125000,-1.18779504,5.60885382,8.85380268,-0.77126497,-0.06091200,0.06785200,-0.83429968,3.59252310,9.09883308,-0.07639220,-0.01618589,-0.01273499,-0.66240501,3.95039511,9.22109604,-0.10785636,-0.02758174,-0.00355477
43.150002,-0.93531197,2.81083107,7.80482101,-0.18589599,0.02982800,0.13559100,-0.85910785,3.57203174,8.93719387,0.02446390,0.03005100,0.03987959,-0.66372168,3.62519884,8.83723259,0.08561755,0.00127484,0.06884774
43.174999,-1.23490703,5.61186886,8.17709446,1.01141000,0.04971900,-0.18852800,-0.73454487,4.12830591,8.86756611,-0.00850495,0.01632664,0.04408349,-0.68232840,3.81904173,8.85435295,0.01406977,0.00856213,0.00201239
43.200001,-0.89561802,7.75048780,8.84238911,-0.26744699,0.04164200,0.06307100,-0.84218991,4.01956367,8.98388290,-0.00581452,0.03652228,0.01414384,-0.66155499,4.30447578,9.06345940,-0.11906591,0.02693283,0.00940161
43.224998,-1.37893796,3.99901199,8.14566708,-0.86308199,0.03040700,0.17204601,-0.85421771,3.65076160,8.97245693,-0.02257251,0.03093664,0.01556716,-0.79370117,4.00122643,9.08953762,0.00527196,0.02053960,0.03349346
43.250000,-0.89558399,3.31727695,7.92072678,0.44568801,0.00548400,-0.05536100,-0.81433052,3.53783846,8.85171795,0.01182330,0.04369641,0.05493525,-0.68592918,3.51251364,8.78721809,0.03169668,0.01482632,0.02615516
43.275002,-1.14182103,6.77760792,8.10972786,0.74697000,0.13571000,-0.06011500,-0.82807487,4.37533522,8.76384830,0.01995069,0.04893336,0.03694551,-0.79788756,4.31565523,8.63100433,0.01611754,0.04230712,-0.00791042
43.299999,-1.29689395,7.35306978,8.37955093,-0.41738600,-0.00650200,-0.02517700,-0.83225375,4.30482435,8.80700874,-0.00781882,0.01518780,-0.03333731,-0.81560558,4.85454178,8.85872650,-0.12186471,0.03925725,-0.03684323
43.325001,-0.96213400,3.79276705,8.19694328,-0.80162197,-0.04005200,0.17641500,-0.86061823,3.52030230,9.02822113,-0.02701026,0.02308354,-0.01347513,-0.61750329,3.87614441,8.99654388,0.00939916,-0.00616970,0.01623826
43.349998,-1.22698104,3.41241693,7.93723583,0.50186402,0.07435700,-0.09838600,-0.80042106,3.58713722,8.86353493,-0.00073123,-0.00098266,0.04546634,-0.78492719,3.53658962,8.82298088,0.03841262,-0.00505611,0.00260023
43.375000,-1.02152598,6.70843077,8.21609497,0.61508203,-0.06046200,0.00584400,-0.77334529,4.09561634,8.79585361,0.04592506,-0.02757624,0.05455576,-0.65552610,4.16109610,8.69272232,-0.00026056,-0.01222145,0.02783096
43.400002,-1.00054002,6.56011820,8.50499058,-0.42502999,-0.02303100,0.07205800,-0.70880342,4.16512251,8.98357582,0.01135276,-0.03506559,0.00733700,-0.68356389,4.62271070,9.00660801,-0.01007111,-0.05940149,0.02216594
43.424999,-1.20833099,4.23389196,7.96548223,-0.33908999,0.00697600,0.06655100,-0.91779560,3.85876060,8.86516094,-0.00726181,-0.02578868,0.00155623,-0.75412261,4.12795210,8.92193699,0.03294601,-0.02366548,0.01507243
43.450001,-1.30096495,4.57620811,8.15834618,0.30329001,-0.05162500,-0.02363900,-0.89308476,3.56364727,8.79438210,0.01007454,-0.04466266,0.04100111,-0.85857099,3.64874792,8.74211121,0.01425966,-0.04400968,0.00584318
43.474998,-0.95917600,5.65834618,8.15555763,0.10335300,-0.05426900,0.07696500,-0.86353368,3.76159072,8.74337769,0.01162957,-0.05431718,0.05920736,-0.77795976,3.97412682,8.68243408,0.03406304,-0.05259946,0.04284641
43.500000,-1.17776501,5.38360786,8.19568729,-0.06919700,-0.01738900,0.05905300,-0.80241472,4.08204269,8.83619499,0.01156755,-0.03368664,0.04317944,-0.81765342,4.26958036,8.81988239,0.01491480,-0.04982061,0.04168071
