setting,method_group,method,method_type,online_mode,num_seeds,num_windows_mean,RMSE,Delta RMSE vs TCN (%),Pearson,PSD Dist.,HF Improve.,parameters,fp32_size_mb,CPU ms/window,Streaming ms/step,deployment_verdict,loss_profile
by_experiment,causal_deep,TCN-causal,dilated convolution,causal_streaming,3.0,8633.0,0.3892 +/- 0.0026,+0.00%,0.8496 +/- 0.0009,0.05400 +/- 0.00100,8.298 +/- 0.019,101326.0,0.3865,1.514 +/- 0.188,0.978 +/- 0.057,possible_on_embedded_linux,"final_composite (L1=1.0, MSE=0.5, Spectral=0.2)"
by_experiment,causal_deep,Transformer-causal,causal self-attention mask,causal_streaming,3.0,8633.0,0.4292 +/- 0.0049,+10.28%,0.8435 +/- 0.0017,0.06690 +/- 0.00170,8.040 +/- 0.054,399110.0,1.5225,1.806 +/- 0.926,1.925 +/- 0.503,possible_on_embedded_linux,"final_composite (L1=1.0, MSE=0.5, Spectral=0.2)"
by_experiment,causal_deep,GRU-causal,recurrent hidden state,causal_streaming,3.0,8633.0,0.4034 +/- 0.0020,+3.65%,0.8400 +/- 0.0008,0.05690 +/- 0.00080,8.261 +/- 0.033,152070.0,0.5801,4.595 +/- 1.143,0.161 +/- 0.043,possible_on_embedded_linux,"final_composite (L1=1.0, MSE=0.5, Spectral=0.2)"
by_experiment,causal_deep,LSTM-causal,recurrent hidden/cell state,causal_streaming,3.0,8633.0,0.4122 +/- 0.0027,+5.91%,0.8369 +/- 0.0006,0.05670 +/- 0.00080,8.227 +/- 0.030,202502.0,0.7725,1.634 +/- 0.310,0.386 +/- 0.066,possible_on_embedded_linux,"final_composite (L1=1.0, MSE=0.5, Spectral=0.2)"
by_experiment,causal_deep,MLP-causal,per-timestep zero-history,causal_streaming,3.0,8633.0,0.6886 +/- 0.0020,+76.93%,0.7263 +/- 0.0008,0.18490 +/- 0.00040,6.395 +/- 0.123,18182.0,0.0694,0.076 +/- 0.015,0.079 +/- 0.025,yes_embedded_friendly,"final_composite (L1=1.0, MSE=0.5, Spectral=0.2)"
by_experiment,static_filter,Identity/raw,raw passthrough,static_or_filter_baseline,3.0,8633.0,0.8173 +/- 0.0000,+109.99%,0.7254 +/- 0.0000,0.22478 +/- 0.00000,1.959 +/- 0.000,0.0,0.0,0.001 +/- 0.000,NA,yes_classical_filter,not_applicable_static_method
by_experiment,static_filter,Moving-average low-pass,moving-average filter,static_or_filter_baseline,3.0,8633.0,0.5575 +/- 0.0000,+43.24%,0.8398 +/- 0.0000,0.13227 +/- 0.00000,7.982 +/- 0.000,0.0,0.0,0.031 +/- 0.001,NA,yes_classical_filter,not_applicable_static_method
by_experiment,static_filter,Butterworth low-pass,Butterworth filter,static_or_filter_baseline,3.0,8633.0,0.5716 +/- 0.0000,+46.86%,0.7975 +/- 0.0000,0.12059 +/- 0.00000,8.057 +/- 0.000,0.0,0.0,2.051 +/- 0.013,NA,yes_classical_filter,not_applicable_static_method
by_experiment,static_filter,Savitzky-Golay,Savitzky-Golay filter,static_or_filter_baseline,3.0,8633.0,0.5852 +/- 0.0000,+50.37%,0.7818 +/- 0.0000,0.12035 +/- 0.00000,8.177 +/- 0.000,0.0,0.0,2.112 +/- 0.010,NA,yes_classical_filter,not_applicable_static_method
by_experiment,static_filter,Wiener filter,Wiener filter,static_or_filter_baseline,3.0,8633.0,0.6524 +/- 0.0000,+67.62%,0.7367 +/- 0.0000,0.13803 +/- 0.00000,7.611 +/- 0.000,0.0,0.0,0.431 +/- 0.001,NA,yes_classical_filter,not_applicable_static_method
