setting,method,method_group,method_type,online_mode,num_seeds,num_windows_mean,rmse_mean,rmse_std,pearson_mean,pearson_std,psd_distance_mean,psd_distance_std,hf_improvement_mean,hf_improvement_std,parameters,fp32_size_mb,cpu_forward_ms_per_window_mean,cpu_forward_ms_per_window_std,streaming_ms_per_step_mean,streaming_ms_per_step_std,deployment_verdict,loss_profile,source_table,rmse_delta_vs_tcn_causal,rmse_delta_percent_vs_tcn_causal
by_experiment,TCN-causal,causal_deep,dilated convolution,causal_streaming,3.0,8633.0,0.3892,0.0026,0.8496,0.0009,0.054,0.001,8.2982,0.0193,101326.0,0.3865,1.5144,0.1876,0.9784,0.0568,possible_on_embedded_linux,"final_composite (L1=1.0, MSE=0.5, Spectral=0.2)",outputs/causal_model_comparison/tables/causal_model_comparison_table.csv,0.0,0.0
by_experiment,Transformer-causal,causal_deep,causal self-attention mask,causal_streaming,3.0,8633.0,0.4292,0.0049,0.8435,0.0017,0.0669,0.0017,8.0401,0.0536,399110.0,1.5225,1.8059,0.9264,1.9255,0.5034,possible_on_embedded_linux,"final_composite (L1=1.0, MSE=0.5, Spectral=0.2)",outputs/causal_model_comparison/tables/causal_model_comparison_table.csv,0.040000000000000036,10.27749229188079
by_experiment,GRU-causal,causal_deep,recurrent hidden state,causal_streaming,3.0,8633.0,0.4034,0.002,0.84,0.0008,0.0569,0.0008,8.2611,0.0333,152070.0,0.5801,4.595,1.143,0.1613,0.0429,possible_on_embedded_linux,"final_composite (L1=1.0, MSE=0.5, Spectral=0.2)",outputs/causal_model_comparison/tables/causal_model_comparison_table.csv,0.01419999999999999,3.648509763617675
by_experiment,LSTM-causal,causal_deep,recurrent hidden/cell state,causal_streaming,3.0,8633.0,0.4122,0.0027,0.8369,0.0006,0.0567,0.0008,8.2274,0.0302,202502.0,0.7725,1.6342,0.3098,0.3856,0.0656,possible_on_embedded_linux,"final_composite (L1=1.0, MSE=0.5, Spectral=0.2)",outputs/causal_model_comparison/tables/causal_model_comparison_table.csv,0.02300000000000002,5.909558067831455
by_experiment,MLP-causal,causal_deep,per-timestep zero-history,causal_streaming,3.0,8633.0,0.6886,0.002,0.7263,0.0008,0.1849,0.0004,6.3952,0.1233,18182.0,0.0694,0.076,0.0153,0.0789,0.0248,yes_embedded_friendly,"final_composite (L1=1.0, MSE=0.5, Spectral=0.2)",outputs/causal_model_comparison/tables/causal_model_comparison_table.csv,0.2994,76.92702980472765
by_experiment,Identity/raw,static_filter,raw passthrough,static_or_filter_baseline,3.0,8633.0,0.817278666990394,0.0,0.7254491415888351,0.0,0.2247769397730353,2.775557561562892e-17,1.959244414394512,0.0,0.0,0.0,0.0013472450276215,1.0039966446562123e-05,,,yes_classical_filter,not_applicable_static_method,outputs/supervised_by_experiment/evaluation/metrics/multiseed_model_comparison.csv,0.428078666990394,109.98938000780936
by_experiment,Moving-average low-pass,static_filter,moving-average filter,static_or_filter_baseline,3.0,8633.0,0.5574878736295467,0.0,0.8397894164283356,0.0,0.1322707243130557,0.0,7.982354195163192,8.881784197001252e-16,0.0,0.0,0.0313119900723297,0.0013578741560551,,,yes_classical_filter,not_applicable_static_method,outputs/supervised_by_experiment/evaluation/metrics/multiseed_model_comparison.csv,0.16828787362954667,43.239433101116816
by_experiment,Butterworth low-pass,static_filter,Butterworth filter,static_or_filter_baseline,3.0,8633.0,0.5715881892148303,0.0,0.7974520411110791,0.0,0.1205936186286037,0.0,8.056837526657631,0.0,0.0,0.0,2.051310489575068,0.0131040108728956,,,yes_classical_filter,not_applicable_static_method,outputs/supervised_by_experiment/evaluation/metrics/multiseed_model_comparison.csv,0.18238818921483035,46.86233021963781
by_experiment,Savitzky-Golay,static_filter,Savitzky-Golay filter,static_or_filter_baseline,3.0,8633.0,0.5852372898774889,0.0,0.7818018647506477,0.0,0.1203490337383034,1.3877787807814457e-17,8.1773288940943,0.0,0.0,0.0,2.111732338865598,0.010463278731347,,,yes_classical_filter,not_applicable_static_method,outputs/supervised_by_experiment/evaluation/metrics/multiseed_model_comparison.csv,0.19603728987748892,50.369293390927275
by_experiment,Wiener filter,static_filter,Wiener filter,static_or_filter_baseline,3.0,8633.0,0.6523672953414914,0.0,0.7366711907821365,1.1102230246251563e-16,0.1380284376189594,0.0,7.611472663928211,0.0,0.0,0.0,0.4305246658623218,0.0006502565824165,,,yes_classical_filter,not_applicable_static_method,outputs/supervised_by_experiment/evaluation/metrics/multiseed_model_comparison.csv,0.2631672953414914,67.61749623368227
