time_s,acc_x,acc_y,acc_z,gyr_x,gyr_y,gyr_z
0.0,0.402876,-0.783887,9.795354,-0.00625,0.006323,-0.000104
0.025,0.404182,-0.853417,9.806886,-0.011996,-0.001862,-0.006432
0.05,0.428917,-0.862047,9.820703,0.008938,-0.000123,0.002399
0.075,0.413903,-0.783836,9.822215,0.018307,0.005033,0.004295
0.1,0.398113,-0.783804,9.778957,-0.011093,0.003879,-0.004305
0.125,0.411349,-0.844552,9.781962,-0.006978,-0.001091,-0.004534
0.15,0.403942,-0.834328,9.828062,0.003333,0.004997,0.002628
0.175,0.415687,-0.831287,9.77999,0.006291,5e-06,-0.001389
0.2,0.433163,-0.793345,9.819601,0.000686,-0.000445,0.001154
0.225,0.409872,-0.863165,9.852659,-0.011582,0.007351,-0.003736
0.25,0.394993,-0.826548,9.759795,0.017483,0.007142,0.003884
0.275,0.399185,-0.761772,9.741749,-0.007154,-0.004991,8e-05
0.3,0.462062,-0.870778,9.907386,-0.021697,-0.007616,-0.006932
0.325,0.433396,-0.871833,9.866536,0.030987,0.011256,0.007188
0.35,0.395586,-0.717829,9.715388,0.003961,0.01177,-0.000922
0.375,0.390216,-0.826329,9.743415,-0.015151,-0.011806,-0.001898
0.4,0.395666,-0.831487,9.926266,-0.01068,0.005228,-0.006447
0.425,0.464074,-0.887251,9.821963,0.01178,0.021021,0.005746
0.45,0.350263,-0.773537,9.692978,0.014562,-0.002843,-0.000952
0.475,0.813531,-1.117584,10.52828,-0.134557,-0.002578,0.038142
0.5,0.503957,-1.196837,9.478648,0.230799,0.181269,0.306217
0.525,-0.299708,0.368528,9.79336,-0.053462,-0.048483,0.074118
0.55,0.718436,-1.392305,9.38478,-0.271195,0.062702,0.022386
0.575,-0.022013,-0.617588,10.081713,0.138987,0.0092,-0.026851
0.6,0.9577,-1.46129,10.0555,-0.229432,0.04311,-0.035578
0.625,0.208301,-1.158978,10.29382,0.292754,0.070623,0.229282
0.65,0.360409,-0.357349,9.261331,0.019237,0.080756,0.201318
0.675,-0.15549,0.316063,9.709373,-0.021431,0.111935,-0.05221
0.7,0.561543,-0.901795,10.088665,-0.701192,0.053925,-0.021662
0.725,0.285457,-0.352168,10.398119,-0.144385,0.150604,-0.019079
0.75,0.201511,-0.297647,10.008329,-0.819579,0.140196,-0.270585
0.775,0.087716,-0.566791,9.77132,-0.622058,0.193478,-0.203064
0.8,0.442136,-0.209064,10.195784,-1.501841,0.170521,-0.245402
0.825,0.020462,-0.400424,9.63326,-1.714345,0.240811,-0.128146
0.85,0.219273,-0.205258,9.635097,-2.780486,0.170925,-0.304054
0.875,-0.110724,-11.84522,7.226781,-3.549127,0.211137,-0.105492
0.9,0.716252,-8.593342,7.528153,3.539405,0.023052,0.686408
0.925,-1.178722,5.967454,12.483505,0.317242,0.607491,-0.386692
0.95,1.254835,-4.327602,9.63456,-2.310347,-0.147355,0.063853
0.975,-0.941598,-7.155184,7.953138,0.857122,0.76278,0.048274
1.0,-0.022994,0.349931,11.146121,0.205942,0.115119,0.265605
1.025,-0.004616,-3.626156,10.229506,-1.280525,0.811778,-0.071481
1.05,-0.068469,-5.477128,9.588932,-0.151665,0.460111,0.453195
1.075,-0.880111,-2.736561,9.88388,0.017598,1.002784,0.191043
1.1,-0.775691,-4.983635,9.233444,-0.014374,0.585358,0.19086
1.125,-0.653698,-3.291574,10.028056,0.903957,1.144268,0.300894
1.15,-1.088913,-4.337651,10.06285,0.699503,0.959412,0.039508
1.175,-1.473069,-4.202083,10.27426,1.334043,1.38019,0.377454
1.2,-1.333865,-2.462625,10.424455,1.247821,1.356888,0.266696
1.225,-2.760565,-0.932782,9.861911,0.669665,1.62581,0.207829
1.25,-1.067543,-1.911021,8.499853,0.295993,1.341956,0.330412
1.275,-3.709524,-0.686168,9.685194,0.024912,1.697592,0.332562
1.3,-3.29993,-1.546883,7.774521,-0.859446,1.458158,0.480479
1.325,-4.25271,-2.139198,7.613153,-0.677876,1.117188,0.283983
1.35,-3.422686,-3.307021,8.321468,-0.955883,1.373087,0.308121
1.375,-4.696653,-3.894747,7.434293,-0.227899,1.188865,0.383939
1.4,-5.479778,-0.975537,7.854342,-0.276131,1.199091,0.238621
1.425,-6.117083,-3.02995,5.987311,-1.563471,0.747779,0.23116
1.45,-4.541663,-5.846695,5.110427,0.460534,0.619718,0.22737
1.475,-4.710641,-0.753806,7.444054,0.565923,1.103345,-0.035694
1.5,-5.903462,-1.81929,7.842033,-0.517277,0.919661,0.094091
1.525,-7.45385,-1.742613,7.429333,-0.126336,0.812367,0.305884
1.55,-5.172372,-2.16605,7.70486,-0.661345,0.059573,0.47434
1.575,-5.469108,-3.200758,7.988302,0.003061,0.551279,0.546289
1.6,-5.271429,-2.582822,7.270021,0.054035,0.594967,0.55606
1.625,-7.149623,-2.951589,7.60906,0.055506,0.764358,0.229303
1.65,-9.183683,-1.867294,8.554045,-0.092191,0.496121,-0.086128
1.675,-7.373852,-3.091183,8.077631,-1.068027,-0.203057,-0.005634
1.7,-6.746784,-4.484129,7.136892,0.058665,0.111293,-0.018812
1.725,-7.374388,-2.170642,7.227152,0.226171,0.083665,0.040325
1.75,-7.513247,-2.910427,6.833499,0.311272,-0.281538,0.393652
1.775,-6.845639,-1.615192,7.373705,0.464209,0.125108,0.380871
1.8,-8.660658,-1.631995,8.233601,-0.82706,0.015403,0.115685
1.825,-8.107026,-6.16472,6.498562,-1.045676,-0.474553,-0.408923
1.85,-7.761944,-4.819565,6.619666,1.330828,-0.29374,-0.289135
1.875,-8.399796,-0.952978,9.447515,0.526974,-0.610621,-0.429415
1.9,-7.390538,-4.159229,7.930226,0.277206,-0.821112,-0.446339
1.925,-8.260573,-2.141959,9.175142,0.690457,-0.951865,-0.54624
1.95,-5.838909,-2.822949,7.68868,0.004831,-1.333412,-0.908618
