motion_name,rmse_acc_x,pearson_acc_x,psd_distance_acc_x,rmse_acc_y,pearson_acc_y,psd_distance_acc_y,rmse_acc_z,pearson_acc_z,psd_distance_acc_z,rmse_gyr_x,pearson_gyr_x,psd_distance_gyr_x,rmse_gyr_y,pearson_gyr_y,psd_distance_gyr_y,rmse_gyr_z,pearson_gyr_z,psd_distance_gyr_z,rmse_mean,pearson_mean,psd_distance_mean,hf_ratio_improvement_acc,hf_ratio_improvement_gyr,hf_ratio_improvement_mean
canonical,0.06277891809321855,0.7076778724940627,0.0006030916118186786,0.1935248472219841,0.5314410437272131,0.005407431044963315,0.11615688045805489,0.6646379930277769,0.003930230246806911,0.1631337158530104,0.5434867689697486,0.007075928391678975,0.07011468764077025,0.6055810270588493,0.0018709330156174142,0.07710864884800024,0.7487511259537871,0.0029584666900337774,0.11380294968583973,0.6335959718719062,0.0036410135001531787,0.0,0.0,0.0
explosiv,0.30326993135830105,0.8809494402209965,0.020546821014925058,0.6120448975744894,0.6984361103040818,0.05922839601930641,0.46770951136694117,0.8419755722267229,0.03188829035721413,0.8534168059290466,0.7321678024916813,0.15271105438656316,0.4865293247341099,0.9050289244513424,0.08102493554452864,0.5238168578784345,0.8482468077759673,0.11216188420712261,0.5411312214735537,0.817800776245132,0.07626023025494334,0.0,0.0,0.0
fast,0.21353261715804156,0.8757914939477885,0.009358926708468227,0.5117773059827204,0.7400611887863041,0.0402671215172456,0.2950199525642137,0.8942603657949417,0.02312073815002371,0.6232802650239766,0.8100565655478819,0.07908343824226632,0.3619482792031844,0.8570700585113682,0.030553093703820238,0.3158898473914283,0.8948394988377016,0.05039182457623985,0.3869080445539275,0.8453465285709977,0.03879585714967733,0.0,0.0,0.0
fast_slow,0.2523954452803502,0.9103669431862297,0.01333959140252913,0.6259940820244643,0.7292840709889938,0.05043061356476616,0.5089456664684874,0.847221662549698,0.038029655625219816,0.7745361625861663,0.7785463891940996,0.1445838066782856,0.47779503917464844,0.8316055639010653,0.05867984911858982,0.39951430612172073,0.8777156840200039,0.07477778299284042,0.5065301169426395,0.829123385640015,0.06330688323037181,0.0,0.0,0.0
fast_slow_fast,0.24933551782076913,0.8653537078347069,0.01224384519247095,0.5539900704153946,0.7468179624850243,0.04910688905656024,0.3772508185201635,0.8451225794948396,0.026545663782234507,0.7306071418769924,0.7876881775312922,0.11567589177067901,0.4343550494982905,0.8454984289882621,0.05400614836908818,0.35673860580760186,0.8996746166440878,0.09279534311684838,0.45037953398986863,0.8316925788297022,0.058395630214646874,0.0,0.0,0.0
freeze1,0.04751268085092306,0.7440365810853888,3.93557604184025e-05,0.33513251692056656,0.40573204212850833,0.0002511624290491454,0.22209282219409943,0.6730211495809709,2.8788134341084514e-05,0.07186077162623405,0.3804112545566252,0.0005911530606681481,0.036445230804383756,0.6727135467391939,0.00012765985884470864,0.022934345714747905,0.8671182437729301,6.601394616154722e-05,0.12266306135182578,0.6238388029772695,0.00018402219824717271,0.0,0.0,0.0
freeze2,0.03821074077859521,0.6862621865742765,0.00012816094777008403,0.09404938668012619,0.3977996368558107,0.0012925554965477204,0.49327414892613886,0.5529442188206473,0.0001266389972442994,0.12260172348469496,0.47710583680891727,0.00301869664399419,0.05175569085404277,0.5408339122523489,0.0002965316507470561,0.03759567216038704,0.6020571815722153,0.00012988509361093746,0.13958122714733084,0.542833828814036,0.0008320781383190478,0.0,0.0,0.0
gait_fast,0.32637927112687987,0.7495010268916122,0.017708427755839133,0.30997693199168874,0.6214247098795407,0.013118720340401797,0.3458646312759721,0.7283286034018257,0.012922967280584619,0.42845235006319443,0.6971852096176998,0.028743283071662518,0.6087749970001008,0.8566552318088054,0.08460375582681781,0.24375108718399527,0.8515001282845829,0.012904677772625798,0.37719987810697186,0.7507658183140111,0.02833363867465528,0.0,0.0,0.0
gait_slow,0.3431271476319657,0.7444322662360745,0.024518364789392295,0.21790386936949485,0.6088962984274232,0.006063110194463375,0.3339993455593691,0.7568093556763004,0.013578173253267956,0.28480160156727635,0.6207344701082674,0.01217883915606333,0.6853573983599601,0.8393861728596805,0.12217702472934032,0.1741490538226171,0.7939521107468576,0.004752548911524046,0.3398897360517805,0.7273684456757673,0.030544676839008553,0.0,0.0,0.0
pause,0.05659178928250358,0.23385314733524049,1.7700290610058628e-06,0.1753346700398695,0.1027999775746875,3.870845502804275e-06,0.1362075111873093,0.21455554056685527,2.424622593095938e-06,0.004151847113722137,0.21865152621845912,6.289892193053891e-06,0.005373349415493153,0.28199464198580326,3.446716963158754e-06,0.008387797947839967,0.26300329364420183,4.6634120272482875e-07,0.06434116083112294,0.2191430212208746,3.0447412526405915e-06,0.0,0.0,0.0
pause1,0.04817461151825754,0.7388668061594305,8.980245256201383e-05,0.12619147249742557,0.5471535028322606,0.0005354328427960067,0.11939774634022461,0.6838391744182298,0.0001212249790641133,0.07802780452919633,0.5517711107825756,0.0009271961153947478,0.038982927661977314,0.597367291506051,0.0002623599851798836,0.031133443195568888,0.8542389654559375,0.0002389744119682291,0.07365133429044171,0.6622061418590809,0.00036249846449416573,0.0,0.0,0.0
