motion_name,rmse_acc_x,pearson_acc_x,input_rmse_acc_x,psd_distance_acc_x,rmse_acc_y,pearson_acc_y,input_rmse_acc_y,psd_distance_acc_y,rmse_acc_z,pearson_acc_z,input_rmse_acc_z,psd_distance_acc_z,rmse_gyr_x,pearson_gyr_x,input_rmse_gyr_x,psd_distance_gyr_x,rmse_gyr_y,pearson_gyr_y,input_rmse_gyr_y,psd_distance_gyr_y,rmse_gyr_z,pearson_gyr_z,input_rmse_gyr_z,psd_distance_gyr_z,rmse_mean,input_rmse_mean,pearson_mean,psd_distance_mean,acc_norm_rmse,gyr_norm_rmse,input_acc_norm_rmse,input_gyr_norm_rmse,acc_channel_rmse_mean,gyr_channel_rmse_mean,input_acc_channel_rmse_mean,input_gyr_channel_rmse_mean,acc_channel_rmse_improvement,gyr_channel_rmse_improvement,hf_ratio_improvement_acc,hf_ratio_improvement_gyr,hf_ratio_improvement_mean
canonical,0.19470365777908064,0.8813250435376241,0.37649555481462316,0.006239277827274815,0.3543401044327766,0.7262302638873475,1.5092786920002916,0.027181274715638377,0.2148790437050841,0.7817599194628768,0.7903403583363715,0.023794055688738974,0.07171196117679673,0.807700990954377,0.3141046079404822,0.0023526402918959506,0.02840664953030434,0.8748938944451188,0.08613678858223879,0.0005612021569951573,0.03041119579918979,0.9233825717098187,0.07372593501138247,0.0004859460154346028,0.14907543540387203,0.5250136561142316,0.8325487806661939,0.010102399449329646,0.18075646219605748,0.05947361516247673,0.5313302954743532,0.27565003376750447,0.25464093530564713,0.043509935502096954,0.8920382017170954,0.1579891105113678,0.6373972664114483,0.11447917500927084,15.118095050888858,7.903791109997297,11.510943080443077
explosiv,0.7525370038414405,0.952586370557103,1.8206801997402966,0.15642369099393472,1.512670556518991,0.881278573148687,3.7418305142451143,0.350096048139454,1.3986446202306424,0.9139563773454245,2.806798934532424,0.3807837765405381,0.5779344862800534,0.8907490814799027,1.6496268583051228,0.06585798238975567,0.30395394636286516,0.9620463857994824,0.6003074212978452,0.06621264776813868,0.2843606404644453,0.9315240815502338,0.5049288818770546,0.06057987520351054,0.8050168756164063,1.8540288016663096,0.9220234783134721,0.17999233683922194,1.0301059049064831,0.4010583872259673,2.710093823428881,1.3031845888849032,1.2212840601970247,0.38874969103578794,2.7897698828392783,0.9182877204933408,1.5684858226422536,0.5295380294575529,4.495024778406282,6.798939248460815,5.646982013433548
fast,0.508745578633478,0.9474395269003334,1.2787674572318792,0.08044717633483217,0.9128573602280364,0.9162354821738057,2.9554960190103605,0.19063963413718388,0.7932680575678555,0.9287956898041503,1.8356458974429049,0.17646521223109105,0.29781756330138215,0.9494219026351477,1.1992895524133929,0.0316211094365723,0.14883203109874069,0.9452930851852264,0.4468234389997983,0.011482917047548523,0.1269876765360375,0.9506566757859343,0.3040327786544087,0.014606531169203598,0.464751377894255,1.336675857292124,0.9396403937474329,0.08421043005940525,0.784472206274334,0.23460961223396365,2.062595104153913,0.9339305877027353,0.7382903321431233,0.19121242364538676,2.0233031245617146,0.6500485900225332,1.2850127924185915,0.45883616637714647,4.8970971890648025,13.789268351299047,9.343182770181924
fast_slow,0.6164882898330688,0.979202355581757,1.5131956027104305,0.10016405256778503,1.5623523954015512,0.9009077517907378,3.5964906859856387,0.33401844447809986,1.5220228300931362,0.9077206830547099,3.005042956998715,0.4081705740563428,0.565318841043,0.9235626027447636,1.4952455774522744,0.11806720828362113,0.2408454334578262,0.942773830111902,0.5919714620480171,0.029965754990511274,0.22656939403655438,0.9234941373990392,0.3822239929810166,0.03341926473722896,0.7889328639775228,1.7640283796960154,0.929610226780485,0.17063421651893151,0.8774626840192538,0.4344077876195885,2.211015587586623,1.1955645092977927,1.2336211717759187,0.34424455617912686,2.704909748564928,0.8231470108271027,1.4712885767890094,0.4789024546479759,6.008034641372521,12.31560562169776,9.16182013153514
fast_slow_fast,0.6013136930497629,0.9378538981652036,1.4924010926281057,0.09199516556129819,1.0893594118101255,0.9174906263609309,3.1799936983556973,0.24288045118975268,0.9350295639818623,0.9081936516373056,2.305155920463481,0.23411143645093835,0.399366776763262,0.9382779235206286,1.4098017149421918,0.0542837528188642,0.18713788857927457,0.937381635893917,0.5415105074192287,0.02056161325777011,0.15717371284318643,0.9483692421666349,0.3383519060815507,0.022897475978457572,0.5615635078379123,1.5445358066483759,0.9312611629574368,0.11112164920951352,0.8906681061544943,0.30570693037949415,2.3003885049905097,1.0778718838118948,0.8752342229472503,0.2478927927285743,2.3258502371490946,0.7632213761476572,1.4506160142018445,0.5153285834190827,5.01350496753116,12.302975034846021,8.65824000118859
freeze1,0.1747050739824772,0.7973389138332135,0.2684943176805973,0.0009171894424071069,0.544031348824501,0.6443599675394653,0.8369518339633941,0.0007587260974105447,0.7068895608186722,0.3193160825632363,1.9251985371112823,0.0009792970900889485,0.04290299788117409,0.6666432326444189,0.13789855539798737,0.000149692480408703,0.022607151605188846,0.8501989455677895,0.04536340460181236,2.6151407018915053e-05,0.017872042953968048,0.9404097965064999,0.021985374856740236,3.416934987399145e-05,0.25150136267766354,0.5393153372686357,0.7030444897757706,0.00047753764453470164,0.19484178274869918,0.032849114015698434,0.2603509649634361,0.11695957705378532,0.47520866120855015,0.027794064146776994,1.010214896251758,0.06841577828551332,0.5350062350432079,0.040621714138736324,16.16102572376721,6.25174302637045,11.206384375068831
freeze2,0.22590524666011333,0.8619611473624683,0.28641321286559107,0.00044860184789285995,0.4127748109400272,0.7521591947528831,1.0235823288559913,0.002082518785027787,1.8321143075823785,0.5974047822212556,3.2385826110839844,0.0022743268375052137,0.06006035311147571,0.7403510299875221,0.23639160990715027,0.0004058433647514903,0.02312595071271062,0.7707805423825813,0.06401545032858849,4.0160507160180715e-05,0.02395085827447474,0.7012233214540311,0.036260852497071026,3.510461247060448e-05,0.4296552545468633,0.8142076775897295,0.7373133363601236,0.0008810926591346893,0.1330392275005579,0.050789180863648656,0.4354805901646614,0.21858671307563782,0.8235981217275062,0.03571238736622036,1.5161927176018557,0.11222263757760327,0.6925945958743494,0.0765102502113829,16.04780743800047,5.038201098362032,10.543004268181251
gait_fast,0.7285426327747665,0.901341044560942,1.9291398633684358,0.06262390983094986,0.7169974282237109,0.8303034338943153,1.877754296002717,0.041510025769846456,0.9461798880267613,0.874833757339855,1.7052355303626343,0.12611172413330163,0.2289223941836708,0.9264074088619443,0.8128834034063913,0.00854589955956869,0.26023923765358703,0.9602246418060421,0.7492705646668345,0.027466229285229102,0.13124709574716725,0.9263565822348094,0.23595001589979409,0.006222936489431521,0.5020214461016106,1.2183722789511344,0.903244478116318,0.04541345417805454,0.8479830586117477,0.27050178340071895,1.9204552357805333,0.9343405339187882,0.7972399830084129,0.20680290919480837,1.8373765632445955,0.5993679946576732,1.0401365802361828,0.39256508546286495,3.152289461796742,7.746543680891038,5.449416571343889
gait_slow,0.6631730414997294,0.8958041748046417,2.0330725265608267,0.08233090960294254,0.5934275428454081,0.7866141506955759,1.3191369204213783,0.028814934687007798,0.9508750848120676,0.8727525184108702,1.5771954188181918,0.1641822594919308,0.17041196875250753,0.881388991122503,0.5422796214828209,0.0035050040927431434,0.2762306525764413,0.9455740578981909,0.8497458433274051,0.029403690042875862,0.11201602636482098,0.861181408094193,0.16917522216139583,0.0024618352979250643,0.46102238614182917,1.0817675921286698,0.8738858835043292,0.051783105535904206,0.8166883774382888,0.2841371670587914,1.9155423299673031,0.9442820598482617,0.7358252230524016,0.18621954923125658,1.6431349552667989,0.5204002289905406,0.9073097322143973,0.334180679759284,3.92873022695304,5.576093605363433,4.752411916158237
pause,0.3278498254095515,0.13055029359052156,0.33932453221863224,4.178938692824713e-05,0.5312069206720307,0.0740385698425782,1.1223072873694555,0.0003729516203639789,0.33635217515485627,0.1868153443839366,1.10792856986324,7.13296992519948e-05,0.007847693881818227,0.2138317121942793,0.008238047243849862,1.0373518768974896e-06,0.0035050538922881797,0.2456399882273396,0.006130554891812304,8.946756690333824e-07,0.007232289434233237,0.15714324262519686,0.008037459313692081,3.769248604240396e-07,0.202332326407463,0.431994408483447,0.16800319181064202,8.139660982509596e-05,0.06380275001838094,0.006683774894502546,0.0556825379353194,0.00823918359265441,0.39846964041214616,0.00619501240277988,0.8565201298171093,0.00746868714978475,0.4580504894049631,0.0012736747470048684,1.8164925103791048,29.385393922677242,15.600943216528174
