kc_type,experiment_id,motion_folder,motion_index,motion_name,file_type,path,sampling_frequency,n_samples,duration_sec
arm,exp01,motion01_canonical,motion01,canonical,imu_nonrigid,e:\VSCode_Study\2026.4.15Manuscript-DIODEM\dataset\arm\exp01\motion01_canonical\exp01_motion01_imu_nonrigid.csv,40.0,5680,142.0
arm,exp01,motion01_canonical,motion01,canonical,imu_rigid,e:\VSCode_Study\2026.4.15Manuscript-DIODEM\dataset\arm\exp01\motion01_canonical\exp01_motion01_imu_rigid.csv,40.0,5680,142.0
arm,exp01,motion01_canonical,motion01,canonical,omc,e:\VSCode_Study\2026.4.15Manuscript-DIODEM\dataset\arm\exp01\motion01_canonical\exp01_motion01_omc.csv,30.0,4260,142.0
arm,exp01,motion02_pause1,motion02,pause1,imu_nonrigid,e:\VSCode_Study\2026.4.15Manuscript-DIODEM\dataset\arm\exp01\motion02_pause1\exp01_motion02_imu_nonrigid.csv,40.0,360,9.0
arm,exp01,motion02_pause1,motion02,pause1,imu_rigid,e:\VSCode_Study\2026.4.15Manuscript-DIODEM\dataset\arm\exp01\motion02_pause1\exp01_motion02_imu_rigid.csv,40.0,360,9.0
arm,exp01,motion02_pause1,motion02,pause1,omc,e:\VSCode_Study\2026.4.15Manuscript-DIODEM\dataset\arm\exp01\motion02_pause1\exp01_motion02_omc.csv,30.0,270,9.0
arm,exp01,motion03_slow1,motion03,slow1,imu_nonrigid,e:\VSCode_Study\2026.4.15Manuscript-DIODEM\dataset\arm\exp01\motion03_slow1\exp01_motion03_imu_nonrigid.csv,40.0,1600,40.0
arm,exp01,motion03_slow1,motion03,slow1,imu_rigid,e:\VSCode_Study\2026.4.15Manuscript-DIODEM\dataset\arm\exp01\motion03_slow1\exp01_motion03_imu_rigid.csv,40.0,1600,40.0
arm,exp01,motion03_slow1,motion03,slow1,omc,e:\VSCode_Study\2026.4.15Manuscript-DIODEM\dataset\arm\exp01\motion03_slow1\exp01_motion03_omc.csv,30.0,1200,40.0
arm,exp01,motion04_pause2,motion04,pause2,imu_nonrigid,e:\VSCode_Study\2026.4.15Manuscript-DIODEM\dataset\arm\exp01\motion04_pause2\exp01_motion04_imu_nonrigid.csv,40.0,240,6.0
arm,exp01,motion04_pause2,motion04,pause2,imu_rigid,e:\VSCode_Study\2026.4.15Manuscript-DIODEM\dataset\arm\exp01\motion04_pause2\exp01_motion04_imu_rigid.csv,40.0,240,6.0
arm,exp01,motion04_pause2,motion04,pause2,omc,e:\VSCode_Study\2026.4.15Manuscript-DIODEM\dataset\arm\exp01\motion04_pause2\exp01_motion04_omc.csv,30.0,180,6.0
arm,exp01,motion05_fast,motion05,fast,imu_nonrigid,e:\VSCode_Study\2026.4.15Manuscript-DIODEM\dataset\arm\exp01\motion05_fast\exp01_motion05_imu_nonrigid.csv,40.0,1720,43.0
arm,exp01,motion05_fast,motion05,fast,imu_rigid,e:\VSCode_Study\2026.4.15Manuscript-DIODEM\dataset\arm\exp01\motion05_fast\exp01_motion05_imu_rigid.csv,40.0,1720,43.0
arm,exp01,motion05_fast,motion05,fast,omc,e:\VSCode_Study\2026.4.15Manuscript-DIODEM\dataset\arm\exp01\motion05_fast\exp01_motion05_omc.csv,30.0,1290,43.0
arm,exp01,motion06_pause3,motion06,pause3,imu_nonrigid,e:\VSCode_Study\2026.4.15Manuscript-DIODEM\dataset\arm\exp01\motion06_pause3\exp01_motion06_imu_nonrigid.csv,40.0,280,7.0
arm,exp01,motion06_pause3,motion06,pause3,imu_rigid,e:\VSCode_Study\2026.4.15Manuscript-DIODEM\dataset\arm\exp01\motion06_pause3\exp01_motion06_imu_rigid.csv,40.0,280,7.0
arm,exp01,motion06_pause3,motion06,pause3,omc,e:\VSCode_Study\2026.4.15Manuscript-DIODEM\dataset\arm\exp01\motion06_pause3\exp01_motion06_omc.csv,30.0,210,7.0
arm,exp01,motion07_fast_slow_fast,motion07,fast_slow_fast,imu_nonrigid,e:\VSCode_Study\2026.4.15Manuscript-DIODEM\dataset\arm\exp01\motion07_fast_slow_fast\exp01_motion07_imu_nonrigid.csv,40.0,1400,35.0
arm,exp01,motion07_fast_slow_fast,motion07,fast_slow_fast,imu_rigid,e:\VSCode_Study\2026.4.15Manuscript-DIODEM\dataset\arm\exp01\motion07_fast_slow_fast\exp01_motion07_imu_rigid.csv,40.0,1400,35.0
arm,exp01,motion07_fast_slow_fast,motion07,fast_slow_fast,omc,e:\VSCode_Study\2026.4.15Manuscript-DIODEM\dataset\arm\exp01\motion07_fast_slow_fast\exp01_motion07_omc.csv,30.0,1050,35.0
arm,exp01,motion08_freeze1,motion08,freeze1,imu_nonrigid,e:\VSCode_Study\2026.4.15Manuscript-DIODEM\dataset\arm\exp01\motion08_freeze1\exp01_motion08_imu_nonrigid.csv,40.0,80,2.0
arm,exp01,motion08_freeze1,motion08,freeze1,imu_rigid,e:\VSCode_Study\2026.4.15Manuscript-DIODEM\dataset\arm\exp01\motion08_freeze1\exp01_motion08_imu_rigid.csv,40.0,80,2.0
arm,exp01,motion08_freeze1,motion08,freeze1,omc,e:\VSCode_Study\2026.4.15Manuscript-DIODEM\dataset\arm\exp01\motion08_freeze1\exp01_motion08_omc.csv,30.0,60,2.0
arm,exp01,motion09_fast_slow,motion09,fast_slow,imu_nonrigid,e:\VSCode_Study\2026.4.15Manuscript-DIODEM\dataset\arm\exp01\motion09_fast_slow\exp01_motion09_imu_nonrigid.csv,40.0,880,22.0
arm,exp01,motion09_fast_slow,motion09,fast_slow,imu_rigid,e:\VSCode_Study\2026.4.15Manuscript-DIODEM\dataset\arm\exp01\motion09_fast_slow\exp01_motion09_imu_rigid.csv,40.0,880,22.0
arm,exp01,motion09_fast_slow,motion09,fast_slow,omc,e:\VSCode_Study\2026.4.15Manuscript-DIODEM\dataset\arm\exp01\motion09_fast_slow\exp01_motion09_omc.csv,30.0,660,22.0
arm,exp01,motion10_freeze2,motion10,freeze2,imu_nonrigid,e:\VSCode_Study\2026.4.15Manuscript-DIODEM\dataset\arm\exp01\motion10_freeze2\exp01_motion10_imu_nonrigid.csv,40.0,120,3.0
arm,exp01,motion10_freeze2,motion10,freeze2,imu_rigid,e:\VSCode_Study\2026.4.15Manuscript-DIODEM\dataset\arm\exp01\motion10_freeze2\exp01_motion10_imu_rigid.csv,40.0,120,3.0
arm,exp01,motion10_freeze2,motion10,freeze2,omc,e:\VSCode_Study\2026.4.15Manuscript-DIODEM\dataset\arm\exp01\motion10_freeze2\exp01_motion10_omc.csv,30.0,90,3.0
arm,exp01,motion11_slow2,motion11,slow2,imu_nonrigid,e:\VSCode_Study\2026.4.15Manuscript-DIODEM\dataset\arm\exp01\motion11_slow2\exp01_motion11_imu_nonrigid.csv,40.0,640,16.0
arm,exp01,motion11_slow2,motion11,slow2,imu_rigid,e:\VSCode_Study\2026.4.15Manuscript-DIODEM\dataset\arm\exp01\motion11_slow2\exp01_motion11_imu_rigid.csv,40.0,640,16.0
arm,exp01,motion11_slow2,motion11,slow2,omc,e:\VSCode_Study\2026.4.15Manuscript-DIODEM\dataset\arm\exp01\motion11_slow2\exp01_motion11_omc.csv,30.0,480,16.0
arm,exp01,motion12_shaking,motion12,shaking,imu_nonrigid,e:\VSCode_Study\2026.4.15Manuscript-DIODEM\dataset\arm\exp01\motion12_shaking\exp01_motion12_imu_nonrigid.csv,40.0,720,18.0
arm,exp01,motion12_shaking,motion12,shaking,imu_rigid,e:\VSCode_Study\2026.4.15Manuscript-DIODEM\dataset\arm\exp01\motion12_shaking\exp01_motion12_imu_rigid.csv,40.0,720,18.0
arm,exp01,motion12_shaking,motion12,shaking,omc,e:\VSCode_Study\2026.4.15Manuscript-DIODEM\dataset\arm\exp01\motion12_shaking\exp01_motion12_omc.csv,30.0,540,18.0
arm,exp01,motion13_pause4,motion13,pause4,imu_nonrigid,e:\VSCode_Study\2026.4.15Manuscript-DIODEM\dataset\arm\exp01\motion13_pause4\exp01_motion13_imu_nonrigid.csv,40.0,1000,25.0
arm,exp01,motion13_pause4,motion13,pause4,imu_rigid,e:\VSCode_Study\2026.4.15Manuscript-DIODEM\dataset\arm\exp01\motion13_pause4\exp01_motion13_imu_rigid.csv,40.0,1000,25.0
arm,exp01,motion13_pause4,motion13,pause4,omc,e:\VSCode_Study\2026.4.15Manuscript-DIODEM\dataset\arm\exp01\motion13_pause4\exp01_motion13_omc.csv,30.0,750,25.0
arm,exp02,motion01_canonical1,motion01,canonical1,imu_nonrigid,e:\VSCode_Study\2026.4.15Manuscript-DIODEM\dataset\arm\exp02\motion01_canonical1\exp02_motion01_imu_nonrigid.csv,40.0,4120,103.0
arm,exp02,motion01_canonical1,motion01,canonical1,imu_rigid,e:\VSCode_Study\2026.4.15Manuscript-DIODEM\dataset\arm\exp02\motion01_canonical1\exp02_motion01_imu_rigid.csv,40.0,4120,103.0
arm,exp02,motion01_canonical1,motion01,canonical1,omc,e:\VSCode_Study\2026.4.15Manuscript-DIODEM\dataset\arm\exp02\motion01_canonical1\exp02_motion01_omc.csv,30.0,3090,103.0
arm,exp02,motion02_pause1,motion02,pause1,imu_nonrigid,e:\VSCode_Study\2026.4.15Manuscript-DIODEM\dataset\arm\exp02\motion02_pause1\exp02_motion02_imu_nonrigid.csv,40.0,210,5.25
arm,exp02,motion02_pause1,motion02,pause1,imu_rigid,e:\VSCode_Study\2026.4.15Manuscript-DIODEM\dataset\arm\exp02\motion02_pause1\exp02_motion02_imu_rigid.csv,40.0,210,5.25
arm,exp02,motion02_pause1,motion02,pause1,omc,e:\VSCode_Study\2026.4.15Manuscript-DIODEM\dataset\arm\exp02\motion02_pause1\exp02_motion02_omc.csv,30.0,157,5.233333333333333
arm,exp02,motion03_slow_fast_mix,motion03,slow_fast_mix,imu_nonrigid,e:\VSCode_Study\2026.4.15Manuscript-DIODEM\dataset\arm\exp02\motion03_slow_fast_mix\exp02_motion03_imu_nonrigid.csv,40.0,2650,66.25
