method,label,family,params_k,fp32_size_mb,rmse_mean,rmse_std,pearson_mean,pearson_std,psd_mean,psd_std,hf_mean,hf_std,cpu_mean,cpu_std,stream_mean,stream_std
TCN-causal,TCN,proposed,101.326,0.3865,0.3892,0.0026,0.8496,0.0009,0.054,0.001,8.2982,0.0193,1.5144,0.1876,0.9784,0.0568
Transformer-causal,Transformer,causal_nn,399.11,1.5225,0.4292,0.0049,0.8435,0.0017,0.0669,0.0017,8.0401,0.0536,1.8059,0.9264,1.9255,0.5034
GRU-causal,GRU,causal_nn,152.07,0.5801,0.4034,0.002,0.84,0.0008,0.0569,0.0008,8.2611,0.0333,4.595,1.143,0.1613,0.0429
LSTM-causal,LSTM,causal_nn,202.502,0.7725,0.4122,0.0027,0.8369,0.0006,0.0567,0.0008,8.2274,0.0302,1.6342,0.3098,0.3856,0.0656
MLP-causal,MLP,causal_nn,18.182,0.0694,0.6886,0.002,0.7263,0.0008,0.1849,0.0004,6.3952,0.1233,0.076,0.0153,0.0789,0.0248
Moving-average low-pass,Moving avg.,classical,0.0,0.0,0.5574878736295467,0.0,0.8397894164283356,0.0,0.1322707243130557,0.0,7.982354195163192,8.881784197001252e-16,0.0313119900723297,0.0013578741560551,,
Butterworth low-pass,Butterworth,classical,0.0,0.0,0.5715881892148303,0.0,0.7974520411110791,0.0,0.1205936186286037,0.0,8.056837526657631,0.0,2.051310489575068,0.0131040108728956,,
Savitzky-Golay,Savitzky,classical,0.0,0.0,0.5852372898774889,0.0,0.7818018647506477,0.0,0.1203490337383034,1.3877787807814457e-17,8.1773288940943,0.0,2.111732338865598,0.010463278731347,,
Wiener filter,Wiener,classical,0.0,0.0,0.6523672953414914,0.0,0.7366711907821365,1.1102230246251563e-16,0.1380284376189594,0.0,7.611472663928211,0.0,0.4305246658623218,0.0006502565824165,,
Identity/raw,Raw,raw,0.0,0.0,0.817278666990394,0.0,0.7254491415888351,0.0,0.2247769397730353,2.775557561562892e-17,1.959244414394512,0.0,0.0013472450276215,1.0039966446562123e-05,,
