method,label,family,params_k,fp32_size_mb,rmse_mean,rmse_std,pearson_mean,pearson_std,psd_mean,psd_std,hf_mean,hf_std,cpu_mean,cpu_std,stream_mean,stream_std
TCN-causal,TCN,proposed,101.326,0.3865,0.45439999999999997,0.0031680698645494966,0.8703666666666666,0.0005196152422706631,0.068,0.0011372481406154652,7.282900000000001,0.031347780357360765,18.2333,2.602043056266876,20.124466666666667,1.701683955184785
Transformer-causal,Transformer,causal_nn,399.11,1.5225,0.4844,0.0004509249752822894,0.8653666666666666,0.0011789826122551596,0.08,0.0006350852961085882,7.128633333333333,0.04402628003060596,22.554766666666666,3.385904031422037,28.870833333333337,2.422368374133051
GRU-causal,GRU,causal_nn,152.07,0.5801,0.47103333333333336,0.002051016008388688,0.8624,0.000903696114115064,0.07193333333333334,0.0011165422816296151,7.260866666666666,0.014867862433226011,32.19403333333334,3.8516325542986745,0.3603,0.23723789045316238
LSTM-causal,LSTM,causal_nn,202.502,0.7725,0.48089999999999994,0.003512833614050059,0.8599666666666667,0.000270801280154532,0.07236666666666668,0.002146314670934033,7.2549,0.014982990355733397,40.113433333333326,6.90017803151967,5.254733333333333,0.24980938733362282
MLP-causal,MLP,causal_nn,18.182,0.0694,0.8076333333333334,0.001307669683062202,0.7393333333333333,0.0006608075867199669,0.2327,0.0012301761391497288,5.6743999999999994,0.04567763858461454,0.1204,0.06599762621993814,0.0674,0.00604041941148681
Moving-average low-pass,Moving avg.,classical,0.0,0.0,0.6394127167430187,0.0,0.851384354861307,0.0,0.1649054824447023,0.0,6.902893787717197,5.127900497022837e-16,0.03059382653898653,0.0010946092586890778,,
Butterworth low-pass,Butterworth,classical,0.0,0.0,0.6490527354883885,0.0,0.817885336478497,0.0,0.1471377084716094,0.0,6.959997803798298,0.0,2.0662486594584255,0.017775695983992743,,
Savitzky-Golay,Savitzky,classical,0.0,0.0,0.6657783749744536,0.0,0.8056471177505874,6.409875621278545e-17,0.14719237768214224,8.012344526598183e-18,7.0658702206153805,0.0,2.1026099452541938,0.017624792563565677,,
Wiener filter,Wiener,classical,0.0,0.0,0.7532996127748793,0.0,0.7619122863356567,6.409875621278545e-17,0.1713892736737093,0.0,6.5737517264845176,0.0,0.43097085836860866,0.0011415885263781947,,
Identity/raw,Raw,raw,0.0,0.0,0.9549130569611369,0.0,0.7438877787136929,0.0,0.29048009392312363,2.266233259184198e-17,1.7475821850605933,0.0,0.0013396661314698667,9.326408083592163e-06,,
