setting,method,method_family,model_type,causal_online,rmse_mean,rmse_std,pearson_mean,pearson_std,psd_distance_mean,psd_distance_std,hf_improvement_mean,hf_improvement_std,params_k,fp32_size_mb,cpu_window_ms_mean,cpu_window_ms_std,stream_ms_step_mean,stream_ms_step_std,embedded_feasibility,rmse_wilcoxon_p_vs_tcn_causal
by_experiment,TCN-causal,proposed causal neural model,dilated convolution,yes,0.3912,0.0031,0.8512,0.0006,0.053,0.0012,8.3459,0.0375,101.326,0.3865,17.336,2.8594,16.9875,2.177,possible_on_embedded_linux,reference
by_experiment,Transformer-causal,causal neural comparator,causal self-attention mask,yes,0.4241,0.0003,0.8451,0.0014,0.0636,0.0006,8.1333,0.0543,399.11,1.5225,19.0236,4.0594,26.9522,3.7283,possible_on_embedded_linux,1.91E-06
by_experiment,GRU-causal,causal neural comparator,recurrent hidden state,yes,0.4022,0.0015,0.8417,0.0009,0.055,0.0007,8.3136,0.0162,152.07,0.5801,30.8751,3.9636,0.342,0.219,possible_on_embedded_linux,0.05950737
by_experiment,LSTM-causal,causal neural comparator,recurrent hidden/cell state,yes,0.4066,0.0011,0.8397,0.0003,0.0541,0.0003,8.3213,0.0135,202.502,0.7725,32.9845,1.393,5.0552,0.0125,edge_only_or_accelerated,0.000720978
by_experiment,MLP-causal,causal neural comparator,per-timestep zero-history,yes,0.6952,0.0016,0.7213,0.0005,0.1898,0.0002,6.7831,0.0514,18.182,0.0694,0.099,0.0233,0.0674,0.0024,yes_embedded_friendly,1.91E-06
by_experiment,Identity/raw,classical/statistical baseline,raw signal baseline,window/filter,0.817278667,0,0.725449142,0,0.22477694,2.78E-17,1.959244414,0,0,0,0.001347245,1.00E-05,,,yes_classical_filter,9.54E-07
by_experiment,Moving-average low-pass,classical/statistical baseline,statistical/filter baseline,window/filter,0.557487874,0,0.839789416,0,0.132270724,0,7.982354195,8.88E-16,0,0,0.03131199,0.001357874,,,yes_classical_filter,9.54E-07
by_experiment,Butterworth low-pass,classical/statistical baseline,statistical/filter baseline,window/filter,0.571588189,0,0.797452041,0,0.120593619,0,8.056837527,0,0,0,2.05131049,0.013104011,,,yes_classical_filter,9.54E-07
by_experiment,Savitzky-Golay,classical/statistical baseline,statistical/filter baseline,window/filter,0.58523729,0,0.781801865,0,0.120349034,1.39E-17,8.177328894,0,0,0,2.111732339,0.010463279,,,yes_classical_filter,9.54E-07
by_experiment,Wiener filter,classical/statistical baseline,statistical/filter baseline,window/filter,0.652367295,0,0.736671191,1.11E-16,0.138028438,0,7.611472664,0,0,0,0.430524666,0.000650257,,,yes_classical_filter,9.54E-07
by_motion_type,TCN-causal,proposed causal neural model,dilated convolution,yes,0.565,0.0033,0.9104,0.0003,0.0904,0.001,5.1176,0.0082,101.326,0.3865,15.9908,0.8272,22.6897,0.4689,possible_on_embedded_linux,reference
