Setting,Family,Method,Causal/online,RMSE ↓,ΔRMSE vs TCN (%),Wilcoxon p vs TCN,Motion pairs,Pearson r ↑,PSD dist. ↓,HF imp. ↑,Params (K),CPU window (ms) ↓,Stream (ms/step) ↓,Embedded feasibility
By experiment,proposed causal neural model,TCN-causal,yes,0.3912 +/- 0.0031,0.0,reference,0,0.8512 +/- 0.0006,0.0530 +/- 0.0012,8.3459 +/- 0.0375,101.3,17.336 +/- 2.859,16.988 +/- 2.177,possible_on_embedded_linux
By experiment,causal neural comparator,Transformer-causal,yes,0.4241 +/- 0.0003,8.4,<1e-4,21,0.8451 +/- 0.0014,0.0636 +/- 0.0006,8.1333 +/- 0.0543,399.1,19.024 +/- 4.059,26.952 +/- 3.728,possible_on_embedded_linux
By experiment,causal neural comparator,GRU-causal,yes,0.4022 +/- 0.0015,2.8,0.0595,21,0.8417 +/- 0.0009,0.0550 +/- 0.0007,8.3136 +/- 0.0162,152.1,30.875 +/- 3.964,0.342 +/- 0.219,possible_on_embedded_linux
By experiment,causal neural comparator,LSTM-causal,yes,0.4066 +/- 0.0011,3.9,0.0007,21,0.8397 +/- 0.0003,0.0541 +/- 0.0003,8.3213 +/- 0.0135,202.5,32.984 +/- 1.393,5.055 +/- 0.013,edge_only_or_accelerated
By experiment,causal neural comparator,MLP-causal,yes,0.6952 +/- 0.0016,77.7,<1e-4,21,0.7213 +/- 0.0005,0.1898 +/- 0.0002,6.7831 +/- 0.0514,18.2,0.099 +/- 0.023,0.067 +/- 0.002,yes_embedded_friendly
By experiment,classical/statistical baseline,Identity/raw,window/filter,0.8173 +/- 0.0000,108.9,<1e-4,21,0.7254 +/- 0.0000,0.2248 +/- 0.0000,1.9592 +/- 0.0000,0.0,0.001 +/- 0.000,NA,yes_classical_filter
By experiment,classical/statistical baseline,Moving-average low-pass,window/filter,0.5575 +/- 0.0000,42.5,<1e-4,21,0.8398 +/- 0.0000,0.1323 +/- 0.0000,7.9824 +/- 0.0000,0.0,0.031 +/- 0.001,NA,yes_classical_filter
By experiment,classical/statistical baseline,Butterworth low-pass,window/filter,0.5716 +/- 0.0000,46.1,<1e-4,21,0.7975 +/- 0.0000,0.1206 +/- 0.0000,8.0568 +/- 0.0000,0.0,2.051 +/- 0.013,NA,yes_classical_filter
By experiment,classical/statistical baseline,Savitzky-Golay,window/filter,0.5852 +/- 0.0000,49.6,<1e-4,21,0.7818 +/- 0.0000,0.1203 +/- 0.0000,8.1773 +/- 0.0000,0.0,2.112 +/- 0.010,NA,yes_classical_filter
By experiment,classical/statistical baseline,Wiener filter,window/filter,0.6524 +/- 0.0000,66.8,<1e-4,21,0.7367 +/- 0.0000,0.1380 +/- 0.0000,7.6115 +/- 0.0000,0.0,0.431 +/- 0.001,NA,yes_classical_filter
By motion type,proposed causal neural model,TCN-causal,yes,0.5650 +/- 0.0033,0.0,reference,0,0.9104 +/- 0.0003,0.0904 +/- 0.0010,5.1176 +/- 0.0082,101.3,15.991 +/- 0.827,22.690 +/- 0.469,possible_on_embedded_linux
By motion type,causal neural comparator,Transformer-causal,yes,0.5894 +/- 0.0006,4.3,0.0625,5,0.9076 +/- 0.0005,0.1051 +/- 0.0007,5.0661 +/- 0.0119,399.1,24.662 +/- 3.995,29.326 +/- 0.945,possible_on_embedded_linux
By motion type,causal neural comparator,GRU-causal,yes,0.5931 +/- 0.0029,5.0,0.0625,5,0.9054 +/- 0.0010,0.0982 +/- 0.0017,5.1120 +/- 0.0074,152.1,35.679 +/- 3.872,0.378 +/- 0.246,edge_only_or_accelerated
By motion type,causal neural comparator,LSTM-causal,yes,0.6135 +/- 0.0059,8.6,0.0625,5,0.9021 +/- 0.0002,0.1008 +/- 0.0037,5.0839 +/- 0.0171,202.5,36.381 +/- 2.458,5.041 +/- 0.001,edge_only_or_accelerated
By motion type,causal neural comparator,MLP-causal,yes,1.0158 +/- 0.0001,79.8,0.0625,5,0.7770 +/- 0.0009,0.3112 +/- 0.0021,3.4426 +/- 0.0297,18.2,0.092 +/- 0.002,0.066 +/- 0.007,yes_embedded_friendly
By motion type,classical/statistical baseline,Identity/raw,window/filter,1.2119 +/- 0.0000,114.5,0.0625,5,0.7825 +/- 0.0000,0.4132 +/- 0.0000,1.3063 +/- 0.0000,0.0,0.001 +/- 0.000,NA,yes_classical_filter
By motion type,classical/statistical baseline,Moving-average low-pass,window/filter,0.7865 +/- 0.0000,39.2,0.0625,5,0.8765 +/- 0.0000,0.2222 +/- 0.0000,4.6914 +/- 0.0000,0.0,0.031 +/- 0.001,NA,yes_classical_filter
By motion type,classical/statistical baseline,Butterworth low-pass,window/filter,0.7883 +/- 0.0000,39.5,0.0625,5,0.8604 +/- 0.0000,0.1924 +/- 0.0000,4.6743 +/- 0.0000,0.0,2.097 +/- 0.021,NA,yes_classical_filter
By motion type,classical/statistical baseline,Savitzky-Golay,window/filter,0.8108 +/- 0.0000,43.5,0.0625,5,0.8550 +/- 0.0000,0.1930 +/- 0.0000,4.7639 +/- 0.0000,0.0,2.086 +/- 0.006,NA,yes_classical_filter
By motion type,classical/statistical baseline,Wiener filter,window/filter,0.9392 +/- 0.0000,66.2,0.0625,5,0.8139 +/- 0.0000,0.2306 +/- 0.0000,4.4350 +/- 0.0000,0.0,0.431 +/- 0.001,NA,yes_classical_filter
Anomaly test-only,proposed causal neural model,TCN-causal,yes,0.4070 +/- 0.0031,0.0,reference,0,0.8495 +/- 0.0006,0.0606 +/- 0.0012,8.3852 +/- 0.0384,101.3,21.373 +/- 3.384,20.696 +/- 1.931,possible_on_embedded_linux
Anomaly test-only,causal neural comparator,Transformer-causal,yes,0.4397 +/- 0.0004,8.0,<1e-4,21,0.8434 +/- 0.0014,0.0713 +/- 0.0006,8.1865 +/- 0.0522,399.1,23.979 +/- 1.399,30.334 +/- 1.676,possible_on_embedded_linux
Anomaly test-only,causal neural comparator,GRU-causal,yes,0.4178 +/- 0.0014,2.7,0.0646,21,0.8401 +/- 0.0008,0.0626 +/- 0.0006,8.3570 +/- 0.0186,152.1,30.028 +/- 3.715,0.361 +/- 0.246,possible_on_embedded_linux
Anomaly test-only,causal neural comparator,LSTM-causal,yes,0.4226 +/- 0.0010,3.8,0.0007,21,0.8381 +/- 0.0003,0.0622 +/- 0.0002,8.3595 +/- 0.0141,202.5,50.975 +/- 11.613,5.668 +/- 0.432,edge_only_or_accelerated
Anomaly test-only,causal neural comparator,MLP-causal,yes,0.7119 +/- 0.0016,74.9,<1e-4,21,0.7197 +/- 0.0005,0.1971 +/- 0.0003,6.7975 +/- 0.0523,18.2,0.170 +/- 0.112,0.069 +/- 0.007,yes_embedded_friendly
Anomaly test-only,classical/statistical baseline,Identity/raw,window/filter,0.8355 +/- 0.0000,105.3,<1e-4,21,0.7237 +/- 0.0000,0.2335 +/- 0.0000,1.9772 +/- 0.0000,0.0,0.001 +/- 0.000,NA,yes_classical_filter
Anomaly test-only,classical/statistical baseline,Moving-average low-pass,window/filter,0.5743 +/- 0.0000,41.1,<1e-4,21,0.8378 +/- 0.0000,0.1403 +/- 0.0000,8.0350 +/- 0.0000,0.0,0.029 +/- 0.000,NA,yes_classical_filter
Anomaly test-only,classical/statistical baseline,Butterworth low-pass,window/filter,0.5873 +/- 0.0000,44.3,<1e-4,21,0.7958 +/- 0.0000,0.1284 +/- 0.0000,8.1488 +/- 0.0000,0.0,2.050 +/- 0.019,NA,yes_classical_filter
Anomaly test-only,classical/statistical baseline,Savitzky-Golay,window/filter,0.6013 +/- 0.0000,47.7,<1e-4,21,0.7802 +/- 0.0000,0.1282 +/- 0.0000,8.2564 +/- 0.0000,0.0,2.110 +/- 0.028,NA,yes_classical_filter
Anomaly test-only,classical/statistical baseline,Wiener filter,window/filter,0.6683 +/- 0.0000,64.2,<1e-4,21,0.7351 +/- 0.0000,0.1456 +/- 0.0000,7.6748 +/- 0.0000,0.0,0.431 +/- 0.002,NA,yes_classical_filter
