setting,method,method_family,model_type,causal_online,rmse_mean,rmse_std,pearson_mean,pearson_std,psd_distance_mean,psd_distance_std,hf_improvement_mean,hf_improvement_std,params_k,fp32_size_mb,cpu_window_ms_mean,cpu_window_ms_std,stream_ms_step_mean,stream_ms_step_std,embedded_feasibility,rmse_wilcoxon_p_vs_tcn_causal,paired_motion_groups,rmse_delta_vs_tcn_causal,rmse_gap_vs_tcn_causal_percent
by_experiment,TCN-causal,proposed causal neural model,dilated convolution,yes,0.3901,0.0021,0.8492,0.0006,0.0539,0.0016,8.2798,0.0611,101.326,0.3865,1.4277,0.0592,1.2311,0.0165,possible_on_embedded_linux,reference,0,0.0,0.0
by_experiment,Transformer-causal,causal neural comparator,causal self-attention mask,yes,0.4278,0.0066,0.843,0.0023,0.0661,0.0014,8.0207,0.1052,399.11,1.5225,1.6665,0.0842,1.7742,0.05,possible_on_embedded_linux,4.76837158203125e-06,21,0.0390410384759618,9.664188669571908
by_experiment,GRU-causal,causal neural comparator,recurrent hidden state,yes,0.4003,0.0032,0.8404,0.001,0.0559,0.001,8.2715,0.0279,152.07,0.5801,3.1795,0.0496,0.1279,0.0025,possible_on_embedded_linux,0.004878997802734375,21,0.009147987820539485,2.6147141758523422
by_experiment,LSTM-causal,causal neural comparator,recurrent hidden/cell state,yes,0.4094,0.002,0.8373,0.0007,0.0557,0.0004,8.2432,0.0354,202.502,0.7725,1.442,0.0217,0.2831,0.0329,possible_on_embedded_linux,1.33514404296875e-05,21,0.017363796588418263,4.947449371955905
by_experiment,MLP-causal,causal neural comparator,per-timestep zero-history,yes,0.6886,0.002,0.7272,0.0007,0.1843,0.0007,6.2755,0.0876,18.182,0.0694,0.1271,0.0014,0.0419,0.0002,yes_embedded_friendly,1.9073486328125e-06,21,0.2461532660496041,76.51884132273776
by_experiment,Identity/raw,classical/statistical baseline,raw signal baseline,window/filter,0.8172786669903939,1.1102230246251563e-16,0.7254491415888351,0.0,0.2247769397730353,0.0,1.959244414394512,0.0,0.0,0.0,0.0014165565371512,1.052897690577796e-05,,,yes_classical_filter,9.5367431640625e-07,21,0.363920540685548,109.50491335308737
by_experiment,Moving-average low-pass,classical/statistical baseline,statistical/filter baseline,window/filter,0.5574878736295467,0.0,0.8397894164283356,0.0,0.1322707243130557,0.0,7.982354195163191,0.0,0.0,0.0,0.02977791801095,0.0004109241730476,,,yes_classical_filter,9.5367431640625e-07,21,0.1582416381870242,42.90896529852517
by_experiment,Butterworth low-pass,classical/statistical baseline,statistical/filter baseline,window/filter,0.5715881892148303,0.0,0.7974520411110791,0.0,0.1205936186286037,0.0,8.056837526657631,0.0,0.0,0.0,2.095030570402741,0.0208664441040883,,,yes_classical_filter,9.5367431640625e-07,21,0.1715498524895103,46.52350402841075
by_experiment,Savitzky-Golay,classical/statistical baseline,statistical/filter baseline,window/filter,0.5852372898774889,0.0,0.7818018647506477,0.0,0.1203490337383035,0.0,8.1773288940943,0.0,0.0,0.0,2.132020982913673,0.0309468429871305,,,yes_classical_filter,9.5367431640625e-07,21,0.18228828725153107,50.02237628236065
by_experiment,Wiener filter,classical/statistical baseline,statistical/filter baseline,window/filter,0.6523672953414914,0.0,0.7366711907821364,0.0,0.1380284376189594,0.0,7.611472663928211,0.0,0.0,0.0,0.4362307824194431,0.0057346827095161,,,yes_classical_filter,9.5367431640625e-07,21,0.23184065036861404,67.23078578351485
by_motion_type,TCN-causal,proposed causal neural model,dilated convolution,yes,0.5798,0.0096,0.9053,0.0027,0.0995,0.004,5.0671,0.0367,101.326,0.3865,1.4171,0.0481,1.2802,0.036,possible_on_embedded_linux,reference,0,0.0,0.0
by_motion_type,Transformer-causal,causal neural comparator,causal self-attention mask,yes,0.5995,0.0045,0.9034,0.0013,0.1119,0.0015,5.018,0.0225,399.11,1.5225,1.6634,0.0678,1.8266,0.0084,possible_on_embedded_linux,0.0625,5,0.020494124761237485,3.3977233528803126
by_motion_type,GRU-causal,causal neural comparator,recurrent hidden state,yes,0.6107,0.0102,0.9012,0.0013,0.1096,0.0064,5.0545,0.0353,152.07,0.5801,3.2963,0.0536,0.123,0.0007,possible_on_embedded_linux,0.0625,5,0.02692881465187149,5.329423939289417
by_motion_type,LSTM-causal,causal neural comparator,recurrent hidden/cell state,yes,0.6297,0.0126,0.8978,0.0025,0.1128,0.0063,5.0252,0.0357,202.502,0.7725,1.487,0.0468,0.2682,0.0169,possible_on_embedded_linux,0.0625,5,0.04433524364772369,8.606416005519154
by_motion_type,MLP-causal,causal neural comparator,per-timestep zero-history,yes,1.0257,0.0189,0.7805,0.0018,0.3117,0.0045,3.1377,0.2454,18.182,0.0694,0.1278,0.001,0.0417,0.0002,yes_embedded_friendly,0.0625,5,0.4276292011003694,76.90582959641257
