panel,setting,model,rmse_mean,rmse_std,parameter_count,cpu_ms_window,psd_distance
"a,c",by_experiment,transformer,0.3472,0.0026,399110.0,1.319,0.0493
"a,c",by_experiment,tcn_causal,0.387,0.0013,101326.0,1.301,0.0528
"a,c",by_experiment,tcn,0.3908,0.0059,101326.0,1.336,0.0545
"a,c",by_experiment,gru,0.402,0.002,152070.0,2.699,0.0569
"a,c",by_experiment,lowpass,0.5575,0.0,0.0,0.03,0.1323
"a,c",by_experiment,butterworth,0.5716,0.0,0.0,2.109,0.1206
"a,c",by_experiment,savgol,0.5852,0.0,0.0,2.116,0.1203
"a,c",by_experiment,wiener,0.6524,0.0,0.0,0.432,0.138
"a,c",by_experiment,identity,0.8173,0.0,0.0,0.001,0.2248
b,by_experiment,transformer,0.3472,0.0026,,,0.0493
b,by_experiment,tcn_causal,0.387,0.0013,,,0.0528
b,by_experiment,tcn,0.3908,0.0059,,,0.0545
b,by_experiment,lowpass,0.5575,0.0,,,0.1323
b,by_motion_type,transformer,0.5227,0.0079,,,0.0941
b,by_motion_type,tcn_causal,0.5753,0.0046,,,0.0992
b,by_motion_type,tcn,0.5738,0.0027,,,0.0986
b,by_motion_type,lowpass,0.7865,0.0,,,0.2222
b,anomaly_test_only,transformer,0.3622,0.0027,,,0.0567
b,anomaly_test_only,tcn_causal,0.4027,0.0012,,,0.0604
b,anomaly_test_only,tcn,0.4064,0.0058,,,0.062
b,anomaly_test_only,lowpass,0.5743,0.0,,,0.1403
