motion_name,kc_type,experiment_id,motion_folder,motion_index,segment_id,sampling_frequency_hz,time_s,acc_nonrigid_norm,acc_rigid_norm,gyr_nonrigid_norm,gyr_rigid_norm,nonrigid_acc_x,rigid_acc_x,nonrigid_acc_y,rigid_acc_y,nonrigid_acc_z,rigid_acc_z,nonrigid_gyr_x,rigid_gyr_x,nonrigid_gyr_y,rigid_gyr_y,nonrigid_gyr_z,rigid_gyr_z
canonical,arm,exp01,motion01_canonical,motion01,seg3,40.0,42.924999,10.31436348,9.66985226,0.63515490,0.01169041,-1.67258096,-1.00686085,5.95755100,3.90096998,8.25203896,8.79060364,-0.62513101,0.00552056,0.03685600,-0.00995744,0.10618200,0.00265302
canonical,arm,exp01,motion01_canonical,motion01,seg3,40.0,42.950001,8.43508911,9.65572453,0.31602439,0.06786408,-1.23350203,-1.09410501,3.15751791,3.70903277,7.72394180,8.84754372,-0.24491200,0.00681487,-0.14395700,-0.04959815,0.13844100,0.04581609
canonical,arm,exp01,motion01_canonical,motion01,seg3,40.0,42.974998,10.00139713,9.90410709,0.86734247,0.06368481,-1.07276595,-0.82943636,5.42078400,4.03374386,8.33619976,9.00734615,0.85792398,0.02004067,0.01671900,-0.03484665,-0.12637199,0.04939471
canonical,arm,exp01,motion01_canonical,motion01,seg3,40.0,43.000000,11.43247890,9.81944656,0.06641451,0.05043897,-1.27873194,-0.95894814,7.63424587,4.26843357,8.41336536,8.79104233,-0.06021600,-0.04225211,0.01759900,-0.02608457,0.02179900,0.00885688
canonical,arm,exp01,motion01_canonical,motion01,seg3,40.0,43.025002,9.34703541,9.51695824,0.88978547,0.07705855,-1.31286895,-0.87443161,4.82904387,3.81274247,7.89454079,8.67587757,-0.86686897,-0.06193737,-0.13062400,-0.04544305,0.15229499,-0.00605900
canonical,arm,exp01,motion01_canonical,motion01,seg3,40.0,43.049999,8.84790134,9.63188744,0.11478959,0.04356043,-0.85753101,-0.88963562,3.21082497,3.38607192,8.20003700,8.97308826,0.11460100,0.00292330,-0.00481000,-0.02651795,0.00448600,0.03443492
canonical,arm,exp01,motion01_canonical,motion01,seg3,40.0,43.075001,10.10321999,9.80290318,0.68246323,0.08729281,-1.29251599,-0.85530388,5.50065804,3.93524909,8.37539387,8.93751526,0.67872900,0.04649955,0.06586600,0.00379420,-0.02728800,0.07377961
canonical,arm,exp01,motion01_canonical,motion01,seg3,40.0,43.099998,10.80829430,9.81736946,0.05726539,0.06050421,-1.28988302,-0.99321395,7.29967117,4.58851767,7.86576319,8.62205124,0.05087900,-0.05281773,-0.01612600,-0.01493102,0.02075100,0.02545804
canonical,arm,exp01,motion01_canonical,motion01,seg3,40.0,43.125000,10.54798126,9.81789398,0.77663624,0.07911973,-1.18779504,-0.83429968,5.60885382,3.59252310,8.85380268,9.09883308,-0.77126497,-0.07639220,-0.06091200,-0.01618589,0.06785200,-0.01273499
canonical,arm,exp01,motion01_canonical,motion01,seg3,40.0,43.150002,8.34810257,9.66286278,0.23201713,0.05560509,-0.93531197,-0.85910785,2.81083107,3.57203174,7.80482101,8.93719387,-0.18589599,0.02446390,0.02982800,0.03005100,0.13559100,0.03987959
canonical,arm,exp01,motion01_canonical,motion01,seg3,40.0,43.174999,9.99414539,9.80898571,1.03003156,0.04777287,-1.23490703,-0.73454487,5.61186886,4.12830591,8.17709446,8.86756611,1.01141000,-0.00850495,0.04971900,0.01632664,-0.18852800,0.04408349
canonical,arm,exp01,motion01_canonical,motion01,seg3,40.0,43.200001,11.79237175,9.87807274,0.27792066,0.03959462,-0.89561802,-0.84218991,7.75048780,4.01956367,8.84238911,8.98388290,-0.26744699,-0.00581452,0.04164200,0.03652228,0.06307100,0.01414384
canonical,arm,exp01,motion01_canonical,motion01,seg3,40.0,43.224998,9.17853260,9.72433662,0.88058788,0.04133921,-1.37893796,-0.85421771,3.99901199,3.65076160,8.14566708,8.97245693,-0.86308199,-0.02257251,0.03040700,0.03093664,0.17204601,0.01556716
