motion_name,kc_type,experiment_id,motion_folder,motion_index,segment_id,sampling_frequency_hz,time_s,acc_nonrigid_norm,acc_rigid_norm,gyr_nonrigid_norm,gyr_rigid_norm,nonrigid_acc_x,rigid_acc_x,nonrigid_acc_y,rigid_acc_y,nonrigid_acc_z,rigid_acc_z,nonrigid_gyr_x,rigid_gyr_x,nonrigid_gyr_y,rigid_gyr_y,nonrigid_gyr_z,rigid_gyr_z
dangle2,gait,exp08,motion04_dangle2,motion04,seg4,40.0,31.025000,14.57231236,16.41236877,2.95689154,2.05429888,10.20030022,9.22069263,-10.17682171,-11.92362022,2.17680311,6.49399710,-1.36629796,-0.49162689,2.51432300,1.99293423,0.74472702,-0.08160769
dangle2,gait,exp08,motion04_dangle2,motion04,seg4,40.0,31.049999,16.22732735,16.01769829,1.86704111,1.43480134,5.85696507,8.14180470,-15.12471199,-11.93391514,0.51499999,6.91804314,-0.67374402,-0.20537814,1.74103606,1.31755304,0.02655400,-0.52964938
dangle2,gait,exp08,motion04_dangle2,motion04,seg4,40.0,31.075001,13.77253246,14.80888176,1.98496294,1.02798510,7.16520023,8.79255199,-11.75879192,-10.35088825,0.27085799,5.90365314,1.41356099,0.38959682,0.04595600,0.35027143,-1.39277101,-0.88446456
dangle2,gait,exp08,motion04_dangle2,motion04,seg4,40.0,31.100000,12.88765812,13.60327625,1.68991697,1.44090974,10.65175056,9.58708572,-7.12441683,-8.86625004,1.36917102,3.81136537,0.98891401,0.93282717,-0.23849501,-0.11278056,-1.34943998,-1.09239864
dangle2,gait,exp08,motion04_dangle2,motion04,seg4,40.0,31.125000,14.71157169,11.95863628,1.42010117,1.95992601,10.84003162,8.72720051,-9.92693710,-7.77620268,0.61640900,2.52499747,0.42702901,1.44235110,0.72300500,0.45095366,-1.14524996,-1.24802816
dangle2,gait,exp08,motion04_dangle2,motion04,seg4,40.0,31.150000,11.14111519,9.14675903,3.62429261,2.20721221,7.00549507,7.23007202,-8.61146832,-4.84423733,-0.94345099,2.81471467,2.67522907,1.59019101,1.69920397,0.81295127,-1.75822401,-1.29699218
dangle2,gait,exp08,motion04_dangle2,motion04,seg4,40.0,31.174999,4.37267113,8.49414825,3.36225891,1.94158363,4.31651783,7.02318048,-0.47809500,-3.34232330,0.50926602,3.41384935,2.71901393,1.50803828,0.45965701,0.15949202,-1.92365897,-1.21248913
dangle2,gait,exp08,motion04_dangle2,motion04,seg4,40.0,31.200001,6.89253998,7.84753466,1.51361585,1.85258973,6.84979105,7.20871210,-0.75146002,-2.69235873,-0.15092200,1.53931022,0.08191900,1.34326065,-1.07004702,-0.55688870,-1.06738997,-1.14787400
dangle2,gait,exp08,motion04_dangle2,motion04,seg4,40.0,31.225000,11.18239117,8.19835949,1.65019238,1.68345988,9.29132080,7.90446854,-5.14227819,-0.82310879,-3.50345612,-2.01369524,0.95892698,1.27299249,-0.40500200,-0.29884958,-1.28045595,-1.06029058
dangle2,gait,exp08,motion04_dangle2,motion04,seg4,40.0,31.250000,8.18520260,7.27428675,3.31996584,1.62458062,7.90891886,7.15228081,0.42148399,0.35033393,-2.06612992,-1.27960753,2.68456793,1.29047930,1.02069998,0.32914248,-1.66536498,-0.93037117
dangle2,gait,exp08,motion04_dangle2,motion04,seg4,40.0,31.275000,5.91967535,6.20297527,1.56625164,1.58661139,4.58639479,6.03829718,3.70685291,1.41869950,-0.51651001,0.05622806,1.10788000,1.33140576,0.70185298,0.34604058,-0.85624099,-0.79053795
dangle2,gait,exp08,motion04_dangle2,motion04,seg4,40.0,31.299999,5.56902742,6.51094961,0.99845034,1.28604901,4.64394617,5.79325438,0.97208202,2.84534478,-2.91597104,-0.85713512,0.66503298,1.12589896,-0.27234501,-0.00340051,-0.69315398,-0.62149984
dangle2,gait,exp08,motion04_dangle2,motion04,seg4,40.0,31.325001,8.47087288,8.53738308,2.00285578,0.93457121,6.38265419,6.82947874,3.37804198,4.40100145,-4.42789507,-2.62227416,1.75398898,0.80543530,-0.32196900,-0.25891060,-0.91175097,-0.39706743
dangle2,gait,exp08,motion04_dangle2,motion04,seg4,40.0,31.350000,10.62060738,9.59063911,0.92916167,0.56356889,6.49654818,7.33268929,7.59461594,5.28747034,-3.59360290,-3.20229220,0.79632097,0.40912461,-0.30422699,-0.37354887,-0.36967599,-0.10338375
dangle2,gait,exp08,motion04_dangle2,motion04,seg4,40.0,31.375000,9.55549240,10.56887722,1.10187948,0.56931549,6.80294800,7.94680405,4.41477823,5.28601074,-5.05342102,-4.53955412,-0.64805597,0.33180892,-0.63875097,-0.34435472,0.62141699,0.30893824
dangle2,gait,exp08,motion04_dangle2,motion04,seg4,40.0,31.400000,11.75281429,11.86378288,0.88654262,0.72822744,9.62230110,9.46331406,2.59216189,4.94442034,-6.23062277,-5.17182159,0.54403299,0.14682205,-0.48449001,0.07536414,0.50522798,0.70928043
dangle2,gait,exp08,motion04_dangle2,motion04,seg4,40.0,31.424999,12.33657551,10.90632248,1.31224740,1.06579185,10.26307297,9.75119495,4.98449183,3.62314439,-4.69204378,-3.27641654,0.56954801,0.08099639,0.69831300,0.34740844,0.95392197,1.00432026
dangle2,gait,exp08,motion04_dangle2,motion04,seg4,40.0,31.450001,9.03830910,10.68269730,1.43841469,1.13117015,6.83735895,9.88097095,3.21668696,2.63649893,-4.95928192,-3.08792925,-0.46863800,-0.04509194,0.11905100,0.14674231,1.35471106,1.12070489
dangle2,gait,exp08,motion04_dangle2,motion04,seg4,40.0,31.475000,11.96920395,11.66160870,1.55061996,1.13169575,10.43695641,11.17031384,1.06976998,0.67061162,-5.76084805,-3.28138423,-0.38713801,-0.34221160,-0.93988699,-0.07260581,1.17096496,1.07626903
dangle2,gait,exp08,motion04_dangle2,motion04,seg4,40.0,31.500000,14.52159977,13.40282726,1.31407642,0.98772025,13.40599728,12.88860893,0.09556800,-2.13078952,-5.58094406,-2.99654174,-0.85075802,-0.61635083,-0.13807499,-0.00410854,0.99193901,0.77180701
dangle2,gait,exp08,motion04_dangle2,motion04,seg4,40.0,31.525000,12.91993523,13.27293301,1.38854027,0.89444703,11.36169243,12.76432705,-2.52735400,-2.93209124,-5.60795498,-2.15535879,-1.15417099,-0.82838333,0.28865501,-0.00408176,0.71596903,0.33734232
