motion_name,kc_type,experiment_id,motion_folder,motion_index,segment_id,sampling_frequency_hz,time_s,acc_nonrigid_norm,acc_rigid_norm,gyr_nonrigid_norm,gyr_rigid_norm,nonrigid_acc_x,rigid_acc_x,nonrigid_acc_y,rigid_acc_y,nonrigid_acc_z,rigid_acc_z,nonrigid_gyr_x,rigid_gyr_x,nonrigid_gyr_y,rigid_gyr_y,nonrigid_gyr_z,rigid_gyr_z
freeze1,arm,exp01,motion08_freeze1,motion08,seg3,40.0,0.000000,9.22630024,9.74765110,0.28788564,0.19185913,0.28916100,0.13594711,6.03758192,8.88047504,-6.97055292,-4.01688814,-0.22151899,-0.15148389,-0.18158600,-0.11638238,-0.02887900,-0.01782400
freeze1,arm,exp01,motion08_freeze1,motion08,seg3,40.0,0.025000,9.42077065,9.88554382,0.37508503,0.16175473,-0.29062900,0.09800627,6.51574707,9.13947487,-6.79790306,-3.76621580,0.35088000,-0.14903779,0.12512399,-0.06286731,0.04377200,-0.00016708
freeze1,arm,exp01,motion08_freeze1,motion08,seg3,40.0,0.050000,10.00237560,9.95421219,0.52857894,0.10183103,-0.40679801,0.17495842,7.61416483,9.29619408,-6.47352505,-3.55478501,0.52131599,-0.10165062,-0.01280500,-0.00571061,-0.08637900,0.00202496
freeze1,arm,exp01,motion08_freeze1,motion08,seg3,40.0,0.075000,10.34457302,9.83349991,0.04604774,0.07356763,0.12001800,0.30963829,8.16109467,9.21414757,-6.35549498,-3.42072010,-0.01527900,-0.05470107,0.03145100,0.04888976,0.02996300,0.00545714
freeze1,arm,exp01,motion08_freeze1,motion08,seg3,40.0,0.100000,9.88587666,9.77982426,0.59082168,0.06995557,-0.29773900,0.27875125,7.36172104,9.10078526,-6.59143209,-3.56972933,-0.58669603,-0.01886363,0.06634100,0.06539694,-0.02137600,0.01616122
freeze1,arm,exp01,motion08_freeze1,motion08,seg3,40.0,0.125000,9.38815594,9.82130718,0.46798611,0.06631647,-0.21422400,0.14606982,6.38369417,9.09962845,-6.88040876,-3.69235539,-0.46281400,0.01297297,-0.04184000,0.05359149,0.05535000,0.03684466
freeze1,arm,exp01,motion08_freeze1,motion08,seg3,40.0,0.150000,9.33607101,9.89078999,0.29818311,0.07610035,-0.01740400,0.24007568,6.33165216,9.21336079,-6.86091089,-3.58944035,0.29017100,0.04522030,0.06821100,0.05558194,0.00782500,0.02563270
freeze1,arm,exp01,motion08_freeze1,motion08,seg3,40.0,0.175000,9.94727230,9.81884575,0.66318113,0.08874759,-0.01188100,0.32310942,7.31673908,9.10339451,-6.73894691,-3.66518068,0.64029700,0.07586397,0.14669600,0.04515821,-0.09115500,0.00902934
freeze1,arm,exp01,motion08_freeze1,motion08,seg3,40.0,0.200000,10.22182369,9.64799309,0.14361456,0.05551201,-0.57650697,-0.04542879,7.71587086,8.85045910,-6.67971897,-3.84071255,0.05489800,0.04995400,0.13043000,0.02273398,0.02448200,-0.00832751
freeze1,arm,exp01,motion08_freeze1,motion08,seg3,40.0,0.225000,9.78385258,9.73657322,0.49547902,0.02947194,-0.65589601,0.05829526,7.04343081,8.97927856,-6.75896883,-3.76430774,-0.47039300,-0.01405467,-0.14988901,0.00221202,-0.04199000,-0.02581024
