motion_name,kc_type,experiment_id,motion_folder,motion_index,segment_id,sampling_frequency_hz,time_s,acc_nonrigid_norm,acc_rigid_norm,gyr_nonrigid_norm,gyr_rigid_norm,nonrigid_acc_x,rigid_acc_x,nonrigid_acc_y,rigid_acc_y,nonrigid_acc_z,rigid_acc_z,nonrigid_gyr_x,rigid_gyr_x,nonrigid_gyr_y,rigid_gyr_y,nonrigid_gyr_z,rigid_gyr_z
shaking,gait,exp11,motion04_shaking,motion04,seg5,40.0,25.174999,13.71685123,4.74031401,6.01194048,2.83859062,5.87347794,0.49685481,-12.25871658,-0.16966352,1.83796895,4.71114922,4.73268795,1.45042586,-2.77248311,-2.21186471,-2.46138811,-1.03029895
shaking,gait,exp11,motion04_shaking,motion04,seg5,40.0,25.200001,5.05231857,5.99667168,8.05684662,3.50379133,2.68354797,0.41007355,-0.82105798,-3.42053080,4.20123291,4.90834808,7.99785805,2.75143647,0.50335503,-1.82371950,-0.83286798,-1.17481816
shaking,gait,exp11,motion04_shaking,motion04,seg5,40.0,25.225000,10.63116550,8.43815517,1.73111606,2.84841609,-3.61761594,-0.73108739,1.26958299,-5.41666651,9.91578007,6.42866278,1.35900295,2.50412035,-0.47296599,-1.11172652,-0.96238101,-0.77905035
shaking,gait,exp11,motion04_shaking,motion04,seg5,40.0,25.250000,10.50877571,9.20139122,3.20087814,0.38725835,0.61421299,-1.72070289,-6.79086924,-2.99269557,7.99632406,8.52927589,-2.98290110,0.33227646,-1.03798902,-0.14599486,-0.52009600,-0.13508105
shaking,gait,exp11,motion04_shaking,motion04,seg5,40.0,25.275000,13.17378998,11.72830963,3.12595677,2.19720292,1.55811000,-0.44503379,-10.35307503,-6.61671734,7.99592781,9.67337894,-2.93884897,-1.98547232,0.77916700,0.84324920,0.72640997,0.41776916
shaking,gait,exp11,motion04_shaking,motion04,seg5,40.0,25.299999,14.17880440,15.32516670,4.48929119,3.35682273,0.46024400,-0.36704528,-11.99233341,-10.30434513,7.55053711,11.33783531,-4.26720905,-2.94526911,0.81289703,1.53065968,1.13307500,0.50072920
shaking,gait,exp11,motion04_shaking,motion04,seg5,40.0,25.325001,14.63109016,13.24545765,3.53790855,2.46613336,-0.18769400,-1.24484098,-14.20756817,-9.06162167,3.48978209,9.58016396,-3.18752098,-2.12359691,1.49805903,1.24358094,0.33515099,0.16017343
shaking,gait,exp11,motion04_shaking,motion04,seg5,40.0,25.350000,12.89002991,8.51041603,1.68294930,0.48927549,-2.34615302,-0.56965119,-12.50684929,-4.98376369,2.05600500,6.87493849,1.56403899,-0.23081982,0.45248699,0.40918794,0.42585900,-0.13666730
shaking,gait,exp11,motion04_shaking,motion04,seg5,40.0,25.375000,6.12217283,6.86982727,5.62890768,1.19470525,0.07650200,0.35865602,-4.11930084,-0.32629871,4.52841187,6.85269451,5.54678488,1.13803279,-0.56995302,-0.05788409,-0.77002198,-0.35895875
shaking,gait,exp11,motion04_shaking,motion04,seg5,40.0,25.400000,10.24730206,7.35088778,4.39907837,1.48074675,1.68292797,-0.10153360,4.34570503,1.25397050,9.12632465,7.24243021,4.36363792,1.47129476,0.51954699,0.03903185,-0.20154899,-0.16241613
