variant,variant_label,changed_term,changed_weight_value,time_l1,mse,spectral,metric,metric_label,metric_direction,mean,std,delta_vs_baseline,delta_percent_vs_baseline,num_seeds,seed_list
baseline,Baseline,none,baseline,1.0,0.5,0.2,rmse,RMSE,lower,0.3892449973131426,0.00256181414131393,0.0,0.0,5,"42,43,44,45,46"
baseline,Baseline,none,baseline,1.0,0.5,0.2,pearson,Pearson,higher,0.849562089304361,0.0008579111678394216,0.0,0.0,5,"42,43,44,45,46"
baseline,Baseline,none,baseline,1.0,0.5,0.2,psd_distance,PSD Dist.,lower,0.054005124441730654,0.0010129176862791022,0.0,0.0,5,"42,43,44,45,46"
baseline,Baseline,none,baseline,1.0,0.5,0.2,hf_ratio_improvement,HF Improve.,higher,8.298204231420382,0.019320112981927887,0.0,0.0,5,"42,43,44,45,46"
baseline,Baseline,none,baseline,1.0,0.5,0.2,acc_norm_rmse,Acc Norm RMSE,lower,0.5210113366461447,0.0014185627378263932,0.0,0.0,5,"42,43,44,45,46"
baseline,Baseline,none,baseline,1.0,0.5,0.2,gyr_norm_rmse,Gyr Norm RMSE,lower,0.1776291696654489,0.002293732572432512,0.0,0.0,5,"42,43,44,45,46"
l1_0p25,L1 = 0.25,time_l1,0.25,0.25,0.5,0.2,rmse,RMSE,lower,0.39444306570964216,0.0027226020054731057,0.0051980683964995555,1.3354233021311706,5,"42,43,44,45,46"
l1_0p25,L1 = 0.25,time_l1,0.25,0.25,0.5,0.2,pearson,Pearson,higher,0.8496984860860668,0.0003842930895305502,0.0001363967817058498,0.016054951535977118,5,"42,43,44,45,46"
l1_0p25,L1 = 0.25,time_l1,0.25,0.25,0.5,0.2,psd_distance,PSD Dist.,lower,0.054042573078747026,0.0009315532578271156,3.744863701637263e-05,0.06934274738460829,5,"42,43,44,45,46"
l1_0p25,L1 = 0.25,time_l1,0.25,0.25,0.5,0.2,hf_ratio_improvement,HF Improve.,higher,8.298650714659821,0.03972236995438862,0.00044648323943974333,0.005380480245944971,5,"42,43,44,45,46"
l1_0p25,L1 = 0.25,time_l1,0.25,0.25,0.5,0.2,acc_norm_rmse,Acc Norm RMSE,lower,0.5290937764494817,0.001547303320880001,0.008082439803337005,1.5512982606799504,5,"42,43,44,45,46"
l1_0p25,L1 = 0.25,time_l1,0.25,0.25,0.5,0.2,gyr_norm_rmse,Gyr Norm RMSE,lower,0.18098381925462456,0.0018927865054183602,0.003354649589175668,1.8885690877764598,5,"42,43,44,45,46"
l1_0p5,L1 = 0.5,time_l1,0.5,0.5,0.5,0.2,rmse,RMSE,lower,0.39098567297347236,0.0009616718995523023,0.0017406756603297602,0.44719281489683704,5,"42,43,44,45,46"
