variant,variant_label,changed_term,purpose,time_l1,mse,spectral,num_seeds,seed_list,rmse_mean,rmse_std,rmse_delta_vs_baseline,rmse_delta_percent_vs_baseline,pearson_mean,pearson_std,pearson_delta_vs_baseline,pearson_delta_percent_vs_baseline,psd_distance_mean,psd_distance_std,psd_distance_delta_vs_baseline,psd_distance_delta_percent_vs_baseline,hf_ratio_improvement_mean,hf_ratio_improvement_std,hf_ratio_improvement_delta_vs_baseline,hf_ratio_improvement_delta_percent_vs_baseline,acc_norm_rmse_mean,acc_norm_rmse_std,acc_norm_rmse_delta_vs_baseline,acc_norm_rmse_delta_percent_vs_baseline,gyr_norm_rmse_mean,gyr_norm_rmse_std,gyr_norm_rmse_delta_vs_baseline,gyr_norm_rmse_delta_percent_vs_baseline
baseline,Baseline,none,Final loss setting used in the main paper.,1.0,0.5,0.2,5,"42,43,44,45,46",0.3892449973131426,0.0025618141413139,0.0,0.0,0.849562089304361,0.0008579111678394,0.0,0.0,0.0540051244417306,0.0010129176862791,0.0,0.0,8.298204231420382,0.0193201129819278,0.0,0.0,0.5210113366461447,0.0014185627378263,0.0,0.0,0.1776291696654489,0.0022937325724325,0.0,0.0
l1_0p25,L1 = 0.25,time_l1,Reduce the L1 reconstruction weight to probe point-wise robustness.,0.25,0.5,0.2,5,"42,43,44,45,46",0.3944430657096421,0.0027226020054731,0.0051980683964995,1.3354233021311706,0.8496984860860668,0.0003842930895305,0.0001363967817058,0.0160549515359771,0.054042573078747,0.0009315532578271,3.744863701637263e-05,0.0693427473846082,8.298650714659821,0.0397223699543886,0.0004464832394397,0.0053804802459449,0.5290937764494817,0.00154730332088,0.008082439803337,1.5512982606799504,0.1809838192546245,0.0018927865054183,0.0033546495891756,1.88856908777646
l1_0p5,L1 = 0.5,time_l1,Reduce the L1 reconstruction weight to probe point-wise robustness.,0.5,0.5,0.2,5,"42,43,44,45,46",0.3909856729734723,0.0009616718995523,0.0017406756603297,0.447192814896837,0.8493886332063292,0.0006258712608891,-0.0001734560980317,-0.0204171184443735,0.0535552072253021,0.0008406502350209,-0.0004499172164285,-0.83310097158272,8.33057879668478,0.0163815225105396,0.0323745652643978,0.3901394128360274,0.5248046968776514,0.0021775516797722,0.0037933602315066,0.7280763324509015,0.1788178926497707,0.0013373249690607,0.0011887229843218,0.6692160902180039
l1_1p5,L1 = 1.5,time_l1,Increase the L1 reconstruction weight to probe point-wise robustness.,1.5,0.5,0.2,5,"42,43,44,45,46",0.3866678534184135,0.0025062385571762,-0.002577143894729,-0.6620878656163673,0.8491739313584169,0.0007794030791724,-0.000388157945944,-0.0456891792643286,0.0535378558062824,0.0009164992356863,-0.0004672686354481,-0.8652301800588276,8.308495947365547,0.0248281474873531,0.0102917159451649,0.1240234110676181,0.5166905906324979,0.0017866722536437,-0.0043207460136468,-0.8292998078430237,0.177336070118405,0.0023788057500156,-0.0002930995470438,-0.1650064274892894
l1_2p0,L1 = 2,time_l1,Increase the L1 reconstruction weight to probe point-wise robustness.,2.0,0.5,0.2,5,"42,43,44,45,46",0.3882723014737961,0.0056872214820373,-0.0009726958393464,-0.2498929584351029,0.8489129433915001,0.0007124878916584,-0.0006491459128608,-0.0764094727193322,0.0532292606222912,0.0013437688358307,-0.0007758638194393,-1.4366485170801258,8.259857980969059,0.0964938132756842,-0.0383462504513225,-0.4621029970090159,0.5180486181527153,0.0048197171178928,-0.0029627184934294,-0.5686476061156475,0.1764578111019322,0.0016284541039029,-0.0011713585635166,-0.6594404318405892
mse_0p125,MSE = 0.125,mse,Reduce the MSE contribution to probe the quadratic reconstruction penalty.,1.0,0.125,0.2,5,"42,43,44,45,46",0.3899492780967675,0.0019762006844889,0.0007042807836248,0.1809350893361139,0.8500388994214196,0.0007113944798147,0.0004768101170586,0.0561242224743234,0.0539871165010099,0.0011328739678283,-1.800794072073786e-05,-0.0333448740409212,8.301930179268597,0.0163580910755634,0.0037259478482152,0.0449006525304266,0.5223337910304313,0.0030343143796455,0.0013224543842865,0.2538244931097818,0.1818196989313191,0.0019509050007759,0.0041905292658702,2.359144769838655
mse_0p25,MSE = 0.25,mse,Reduce the MSE contribution to probe the quadratic reconstruction penalty.,1.0,0.25,0.2,5,"42,43,44,45,46",0.3894094651642703,0.00282429730343,0.0001644678511276,0.0422530417251214,0.8500502587270203,0.0011858295970548,0.0004881694226593,0.0574613002163401,0.0534323274718621,0.0011687221470948,-0.0005727969698685,-1.0606344782827732,8.308293678233987,0.0219321632104058,0.0100894468136054,0.1215859062061006,0.5212819986072977,0.0017283480245732,0.0002706619611529,0.0519493420038231,0.179722064200902,0.0027818524822001,0.0020928945354531,1.1782380897208191
mse_0p75,MSE = 0.75,mse,Increase the MSE contribution to probe the quadratic reconstruction penalty.,1.0,0.75,0.2,5,"42,43,44,45,46",0.3875310012690612,0.0017110617806428,-0.0017139960440814,-0.4403386185853823,0.8495640180086843,0.0005014278392321,1.928704323361785e-06,0.000227023350929,0.0539051160400628,0.0009458543650544,-0.0001000084016678,-0.1851831704891648,8.309470221042375,0.0285113833263703,0.0112659896219931,0.135764188344937,0.518891298828879,0.0017321263761363,-0.0021200378172657,-0.4069081933826788,0.1760576138715294,0.0022187568419397,-0.0015715557939194,-0.8847397062539709
mse_1p0,MSE = 1,mse,Increase the MSE contribution to probe the quadratic reconstruction penalty.,1.0,1.0,0.2,5,"42,43,44,45,46",0.3864784030822581,0.0016044408889067,-0.0027665942308844,-0.7107590977357635,0.8495262120895731,0.0005875573059614,-3.5877214787816136e-05,-0.004223024454539,0.0529056450000893,0.000971366483418,-0.0010994794416413,-2.035879841046581,8.311668866759002,0.0238599909722122,0.0134646353386198,0.1622596282655621,0.5166027622698933,0.0019499036899465,-0.0044085743762514,-0.8461570922103734,0.1753026374128383,0.0022078159407272,-0.0023265322526105,-1.3097692552368574
spec_0p05,Spectral = 0.05,spectral,Reduce spectral consistency to probe frequency-domain alignment.,1.0,0.5,0.05,5,"42,43,44,45,46",0.3878679914140477,0.0029560680253982,-0.0013770058990948,-0.3537632875438235,0.8481476208372563,0.0007244895776225,-0.0014144684671046,-0.1664938307526041,0.0552988656144812,0.0012385774564353,0.0012937411727506,2.395589652138502,8.246907050009918,0.0429584761842988,-0.0512971814104634,-0.6181720765106196,0.5173589414198995,0.0025023108112463,-0.0036523952262452,-0.7010202982830435,0.177102287990599,0.0021364213754778,-0.0005268816748499,-0.2966188919546529
