term,term_label,variant,variant_label,swept_weight,is_final,rmse_mean,rmse_std,psd_distance_mean,psd_distance_std,hf_ratio_improvement_mean,hf_ratio_improvement_std
time_l1,L1 weight,l1_0p25,L1 = 0.25,0.25,False,0.3944430657096421,0.0027226020054731,0.054042573078747,0.0009315532578271,8.298650714659821,0.0397223699543886
time_l1,L1 weight,l1_0p5,L1 = 0.5,0.5,False,0.3909856729734723,0.0009616718995523,0.0535552072253021,0.0008406502350209,8.33057879668478,0.0163815225105396
time_l1,L1 weight,time_l1_baseline,Final coefficients,1.0,True,0.3892449973131426,0.0025618141413139,0.0540051244417306,0.0010129176862791,8.298204231420382,0.0193201129819278
time_l1,L1 weight,l1_1p5,L1 = 1.5,1.5,False,0.3866678534184135,0.0025062385571762,0.0535378558062824,0.0009164992356863,8.308495947365547,0.0248281474873531
time_l1,L1 weight,l1_2p0,L1 = 2,2.0,False,0.3882723014737961,0.0056872214820373,0.0532292606222912,0.0013437688358307,8.259857980969059,0.0964938132756842
mse,MSE weight,mse_0p125,MSE = 0.125,0.125,False,0.3899492780967675,0.0019762006844889,0.0539871165010099,0.0011328739678283,8.301930179268597,0.0163580910755634
mse,MSE weight,mse_0p25,MSE = 0.25,0.25,False,0.3894094651642703,0.00282429730343,0.0534323274718621,0.0011687221470948,8.308293678233987,0.0219321632104058
mse,MSE weight,mse_baseline,Final coefficients,0.5,True,0.3892449973131426,0.0025618141413139,0.0540051244417306,0.0010129176862791,8.298204231420382,0.0193201129819278
mse,MSE weight,mse_0p75,MSE = 0.75,0.75,False,0.3875310012690612,0.0017110617806428,0.0539051160400628,0.0009458543650544,8.309470221042375,0.0285113833263703
mse,MSE weight,mse_1p0,MSE = 1,1.0,False,0.3864784030822581,0.0016044408889067,0.0529056450000893,0.000971366483418,8.311668866759002,0.0238599909722122
spectral,Spectral weight,spec_0p05,Spectral = 0.05,0.05,False,0.3878679914140477,0.0029560680253982,0.0552988656144812,0.0012385774564353,8.246907050009918,0.0429584761842988
spectral,Spectral weight,spec_0p1,Spectral = 0.1,0.1,False,0.3880029089083557,0.0029747772498817,0.0546418591910034,0.0009433977309493,8.273798889838723,0.0252337061256086
spectral,Spectral weight,spectral_baseline,Final coefficients,0.2,True,0.3892449973131426,0.0025618141413139,0.0540051244417306,0.0010129176862791,8.298204231420382,0.0193201129819278
spectral,Spectral weight,spec_0p3,Spectral = 0.3,0.3,False,0.3881556969712785,0.0012698163392906,0.0526529296276688,0.0009452766950597,8.339931400284204,0.0298392467004524
spectral,Spectral weight,spec_0p4,Spectral = 0.4,0.4,False,0.3897893492866027,0.0010698002384755,0.0519219505431646,0.000904946475132,8.33807386595133,0.024898231067286
