variant,variant_label,changed_term,seed,time_l1,mse,spectral,rmse,pearson,psd_distance,hf_ratio_improvement,acc_norm_rmse,gyr_norm_rmse
baseline,Baseline,none,42,1.0,0.5,0.2,0.38941405580553723,0.8494816929426823,0.054550863095294534,8.290177021620247,0.5215546789191915,0.17757987022113159
baseline,Baseline,none,43,1.0,0.5,0.2,0.39086071694070706,0.8486959559582234,0.05389102279364059,8.280252872977234,0.5196655284584027,0.17722717056409165
baseline,Baseline,none,44,1.0,0.5,0.2,0.39127349609681283,0.8485663994904615,0.055428654434120345,8.298810701008405,0.5200127301995282,0.18125104694392588
baseline,Baseline,none,45,1.0,0.5,0.2,0.39040348366280087,0.8503817052196583,0.05380962748057344,8.286834024175185,0.5202784661044393,0.17804359678966492
baseline,Baseline,none,46,1.0,0.5,0.2,0.3842732340598554,0.8506846929107794,0.052345454405024694,8.334946537320837,0.5235452795491619,0.1740441638084308
l1_0p25,L1 = 0.25,time_l1,42,0.25,0.5,0.2,0.39666820222327076,0.8489840020224033,0.054955982739295924,8.328928418976101,0.5312864812056256,0.1826273163572066
l1_0p25,L1 = 0.25,time_l1,43,0.25,0.5,0.2,0.3913020832534931,0.850014098171925,0.05300340146567991,8.311985991424448,0.5272871361895239,0.17970923060710622
l1_0p25,L1 = 0.25,time_l1,44,0.25,0.5,0.2,0.3985748063029686,0.8500518470095547,0.055352797064389885,8.253293211958587,0.5276000897341718,0.18279305232226414
l1_0p25,L1 = 0.25,time_l1,45,0.25,0.5,0.2,0.39279307332609287,0.8497559392864549,0.05339289441235206,8.250861185224567,0.5289215293093579,0.1779020028635715
l1_0p25,L1 = 0.25,time_l1,46,0.25,0.5,0.2,0.3928771634423856,0.8496865439399958,0.05350778971201757,8.348184765715411,0.5303736458087294,0.18188749412297456
l1_0p5,L1 = 0.5,time_l1,42,0.5,0.5,0.2,0.3918083764341781,0.8494878531116111,0.05454645764462128,8.312569322114623,0.5254912328831165,0.17957405978051869
l1_0p5,L1 = 0.5,time_l1,43,0.5,0.5,0.2,0.38992403691130634,0.8492754180635155,0.052520253543307326,8.329318878862724,0.5216482169621947,0.1766462606146849
l1_0p5,L1 = 0.5,time_l1,44,0.5,0.5,0.2,0.3920619081402834,0.8484311459769737,0.054377083661867755,8.345569515339786,0.5241061193120051,0.17982216183495917
l1_0p5,L1 = 0.5,time_l1,45,0.5,0.5,0.2,0.3897572895832634,0.8503974619237344,0.052665371225344065,8.312944822483448,0.5244184012649816,0.1778918283727319
l1_0p5,L1 = 0.5,time_l1,46,0.5,0.5,0.2,0.3913767537983307,0.8493512869558114,0.053666870051370545,8.352491444623318,0.5283595139659586,0.1801551526459592
l1_1p5,L1 = 1.5,time_l1,42,1.5,0.5,0.2,0.38407948166505773,0.8499477031950612,0.053079996569607955,8.348093881813195,0.5152683408282974,0.17497508355323743
l1_1p5,L1 = 1.5,time_l1,43,1.5,0.5,0.2,0.3848957082215654,0.8496000878791873,0.0534349867550795,8.31285816202811,0.515922493434563,0.17750064431127682
l1_1p5,L1 = 1.5,time_l1,44,1.5,0.5,0.2,0.3912967412713825,0.847967877605971,0.05529038175440978,8.273912196553912,0.5196611081289604,0.18181031606861375
l1_1p5,L1 = 1.5,time_l1,45,1.5,0.5,0.2,0.38630631651111674,0.8498104090659053,0.053256678354854176,8.292512506601794,0.5148479363333133,0.17599827896158876
