Method,RMSE ↓,Pearson r ↑,PSD dist. ↓,HF imp. ↑,Params (K),FP32 size (MB),CPU window (ms) ↓,Stream (ms/step) ↓
TCN-causal,0.3901 ± 0.0021,0.8492 ± 0.0006,0.0539 ± 0.0016,8.2798 ± 0.0611,101.3,0.387,1.428 ± 0.059,1.231 ± 0.017
Transformer-causal,0.4278 ± 0.0066,0.8430 ± 0.0023,0.0661 ± 0.0014,8.0207 ± 0.1052,399.1,1.522,1.667 ± 0.084,1.774 ± 0.050
GRU-causal,0.4003 ± 0.0032,0.8404 ± 0.0010,0.0559 ± 0.0010,8.2715 ± 0.0279,152.1,0.580,3.179 ± 0.050,0.128 ± 0.003
LSTM-causal,0.4094 ± 0.0020,0.8373 ± 0.0007,0.0557 ± 0.0004,8.2432 ± 0.0354,202.5,0.772,1.442 ± 0.022,0.283 ± 0.033
MLP-causal,0.6886 ± 0.0020,0.7272 ± 0.0007,0.1843 ± 0.0007,6.2755 ± 0.0876,18.2,0.069,0.127 ± 0.001,0.042 ± 0.000
Identity/raw,0.8173,0.7254,0.2248,1.9592,N/A,N/A,0.001 ± 0.000,N/A
Moving-average low-pass,0.5575,0.8398,0.1323,7.9824,N/A,N/A,0.030 ± 0.000,N/A
Butterworth low-pass,0.5716,0.7975,0.1206,8.0568,N/A,N/A,2.095 ± 0.021,N/A
Savitzky-Golay,0.5852,0.7818,0.1203,8.1773,N/A,N/A,2.132 ± 0.031,N/A
Wiener filter,0.6524,0.7367,0.1380,7.6115,N/A,N/A,0.436 ± 0.006,N/A
