kc_type,experiment_id,motion_folder,motion_index,motion_name,segment_id,rigid_path,nonrigid_path,sampling_frequency,n_samples,is_anomaly_case,split
arm,exp01,motion01_canonical,motion01,canonical,seg1,e:\VSCode_Study\2026.4.15Manuscript-DIODEM\dataset\arm\exp01\motion01_canonical\exp01_motion01_imu_rigid.csv,e:\VSCode_Study\2026.4.15Manuscript-DIODEM\dataset\arm\exp01\motion01_canonical\exp01_motion01_imu_nonrigid.csv,40.0,5680,False,test
arm,exp01,motion01_canonical,motion01,canonical,seg2,e:\VSCode_Study\2026.4.15Manuscript-DIODEM\dataset\arm\exp01\motion01_canonical\exp01_motion01_imu_rigid.csv,e:\VSCode_Study\2026.4.15Manuscript-DIODEM\dataset\arm\exp01\motion01_canonical\exp01_motion01_imu_nonrigid.csv,40.0,5680,False,test
arm,exp01,motion01_canonical,motion01,canonical,seg3,e:\VSCode_Study\2026.4.15Manuscript-DIODEM\dataset\arm\exp01\motion01_canonical\exp01_motion01_imu_rigid.csv,e:\VSCode_Study\2026.4.15Manuscript-DIODEM\dataset\arm\exp01\motion01_canonical\exp01_motion01_imu_nonrigid.csv,40.0,5680,False,test
arm,exp01,motion01_canonical,motion01,canonical,seg4,e:\VSCode_Study\2026.4.15Manuscript-DIODEM\dataset\arm\exp01\motion01_canonical\exp01_motion01_imu_rigid.csv,e:\VSCode_Study\2026.4.15Manuscript-DIODEM\dataset\arm\exp01\motion01_canonical\exp01_motion01_imu_nonrigid.csv,40.0,5680,False,test
arm,exp01,motion01_canonical,motion01,canonical,seg5,e:\VSCode_Study\2026.4.15Manuscript-DIODEM\dataset\arm\exp01\motion01_canonical\exp01_motion01_imu_rigid.csv,e:\VSCode_Study\2026.4.15Manuscript-DIODEM\dataset\arm\exp01\motion01_canonical\exp01_motion01_imu_nonrigid.csv,40.0,5680,False,test
arm,exp01,motion02_pause1,motion02,pause1,seg1,e:\VSCode_Study\2026.4.15Manuscript-DIODEM\dataset\arm\exp01\motion02_pause1\exp01_motion02_imu_rigid.csv,e:\VSCode_Study\2026.4.15Manuscript-DIODEM\dataset\arm\exp01\motion02_pause1\exp01_motion02_imu_nonrigid.csv,40.0,360,False,test
arm,exp01,motion02_pause1,motion02,pause1,seg2,e:\VSCode_Study\2026.4.15Manuscript-DIODEM\dataset\arm\exp01\motion02_pause1\exp01_motion02_imu_rigid.csv,e:\VSCode_Study\2026.4.15Manuscript-DIODEM\dataset\arm\exp01\motion02_pause1\exp01_motion02_imu_nonrigid.csv,40.0,360,False,test
arm,exp01,motion02_pause1,motion02,pause1,seg3,e:\VSCode_Study\2026.4.15Manuscript-DIODEM\dataset\arm\exp01\motion02_pause1\exp01_motion02_imu_rigid.csv,e:\VSCode_Study\2026.4.15Manuscript-DIODEM\dataset\arm\exp01\motion02_pause1\exp01_motion02_imu_nonrigid.csv,40.0,360,False,test
arm,exp01,motion02_pause1,motion02,pause1,seg4,e:\VSCode_Study\2026.4.15Manuscript-DIODEM\dataset\arm\exp01\motion02_pause1\exp01_motion02_imu_rigid.csv,e:\VSCode_Study\2026.4.15Manuscript-DIODEM\dataset\arm\exp01\motion02_pause1\exp01_motion02_imu_nonrigid.csv,40.0,360,False,test
arm,exp01,motion02_pause1,motion02,pause1,seg5,e:\VSCode_Study\2026.4.15Manuscript-DIODEM\dataset\arm\exp01\motion02_pause1\exp01_motion02_imu_rigid.csv,e:\VSCode_Study\2026.4.15Manuscript-DIODEM\dataset\arm\exp01\motion02_pause1\exp01_motion02_imu_nonrigid.csv,40.0,360,False,test
arm,exp01,motion03_slow1,motion03,slow1,seg1,e:\VSCode_Study\2026.4.15Manuscript-DIODEM\dataset\arm\exp01\motion03_slow1\exp01_motion03_imu_rigid.csv,e:\VSCode_Study\2026.4.15Manuscript-DIODEM\dataset\arm\exp01\motion03_slow1\exp01_motion03_imu_nonrigid.csv,40.0,1600,False,test
arm,exp01,motion03_slow1,motion03,slow1,seg2,e:\VSCode_Study\2026.4.15Manuscript-DIODEM\dataset\arm\exp01\motion03_slow1\exp01_motion03_imu_rigid.csv,e:\VSCode_Study\2026.4.15Manuscript-DIODEM\dataset\arm\exp01\motion03_slow1\exp01_motion03_imu_nonrigid.csv,40.0,1600,False,test
arm,exp01,motion03_slow1,motion03,slow1,seg3,e:\VSCode_Study\2026.4.15Manuscript-DIODEM\dataset\arm\exp01\motion03_slow1\exp01_motion03_imu_rigid.csv,e:\VSCode_Study\2026.4.15Manuscript-DIODEM\dataset\arm\exp01\motion03_slow1\exp01_motion03_imu_nonrigid.csv,40.0,1600,False,test
arm,exp01,motion03_slow1,motion03,slow1,seg4,e:\VSCode_Study\2026.4.15Manuscript-DIODEM\dataset\arm\exp01\motion03_slow1\exp01_motion03_imu_rigid.csv,e:\VSCode_Study\2026.4.15Manuscript-DIODEM\dataset\arm\exp01\motion03_slow1\exp01_motion03_imu_nonrigid.csv,40.0,1600,False,test
arm,exp01,motion03_slow1,motion03,slow1,seg5,e:\VSCode_Study\2026.4.15Manuscript-DIODEM\dataset\arm\exp01\motion03_slow1\exp01_motion03_imu_rigid.csv,e:\VSCode_Study\2026.4.15Manuscript-DIODEM\dataset\arm\exp01\motion03_slow1\exp01_motion03_imu_nonrigid.csv,40.0,1600,False,test
arm,exp01,motion04_pause2,motion04,pause2,seg1,e:\VSCode_Study\2026.4.15Manuscript-DIODEM\dataset\arm\exp01\motion04_pause2\exp01_motion04_imu_rigid.csv,e:\VSCode_Study\2026.4.15Manuscript-DIODEM\dataset\arm\exp01\motion04_pause2\exp01_motion04_imu_nonrigid.csv,40.0,240,False,test
arm,exp01,motion04_pause2,motion04,pause2,seg2,e:\VSCode_Study\2026.4.15Manuscript-DIODEM\dataset\arm\exp01\motion04_pause2\exp01_motion04_imu_rigid.csv,e:\VSCode_Study\2026.4.15Manuscript-DIODEM\dataset\arm\exp01\motion04_pause2\exp01_motion04_imu_nonrigid.csv,40.0,240,False,test
arm,exp01,motion04_pause2,motion04,pause2,seg3,e:\VSCode_Study\2026.4.15Manuscript-DIODEM\dataset\arm\exp01\motion04_pause2\exp01_motion04_imu_rigid.csv,e:\VSCode_Study\2026.4.15Manuscript-DIODEM\dataset\arm\exp01\motion04_pause2\exp01_motion04_imu_nonrigid.csv,40.0,240,False,test
arm,exp01,motion04_pause2,motion04,pause2,seg4,e:\VSCode_Study\2026.4.15Manuscript-DIODEM\dataset\arm\exp01\motion04_pause2\exp01_motion04_imu_rigid.csv,e:\VSCode_Study\2026.4.15Manuscript-DIODEM\dataset\arm\exp01\motion04_pause2\exp01_motion04_imu_nonrigid.csv,40.0,240,False,test
arm,exp01,motion04_pause2,motion04,pause2,seg5,e:\VSCode_Study\2026.4.15Manuscript-DIODEM\dataset\arm\exp01\motion04_pause2\exp01_motion04_imu_rigid.csv,e:\VSCode_Study\2026.4.15Manuscript-DIODEM\dataset\arm\exp01\motion04_pause2\exp01_motion04_imu_nonrigid.csv,40.0,240,False,test
arm,exp01,motion05_fast,motion05,fast,seg1,e:\VSCode_Study\2026.4.15Manuscript-DIODEM\dataset\arm\exp01\motion05_fast\exp01_motion05_imu_rigid.csv,e:\VSCode_Study\2026.4.15Manuscript-DIODEM\dataset\arm\exp01\motion05_fast\exp01_motion05_imu_nonrigid.csv,40.0,1720,False,test
arm,exp01,motion05_fast,motion05,fast,seg2,e:\VSCode_Study\2026.4.15Manuscript-DIODEM\dataset\arm\exp01\motion05_fast\exp01_motion05_imu_rigid.csv,e:\VSCode_Study\2026.4.15Manuscript-DIODEM\dataset\arm\exp01\motion05_fast\exp01_motion05_imu_nonrigid.csv,40.0,1720,False,test
arm,exp01,motion05_fast,motion05,fast,seg3,e:\VSCode_Study\2026.4.15Manuscript-DIODEM\dataset\arm\exp01\motion05_fast\exp01_motion05_imu_rigid.csv,e:\VSCode_Study\2026.4.15Manuscript-DIODEM\dataset\arm\exp01\motion05_fast\exp01_motion05_imu_nonrigid.csv,40.0,1720,False,test
arm,exp01,motion05_fast,motion05,fast,seg4,e:\VSCode_Study\2026.4.15Manuscript-DIODEM\dataset\arm\exp01\motion05_fast\exp01_motion05_imu_rigid.csv,e:\VSCode_Study\2026.4.15Manuscript-DIODEM\dataset\arm\exp01\motion05_fast\exp01_motion05_imu_nonrigid.csv,40.0,1720,False,test
arm,exp01,motion05_fast,motion05,fast,seg5,e:\VSCode_Study\2026.4.15Manuscript-DIODEM\dataset\arm\exp01\motion05_fast\exp01_motion05_imu_rigid.csv,e:\VSCode_Study\2026.4.15Manuscript-DIODEM\dataset\arm\exp01\motion05_fast\exp01_motion05_imu_nonrigid.csv,40.0,1720,False,test
arm,exp01,motion06_pause3,motion06,pause3,seg1,e:\VSCode_Study\2026.4.15Manuscript-DIODEM\dataset\arm\exp01\motion06_pause3\exp01_motion06_imu_rigid.csv,e:\VSCode_Study\2026.4.15Manuscript-DIODEM\dataset\arm\exp01\motion06_pause3\exp01_motion06_imu_nonrigid.csv,40.0,280,False,test
arm,exp01,motion06_pause3,motion06,pause3,seg2,e:\VSCode_Study\2026.4.15Manuscript-DIODEM\dataset\arm\exp01\motion06_pause3\exp01_motion06_imu_rigid.csv,e:\VSCode_Study\2026.4.15Manuscript-DIODEM\dataset\arm\exp01\motion06_pause3\exp01_motion06_imu_nonrigid.csv,40.0,280,False,test
arm,exp01,motion06_pause3,motion06,pause3,seg3,e:\VSCode_Study\2026.4.15Manuscript-DIODEM\dataset\arm\exp01\motion06_pause3\exp01_motion06_imu_rigid.csv,e:\VSCode_Study\2026.4.15Manuscript-DIODEM\dataset\arm\exp01\motion06_pause3\exp01_motion06_imu_nonrigid.csv,40.0,280,False,test
arm,exp01,motion06_pause3,motion06,pause3,seg4,e:\VSCode_Study\2026.4.15Manuscript-DIODEM\dataset\arm\exp01\motion06_pause3\exp01_motion06_imu_rigid.csv,e:\VSCode_Study\2026.4.15Manuscript-DIODEM\dataset\arm\exp01\motion06_pause3\exp01_motion06_imu_nonrigid.csv,40.0,280,False,test
arm,exp01,motion06_pause3,motion06,pause3,seg5,e:\VSCode_Study\2026.4.15Manuscript-DIODEM\dataset\arm\exp01\motion06_pause3\exp01_motion06_imu_rigid.csv,e:\VSCode_Study\2026.4.15Manuscript-DIODEM\dataset\arm\exp01\motion06_pause3\exp01_motion06_imu_nonrigid.csv,40.0,280,False,test
arm,exp01,motion07_fast_slow_fast,motion07,fast_slow_fast,seg1,e:\VSCode_Study\2026.4.15Manuscript-DIODEM\dataset\arm\exp01\motion07_fast_slow_fast\exp01_motion07_imu_rigid.csv,e:\VSCode_Study\2026.4.15Manuscript-DIODEM\dataset\arm\exp01\motion07_fast_slow_fast\exp01_motion07_imu_nonrigid.csv,40.0,1400,False,test
arm,exp01,motion07_fast_slow_fast,motion07,fast_slow_fast,seg2,e:\VSCode_Study\2026.4.15Manuscript-DIODEM\dataset\arm\exp01\motion07_fast_slow_fast\exp01_motion07_imu_rigid.csv,e:\VSCode_Study\2026.4.15Manuscript-DIODEM\dataset\arm\exp01\motion07_fast_slow_fast\exp01_motion07_imu_nonrigid.csv,40.0,1400,False,test
arm,exp01,motion07_fast_slow_fast,motion07,fast_slow_fast,seg3,e:\VSCode_Study\2026.4.15Manuscript-DIODEM\dataset\arm\exp01\motion07_fast_slow_fast\exp01_motion07_imu_rigid.csv,e:\VSCode_Study\2026.4.15Manuscript-DIODEM\dataset\arm\exp01\motion07_fast_slow_fast\exp01_motion07_imu_nonrigid.csv,40.0,1400,False,test
arm,exp01,motion07_fast_slow_fast,motion07,fast_slow_fast,seg4,e:\VSCode_Study\2026.4.15Manuscript-DIODEM\dataset\arm\exp01\motion07_fast_slow_fast\exp01_motion07_imu_rigid.csv,e:\VSCode_Study\2026.4.15Manuscript-DIODEM\dataset\arm\exp01\motion07_fast_slow_fast\exp01_motion07_imu_nonrigid.csv,40.0,1400,False,test
arm,exp01,motion07_fast_slow_fast,motion07,fast_slow_fast,seg5,e:\VSCode_Study\2026.4.15Manuscript-DIODEM\dataset\arm\exp01\motion07_fast_slow_fast\exp01_motion07_imu_rigid.csv,e:\VSCode_Study\2026.4.15Manuscript-DIODEM\dataset\arm\exp01\motion07_fast_slow_fast\exp01_motion07_imu_nonrigid.csv,40.0,1400,False,test
arm,exp01,motion08_freeze1,motion08,freeze1,seg1,e:\VSCode_Study\2026.4.15Manuscript-DIODEM\dataset\arm\exp01\motion08_freeze1\exp01_motion08_imu_rigid.csv,e:\VSCode_Study\2026.4.15Manuscript-DIODEM\dataset\arm\exp01\motion08_freeze1\exp01_motion08_imu_nonrigid.csv,40.0,80,False,test
arm,exp01,motion08_freeze1,motion08,freeze1,seg2,e:\VSCode_Study\2026.4.15Manuscript-DIODEM\dataset\arm\exp01\motion08_freeze1\exp01_motion08_imu_rigid.csv,e:\VSCode_Study\2026.4.15Manuscript-DIODEM\dataset\arm\exp01\motion08_freeze1\exp01_motion08_imu_nonrigid.csv,40.0,80,False,test
arm,exp01,motion08_freeze1,motion08,freeze1,seg3,e:\VSCode_Study\2026.4.15Manuscript-DIODEM\dataset\arm\exp01\motion08_freeze1\exp01_motion08_imu_rigid.csv,e:\VSCode_Study\2026.4.15Manuscript-DIODEM\dataset\arm\exp01\motion08_freeze1\exp01_motion08_imu_nonrigid.csv,40.0,80,False,test
arm,exp01,motion08_freeze1,motion08,freeze1,seg4,e:\VSCode_Study\2026.4.15Manuscript-DIODEM\dataset\arm\exp01\motion08_freeze1\exp01_motion08_imu_rigid.csv,e:\VSCode_Study\2026.4.15Manuscript-DIODEM\dataset\arm\exp01\motion08_freeze1\exp01_motion08_imu_nonrigid.csv,40.0,80,False,test
arm,exp01,motion08_freeze1,motion08,freeze1,seg5,e:\VSCode_Study\2026.4.15Manuscript-DIODEM\dataset\arm\exp01\motion08_freeze1\exp01_motion08_imu_rigid.csv,e:\VSCode_Study\2026.4.15Manuscript-DIODEM\dataset\arm\exp01\motion08_freeze1\exp01_motion08_imu_nonrigid.csv,40.0,80,False,test
arm,exp01,motion09_fast_slow,motion09,fast_slow,seg1,e:\VSCode_Study\2026.4.15Manuscript-DIODEM\dataset\arm\exp01\motion09_fast_slow\exp01_motion09_imu_rigid.csv,e:\VSCode_Study\2026.4.15Manuscript-DIODEM\dataset\arm\exp01\motion09_fast_slow\exp01_motion09_imu_nonrigid.csv,40.0,880,False,test
arm,exp01,motion09_fast_slow,motion09,fast_slow,seg2,e:\VSCode_Study\2026.4.15Manuscript-DIODEM\dataset\arm\exp01\motion09_fast_slow\exp01_motion09_imu_rigid.csv,e:\VSCode_Study\2026.4.15Manuscript-DIODEM\dataset\arm\exp01\motion09_fast_slow\exp01_motion09_imu_nonrigid.csv,40.0,880,False,test
arm,exp01,motion09_fast_slow,motion09,fast_slow,seg3,e:\VSCode_Study\2026.4.15Manuscript-DIODEM\dataset\arm\exp01\motion09_fast_slow\exp01_motion09_imu_rigid.csv,e:\VSCode_Study\2026.4.15Manuscript-DIODEM\dataset\arm\exp01\motion09_fast_slow\exp01_motion09_imu_nonrigid.csv,40.0,880,False,test
arm,exp01,motion09_fast_slow,motion09,fast_slow,seg4,e:\VSCode_Study\2026.4.15Manuscript-DIODEM\dataset\arm\exp01\motion09_fast_slow\exp01_motion09_imu_rigid.csv,e:\VSCode_Study\2026.4.15Manuscript-DIODEM\dataset\arm\exp01\motion09_fast_slow\exp01_motion09_imu_nonrigid.csv,40.0,880,False,test
arm,exp01,motion09_fast_slow,motion09,fast_slow,seg5,e:\VSCode_Study\2026.4.15Manuscript-DIODEM\dataset\arm\exp01\motion09_fast_slow\exp01_motion09_imu_rigid.csv,e:\VSCode_Study\2026.4.15Manuscript-DIODEM\dataset\arm\exp01\motion09_fast_slow\exp01_motion09_imu_nonrigid.csv,40.0,880,False,test
arm,exp01,motion10_freeze2,motion10,freeze2,seg1,e:\VSCode_Study\2026.4.15Manuscript-DIODEM\dataset\arm\exp01\motion10_freeze2\exp01_motion10_imu_rigid.csv,e:\VSCode_Study\2026.4.15Manuscript-DIODEM\dataset\arm\exp01\motion10_freeze2\exp01_motion10_imu_nonrigid.csv,40.0,120,False,test
arm,exp01,motion10_freeze2,motion10,freeze2,seg2,e:\VSCode_Study\2026.4.15Manuscript-DIODEM\dataset\arm\exp01\motion10_freeze2\exp01_motion10_imu_rigid.csv,e:\VSCode_Study\2026.4.15Manuscript-DIODEM\dataset\arm\exp01\motion10_freeze2\exp01_motion10_imu_nonrigid.csv,40.0,120,False,test
arm,exp01,motion10_freeze2,motion10,freeze2,seg3,e:\VSCode_Study\2026.4.15Manuscript-DIODEM\dataset\arm\exp01\motion10_freeze2\exp01_motion10_imu_rigid.csv,e:\VSCode_Study\2026.4.15Manuscript-DIODEM\dataset\arm\exp01\motion10_freeze2\exp01_motion10_imu_nonrigid.csv,40.0,120,False,test
arm,exp01,motion10_freeze2,motion10,freeze2,seg4,e:\VSCode_Study\2026.4.15Manuscript-DIODEM\dataset\arm\exp01\motion10_freeze2\exp01_motion10_imu_rigid.csv,e:\VSCode_Study\2026.4.15Manuscript-DIODEM\dataset\arm\exp01\motion10_freeze2\exp01_motion10_imu_nonrigid.csv,40.0,120,False,test
arm,exp01,motion10_freeze2,motion10,freeze2,seg5,e:\VSCode_Study\2026.4.15Manuscript-DIODEM\dataset\arm\exp01\motion10_freeze2\exp01_motion10_imu_rigid.csv,e:\VSCode_Study\2026.4.15Manuscript-DIODEM\dataset\arm\exp01\motion10_freeze2\exp01_motion10_imu_nonrigid.csv,40.0,120,False,test
arm,exp01,motion11_slow2,motion11,slow2,seg1,e:\VSCode_Study\2026.4.15Manuscript-DIODEM\dataset\arm\exp01\motion11_slow2\exp01_motion11_imu_rigid.csv,e:\VSCode_Study\2026.4.15Manuscript-DIODEM\dataset\arm\exp01\motion11_slow2\exp01_motion11_imu_nonrigid.csv,40.0,640,False,test
